Hybridization REF	TCGA-AN-A0AS-01A-11D-A00Y-05	TCGA-AN-A0AS-01A-11D-A00Y-05	TCGA-AN-A0AS-01A-11D-A00Y-05	TCGA-AN-A0AS-01A-11D-A00Y-05
cg00037763	0.931074712759303	SETBP1	18	42281763
cg00037940	0.891003629721851	PIK3CB	3	138479285
cg00040861	0.0185199499798019	LSM7;SPPL2B	19	2328391
cg00040873	0.0512916732947145	NDUFB10	16	2009157
cg00041575	0.705060595746699	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.0182749440860171	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0176666762870268	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0220334081452679	CUL5	11	107879431
cg00047469	0.0106730959965942	POLE3;C9orf43	9	116172568
cg00049986	0.125999800389311	NA	NA	0
cg00050312	0.0142925117853113	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0311946895244961	C10orf4	10	95462161
cg00053292	0.0319961072453169	TACO1	17	61678300
cg00053647	0.0418241359748016	C7orf28B	7	6866072
cg00054706	0.0169015718544147	C1D	2	68289972
cg00055233	0.300642639116518	RLN1	9	5339677
cg00056767	0.0169252707094053	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.191093588855244	GLRA1	5	151304357
cg00059424	0.0193845915786886	PES1	22	30988148
cg00059740	0.0157029198116552	C7orf49	7	134855689
cg00059930	0.83538297840388	RB1	13	48894382
cg00060762	0.0205218407189417	LEO1	15	52264133
cg00060882	0.073615460441907	EIF2S3	X	24072811
cg00061059	0.0265908010833057	TECR	19	14640983
cg00061629	0.97052617318128	ALX4	11	44325258
cg00062776	0.988875905811165	TULP2	19	49402424
cg00063144	0.909568372215789	KRT31	17	39554055
cg00065385	0.968351148306705	ACTL7A	9	111623395
cg00065408	0.0177438082394302	CACNB3	12	49212475
cg00066153	0.945334697002319	ACRV1	11	125550744
cg00066816	0.116285769484126	IL12B	5	158758353
cg00067471	0.0336404594216165	ATP5D	19	1241377
cg00069261	0.0188676138787979	CDR2	16	22386531
cg00071250	0.789702420599669	FASLG	1	172628263
cg00071998	0.0237363974961416	MSH5	6	31708121
cg00072216	0.015567690494369	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.256571141829938	STRA6	15	74495354
cg00076645	0.0158320426893525	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.587052430070183	ASAP1	8	131414474
cg00078194	0.0146141906124466	MDK	11	46402949
cg00078867	0.72525142545796	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0112839729938237	ARFGAP3	22	43253521
cg00080012	0.0107109437925319	EED	11	85955689
cg00081935	0.0194022724225932	TSPAN9	12	3186906
cg00081975	0.0103049652214461	ABCC3	17	48712370
cg00083720	0.0142488344674354	NA	NA	0
cg00083937	0.181127673052182	MAPK8IP2	22	51039805
cg00084687	0.0131694126539351	GATAD1	7	92076896
cg00089071	0.0101276048521627	PCGF2	17	36905809
cg00090147	0.540179320548082	GATA4	8	11562367
cg00091693	0.485597362632201	KRT20	17	39041602
cg00093177	0.898781778245146		17	37185495
cg00094319	0.851041025890743	PABPC3	13	25670530
cg00094851	0.0883607030609904	KIF3C	2	26205706
cg00095526	0.739182972112943	CACNA1S	1	201081686
cg00095674	0.0723737888608362	PLEKHO1	1	150122654
cg00096922	0.0210890134160107	DLX5	7	96654185
cg00097536	0.0135027839245115	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0198995224291755	PNPLA6	19	7599173
cg00099550	0.0154259274234679	NA	NA	0
cg00101227	0.790581399963074	MPZ	1	161280266
cg00103783	0.0144452289722693	MPDU1	17	7487249
cg00105253	0.0285631347400035	NUDT14	14	105647194
cg00105470	0.0227526447707052	C1orf35	1	228290868
cg00107187	0.369092314407137	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.00926454215122337	PGM2	4	37828500
cg00108454	0.210555762843156	C1QA	1	22963614
cg00109274	0.00871042495478351	DGKH	13	42623032
cg00112517	0.0340981522437135	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.102422882058722	CABP1	12	121078090
cg00115714	0.0253799865867931	AMD1	6	111196112
cg00116234	0.0287022027080049	ADAMTSL1	9	18474243
cg00116838	0.0604833000502664	RTN2;FLJ40125	19	46001746
cg00117172	0.583345289505947	RUNX3	1	25255838
cg00119079	0.321236907938144	LAMP3	3	182880278
cg00121158	0.012102482329932	KDM4C	9	6757826
cg00121640	0.0456566940403071	ASTN2	9	120176515
cg00121904	0.394268468280935	MAOB	X	43741826
cg00123035	0.0294224135327568	RFX5	1	151319538
cg00126034	0.0277928779009128	WNT3	17	44896162
cg00126657	0.148975338470425	SSX6	X	47967250
cg00126698	0.756744187844886	BTK	X	100640503
cg00128197	0.416464158089074	HSD17B10	X	53461455
cg00128560	0.946556885865082	TIGD7	16	3352013
cg00128654	0.00912418413647494	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0548829741301525	MKNK1	1	47070178
cg00129774	0.0216741647545413	CDK2;SILV	12	56360414
cg00131121	0.0276289727256923	POLR2J	7	102119710
cg00131557	0.941131852668055	DNAJC15	13	43596656
cg00132141	0.290225596908441	CTNNA3	10	69456307
cg00133909	0.0333430909492978	CD276	15	73977201
cg00134539	0.946849007636765	UBASH3A	21	43824071
cg00134787	0.611816290351007	MYH1	17	10419499
cg00135056	0.0366017273033837	C3orf37	3	128997295
cg00135393	0.319917389272143	NA	NA	0
cg00136105	0.0204475497817629	GNPTAB	12	102224911
cg00136405	0.123777955506154	IL21	4	123542198
cg00136477	0.773771054446271	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.268464863583732	PMEPA1	20	56286697
cg00141162	0.698560909880908	HCLS1	3	121379777
cg00141550	0.780292916561544	NA	NA	0
cg00141845	0.155436453249436	UPRT	X	74493352
cg00143376	0.317472372192333	NMUR1	2	232394702
cg00143998	0.0283210408714646	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.12412926990309	GNPDA1	5	141393931
cg00145348	0.524967035196532	APEX2	X	55026862
cg00146096	0.0131857285989326	FANCF	11	22647309
cg00149659	0.0181970130885384	C3orf10	3	10157352
cg00149976	0.0134669052672288	MGLL	3	127541529
cg00151234	0.483479619814746	PGK1	X	77359363
cg00151607	0.0123592765924469	TRAPPC2L;GALNS	16	88923507
cg00152644	0.956724466249914	SPRR2E	1	153068236
cg00155167	0.0172289360824154	VPS13B	8	100025831
cg00155485	0.0278068984316196	MED13L	12	116714600
cg00155609	0.0148107402803141	PRDX2	19	12912527
cg00156216	0.0213801711348747	APLP2	11	129939849
cg00156744	0.0127176831642079	STK10	5	171615663
cg00158308	0.0323028267706884	OXGR1	13	97646341
cg00160914	0.0720216709020938	DDX20;C1orf183	1	112299263
cg00162401	0.0784607174660149	GSTA4	6	52859823
cg00162643	0.0295179264210224	DDX58	9	32526492
cg00164041	0.0211478546591455	NA	NA	0
cg00164898	0.0172575037844867	MAPK11	22	50709127
cg00165981	0.0428951198449988	COL4A3BP;POLK	5	74808039
cg00167504	0.0166033510071841	BLVRA	7	43798622
cg00168082	0.030228471390301	ABL1	9	133589177
cg00168785	0.016903806402472	WDSUB1	2	160142643
cg00168942	0.582009035288481	GJD4	10	35894430
cg00169548	0.168811473066108	NA	NA	0
cg00171126	0.0240952129045407	WRB	21	40752522
cg00171161	0.092562745065851	NUDT9	4	88343636
cg00174500	0.689833732264357	CMTM5	14	23846479
cg00174901	0.0905772593574653	PALM	19	709889
cg00176210	0.854146361133392	ANK1	8	41654967
cg00176879	0.991808060553986	VPS16;PTPRA	20	2843525
cg00177013	0.0446131735364777	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0248973422896718	PNPO	17	46018875
cg00177923	0.015487430242685	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.210442905675618	UPF3B	X	118986947
cg00180012	0.0278216770863993	LACE1	6	108615929
cg00180631	0.507550018312777	MTM1	X	149736640
cg00182461	0.0474944398417344	NA	NA	0
cg00183782	0.739019893283741	NA	NA	0
cg00183916	0.0130091136304114	HS3ST3B1	17	14204936
cg00184884	0.0103500447441469	SFI1	22	31892343
cg00184893	0.013151609059465	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0224282325991648	LRDD	11	804954
cg00186141	0.012595398856799	PODXL	7	131241768
cg00186701	0.280611009844454	TSPYL5	8	98290510
cg00186954	0.811221270289728	ST5;C11orf17	11	8933980
cg00187380	0.0203082364244693	HOXC4;HOXC5	12	54427384
cg00187686	0.0907608522679789	TCN1	11	59634218
cg00188348	0.615580744494521	NA	NA	0
cg00191052	0.613583650258183	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0128005435571782	FAM53C	5	137673669
cg00197641	0.019441864444755	MRPL52	14	23299461
cg00199549	0.440272813269438	MCM5	22	35795374
cg00200063	0.015230289353172	USP32	17	58469941
cg00201234	0.565753051061177	FBLN2	3	13590968
cg00202702	0.0138971248818358	C11orf70	11	101918157
cg00202711	0.635188176734218	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0218263567877786	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0221007554977793	KIAA0174	16	71929512
cg00208830	0.541303111535722	LAMC2	1	183154778
cg00208967	0.131924549692072	OLFM2	19	10047924
cg00209066	0.800968964979453	BRD1	22	50218923
cg00209951	0.0437679994827261	DENND2C	1	115212834
cg00210842	0.027566838983903	APAF1;IKBIP	12	99039578
cg00211661	0.0130570154912823	ARAP1	11	72433619
cg00212549	0.0326972429541557	NA	NA	0
cg00213044	0.769550045941547	KRT6A	12	52886438
cg00213331	0.94323973436661	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0190543397584122	NA	NA	0
cg00214794	0.63973364725282	NA	NA	0
cg00214855	0.123792131859133	CCDC90A	6	13813947
cg00215066	0.97339783854272	MYO9B	19	17212316
cg00216361	0.0298612250925877	GAP43	3	115342527
cg00216758	0.0272703597979347	RASSF7;C11orf35	11	560589
cg00217795	0.0708499844203469	DIO2	14	80677688
cg00221494	0.0512860917673951	FARP1	13	98794593
cg00223186	0.0180355938100184	ACBD6	1	180472200
cg00223950	0.0253699100676052	UBR4	1	19536222
cg00224234	0.00804028510361459	GLOD4;RNMTL1	17	685693
cg00224508	0.0152224345631085	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.913548639908676	FGD2	6	36972027
cg00228799	0.0142802967204567	ENDOG	9	131580591
cg00229387	0.0765328139392347	TJAP1	6	43445942
cg00230271	0.0275826602334367	TBCK;AIMP1	4	107237183
cg00230368	0.0230239753758821	IGF2R	6	160389833
cg00230502	0.0456043977552566	CCDC60	12	119772381
cg00230685	0.496844135533258	SCML1	X	17755839
cg00231140	0.0265880989359863	ACAA2;SCARNA17	18	47339702
cg00231644	0.117460238403692	TUBB2A	6	3158512
cg00231920	0.018782959408608	VPS16;FAM113A	20	2821308
cg00233307	0.0337030740742174	MAP4K1;EIF3K	19	39109076
cg00234616	0.33545511474869	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0475286630633223	RARA	17	38465489
cg00237010	0.331536059696484	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.967077087516542	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0216272332369743	TTC21A;GORASP1	3	39148342
cg00240312	0.0134667121244936	NA	NA	0
cg00240432	0.0164851796326455	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0123038186015885	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.00918481968088519	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.018028663160933	CR2	1	207628182
cg00250430	0.627313656500275	DMRT2	9	1051579
cg00253200	0.0128568066634891	C3orf59	3	192636074
cg00256074	0.941058280091062	MYLPF	16	30386150
cg00256166	0.0195413450054851	KLHL25	15	86338428
cg00256281	0.0156604993252442	PMM1	22	41985642
cg00259755	0.0302816913846945	PWWP2B	10	134209763
cg00260778	0.207298709203941	NA	NA	0
cg00261552	0.0295137892026743	CREBL2	12	12764894
cg00261781	0.0153745246057278	MATN3	2	20212517
cg00262415	0.0208898244976633	PUSL1;ACAP3	1	1242732
cg00263723	0.0168408354082195	NA	NA	0
cg00263760	0.0178509492988431	VAX1	10	118897366
cg00265415	0.0117190346316759	B3GALNT2	1	235667507
cg00265490	0.0304038098783037	MTDH	8	98655845
cg00268009	0.0147391063418687	ADH5	4	100010211
cg00268338	0.0127231591153259	HECTD2;LOC100188947	10	93169495
cg00269115	0.0152392411441355	C1orf213;ZNF436	1	23695530
cg00269932	0.97549460060234	NA	NA	0
cg00273068	0.148544508080546	EMILIN3	20	39995747
cg00273124	0.466084915186599	NHP2	5	177581512
cg00274399	0.0210308140877561	FGF9	13	22245420
cg00275232	0.0189342040917271	ZNF296	19	45579541
cg00276797	0.0212246575196282	SLK	10	105726614
cg00278366	0.242501214871577	RAD9B;VPS29	12	110940287
cg00279797	0.0384410631056022	AMMECR1	X	109561918
cg00280814	0.745007845621292	ZDHHC8P	22	23745389
cg00280894	0.287449666527409	NA	NA	0
cg00282347	0.025099876973366	CHD5	1	6241040
cg00282683	0.0147900162693456	UBE3C	7	156931995
cg00283535	0.887663334309758	ANXA13	8	124749564
cg00288562	0.016619152113546	TRA2A	7	23571645
cg00290028	0.00801060232480758	RFXAP	13	37393125
cg00290506	0.0286400502666799	CNIH3	1	224804226
cg00291877	0.0408496965430392	SNRPA1	15	101835933
cg00292662	0.0151984015449455	LGALS1	22	38071168
cg00292971	0.770384850854567	FAM131B	7	143060536
cg00293409	0.0274768636099343	LRRC33	3	196366669
cg00294382	0.430952840798596	IL23A	12	56732721
cg00295206	0.011897701194528	RAB7A	3	128444813
cg00295325	0.603503275141932	ABCB11	2	169887932
cg00296685	0.0230383117182215	NA	NA	0
cg00297584	0.032657433195875	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.90355263285873	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0125186495821432	PPP3CA	4	102268125
cg00303548	0.0171125677123675	HS6ST3	13	96742413
cg00304278	0.0488182252184173	NA	NA	0
cg00307685	0.883834138171041	BRDT	1	92415524
cg00308133	0.0106900064404581	GAMT	19	1401118
cg00308665	0.142685511224736	HTR2A	13	47469654
cg00309056	0.0170241840550558	STARD3NL	7	38218112
cg00309204	0.0228249384573969	C17orf61	17	7307432
cg00311768	0.156436834374392	TSTA3	8	144698857
cg00312919	0.0104919779530867	STARD3NL	7	38217710
cg00314943	0.912840685935782	ALPPL2	2	233270750
cg00315936	0.0582323632514366	SND1	7	127292739
cg00317680	0.112455937418042	MTERFD1;PTDSS1	8	97274070
cg00318573	0.115256179469157	CHRNA4	20	61993118
cg00318865	0.0161321223141698	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.00814652765613226	PKMYT1	16	3030447
cg00320243	0.0129192885801017	RAB3A	19	18314691
cg00321065	0.0181751019991692	RLF	1	40627063
cg00321478	0.354578875227683	CRB1	1	197238398
cg00323915	0.441574233373195	GIMAP4	7	150264987
cg00324733	0.0160227557650038	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.0490988672737109	DLAT	11	111896498
cg00327483	0.96032184745003	CASQ1	1	160160587
cg00328227	0.261395432414164	C1orf59	1	109204325
cg00331237	0.0190931937916532	CSRP2	12	77273319
cg00331433	0.0124343380851677	SYAP1	X	16737800
cg00332153	0.779011577793596	BANK1	4	102712010
cg00332745	0.0180169779593745	NOL3	16	67208247
cg00333226	0.265580590337622	VWC2	7	49813763
cg00333528	0.0434785032971221	GABRR1	6	89927485
cg00334507	0.534358119865156	PRRT2	16	29824599
cg00335286	0.523298423090258	MC2R	18	13916355
cg00336605	0.026697692040041	NR1H2	19	50879437
cg00338702	0.018241037851102	CHFR	12	133463694
cg00338893	0.0213175587990914	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.261049098078413	GARNL3	9	130027020
cg00343092	0.0108274582435499	TSPO	22	43547974
cg00344358	0.877473525489229	GDF11	12	56135693
cg00344372	0.81431087786666	HGFAC	4	3443625
cg00344709	0.526227202921794	POTED	21	14982225
cg00346145	0.0354549390761906	RPL34;LOC285456	4	109541559
cg00347729	0.343830688593092	MMP10	11	102651753
cg00347904	0.0519418215358032	SCUBE3	6	35182508
cg00350296	0.60023733613077	CD248	11	66084841
cg00350478	0.624527017011215	FRMD1	6	168480013
cg00350702	0.0159381660563894	ERGIC3	20	34129927
cg00351011	0.0142310576893197	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.897498907422932	ZIM2	19	57306738
cg00354572	0.0331650893675178	ACSS3	12	81471419
cg00355802	0.0410819741452193	DUSP4	8	29208983
cg00359325	0.0263253332284426	USP4	3	49377419
cg00359973	0.0435030194365114	RIBC1;SMC1A	X	53449900
cg00363813	0.71147747537624	IFFO1	12	6664872
cg00364344	0.0185029291458203	NA	NA	0
cg00364814	0.856617347152664	R3HDM2	12	57691455
cg00365193	0.147607216252512	NA	NA	0
cg00367281	0.764599564878367	CHRNB3	8	42552470
cg00367438	0.0494786700006202	TMUB1	7	150780797
cg00368022	0.0159780132637631	C5orf22;RNASEN	5	31532653
cg00368415	0.0166100617391333	SNX27	1	151584398
cg00371195	0.95910158133471	F2	11	46740481
cg00374717	0.927333545605072	ARSG	17	66303145
cg00375964	0.0236854135817337	ABCE1;ANAPC10	4	146019130
cg00376639	0.0549617201792632	ZNF581	19	56155151
cg00380464	0.0154115669719606	LTV1	6	144164650
cg00381076	0.0192885274476065	C18orf54	18	51884797
cg00382515	0.0144872227533073	MRPL44	2	224822229
cg00382991	0.0320725166221361	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.585176678690778	TGFBI	5	135364970
cg00387170	0.0274926549197423	FOXP4	6	41514002
cg00392257	0.140830738394921	ISG20L2	1	156696747
cg00393585	0.0467564476827562	C4orf39;TRIM61	4	165878091
cg00394658	0.206150411421952	PTPRJ	11	48001669
cg00396163	0.0182247489788486	DNAH6	2	84743584
cg00396894	0.726227348593308	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0344405870354093	PPOX	1	161136321
cg00398048	0.0462950869020552	AGA	4	178364342
cg00399483	0.476053899236143	DCC	18	49868378
cg00400028	0.125841421241973	NA	NA	0
cg00400263	0.98977310424961	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0197877468339568	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.424700504720673	TSC22D3	X	107018431
cg00405070	0.0230922589195623	ERP29;TMEM116	12	112450647
cg00405568	0.0265962453980698	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.760734677627457	RFPL3	22	32753939
cg00407150	0.668079541449829	HHATL	3	42743794
cg00410419	0.0233673090546046	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.158831804654106	STC1	8	23712355
cg00410921	0.189129204936631	NA	NA	0
cg00411097	0.276876753260216	TMEM184A	7	1596050
cg00412772	0.468611788257804	YIF1B;C19orf33	19	38794845
cg00412805	0.98351129607082	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.342260659749923	NA	NA	0
cg00415494	0.88940801056556	NA	NA	0
cg00415978	0.0593176809747442	SYNPO2	4	119809925
cg00415993	0.447359592287507	F2RL2;IQGAP2	5	75919188
cg00417297	0.014840212354182	ZNF619	3	40518742
cg00418150	0.552515736038337	ALX4	11	44327869
cg00419564	0.0175402825124729	S100A6	1	153508860
cg00420568	0.0382371119197201	SHC3	9	91794904
cg00420715	0.0122211476250211	VPS13B	8	100025364
cg00420929	0.146444051191404	PGPEP1	19	18451112
cg00422913	0.016998871487742	C17orf91;WDR81	17	1619022
cg00424946	0.015518853701429	SNTB2	16	69221172
cg00425710	0.739503508833715	MT1A	16	56672671
cg00425792	0.037314065048998	PEX12	17	33905503
cg00426056	0.0132952989743719	CUTA	6	33385896
cg00426498	0.158243230452016	MYO18A	17	27507667
cg00426963	0.0192977391449138	KIF27	9	86535755
cg00427635	0.0811599918613167	TBC1D21	15	74166372
cg00429618	0.134109838826533	ZNF322B	9	99962350
cg00430287	0.728943529669932	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.566852149127965	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.0913964226099166	MGP	12	15039025
cg00432979	0.015071556246003	MRP63;SKA3	13	21750473
cg00433406	0.93364174900964	VWA5B1	1	20616975
cg00434413	0.929051579347912	RENBP;NAA10	X	153201653
cg00435408	0.0301904551255715	FAM192A;RSPRY1	16	57220662
cg00436282	0.503151900635077	STATH	4	70861449
cg00436301	0.0188711843439498	NT5DC1	6	116421736
cg00436603	0.341906004632812	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.00838644671500892	STOML1	15	74284481
cg00443307	0.526852062296285	KLRG1	12	9141740
cg00445824	0.0808086134685288	ISYNA1	19	18548929
cg00446235	0.0703910454830927	TSTD1	1	161008644
cg00447208	0.613143306426837	TMC8;TMC6	17	76126301
cg00448720	0.385086188017064	C1QTNF9	13	24883014
cg00449941	0.0231242808700565	SPAG5	17	26926011
cg00451635	0.11786358393473	EMP2	16	10675030
cg00453193	0.0189158947418632	TES	7	115851050
cg00453258	0.77029214328417	CALHM1	10	105219172
cg00459975	0.01232158214883	INTS9;HMBOX1	8	28749099
cg00461841	0.533104172674552	ATF7IP2	16	10523485
cg00462311	0.0608234207883927	NFATC4	14	24837184
cg00462994	0.189118567504531	NAGS;PYY	17	42081955
cg00463202	0.752506192893743	ADPRHL1	13	114107710
cg00463577	0.0149510690960724	C6orf150	6	74161911
cg00463848	0.901031412837771	KRT2	12	53046105
cg00464269	0.0145403884181874	TNFAIP1;IFT20	17	26662842
cg00465284	0.231714290674496	CTNNA2;LRRTM1	2	80531898
cg00465846	0.011144502155239	NA	NA	0
cg00466249	0.274755210234787	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0119652622610618	C14orf101	14	57046243
cg00468146	0.0397462597972093	ID4	6	19838211
cg00469635	0.00866655494794191	PPME1;C2CD3	11	73882471
cg00471562	0.0118763678334385	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0105880843969444	ADAMTS1	21	28217676
cg00474004	0.586577840634755	IFNA14	9	21239944
cg00474209	0.0253302393570953	DLL1	6	170600060
cg00475955	0.010852751381687	C9orf114	9	131592049
cg00476577	0.0163373444965	NA	NA	0
cg00476580	0.478686353848562	ANP32E	1	150207583
cg00479269	0.0314752383073143	C2orf29	2	101869975
cg00480115	0.292955623426011	FXYD3	19	35606877
cg00480209	0.0138015878148626	SCO1;C17orf48	17	10600689
cg00480356	0.0604116229459263	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0121537106368052	DDX41	5	176943504
cg00485296	0.00714228385021151	NME3	16	1821559
cg00485380	0.0139845583048896	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.01679789076032	SOCS1	16	11349568
cg00488300	0.858101659604812	NA	NA	0
cg00488364	0.435505601588866	IL13RA2	X	114253315
cg00488718	0.016870077071501	MFSD8;C4orf29	4	128887044
cg00489401	0.687315719130075	FLT4	5	180075875
cg00491404	0.874982306972068	EPS8L3	1	110306591
cg00491839	0.0369143660049386	PPP1R15A	19	49375640
cg00493400	0.0156509820839051	STAT1	2	191879127
cg00495415	0.0263673135083289	SP1	12	53773795
cg00495442	0.0316436728257313	RALGAPB	20	37101172
cg00495491	0.760634312859163	NA	NA	0
cg00496170	0.0127762887095324	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.6080443398705	PPEF1	X	18709116
cg00497251	0.0282801645763961	RNPEPL1	2	241508725
cg00498305	0.439665539105474	SLC18A2	10	119000236
cg00498604	0.0521025871280723	TLL1	4	166793789
cg00499599	0.0133217065799639	C21orf57;MCM3AP	21	47706392
cg00499822	0.78026182577798	CXCL12	10	44881551
cg00500400	0.0222586312507322	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
