Hybridization REF	TCGA-A2-A04U-01A-11D-A112-05	TCGA-A2-A04U-01A-11D-A112-05	TCGA-A2-A04U-01A-11D-A112-05	TCGA-A2-A04U-01A-11D-A112-05
cg00128560	0.976147035091814	TIGD7	16	3352013
cg00128654	0.0159767741294634	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0457105570166266	MKNK1	1	47070178
cg00129774	0.0116690058029357	CDK2;SILV	12	56360414
cg00131121	0.0185714385605758	POLR2J	7	102119710
cg00131557	0.883797320660878	DNAJC15	13	43596656
cg00132141	0.808607584565044	CTNNA3	10	69456307
cg00133909	0.0232240706738108	CD276	15	73977201
cg00134539	0.949339481406567	UBASH3A	21	43824071
cg00134787	0.733269679110307	MYH1	17	10419499
cg00135056	0.100461359673514	C3orf37	3	128997295
cg00135393	0.459631938861061	NA	NA	0
cg00136105	0.017272786620757	GNPTAB	12	102224911
cg00136405	0.855267025181595	IL21	4	123542198
cg00136477	0.79065291461349	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.590422490880152	PMEPA1	20	56286697
cg00141162	0.0846748950652842	HCLS1	3	121379777
cg00141550	0.800072039963407	NA	NA	0
cg00141845	0.139746826438441	UPRT	X	74493352
cg00143376	0.247517521419499	NMUR1	2	232394702
cg00143998	0.0361317842454483	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.244055888546499	GNPDA1	5	141393931
cg00145348	0.469508971930916	APEX2	X	55026862
cg00146096	0.0184246259727636	FANCF	11	22647309
cg00149659	0.0115354330538326	C3orf10	3	10157352
cg00149976	0.0185426078442962	MGLL	3	127541529
cg00151234	0.406938075352564	PGK1	X	77359363
cg00151607	0.018362648235133	TRAPPC2L;GALNS	16	88923507
cg00152644	0.969290880510875	SPRR2E	1	153068236
cg00155167	0.0157167331372076	VPS13B	8	100025831
cg00155485	0.0358706573639073	MED13L	12	116714600
cg00155609	0.0489328981826484	PRDX2	19	12912527
cg00156216	0.0316235544659954	APLP2	11	129939849
cg00156744	0.039277790113883	STK10	5	171615663
cg00158308	0.0254461469270725	OXGR1	13	97646341
cg00160914	0.0492859928933808	DDX20;C1orf183	1	112299263
cg00162401	0.0348189802057304	GSTA4	6	52859823
cg00162643	0.0268026074519515	DDX58	9	32526492
cg00164041	0.120475803675767	NA	NA	0
cg00164898	0.0504329554031686	MAPK11	22	50709127
cg00165981	0.059814978529137	COL4A3BP;POLK	5	74808039
cg00167504	0.0164758849109511	BLVRA	7	43798622
cg00168082	0.0294181714245546	ABL1	9	133589177
cg00168785	0.0307601744916599	WDSUB1	2	160142643
cg00168942	0.666617693488395	GJD4	10	35894430
cg00169548	0.240871955596291	NA	NA	0
cg00171126	0.0144983007909784	WRB	21	40752522
cg00171161	0.0610483141388864	NUDT9	4	88343636
cg00174500	0.147706084052832	CMTM5	14	23846479
cg00174901	0.0809368982544042	PALM	19	709889
cg00176210	0.607493363934186	ANK1	8	41654967
cg00176879	0.99267277289964	VPS16;PTPRA	20	2843525
cg00177013	0.0936769910644677	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0147393377719706	PNPO	17	46018875
cg00177923	0.0196467921905909	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.230191263466302	UPF3B	X	118986947
cg00180012	0.0311306891969597	LACE1	6	108615929
cg00180631	0.706520622588412	MTM1	X	149736640
cg00182461	0.072035612630712	NA	NA	0
cg00183782	0.84727089497577	NA	NA	0
cg00183916	0.0119515627316691	HS3ST3B1	17	14204936
cg00184884	0.00679610636782123	SFI1	22	31892343
cg00184893	0.0121435118952443	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0159397021635652	LRDD	11	804954
cg00186141	0.0124583855299833	PODXL	7	131241768
cg00186701	0.945139826611578	TSPYL5	8	98290510
cg00186954	0.363797068409578	ST5;C11orf17	11	8933980
cg00187380	0.0218205984559981	HOXC4;HOXC5	12	54427384
cg00187686	0.187741977951268	TCN1	11	59634218
cg00188348	0.618515082425194	NA	NA	0
cg00191052	0.543322115722623	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0448170790535362	FAM53C	5	137673669
cg00197641	0.0791651849344307	MRPL52	14	23299461
cg00199549	0.98001645880272	MCM5	22	35795374
cg00200063	0.0185275640683669	USP32	17	58469941
cg00201234	0.19079688872688	FBLN2	3	13590968
cg00202702	0.0158045373668556	C11orf70	11	101918157
cg00202711	0.933301663640538	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0309123015069393	RP11-529I10.4;POLL	10	103348143
cg00207534	0.00942441946906127	KIAA0174	16	71929512
cg00208830	0.726944071896277	LAMC2	1	183154778
cg00208967	0.0299550293543791	OLFM2	19	10047924
cg00209066	0.955179965252794	BRD1	22	50218923
cg00209951	0.041754329273139	DENND2C	1	115212834
cg00210842	0.0240829059850929	APAF1;IKBIP	12	99039578
cg00211661	0.59675987002561	ARAP1	11	72433619
cg00212549	0.108881997769427	NA	NA	0
cg00213044	0.771622329823911	KRT6A	12	52886438
cg00213331	0.938785727939436	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0132349111439841	NA	NA	0
cg00214794	0.133230054938338	NA	NA	0
cg00214855	0.240742978379672	CCDC90A	6	13813947
cg00215066	0.97799637372836	MYO9B	19	17212316
cg00216361	0.0167690310616459	GAP43	3	115342527
cg00216758	0.0226663090723314	RASSF7;C11orf35	11	560589
cg00217795	0.691475582292761	DIO2	14	80677688
cg00221494	0.0558846402432546	FARP1	13	98794593
cg00223186	0.00913216425317447	ACBD6	1	180472200
cg00223950	0.0378160389031915	UBR4	1	19536222
cg00224234	0.0168772344712378	GLOD4;RNMTL1	17	685693
cg00224508	0.0127243439476594	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.948316902221211	FGD2	6	36972027
cg00228799	0.0136726573643993	ENDOG	9	131580591
cg00229387	0.0469523797841239	TJAP1	6	43445942
cg00230271	0.0322906197745975	TBCK;AIMP1	4	107237183
cg00230368	0.0219165121482485	IGF2R	6	160389833
cg00230502	0.709783208257551	CCDC60	12	119772381
cg00230685	0.615829561723624	SCML1	X	17755839
cg00231140	0.0564665562999665	ACAA2;SCARNA17	18	47339702
cg00231644	0.117763184927231	TUBB2A	6	3158512
cg00231920	0.0162648180485013	VPS16;FAM113A	20	2821308
cg00233307	0.173366931615075	MAP4K1;EIF3K	19	39109076
cg00234616	0.697791202353751	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0257284954185339	RARA	17	38465489
cg00237010	0.461200680851518	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.957630130476105	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0568963397380248	TTC21A;GORASP1	3	39148342
cg00240312	0.0177095598738197	NA	NA	0
cg00240432	0.0231144221857791	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0284331657967768	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.0146003847856386	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0181273565298984	CR2	1	207628182
cg00250430	0.401890326395434	DMRT2	9	1051579
cg00253200	0.0137796012671091	C3orf59	3	192636074
cg00256074	0.888973504767758	MYLPF	16	30386150
cg00256166	0.0168474261568801	KLHL25	15	86338428
cg00256281	0.00720115019881014	PMM1	22	41985642
cg00259755	0.34639512280595	PWWP2B	10	134209763
cg00260778	0.130306152286133	NA	NA	0
cg00261552	0.0491109447886264	CREBL2	12	12764894
cg00261781	0.0072367700898532	MATN3	2	20212517
cg00262415	0.0160832517107197	PUSL1;ACAP3	1	1242732
cg00263723	0.0182065879720456	NA	NA	0
cg00263760	0.0216296923139636	VAX1	10	118897366
cg00265415	0.00614498717181253	B3GALNT2	1	235667507
cg00265490	0.0230458748114329	MTDH	8	98655845
cg00268009	0.0113527660703286	ADH5	4	100010211
cg00268338	0.0138385616970386	HECTD2;LOC100188947	10	93169495
cg00269115	0.0156380376005056	C1orf213;ZNF436	1	23695530
cg00269932	0.98360987126041	NA	NA	0
cg00273068	0.147712238595788	EMILIN3	20	39995747
cg00273124	0.949677597181166	NHP2	5	177581512
cg00274399	0.0303607589605531	FGF9	13	22245420
cg00275232	0.0131502747628978	ZNF296	19	45579541
cg00276797	0.0143420533227376	SLK	10	105726614
cg00278366	0.15382307935866	RAD9B;VPS29	12	110940287
cg00279797	0.146956558341964	AMMECR1	X	109561918
cg00280814	0.790742747189541	ZDHHC8P	22	23745389
cg00280894	0.217734679083175	NA	NA	0
cg00282347	0.0210344915232732	CHD5	1	6241040
cg00282683	0.0132310062749751	UBE3C	7	156931995
cg00283535	0.937975171913341	ANXA13	8	124749564
cg00288562	0.108252889449735	TRA2A	7	23571645
cg00290028	0.0227128174595583	RFXAP	13	37393125
cg00290506	0.00846052317655038	CNIH3	1	224804226
cg00291877	0.0569514801561403	SNRPA1	15	101835933
cg00292662	0.00986161378945835	LGALS1	22	38071168
cg00292971	0.8350104914985	FAM131B	7	143060536
cg00293409	0.0635162731373785	LRRC33	3	196366669
cg00294382	0.105610265848954	IL23A	12	56732721
cg00295206	0.0164392503394103	RAB7A	3	128444813
cg00295325	0.86239254139043	ABCB11	2	169887932
cg00296685	0.392613639421733	NA	NA	0
cg00297584	0.0288344043245032	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.945241219128147	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0307252189834136	PPP3CA	4	102268125
cg00303548	0.0176820617258757	HS6ST3	13	96742413
cg00304278	0.0815145546189276	NA	NA	0
cg00307685	0.941806249024094	BRDT	1	92415524
cg00308133	0.0083397584710818	GAMT	19	1401118
cg00308665	0.504098061276544	HTR2A	13	47469654
cg00309056	0.0283679913612939	STARD3NL	7	38218112
cg00309204	0.0367490832230948	C17orf61	17	7307432
cg00311768	0.467086128568098	TSTA3	8	144698857
cg00312919	0.0839619424954456	STARD3NL	7	38217710
cg00314943	0.878075070903739	ALPPL2	2	233270750
cg00315936	0.0559261871758987	SND1	7	127292739
cg00317680	0.173207784801245	MTERFD1;PTDSS1	8	97274070
cg00318573	0.106695388214798	CHRNA4	20	61993118
cg00318865	0.0115509799697802	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.00715583886175539	PKMYT1	16	3030447
cg00320243	0.010446116750652	RAB3A	19	18314691
cg00321065	0.0128747977621762	RLF	1	40627063
cg00321478	0.719711650617132	CRB1	1	197238398
cg00323915	0.771908789688612	GIMAP4	7	150264987
cg00324733	0.0151819750418109	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.0607019940998617	DLAT	11	111896498
cg00327483	0.983289319030741	CASQ1	1	160160587
cg00328227	0.0884078544461531	C1orf59	1	109204325
cg00331237	0.0275430441061165	CSRP2	12	77273319
cg00331433	0.358716154462788	SYAP1	X	16737800
cg00332153	0.921324541518086	BANK1	4	102712010
cg00332745	0.019643758407766	NOL3	16	67208247
cg00333226	0.039030800173825	VWC2	7	49813763
cg00333528	0.465964955275244	GABRR1	6	89927485
cg00334507	0.753889958255603	PRRT2	16	29824599
cg00335286	0.0981062345331927	MC2R	18	13916355
cg00336605	0.036782679798973	NR1H2	19	50879437
cg00338702	0.0186310909624194	CHFR	12	133463694
cg00338893	0.0204759955257525	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.0555363549185418	GARNL3	9	130027020
cg00343092	0.0123274123967916	TSPO	22	43547974
cg00344358	0.951050587784008	GDF11	12	56135693
cg00344372	0.920494775398163	HGFAC	4	3443625
cg00344709	0.914021691120667	POTED	21	14982225
cg00346145	0.0255356768820862	RPL34;LOC285456	4	109541559
cg00347729	0.347686479757198	MMP10	11	102651753
cg00347904	0.0461234669732747	SCUBE3	6	35182508
cg00350296	0.0541093470507422	CD248	11	66084841
cg00350478	0.823503038763065	FRMD1	6	168480013
cg00350702	0.0110467888784752	ERGIC3	20	34129927
cg00351011	0.00962218214777719	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.95197324868054	ZIM2	19	57306738
cg00354572	0.116937048716561	ACSS3	12	81471419
cg00355802	0.0236607776408026	DUSP4	8	29208983
cg00359325	0.0495671612406892	USP4	3	49377419
cg00359973	0.0243880461563952	RIBC1;SMC1A	X	53449900
cg00363813	0.820401617095745	IFFO1	12	6664872
cg00364344	0.0280873907714798	NA	NA	0
cg00364814	0.950189254020731	R3HDM2	12	57691455
cg00365193	0.0734120434165117	NA	NA	0
cg00367281	0.67258313229981	CHRNB3	8	42552470
cg00367438	0.0321741416190728	TMUB1	7	150780797
cg00368022	0.0237490373970686	C5orf22;RNASEN	5	31532653
cg00368415	0.00607709400063823	SNX27	1	151584398
cg00371195	0.97332094057044	F2	11	46740481
cg00374717	0.952885988579859	ARSG	17	66303145
cg00375964	0.280619410004043	ABCE1;ANAPC10	4	146019130
cg00376639	0.0889352156401483	ZNF581	19	56155151
cg00380464	0.0815358410491043	LTV1	6	144164650
cg00381076	0.0613119503955839	C18orf54	18	51884797
cg00382515	0.0120369936954255	MRPL44	2	224822229
cg00382991	0.0348901624922974	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.0660421034888013	TGFBI	5	135364970
cg00387170	0.0220890879207108	FOXP4	6	41514002
cg00392257	0.0550413240672407	ISG20L2	1	156696747
cg00393585	0.0632392943887421	C4orf39;TRIM61	4	165878091
cg00394658	0.75900529128831	PTPRJ	11	48001669
cg00396163	0.0199874366511593	DNAH6	2	84743584
cg00396894	0.847419330026217	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0247471194346527	PPOX	1	161136321
cg00398048	0.140869070136834	AGA	4	178364342
cg00399483	0.739426045246415	DCC	18	49868378
cg00400028	0.50104892553579	NA	NA	0
cg00400263	0.161847713924823	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.106725885427731	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.863616422716924	TSC22D3	X	107018431
cg00405070	0.0211897854087363	ERP29;TMEM116	12	112450647
cg00405568	0.154386262476198	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.895117346509528	RFPL3	22	32753939
cg00407150	0.611679174219377	HHATL	3	42743794
cg00410419	0.019504481002888	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.0788637637492399	STC1	8	23712355
cg00410921	0.631121781749137	NA	NA	0
cg00411097	0.379175393672705	TMEM184A	7	1596050
cg00412772	0.964066913650367	YIF1B;C19orf33	19	38794845
cg00412805	0.962866198191588	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.127241148138352	NA	NA	0
cg00415494	0.921167676773251	NA	NA	0
cg00415978	0.0534693166237173	SYNPO2	4	119809925
cg00415993	0.633358677579132	F2RL2;IQGAP2	5	75919188
cg00417297	0.017078909135999	ZNF619	3	40518742
cg00418150	0.441734579422749	ALX4	11	44327869
cg00419564	0.0169117219108184	S100A6	1	153508860
cg00420568	0.113165218295625	SHC3	9	91794904
cg00420715	0.0714043705193847	VPS13B	8	100025364
cg00420929	0.179614721873729	PGPEP1	19	18451112
cg00422913	0.0187766578067137	C17orf91;WDR81	17	1619022
cg00424946	0.02185369150174	SNTB2	16	69221172
cg00425710	0.932973834691748	MT1A	16	56672671
cg00425792	0.0262451513662134	PEX12	17	33905503
cg00426056	0.0178155024711068	CUTA	6	33385896
cg00426498	0.157195528978405	MYO18A	17	27507667
cg00426963	0.0227532262736796	KIF27	9	86535755
cg00427635	0.0809476231039256	TBC1D21	15	74166372
cg00429618	0.0589350386140284	ZNF322B	9	99962350
cg00430287	0.85253538609778	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.115440703962167	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.0857038670942305	MGP	12	15039025
cg00432979	0.020295918197719	MRP63;SKA3	13	21750473
cg00433406	0.979006590463802	VWA5B1	1	20616975
cg00434413	0.991527934920942	RENBP;NAA10	X	153201653
cg00435408	0.0493228284201797	FAM192A;RSPRY1	16	57220662
cg00436282	0.531741830054375	STATH	4	70861449
cg00436301	0.0206718238705915	NT5DC1	6	116421736
cg00436603	0.472898529988823	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.00870845112269781	STOML1	15	74284481
cg00443307	0.92249393671563	KLRG1	12	9141740
cg00445824	0.0480657070772806	ISYNA1	19	18548929
cg00446235	0.070256565577418	TSTD1	1	161008644
cg00447208	0.710082432167831	TMC8;TMC6	17	76126301
cg00448720	0.380378425674391	C1QTNF9	13	24883014
cg00449941	0.0186182373170336	SPAG5	17	26926011
cg00451635	0.0565461143458244	EMP2	16	10675030
cg00453193	0.015363397858472	TES	7	115851050
cg00453258	0.85626148273742	CALHM1	10	105219172
cg00459975	0.00936033386502609	INTS9;HMBOX1	8	28749099
cg00461841	0.731255062134933	ATF7IP2	16	10523485
cg00462311	0.163691128627405	NFATC4	14	24837184
cg00462994	0.0132957433571139	NAGS;PYY	17	42081955
cg00463202	0.912062640087507	ADPRHL1	13	114107710
cg00463577	0.0276298289688968	C6orf150	6	74161911
cg00463848	0.925990784016635	KRT2	12	53046105
cg00464269	0.011971143390756	TNFAIP1;IFT20	17	26662842
cg00465284	0.017600175057498	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0144858998973905	NA	NA	0
cg00466249	0.118671934126466	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0198430319126962	C14orf101	14	57046243
cg00468146	0.0316855310289458	ID4	6	19838211
cg00469635	0.0102828136895171	PPME1;C2CD3	11	73882471
cg00471562	0.0100366905950642	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0162562849721328	ADAMTS1	21	28217676
cg00474004	0.811953795215795	IFNA14	9	21239944
cg00474209	0.0379878411170835	DLL1	6	170600060
cg00475955	0.0126165367267919	C9orf114	9	131592049
cg00476577	0.0264280983784858	NA	NA	0
cg00476580	0.00720689229854727	ANP32E	1	150207583
cg00479269	0.0328036041316313	C2orf29	2	101869975
cg00480115	0.0364308992578142	FXYD3	19	35606877
cg00480209	0.0133402476635357	SCO1;C17orf48	17	10600689
cg00480356	0.0633903797272629	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.00972299142603783	DDX41	5	176943504
cg00485296	0.00567876705057764	NME3	16	1821559
cg00485380	0.0173631489376794	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0254375478258039	SOCS1	16	11349568
cg00488300	0.739178287289335	NA	NA	0
cg00488364	0.954638357615275	IL13RA2	X	114253315
cg00488718	0.0183086478533601	MFSD8;C4orf29	4	128887044
cg00489401	0.0279575933346456	FLT4	5	180075875
cg00491404	0.910296696728543	EPS8L3	1	110306591
cg00491839	0.185666537070582	PPP1R15A	19	49375640
cg00493400	0.0174848209738269	STAT1	2	191879127
cg00495415	0.0200684041844333	SP1	12	53773795
cg00495442	0.0665638394055563	RALGAPB	20	37101172
cg00495491	0.802667812328118	NA	NA	0
cg00496170	0.0238085747599526	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.672805281065916	PPEF1	X	18709116
cg00497251	0.0250595119172542	RNPEPL1	2	241508725
cg00498305	0.372734375015379	SLC18A2	10	119000236
cg00498604	0.0844915354679595	TLL1	4	166793789
cg00499599	0.0192846745114255	C21orf57;MCM3AP	21	47706392
cg00499822	0.292246314823901	CXCL12	10	44881551
cg00500400	0.0168535358477762	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0174588638092433	ZDHHC14	6	157801893
