Hybridization REF	TCGA-AN-A049-01A-21D-A00Y-05	TCGA-AN-A049-01A-21D-A00Y-05	TCGA-AN-A049-01A-21D-A00Y-05	TCGA-AN-A049-01A-21D-A00Y-05
cg00098239	0.0144854666809073	PNPLA6	19	7599173
cg00099550	0.0148948639920256	NA	NA	0
cg00101227	0.8266430029792	MPZ	1	161280266
cg00103783	0.0140679071147576	MPDU1	17	7487249
cg00105253	0.0379043328119811	NUDT14	14	105647194
cg00105470	0.0210921543599307	C1orf35	1	228290868
cg00107187	0.396627895764031	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0112298749539729	PGM2	4	37828500
cg00108454	0.262365937615971	C1QA	1	22963614
cg00109274	0.00721173260505834	DGKH	13	42623032
cg00112517	0.265028809032714	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.105599862612141	CABP1	12	121078090
cg00115714	0.0357519695799911	AMD1	6	111196112
cg00116234	0.0624155203780734	ADAMTSL1	9	18474243
cg00116838	0.0800833028606009	RTN2;FLJ40125	19	46001746
cg00117172	0.71116964065377	RUNX3	1	25255838
cg00119079	0.030341499934808	LAMP3	3	182880278
cg00121158	0.010410061423713	KDM4C	9	6757826
cg00121640	0.0597614439687593	ASTN2	9	120176515
cg00121904	0.106114214542093	MAOB	X	43741826
cg00123035	0.0226288810997746	RFX5	1	151319538
cg00126034	0.0250856880936517	WNT3	17	44896162
cg00126657	0.124814687817355	SSX6	X	47967250
cg00126698	0.752079614887635	BTK	X	100640503
cg00128197	0.419275913290571	HSD17B10	X	53461455
cg00128560	0.956864475299279	TIGD7	16	3352013
cg00128654	0.0143605793525213	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0667454596347959	MKNK1	1	47070178
cg00129774	0.0177827063072398	CDK2;SILV	12	56360414
cg00131121	0.0255263177340097	POLR2J	7	102119710
cg00131557	0.943924643117251	DNAJC15	13	43596656
cg00132141	0.681781129428253	CTNNA3	10	69456307
cg00133909	0.0192203254167806	CD276	15	73977201
cg00134539	0.855191859064756	UBASH3A	21	43824071
cg00134787	0.260261306444819	MYH1	17	10419499
cg00135056	0.0750812440895899	C3orf37	3	128997295
cg00135393	0.517687761719688	NA	NA	0
cg00136105	0.0151282116429047	GNPTAB	12	102224911
cg00136405	0.0929576097529006	IL21	4	123542198
cg00136477	0.779497354937199	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.714326785982949	PMEPA1	20	56286697
cg00141162	0.731245895900441	HCLS1	3	121379777
cg00141550	0.560956955535521	NA	NA	0
cg00141845	0.0858639587155907	UPRT	X	74493352
cg00143376	0.653044975544663	NMUR1	2	232394702
cg00143998	0.541886692207967	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.522181027924666	GNPDA1	5	141393931
cg00145348	0.53668332125388	APEX2	X	55026862
cg00146096	0.01799062181628	FANCF	11	22647309
cg00149659	0.0166855411116092	C3orf10	3	10157352
cg00149976	0.0180037556561478	MGLL	3	127541529
cg00151234	0.263520769312918	PGK1	X	77359363
cg00151607	0.0133197078384416	TRAPPC2L;GALNS	16	88923507
cg00152644	0.919643203973541	SPRR2E	1	153068236
cg00155167	0.0187215602859453	VPS13B	8	100025831
cg00155485	0.0252052383156806	MED13L	12	116714600
cg00155609	0.0116961170757865	PRDX2	19	12912527
cg00156216	0.0200515004081702	APLP2	11	129939849
cg00156744	0.0102299482039922	STK10	5	171615663
cg00158308	0.0733696607151241	OXGR1	13	97646341
cg00160914	0.182086102237089	DDX20;C1orf183	1	112299263
cg00162401	0.0313612057948782	GSTA4	6	52859823
cg00162643	0.0316958311808531	DDX58	9	32526492
cg00164041	0.0322537699864217	NA	NA	0
cg00164898	0.0173433582997391	MAPK11	22	50709127
cg00165981	0.0423777827198851	COL4A3BP;POLK	5	74808039
cg00167504	0.0164680254762785	BLVRA	7	43798622
cg00168082	0.0306407037798992	ABL1	9	133589177
cg00168785	0.0562867007058505	WDSUB1	2	160142643
cg00168942	0.455718640216301	GJD4	10	35894430
cg00169548	0.10315008336958	NA	NA	0
cg00171126	0.0197769491540872	WRB	21	40752522
cg00171161	0.0515128181390514	NUDT9	4	88343636
cg00174500	0.726912734066212	CMTM5	14	23846479
cg00174901	0.344867018634076	PALM	19	709889
cg00176210	0.796356162007823	ANK1	8	41654967
cg00176879	0.990895523218258	VPS16;PTPRA	20	2843525
cg00177013	0.041114916427651	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0167306726646564	PNPO	17	46018875
cg00177923	0.0189000989040168	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.101861442099165	UPF3B	X	118986947
cg00180012	0.0166568908912982	LACE1	6	108615929
cg00180631	0.57308552322763	MTM1	X	149736640
cg00182461	0.0359240282360123	NA	NA	0
cg00183782	0.722311260017999	NA	NA	0
cg00183916	0.0123151826595419	HS3ST3B1	17	14204936
cg00184884	0.0117016064919555	SFI1	22	31892343
cg00184893	0.0109199618397454	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0200193164226873	LRDD	11	804954
cg00186141	0.0153997159673978	PODXL	7	131241768
cg00186701	0.186401391093304	TSPYL5	8	98290510
cg00186954	0.870063394577731	ST5;C11orf17	11	8933980
cg00187380	0.0250106767023998	HOXC4;HOXC5	12	54427384
cg00187686	0.256457509178756	TCN1	11	59634218
cg00188348	0.60348486183381	NA	NA	0
cg00191052	0.764687246110989	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0171380689606314	FAM53C	5	137673669
cg00197641	0.019623241654035	MRPL52	14	23299461
cg00199549	0.965156928842057	MCM5	22	35795374
cg00200063	0.015527573660999	USP32	17	58469941
cg00201234	0.371356109907395	FBLN2	3	13590968
cg00202702	0.0116174163071736	C11orf70	11	101918157
cg00202711	0.0640636594501836	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0228754214134727	RP11-529I10.4;POLL	10	103348143
cg00207534	0.023864615939721	KIAA0174	16	71929512
cg00208830	0.531751115254711	LAMC2	1	183154778
cg00208967	0.418682108470761	OLFM2	19	10047924
cg00209066	0.885325734982962	BRD1	22	50218923
cg00209951	0.041530424413274	DENND2C	1	115212834
cg00210842	0.0243341112046401	APAF1;IKBIP	12	99039578
cg00211661	0.0162995097500924	ARAP1	11	72433619
cg00212549	0.036433673398181	NA	NA	0
cg00213044	0.623765487824966	KRT6A	12	52886438
cg00213331	0.93875606050377	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0105887093777788	NA	NA	0
cg00214794	0.609966126145699	NA	NA	0
cg00214855	0.0715011611160189	CCDC90A	6	13813947
cg00215066	0.969228255223169	MYO9B	19	17212316
cg00216361	0.0420745421625153	GAP43	3	115342527
cg00216758	0.0249828320516153	RASSF7;C11orf35	11	560589
cg00217795	0.236029089209101	DIO2	14	80677688
cg00221494	0.279636072589745	FARP1	13	98794593
cg00223186	0.0169222268093572	ACBD6	1	180472200
cg00223950	0.0227022676588044	UBR4	1	19536222
cg00224234	0.00892578688250218	GLOD4;RNMTL1	17	685693
cg00224508	0.0133847542367009	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.904308531120812	FGD2	6	36972027
cg00228799	0.0258056042657675	ENDOG	9	131580591
cg00229387	0.0773414883055318	TJAP1	6	43445942
cg00230271	0.0353658590866692	TBCK;AIMP1	4	107237183
cg00230368	0.0150607769709494	IGF2R	6	160389833
cg00230502	0.0810806984277713	CCDC60	12	119772381
cg00230685	0.602573954478779	SCML1	X	17755839
cg00231140	0.0633914552333997	ACAA2;SCARNA17	18	47339702
cg00231644	0.727119665589328	TUBB2A	6	3158512
cg00231920	0.0200524910039102	VPS16;FAM113A	20	2821308
cg00233307	0.348418228161091	MAP4K1;EIF3K	19	39109076
cg00234616	0.207043515124741	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0363567784694819	RARA	17	38465489
cg00237010	0.18780219731219	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.968301399465225	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.047718281742097	TTC21A;GORASP1	3	39148342
cg00240312	0.0198641878374591	NA	NA	0
cg00240432	0.0202286347530801	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.014665952216407	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.0110596819629959	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0137540123894412	CR2	1	207628182
cg00250430	0.530997583647654	DMRT2	9	1051579
cg00253200	0.0137912270323503	C3orf59	3	192636074
cg00256074	0.940593164726711	MYLPF	16	30386150
cg00256166	0.0145006065155107	KLHL25	15	86338428
cg00256281	0.015960349130353	PMM1	22	41985642
cg00259755	0.0464807625203724	PWWP2B	10	134209763
cg00260778	0.341469209985379	NA	NA	0
cg00261552	0.0329349185875204	CREBL2	12	12764894
cg00261781	0.0114303929408183	MATN3	2	20212517
cg00262415	0.0201277829658117	PUSL1;ACAP3	1	1242732
cg00263723	0.0126619717290661	NA	NA	0
cg00263760	0.65690275148965	VAX1	10	118897366
cg00265415	0.0104066781867107	B3GALNT2	1	235667507
cg00265490	0.0258533030462093	MTDH	8	98655845
cg00268009	0.0142707448355534	ADH5	4	100010211
cg00268338	0.0109300572951384	HECTD2;LOC100188947	10	93169495
cg00269115	0.0159255056573516	C1orf213;ZNF436	1	23695530
cg00269932	0.701115652406861	NA	NA	0
cg00273068	0.450608832787293	EMILIN3	20	39995747
cg00273124	0.657116775598379	NHP2	5	177581512
cg00274399	0.0260796247899531	FGF9	13	22245420
cg00275232	0.016300770989593	ZNF296	19	45579541
cg00276797	0.0167851356014608	SLK	10	105726614
cg00278366	0.659645390237332	RAD9B;VPS29	12	110940287
cg00279797	0.221928771287267	AMMECR1	X	109561918
cg00280814	0.88851157794353	ZDHHC8P	22	23745389
cg00280894	0.209942380188341	NA	NA	0
cg00282347	0.390038664139079	CHD5	1	6241040
cg00282683	0.0133043085686056	UBE3C	7	156931995
cg00283535	0.914483505379934	ANXA13	8	124749564
cg00288562	0.0109564161787638	TRA2A	7	23571645
cg00290028	0.0118018991675574	RFXAP	13	37393125
cg00290506	0.474244373930454	CNIH3	1	224804226
cg00291877	0.0356841220619585	SNRPA1	15	101835933
cg00292662	0.011920732025749	LGALS1	22	38071168
cg00292971	0.862268171963133	FAM131B	7	143060536
cg00293409	0.0227408257954521	LRRC33	3	196366669
cg00294382	0.560021528803621	IL23A	12	56732721
cg00295206	0.0133039221602597	RAB7A	3	128444813
cg00295325	0.825930139988091	ABCB11	2	169887932
cg00296685	0.0298365292895289	NA	NA	0
cg00297584	0.188150599431615	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.86233618055399	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0133356737147271	PPP3CA	4	102268125
cg00303548	0.0138502007385677	HS6ST3	13	96742413
cg00304278	0.0364968576331502	NA	NA	0
cg00307685	0.916891042969108	BRDT	1	92415524
cg00308133	0.0114198392754225	GAMT	19	1401118
cg00308665	0.515678586311089	HTR2A	13	47469654
cg00309056	0.0147168907513266	STARD3NL	7	38218112
cg00309204	0.0236540179850938	C17orf61	17	7307432
cg00311768	0.311292099890328	TSTA3	8	144698857
cg00312919	0.0107194672712871	STARD3NL	7	38217710
cg00314943	0.915986988377823	ALPPL2	2	233270750
cg00315936	0.0618020336802721	SND1	7	127292739
cg00317680	0.0681839490043098	MTERFD1;PTDSS1	8	97274070
cg00318573	0.183287515716529	CHRNA4	20	61993118
cg00318865	0.0121382892070417	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.00985394199444715	PKMYT1	16	3030447
cg00320243	0.0181994859004092	RAB3A	19	18314691
cg00321065	0.0180849206421158	RLF	1	40627063
cg00321478	0.533923649536781	CRB1	1	197238398
cg00323915	0.670858885470258	GIMAP4	7	150264987
cg00324733	0.016344915188528	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.0580768849495688	DLAT	11	111896498
cg00327483	0.967741909058022	CASQ1	1	160160587
cg00328227	0.595435803445935	C1orf59	1	109204325
cg00331237	0.172452646742677	CSRP2	12	77273319
cg00331433	0.0135601476339232	SYAP1	X	16737800
cg00332153	0.724986880532477	BANK1	4	102712010
cg00332745	0.0210832081455784	NOL3	16	67208247
cg00333226	0.509707812138623	VWC2	7	49813763
cg00333528	0.609822355136703	GABRR1	6	89927485
cg00334507	0.833897487061355	PRRT2	16	29824599
cg00335286	0.828777000165329	MC2R	18	13916355
cg00336605	0.0210748080896636	NR1H2	19	50879437
cg00338702	0.0241457475658323	CHFR	12	133463694
cg00338893	0.0297586212716972	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.232192715905777	GARNL3	9	130027020
cg00343092	0.0177230585866508	TSPO	22	43547974
cg00344358	0.891321618734477	GDF11	12	56135693
cg00344372	0.882921190892648	HGFAC	4	3443625
cg00344709	0.753202184240387	POTED	21	14982225
cg00346145	0.0412924956463733	RPL34;LOC285456	4	109541559
cg00347729	0.277159739519965	MMP10	11	102651753
cg00347904	0.81870279474809	SCUBE3	6	35182508
cg00350296	0.625226371229762	CD248	11	66084841
cg00350478	0.665903699584297	FRMD1	6	168480013
cg00350702	0.0299342599429704	ERGIC3	20	34129927
cg00351011	0.0118632281343286	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.776276444255562	ZIM2	19	57306738
cg00354572	0.0305503148232962	ACSS3	12	81471419
cg00355802	0.0285510827066831	DUSP4	8	29208983
cg00359325	0.024115027861434	USP4	3	49377419
cg00359973	0.0340578661702539	RIBC1;SMC1A	X	53449900
cg00363813	0.683203495458526	IFFO1	12	6664872
cg00364344	0.0129130413307762	NA	NA	0
cg00364814	0.921265492436438	R3HDM2	12	57691455
cg00365193	0.277816454042232	NA	NA	0
cg00367281	0.865854381786539	CHRNB3	8	42552470
cg00367438	0.041986328450981	TMUB1	7	150780797
cg00368022	0.0216234134870344	C5orf22;RNASEN	5	31532653
cg00368415	0.0110794803432877	SNX27	1	151584398
cg00371195	0.966227163635688	F2	11	46740481
cg00374717	0.945411096805479	ARSG	17	66303145
cg00375964	0.0251167116482364	ABCE1;ANAPC10	4	146019130
cg00376639	0.0609080775365649	ZNF581	19	56155151
cg00380464	0.0219900887852327	LTV1	6	144164650
cg00381076	0.0235019883392227	C18orf54	18	51884797
cg00382515	0.0145680298957075	MRPL44	2	224822229
cg00382991	0.0275207947088362	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.167694464413942	TGFBI	5	135364970
cg00387170	0.0198534991258866	FOXP4	6	41514002
cg00392257	0.221683897979704	ISG20L2	1	156696747
cg00393585	0.035972864804188	C4orf39;TRIM61	4	165878091
cg00394658	0.507874229863213	PTPRJ	11	48001669
cg00396163	0.0191382773241357	DNAH6	2	84743584
cg00396894	0.809596022498667	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0253093637187663	PPOX	1	161136321
cg00398048	0.0677082636758671	AGA	4	178364342
cg00399483	0.599091432873335	DCC	18	49868378
cg00400028	0.153235045148163	NA	NA	0
cg00400263	0.992429770045949	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0216413102047293	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.153684522467639	TSC22D3	X	107018431
cg00405070	0.0193287817436834	ERP29;TMEM116	12	112450647
cg00405568	0.024469856177918	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.805697088483573	RFPL3	22	32753939
cg00407150	0.723016561531961	HHATL	3	42743794
cg00410419	0.0200588335065283	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.111561864431887	STC1	8	23712355
cg00410921	0.265162374877603	NA	NA	0
cg00411097	0.24537183730891	TMEM184A	7	1596050
cg00412772	0.455942120700596	YIF1B;C19orf33	19	38794845
cg00412805	0.970083686731274	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.551283859641014	NA	NA	0
cg00415494	0.691808852498913	NA	NA	0
cg00415978	0.0361111543443066	SYNPO2	4	119809925
cg00415993	0.775000697587426	F2RL2;IQGAP2	5	75919188
cg00417297	0.0177103537165476	ZNF619	3	40518742
cg00418150	0.682261354976681	ALX4	11	44327869
cg00419564	0.0224373449481887	S100A6	1	153508860
cg00420568	0.35444989140509	SHC3	9	91794904
cg00420715	0.0133408502095201	VPS13B	8	100025364
cg00420929	0.170138770861584	PGPEP1	19	18451112
cg00422913	0.0237146631926853	C17orf91;WDR81	17	1619022
cg00424946	0.0182639577020139	SNTB2	16	69221172
cg00425710	0.894837942838723	MT1A	16	56672671
cg00425792	0.041483816275242	PEX12	17	33905503
cg00426056	0.015909639364702	CUTA	6	33385896
cg00426498	0.30784075840387	MYO18A	17	27507667
cg00426963	0.0229549087146133	KIF27	9	86535755
cg00427635	0.639170965679265	TBC1D21	15	74166372
cg00429618	0.108496443217103	ZNF322B	9	99962350
cg00430287	0.484493682390486	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.678037586025398	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.0857538158239802	MGP	12	15039025
cg00432979	0.0330814432415383	MRP63;SKA3	13	21750473
cg00433406	0.929659701403172	VWA5B1	1	20616975
cg00434413	0.959777795403765	RENBP;NAA10	X	153201653
cg00435408	0.0333673241696097	FAM192A;RSPRY1	16	57220662
cg00436282	0.923083328648275	STATH	4	70861449
cg00436301	0.0194162539011041	NT5DC1	6	116421736
cg00436603	0.5349362958462	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.00991288870650043	STOML1	15	74284481
cg00443307	0.786294249667953	KLRG1	12	9141740
cg00445824	0.0926259245387167	ISYNA1	19	18548929
cg00446235	0.0874279785596666	TSTD1	1	161008644
cg00447208	0.754974765211588	TMC8;TMC6	17	76126301
cg00448720	0.80354950151494	C1QTNF9	13	24883014
cg00449941	0.0218298865514334	SPAG5	17	26926011
cg00451635	0.10004776714753	EMP2	16	10675030
cg00453193	0.0156317293512704	TES	7	115851050
cg00453258	0.778686535178783	CALHM1	10	105219172
cg00459975	0.0158221807937324	INTS9;HMBOX1	8	28749099
cg00461841	0.650698599983098	ATF7IP2	16	10523485
cg00462311	0.0500906523488246	NFATC4	14	24837184
cg00462994	0.675202487867336	NAGS;PYY	17	42081955
cg00463202	0.856846733228625	ADPRHL1	13	114107710
cg00463577	0.0219701356633573	C6orf150	6	74161911
cg00463848	0.916681636475027	KRT2	12	53046105
cg00464269	0.0128564335012059	TNFAIP1;IFT20	17	26662842
cg00465284	0.297824460085388	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0122485306153277	NA	NA	0
cg00466249	0.15706581278627	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0177264948343603	C14orf101	14	57046243
cg00468146	0.139526698648076	ID4	6	19838211
cg00469635	0.00801277576819978	PPME1;C2CD3	11	73882471
cg00471562	0.0127568651456355	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0390121646961207	ADAMTS1	21	28217676
cg00474004	0.903964725110513	IFNA14	9	21239944
cg00474209	0.029644620686724	DLL1	6	170600060
cg00475955	0.0125012276638673	C9orf114	9	131592049
cg00476577	0.0261283394810027	NA	NA	0
cg00476580	0.00982220413235334	ANP32E	1	150207583
cg00479269	0.0327481646998792	C2orf29	2	101869975
cg00480115	0.223999797128576	FXYD3	19	35606877
cg00480209	0.0126686877309381	SCO1;C17orf48	17	10600689
cg00480356	0.068248052939524	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0171111401871139	DDX41	5	176943504
cg00485296	0.00789313751271619	NME3	16	1821559
cg00485380	0.0159455643045916	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0142227589470261	SOCS1	16	11349568
cg00488300	0.947797621520289	NA	NA	0
cg00488364	0.206967543600426	IL13RA2	X	114253315
cg00488718	0.017918717310857	MFSD8;C4orf29	4	128887044
cg00489401	0.793951629612747	FLT4	5	180075875
cg00491404	0.866963755115398	EPS8L3	1	110306591
cg00491839	0.0398055236015409	PPP1R15A	19	49375640
cg00493400	0.0126715488402968	STAT1	2	191879127
cg00495415	0.0152602888770739	SP1	12	53773795
cg00495442	0.0263851786773879	RALGAPB	20	37101172
cg00495491	0.705250921275756	NA	NA	0
cg00496170	0.0105239542626016	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.531823910997648	PPEF1	X	18709116
cg00497251	0.0420784395065047	RNPEPL1	2	241508725
cg00498305	0.80867321554566	SLC18A2	10	119000236
cg00498604	0.0870620980004684	TLL1	4	166793789
cg00499599	0.0235501081431153	C21orf57;MCM3AP	21	47706392
cg00499822	0.750993308485651	CXCL12	10	44881551
cg00500400	0.0281089486938214	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0156043072834687	ZDHHC14	6	157801893
