Hybridization REF	TCGA-A2-A0EM-01A-11D-A032-05	TCGA-A2-A0EM-01A-11D-A032-05	TCGA-A2-A0EM-01A-11D-A032-05	TCGA-A2-A0EM-01A-11D-A032-05
cg00055233	0.296068622584723	RLN1	9	5339677
cg00056767	0.0172760427255636	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.201316816030211	GLRA1	5	151304357
cg00059424	0.0218210610139774	PES1	22	30988148
cg00059740	0.0102400285062112	C7orf49	7	134855689
cg00059930	0.902059292655037	RB1	13	48894382
cg00060762	0.0295884441387069	LEO1	15	52264133
cg00060882	0.0545941619541699	EIF2S3	X	24072811
cg00061059	0.0539849370904493	TECR	19	14640983
cg00061629	0.389990488761073	ALX4	11	44325258
cg00062776	0.98892898050141	TULP2	19	49402424
cg00063144	0.907496112558934	KRT31	17	39554055
cg00065385	0.973156866132357	ACTL7A	9	111623395
cg00065408	0.0263729463804323	CACNB3	12	49212475
cg00066153	0.950001605248969	ACRV1	11	125550744
cg00066816	0.105313243191382	IL12B	5	158758353
cg00067471	0.0286291517873113	ATP5D	19	1241377
cg00069261	0.0164982116753307	CDR2	16	22386531
cg00071250	0.87149579452303	FASLG	1	172628263
cg00071998	0.0417620851742686	MSH5	6	31708121
cg00072216	0.0132212435821211	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.19989117030806	STRA6	15	74495354
cg00076645	0.0211527624158721	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.892886432292943	ASAP1	8	131414474
cg00078194	0.0235779653919183	MDK	11	46402949
cg00078867	0.257395011759107	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0158490503456881	ARFGAP3	22	43253521
cg00080012	0.0108916093666951	EED	11	85955689
cg00081935	0.0271965105222713	TSPAN9	12	3186906
cg00081975	0.0153207755868002	ABCC3	17	48712370
cg00083720	0.015143581833874	NA	NA	0
cg00083937	0.838756498429522	MAPK8IP2	22	51039805
cg00084687	0.0145960429766619	GATAD1	7	92076896
cg00089071	0.0119244482165274	PCGF2	17	36905809
cg00090147	0.1838658514432	GATA4	8	11562367
cg00091693	0.393617888013153	KRT20	17	39041602
cg00093177	0.911638940642408		17	37185495
cg00094319	0.825582003278845	PABPC3	13	25670530
cg00094851	0.0906632593472346	KIF3C	2	26205706
cg00095526	0.807341031763331	CACNA1S	1	201081686
cg00095674	0.0844004234484446	PLEKHO1	1	150122654
cg00096922	0.0222800215347184	DLX5	7	96654185
cg00097536	0.0136637769230464	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0129242506298143	PNPLA6	19	7599173
cg00099550	0.0244809626717022	NA	NA	0
cg00101227	0.835836992095632	MPZ	1	161280266
cg00103783	0.0125500462370919	MPDU1	17	7487249
cg00105253	0.0551765414477882	NUDT14	14	105647194
cg00105470	0.0188735181316212	C1orf35	1	228290868
cg00107187	0.709870923861813	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0136781326733871	PGM2	4	37828500
cg00108454	0.214711965802975	C1QA	1	22963614
cg00109274	0.0162742867946196	DGKH	13	42623032
cg00112517	0.0691201572027376	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.0999551977431109	CABP1	12	121078090
cg00115714	0.0267038330874854	AMD1	6	111196112
cg00116234	0.0301839106305582	ADAMTSL1	9	18474243
cg00116838	0.0797668821968613	RTN2;FLJ40125	19	46001746
cg00117172	0.0434338730707088	RUNX3	1	25255838
cg00119079	0.421802327236486	LAMP3	3	182880278
cg00121158	0.0157416188612528	KDM4C	9	6757826
cg00121640	0.113901417764637	ASTN2	9	120176515
cg00121904	0.0728823242541742	MAOB	X	43741826
cg00123035	0.0278961890539392	RFX5	1	151319538
cg00126034	0.0372019435935646	WNT3	17	44896162
cg00126657	0.324940225266544	SSX6	X	47967250
cg00126698	0.531243422666227	BTK	X	100640503
cg00128197	0.500109777527595	HSD17B10	X	53461455
cg00128560	0.956347097375484	TIGD7	16	3352013
cg00128654	0.0164702334311197	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0517324760211352	MKNK1	1	47070178
cg00129774	0.0201900918014395	CDK2;SILV	12	56360414
cg00131121	0.0268125300067755	POLR2J	7	102119710
cg00131557	0.953104958995143	DNAJC15	13	43596656
cg00132141	0.772600135010592	CTNNA3	10	69456307
cg00133909	0.0376719216740599	CD276	15	73977201
cg00134539	0.926370373195195	UBASH3A	21	43824071
cg00134787	0.194566338176768	MYH1	17	10419499
cg00135056	0.0522346762625913	C3orf37	3	128997295
cg00135393	0.288202732379029	NA	NA	0
cg00136105	0.0145953708146024	GNPTAB	12	102224911
cg00136405	0.109428258764501	IL21	4	123542198
cg00136477	0.817885983926242	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.701923580505357	PMEPA1	20	56286697
cg00141162	0.799886963007811	HCLS1	3	121379777
cg00141550	0.622126478571103	NA	NA	0
cg00141845	0.267859257218512	UPRT	X	74493352
cg00143376	0.725581385347156	NMUR1	2	232394702
cg00143998	0.0429245968646132	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.191541385812097	GNPDA1	5	141393931
cg00145348	0.55812828630155	APEX2	X	55026862
cg00146096	0.0145815808978476	FANCF	11	22647309
cg00149659	0.0167870901572087	C3orf10	3	10157352
cg00149976	0.0143717904885232	MGLL	3	127541529
cg00151234	0.512709097878588	PGK1	X	77359363
cg00151607	0.0147245546947328	TRAPPC2L;GALNS	16	88923507
cg00152644	0.562103260112158	SPRR2E	1	153068236
cg00155167	0.0198232455376173	VPS13B	8	100025831
cg00155485	0.0271908656595759	MED13L	12	116714600
cg00155609	0.0199987565005243	PRDX2	19	12912527
cg00156216	0.0156568742562503	APLP2	11	129939849
cg00156744	0.0195719990982936	STK10	5	171615663
cg00158308	0.059973440687937	OXGR1	13	97646341
cg00160914	0.446797431690524	DDX20;C1orf183	1	112299263
cg00162401	0.0282886267709182	GSTA4	6	52859823
cg00162643	0.0185118544185732	DDX58	9	32526492
cg00164041	0.0227253210555349	NA	NA	0
cg00164898	0.0226722532057073	MAPK11	22	50709127
cg00165981	0.0332861641771287	COL4A3BP;POLK	5	74808039
cg00167504	0.0216800722959692	BLVRA	7	43798622
cg00168082	0.0275999992949468	ABL1	9	133589177
cg00168785	0.0274394728876424	WDSUB1	2	160142643
cg00168942	0.558625901425496	GJD4	10	35894430
cg00169548	0.14476587751567	NA	NA	0
cg00171126	0.0279858610388352	WRB	21	40752522
cg00171161	0.0695136135776995	NUDT9	4	88343636
cg00174500	0.820686225107837	CMTM5	14	23846479
cg00174901	0.107493828269701	PALM	19	709889
cg00176210	0.629901911115215	ANK1	8	41654967
cg00176879	0.992186282771192	VPS16;PTPRA	20	2843525
cg00177013	0.107629656257605	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0498900653879437	PNPO	17	46018875
cg00177923	0.0162992695424649	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.113651403268513	UPF3B	X	118986947
cg00180012	0.0267337091472003	LACE1	6	108615929
cg00180631	0.53264204374431	MTM1	X	149736640
cg00182461	0.0490335635136403	NA	NA	0
cg00183782	0.838495707060002	NA	NA	0
cg00183916	0.0167585565191196	HS3ST3B1	17	14204936
cg00184884	0.00949667009921931	SFI1	22	31892343
cg00184893	0.0147859265800343	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0317596530605971	LRDD	11	804954
cg00186141	0.0158781646809921	PODXL	7	131241768
cg00186701	0.0588124795466462	TSPYL5	8	98290510
cg00186954	0.897409941622232	ST5;C11orf17	11	8933980
cg00187380	0.0185737566124146	HOXC4;HOXC5	12	54427384
cg00187686	0.25070172057921	TCN1	11	59634218
cg00188348	0.593953343194793	NA	NA	0
cg00191052	0.4792430103284	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.022708964038289	FAM53C	5	137673669
cg00197641	0.0302684474829743	MRPL52	14	23299461
cg00199549	0.980288527799498	MCM5	22	35795374
cg00200063	0.0188949964818335	USP32	17	58469941
cg00201234	0.573178298242326	FBLN2	3	13590968
cg00202702	0.0911864149506057	C11orf70	11	101918157
cg00202711	0.516193639111171	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.019670738896389	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0289950813603424	KIAA0174	16	71929512
cg00208830	0.924953451689381	LAMC2	1	183154778
cg00208967	0.667677101188575	OLFM2	19	10047924
cg00209066	0.926112208225255	BRD1	22	50218923
cg00209951	0.0579144010645084	DENND2C	1	115212834
cg00210842	0.0455658359955304	APAF1;IKBIP	12	99039578
cg00211661	0.0179012584019944	ARAP1	11	72433619
cg00212549	0.0500108764362085	NA	NA	0
cg00213044	0.54702088565115	KRT6A	12	52886438
cg00213331	0.966381596083827	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0153302365026286	NA	NA	0
cg00214794	0.664942879401546	NA	NA	0
cg00214855	0.179044645312654	CCDC90A	6	13813947
cg00215066	0.965834673112741	MYO9B	19	17212316
cg00216361	0.0302635724311782	GAP43	3	115342527
cg00216758	0.0328337664107987	RASSF7;C11orf35	11	560589
cg00217795	0.168726235183566	DIO2	14	80677688
cg00221494	0.173013760058963	FARP1	13	98794593
cg00223186	0.0152502061003443	ACBD6	1	180472200
cg00223950	0.0267176111964715	UBR4	1	19536222
cg00224234	0.0109989384220792	GLOD4;RNMTL1	17	685693
cg00224508	0.0188703903177967	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.938669400849752	FGD2	6	36972027
cg00228799	0.014648194211702	ENDOG	9	131580591
cg00229387	0.0492220414047268	TJAP1	6	43445942
cg00230271	0.0298804998005441	TBCK;AIMP1	4	107237183
cg00230368	0.0204537894918432	IGF2R	6	160389833
cg00230502	0.262044945587869	CCDC60	12	119772381
cg00230685	0.533075437146204	SCML1	X	17755839
cg00231140	0.0571803697075694	ACAA2;SCARNA17	18	47339702
cg00231644	0.406490867275245	TUBB2A	6	3158512
cg00231920	0.0186540035795979	VPS16;FAM113A	20	2821308
cg00233307	0.0166080617102115	MAP4K1;EIF3K	19	39109076
cg00234616	0.577909277108813	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0502522353779181	RARA	17	38465489
cg00237010	0.14736121135837	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.922810936355184	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.03123321048078	TTC21A;GORASP1	3	39148342
cg00240312	0.0178304705335499	NA	NA	0
cg00240432	0.0237135019423727	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0135946499852294	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.0120454345392876	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0637410733214397	CR2	1	207628182
cg00250430	0.121533604967852	DMRT2	9	1051579
cg00253200	0.0174992043939597	C3orf59	3	192636074
cg00256074	0.947225307101119	MYLPF	16	30386150
cg00256166	0.0254718182540358	KLHL25	15	86338428
cg00256281	0.0145789581608441	PMM1	22	41985642
cg00259755	0.0465260532127086	PWWP2B	10	134209763
cg00260778	0.253693012653422	NA	NA	0
cg00261552	0.0293980174381554	CREBL2	12	12764894
cg00261781	0.0115425594052208	MATN3	2	20212517
cg00262415	0.0183965771644854	PUSL1;ACAP3	1	1242732
cg00263723	0.0215057336378145	NA	NA	0
cg00263760	0.0266875550548061	VAX1	10	118897366
cg00265415	0.00867457371750665	B3GALNT2	1	235667507
cg00265490	0.0438113967286774	MTDH	8	98655845
cg00268009	0.011188768875201	ADH5	4	100010211
cg00268338	0.0105067637699163	HECTD2;LOC100188947	10	93169495
cg00269115	0.0176399656040333	C1orf213;ZNF436	1	23695530
cg00269932	0.809670475953601	NA	NA	0
cg00273068	0.345049476290232	EMILIN3	20	39995747
cg00273124	0.896119214905213	NHP2	5	177581512
cg00274399	0.0332114500734564	FGF9	13	22245420
cg00275232	0.0232852317034845	ZNF296	19	45579541
cg00276797	0.0205069060554736	SLK	10	105726614
cg00278366	0.730547455451308	RAD9B;VPS29	12	110940287
cg00279797	0.120408403498321	AMMECR1	X	109561918
cg00280814	0.925941496193676	ZDHHC8P	22	23745389
cg00280894	0.250182092696765	NA	NA	0
cg00282347	0.0447432375293219	CHD5	1	6241040
cg00282683	0.0138443657154471	UBE3C	7	156931995
cg00283535	0.772789825721737	ANXA13	8	124749564
cg00288562	0.0195517512065991	TRA2A	7	23571645
cg00290028	0.0141095240859399	RFXAP	13	37393125
cg00290506	0.0322538243773751	CNIH3	1	224804226
cg00291877	0.0349695551864812	SNRPA1	15	101835933
cg00292662	0.0177728652516313	LGALS1	22	38071168
cg00292971	0.928280467256745	FAM131B	7	143060536
cg00293409	0.0285738898195043	LRRC33	3	196366669
cg00294382	0.609603884294436	IL23A	12	56732721
cg00295206	0.0210002969310077	RAB7A	3	128444813
cg00295325	0.806841038869078	ABCB11	2	169887932
cg00296685	0.028025922115198	NA	NA	0
cg00297584	0.426440559273153	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.882284183540546	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0145938573537166	PPP3CA	4	102268125
cg00303548	0.0181840078511668	HS6ST3	13	96742413
cg00304278	0.0423091809944801	NA	NA	0
cg00307685	0.854149237015896	BRDT	1	92415524
cg00308133	0.0122757929325413	GAMT	19	1401118
cg00308665	0.0749421489965847	HTR2A	13	47469654
cg00309056	0.0167872598365571	STARD3NL	7	38218112
cg00309204	0.0357799911013212	C17orf61	17	7307432
cg00311768	0.20112588715628	TSTA3	8	144698857
cg00312919	0.0141269341063671	STARD3NL	7	38217710
cg00314943	0.935405688603474	ALPPL2	2	233270750
cg00315936	0.0645340420209609	SND1	7	127292739
cg00317680	0.0757114363708533	MTERFD1;PTDSS1	8	97274070
cg00318573	0.102575217477401	CHRNA4	20	61993118
cg00318865	0.0155606861662572	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.0126592730796776	PKMYT1	16	3030447
cg00320243	0.0114846833737782	RAB3A	19	18314691
cg00321065	0.0244580933751935	RLF	1	40627063
cg00321478	0.339305425175241	CRB1	1	197238398
cg00323915	0.784454288091588	GIMAP4	7	150264987
cg00324733	0.0277995149436855	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.112476185070872	DLAT	11	111896498
cg00327483	0.978218679379432	CASQ1	1	160160587
cg00328227	0.686267013525082	C1orf59	1	109204325
cg00331237	0.0284530461148504	CSRP2	12	77273319
cg00331433	0.012085509830686	SYAP1	X	16737800
cg00332153	0.834463741510966	BANK1	4	102712010
cg00332745	0.0211618162889442	NOL3	16	67208247
cg00333226	0.248052410465766	VWC2	7	49813763
cg00333528	0.472035380268214	GABRR1	6	89927485
cg00334507	0.809422790028227	PRRT2	16	29824599
cg00335286	0.0962684444558391	MC2R	18	13916355
cg00336605	0.0227569216107702	NR1H2	19	50879437
cg00338702	0.0238582802897365	CHFR	12	133463694
cg00338893	0.0192267559630857	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.103209880050687	GARNL3	9	130027020
cg00343092	0.0109662430334443	TSPO	22	43547974
cg00344358	0.940597311636438	GDF11	12	56135693
cg00344372	0.887669613049999	HGFAC	4	3443625
cg00344709	0.94648986647593	POTED	21	14982225
cg00346145	0.0424016301380859	RPL34;LOC285456	4	109541559
cg00347729	0.259135708663818	MMP10	11	102651753
cg00347904	0.0983859357774108	SCUBE3	6	35182508
cg00350296	0.661826512208839	CD248	11	66084841
cg00350478	0.732747865116029	FRMD1	6	168480013
cg00350702	0.0157483857270784	ERGIC3	20	34129927
cg00351011	0.0158167492840515	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.68008463185257	ZIM2	19	57306738
cg00354572	0.0385791511608755	ACSS3	12	81471419
cg00355802	0.0237008505980694	DUSP4	8	29208983
cg00359325	0.0310319410199578	USP4	3	49377419
cg00359973	0.0430506366131154	RIBC1;SMC1A	X	53449900
cg00363813	0.717487941613212	IFFO1	12	6664872
cg00364344	0.0175820803366828	NA	NA	0
cg00364814	0.890665541193981	R3HDM2	12	57691455
cg00365193	0.329614385430851	NA	NA	0
cg00367281	0.464599220139178	CHRNB3	8	42552470
cg00367438	0.0442070934514938	TMUB1	7	150780797
cg00368022	0.0167511953269186	C5orf22;RNASEN	5	31532653
cg00368415	0.0134689199936107	SNX27	1	151584398
cg00371195	0.964372601905622	F2	11	46740481
cg00374717	0.947771124480587	ARSG	17	66303145
cg00375964	0.0321923293581154	ABCE1;ANAPC10	4	146019130
cg00376639	0.0835518350401085	ZNF581	19	56155151
cg00380464	0.0220306207458437	LTV1	6	144164650
cg00381076	0.0437996727981494	C18orf54	18	51884797
cg00382515	0.0125574397318787	MRPL44	2	224822229
cg00382991	0.0480675567591599	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.0934949301237024	TGFBI	5	135364970
cg00387170	0.0255971648853703	FOXP4	6	41514002
cg00392257	0.214991799115641	ISG20L2	1	156696747
cg00393585	0.0422368531357104	C4orf39;TRIM61	4	165878091
cg00394658	0.155192579228509	PTPRJ	11	48001669
cg00396163	0.0177043823650921	DNAH6	2	84743584
cg00396894	0.832833721712118	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0201745668184001	PPOX	1	161136321
cg00398048	0.0693049200409629	AGA	4	178364342
cg00399483	0.0608777446626639	DCC	18	49868378
cg00400028	0.0477655134165672	NA	NA	0
cg00400263	0.991004229558704	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.018220033073135	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.475796004845181	TSC22D3	X	107018431
cg00405070	0.0226283704719856	ERP29;TMEM116	12	112450647
cg00405568	0.0269793736218339	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.755393124224112	RFPL3	22	32753939
cg00407150	0.762749719064726	HHATL	3	42743794
cg00410419	0.0202095994784805	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.0759076696225857	STC1	8	23712355
cg00410921	0.206435412505964	NA	NA	0
cg00411097	0.29735823983526	TMEM184A	7	1596050
cg00412772	0.902266804121547	YIF1B;C19orf33	19	38794845
cg00412805	0.982354035799788	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.0468352881993453	NA	NA	0
cg00415494	0.643917599911201	NA	NA	0
cg00415978	0.111840344724693	SYNPO2	4	119809925
cg00415993	0.88900326718735	F2RL2;IQGAP2	5	75919188
cg00417297	0.0154702723683587	ZNF619	3	40518742
cg00418150	0.73824708171951	ALX4	11	44327869
cg00419564	0.0154199349738817	S100A6	1	153508860
cg00420568	0.0907852159264046	SHC3	9	91794904
cg00420715	0.014106173065434	VPS13B	8	100025364
cg00420929	0.0984148325876984	PGPEP1	19	18451112
cg00422913	0.0178071842118446	C17orf91;WDR81	17	1619022
cg00424946	0.0176442883860482	SNTB2	16	69221172
cg00425710	0.918227874521978	MT1A	16	56672671
cg00425792	0.038589124646576	PEX12	17	33905503
cg00426056	0.0194079596682015	CUTA	6	33385896
cg00426498	0.193402490571486	MYO18A	17	27507667
cg00426963	0.0206642348302045	KIF27	9	86535755
cg00427635	0.325923085281125	TBC1D21	15	74166372
cg00429618	0.0936480533821011	ZNF322B	9	99962350
cg00430287	0.883507759532052	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.64884754178281	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.0977513517843596	MGP	12	15039025
cg00432979	0.0157129306810506	MRP63;SKA3	13	21750473
cg00433406	0.946879781370064	VWA5B1	1	20616975
cg00434413	0.938889210310574	RENBP;NAA10	X	153201653
cg00435408	0.0348040598047409	FAM192A;RSPRY1	16	57220662
cg00436282	0.933620872600867	STATH	4	70861449
cg00436301	0.0195763158173612	NT5DC1	6	116421736
cg00436603	0.28289040266803	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.0114244628805029	STOML1	15	74284481
cg00443307	0.858760130174943	KLRG1	12	9141740
cg00445824	0.115645204408425	ISYNA1	19	18548929
cg00446235	0.0797382575391516	TSTD1	1	161008644
cg00447208	0.776823496613454	TMC8;TMC6	17	76126301
cg00448720	0.737580252181725	C1QTNF9	13	24883014
cg00449941	0.0203015948682392	SPAG5	17	26926011
cg00451635	0.102822283449536	EMP2	16	10675030
cg00453193	0.018412221062083	TES	7	115851050
cg00453258	0.810325963259117	CALHM1	10	105219172
cg00459975	0.0127432118097288	INTS9;HMBOX1	8	28749099
cg00461841	0.822396858030838	ATF7IP2	16	10523485
cg00462311	0.056834649722088	NFATC4	14	24837184
cg00462994	0.0338429913886029	NAGS;PYY	17	42081955
cg00463202	0.860896061726601	ADPRHL1	13	114107710
cg00463577	0.0230830502155635	C6orf150	6	74161911
cg00463848	0.404555221782144	KRT2	12	53046105
cg00464269	0.0146050249533828	TNFAIP1;IFT20	17	26662842
cg00465284	0.357034971450813	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0179763251260124	NA	NA	0
cg00466249	0.130509316120151	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0139009558659743	C14orf101	14	57046243
cg00468146	0.0866866723040643	ID4	6	19838211
cg00469635	0.010659709135492	PPME1;C2CD3	11	73882471
cg00471562	0.0258588530041465	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0309037739647082	ADAMTS1	21	28217676
cg00474004	0.490818503798358	IFNA14	9	21239944
cg00474209	0.0574439860317762	DLL1	6	170600060
cg00475955	0.0146269438567829	C9orf114	9	131592049
cg00476577	0.0378121416162325	NA	NA	0
cg00476580	0.014458853712758	ANP32E	1	150207583
cg00479269	0.0277388428602384	C2orf29	2	101869975
cg00480115	0.251729748667974	FXYD3	19	35606877
cg00480209	0.0125677147399354	SCO1;C17orf48	17	10600689
cg00480356	0.0725678486614484	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0155899622914958	DDX41	5	176943504
cg00485296	0.0100763254351422	NME3	16	1821559
cg00485380	0.0166498576368704	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0205336328027434	SOCS1	16	11349568
cg00488300	0.960510663500932	NA	NA	0
cg00488364	0.915090128646112	IL13RA2	X	114253315
cg00488718	0.0209691774569254	MFSD8;C4orf29	4	128887044
cg00489401	0.491719988301635	FLT4	5	180075875
cg00491404	0.905084364976715	EPS8L3	1	110306591
cg00491839	0.0544286226252219	PPP1R15A	19	49375640
cg00493400	0.0173154615656282	STAT1	2	191879127
cg00495415	0.02028415201082	SP1	12	53773795
cg00495442	0.0222715688401835	RALGAPB	20	37101172
cg00495491	0.773959395450379	NA	NA	0
cg00496170	0.015914622721411	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.354951442640192	PPEF1	X	18709116
cg00497251	0.0300885830000327	RNPEPL1	2	241508725
cg00498305	0.151003785675466	SLC18A2	10	119000236
cg00498604	0.743174806866429	TLL1	4	166793789
cg00499599	0.0150409474906691	C21orf57;MCM3AP	21	47706392
cg00499822	0.627281315202107	CXCL12	10	44881551
cg00500400	0.0243687157821372	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
