"","seqnames","start","end","width","strand","probeID","Gene_Symbol","mean.Primary.Tumor","mean.Solid.Tissue.Normal","mean.Primary.Tumor.minus.mean.Solid.Tissue.Normal","p.value.Primary.Tumor.Solid.Tissue.Normal","p.value.adj.Primary.Tumor.Solid.Tissue.Normal","status"
"cg00333226","chr7",49813763,49813763,1,"*","cg00333226","VWC2",0.389093411144144,0.0729153333224272,0.316178077821716,3.58934445736485e-12,9.4911198685414e-11,"Hypermethylated in Primary Tumor"
"cg00347729","chr11",102651753,102651753,1,"*","cg00347729","MMP10",0.326070359235202,0.567435189268878,-0.241364830033676,1.03781842466655e-12,3.50539899389997e-11,"Hypomethylated in Primary Tumor"
"cg00347904","chr6",35182508,35182508,1,"*","cg00347904","SCUBE3",0.36383300610665,0.0546716974830448,0.309161308623605,1.18028804107952e-10,1.72666943360263e-09,"Hypermethylated in Primary Tumor"
"cg00350296","chr11",66084841,66084841,1,"*","cg00350296","CD248",0.466113836232236,0.127355749637461,0.338758086594776,1.6135234422249e-12,4.97959857943628e-11,"Hypermethylated in Primary Tumor"
"cg00386408","chr5",135364970,135364970,1,"*","cg00386408","TGFBI",0.306296890408567,0.0594144146960673,0.2468824757125,3.48723932060373e-12,9.26462436956148e-11,"Hypermethylated in Primary Tumor"
"cg00465284","chr2",80531898,80531898,1,"*","cg00465284","CTNNA2;LRRTM1",0.224749517270339,0.0203266335634011,0.204422883706938,2.22490669431757e-12,6.38534049888924e-11,"Hypermethylated in Primary Tumor"
"cg00489401","chr5",180075875,180075875,1,"*","cg00489401","FLT4",0.671777355850587,0.224973263436958,0.446804092413629,9.12895181095548e-14,5.3006741069334e-12,"Hypermethylated in Primary Tumor"
"cg00497084","chrX",18709116,18709116,1,"*","cg00497084","PPEF1",0.579401954246961,0.828373556924427,-0.248971602677466,3.06664877490255e-10,3.82974114466627e-09,"Hypomethylated in Primary Tumor"
"cg00499822","chr10",44881551,44881551,1,"*","cg00499822","CXCL12",0.631658921784241,0.375782840981604,0.255876080802637,3.04443901119638e-09,2.68762407849699e-08,"Hypermethylated in Primary Tumor"
"cg00510787","chr6",151772946,151772946,1,"*","cg00510787","C6orf211;RMND1",0.199776143808572,0.441945369333761,-0.242169225525188,5.11753462188479e-07,2.28167301595967e-06,"Hypomethylated in Primary Tumor"
"cg00516481","chr21",44073202,44073202,1,"*","cg00516481","PDE9A",0.528147247403571,0.222414755685067,0.305732491718504,3.74802073270015e-12,9.8185068705816e-11,"Hypermethylated in Primary Tumor"
"cg00518911","chrNA",0,0,1,"*","cg00518911",NA,0.683484831755369,0.909915943947695,-0.226431112192327,8.85153421652839e-14,5.16622317005617e-12,"Hypomethylated in Primary Tumor"
"cg00546491","chr7",32111062,32111062,1,"*","cg00546491","PDE1C",0.429412412497522,0.218816583683669,0.210595828813853,4.20554826584062e-12,1.07544604859391e-10,"Hypermethylated in Primary Tumor"
"cg00548268","chr7",98245830,98245830,1,"*","cg00548268","NPTX2",0.725380633880203,0.274868215731677,0.450512418148525,9.29430269917476e-17,7.75523501887808e-14,"Hypermethylated in Primary Tumor"
"cg00565688","chr1",3568212,3568212,1,"*","cg00565688","TP73",0.46538001704977,0.165967031426195,0.299412985623575,7.36884550680766e-08,4.17432035259919e-07,"Hypermethylated in Primary Tumor"
"cg00579393","chr2",79316004,79316004,1,"*","cg00579393","REG1B",0.577974934572106,0.841207038248895,-0.263232103676788,3.67783770678661e-07,1.70384548007805e-06,"Hypomethylated in Primary Tumor"
"cg00594952","chr1",41130641,41130641,1,"*","cg00594952","RIMS3",0.775142670415644,0.414447695764889,0.360694974650755,1.90526836396555e-13,9.31101756437742e-12,"Hypermethylated in Primary Tumor"
"cg00619207","chr1",111743368,111743368,1,"*","cg00619207","DENND2D",0.361924801446307,0.65048288045675,-0.288558079010443,2.42975743386216e-13,1.11942750976443e-11,"Hypomethylated in Primary Tumor"
"cg00627233","chrNA",0,0,1,"*","cg00627233",NA,0.326827755642829,0.706215981010242,-0.379388225367413,1.73874933051135e-13,8.66643443962172e-12,"Hypomethylated in Primary Tumor"
"cg00634577","chrNA",0,0,1,"*","cg00634577",NA,0.261339960764573,0.0495827502341343,0.211757210530439,3.75591051223691e-09,3.21982145853064e-08,"Hypermethylated in Primary Tumor"
"cg00666746","chr19",15217781,15217781,1,"*","cg00666746","SYDE1",0.286187397266483,0.0729917290758097,0.213195668190673,1.15560584992721e-11,2.46540191221687e-10,"Hypermethylated in Primary Tumor"
"cg00679738","chr1",231175246,231175246,1,"*","cg00679738","FAM89A",0.267157541483516,0.0206517159122085,0.246505825571308,1.29029897849892e-07,6.77128946811137e-07,"Hypermethylated in Primary Tumor"
"cg00695416","chr21",37442476,37442476,1,"*","cg00695416","CBR1",0.300027609024281,0.0470246548614713,0.25300295416281,0.0167839352114086,0.0273231647068304,"Hypermethylated in Primary Tumor"
"cg00744433","chr21",18884067,18884067,1,"*","cg00744433","CXADR",0.49456911473597,0.781554207292166,-0.286985092556196,2.8393359537131e-06,1.04813042276261e-05,"Hypomethylated in Primary Tumor"
"cg00777121","chr3",50378191,50378191,1,"*","cg00777121","RASSF1",0.528644660501961,0.187284897289734,0.341359763212228,2.30482390016936e-08,1.5376185267076e-07,"Hypermethylated in Primary Tumor"
"cg00792849","chr15",35046610,35046610,1,"*","cg00792849","GJD2",0.302165707486651,0.0374414278596581,0.264724279626992,2.35860040979483e-11,4.45032735613632e-10,"Hypermethylated in Primary Tumor"
"cg00807586","chr3",38080790,38080790,1,"*","cg00807586","DLEC1",0.307145122017723,0.101973033161629,0.205172088856094,0.0046723254699423,0.00855517071784218,"Hypermethylated in Primary Tumor"
"cg00830029","chr12",2943902,2943902,1,"*","cg00830029","NRIP2",0.494444334397805,0.255699534298244,0.238744800099561,9.10938540635448e-07,3.81956716582468e-06,"Hypermethylated in Primary Tumor"
"cg00839584","chr2",113542091,113542091,1,"*","cg00839584","IL1A",0.550377319854557,0.261227889332199,0.289149430522358,1.32333188857076e-08,9.49167275313932e-08,"Hypermethylated in Primary Tumor"
"cg00840403","chr16",71560205,71560205,1,"*","cg00840403","CHST4",0.322900332786461,0.0921413517966611,0.230758980989799,1.27268171415105e-05,4.01347233176217e-05,"Hypermethylated in Primary Tumor"
"cg00840516","chr3",50360097,50360097,1,"*","cg00840516","HYAL2",0.738756006080371,0.525755436851302,0.213000569229069,6.88540404683097e-15,8.03737138710129e-13,"Hypermethylated in Primary Tumor"
"cg00846036","chr11",84634126,84634126,1,"*","cg00846036","DLG2",0.430526988901415,0.201400050118855,0.22912693878256,1.18122269210119e-05,3.7608487889129e-05,"Hypermethylated in Primary Tumor"
"cg00848728","chr1",58716018,58716018,1,"*","cg00848728","DAB1",0.284522959168491,0.0215777560134427,0.262945203155049,1.80300632776396e-09,1.72337418575284e-08,"Hypermethylated in Primary Tumor"
"cg00862041","chrX",101967017,101967017,1,"*","cg00862041","GPRASP2",0.577435507139881,0.35222960207342,0.22520590506646,5.9559577439125e-15,7.49618838059244e-13,"Hypermethylated in Primary Tumor"
"cg00888007","chr12",4382184,4382184,1,"*","cg00888007","CCND2",0.258360576486546,0.0164916894414782,0.241868887045068,9.65435813576159e-08,5.24989221435127e-07,"Hypermethylated in Primary Tumor"
"cg00891541","chr16",68481487,68481487,1,"*","cg00891541","SMPD3",0.657285651570289,0.396726701088125,0.260558950482164,3.06664877490255e-10,3.82974114466627e-09,"Hypermethylated in Primary Tumor"
"cg00903242","chr3",238161,238161,1,"*","cg00903242","CHL1",0.382722958872749,0.118760604107515,0.263962354765235,1.26699437425355e-06,5.11910262868689e-06,"Hypermethylated in Primary Tumor"
"cg00910168","chr12",125474021,125474021,1,"*","cg00910168","DHX37",0.664980461985362,0.464062784867703,0.200917677117659,3.12078553758589e-09,2.73785737446544e-08,"Hypermethylated in Primary Tumor"
"cg00911351","chr5",140767255,140767255,1,"*","cg00911351","PCDHGA4;PCDHGA6;PCDHGA1;PCDHGA5;PCDHGB1;PCDHGA3;PCDHGA2;PCDHGA7;PCDHGB2;PCDHGB4;PCDHGB3",0.430060016459733,0.0756442407172905,0.354415775742443,1.52572968088396e-16,9.04556946858809e-14,"Hypermethylated in Primary Tumor"
"cg00925717","chr16",23313148,23313148,1,"*","cg00925717","SCNN1B",0.272597560214736,0.0493723704076755,0.22322518980706,9.04682731192833e-15,9.65952476352764e-13,"Hypermethylated in Primary Tumor"
"cg00930873","chr15",58357973,58357973,1,"*","cg00930873","ALDH1A2",0.335411178922603,0.0548791011071607,0.280532077815443,4.47828385398797e-10,5.31846372938824e-09,"Hypermethylated in Primary Tumor"
"cg00933411","chr8",13373090,13373090,1,"*","cg00933411","DLC1",0.180028583595833,0.391595923749582,-0.211567340153749,6.46241156956694e-12,1.51185535047532e-10,"Hypomethylated in Primary Tumor"
"cg00948500","chrNA",0,0,1,"*","cg00948500",NA,0.363618377709972,0.582008780415082,-0.218390402705109,5.39565633788805e-07,2.3928886148874e-06,"Hypomethylated in Primary Tumor"
"cg00949442","chrNA",0,0,1,"*","cg00949442",NA,0.695418529920264,0.125719770407803,0.569698759512461,7.12859565151373e-14,4.2941211613089e-12,"Hypermethylated in Primary Tumor"
"cg00953256","chr11",69468875,69468875,1,"*","cg00953256","CCND1",0.434574206131632,0.674295083600141,-0.239720877468509,4.78586995966947e-12,1.19139076598225e-10,"Hypomethylated in Primary Tumor"
"cg00955451","chr15",29213640,29213640,1,"*","cg00955451","APBA2",0.611803961659356,0.82061539455392,-0.208811432894563,8.99497066303334e-06,2.93607206704547e-05,"Hypomethylated in Primary Tumor"
"cg00986320","chr5",156695551,156695551,1,"*","cg00986320","CYFIP2",0.576422149560925,0.799988072944773,-0.223565923383848,7.89044875843116e-05,0.000209899539589911,"Hypomethylated in Primary Tumor"
"cg00995327","chr3",142838847,142838847,1,"*","cg00995327","CHST2",0.343656690105594,0.0332066846710041,0.310450005434589,2.42783390397609e-12,6.87144095762278e-11,"Hypermethylated in Primary Tumor"
"cg00995520","chr1",111218282,111218282,1,"*","cg00995520","KCNA3",0.650711194883665,0.293591312156376,0.35711988272729,1.68648743271769e-13,8.49997211894786e-12,"Hypermethylated in Primary Tumor"
"cg01009664","chr3",129693613,129693613,1,"*","cg01009664","TRH",0.687305050528182,0.197885752616008,0.489419297912174,2.20521903139442e-14,1.73105852119459e-12,"Hypermethylated in Primary Tumor"
"cg01031400","chr8",23021513,23021513,1,"*","cg01031400","TNFRSF10D",0.342905661905538,0.0349007164743193,0.308004945431219,9.94793954369261e-10,1.03950431345014e-08,"Hypermethylated in Primary Tumor"
"cg01072821","chr8",10382165,10382165,1,"*","cg01072821","T-SP1",0.42806048291603,0.747415640705354,-0.319355157789325,2.92854393200631e-14,2.14909336300228e-12,"Hypomethylated in Primary Tumor"
"cg01078434","chr6",29455532,29455532,1,"*","cg01078434","MAS1L",0.647814152085687,0.92425179437658,-0.276437642290893,4.89247139456929e-08,2.92522526667334e-07,"Hypomethylated in Primary Tumor"
"cg01103730","chr1",207038704,207038704,1,"*","cg01103730","IL20",0.261969780455187,0.559472534234999,-0.297502753779812,1.92305633089383e-12,5.66333804950421e-11,"Hypomethylated in Primary Tumor"
"cg01109219","chr2",33660754,33660754,1,"*","cg01109219","RASGRP3",0.37561869205475,0.813607701311517,-0.437989009256767,1.1325031758262e-13,6.2688363754763e-12,"Hypomethylated in Primary Tumor"
"cg01114088","chr4",5021111,5021111,1,"*","cg01114088","CYTL1",0.492587024753841,0.0733734800669204,0.41921354468692,3.12078553758589e-09,2.73785737446544e-08,"Hypermethylated in Primary Tumor"
"cg01120165","chr22",50690152,50690152,1,"*","cg01120165","HDAC10",0.246561064472019,0.0343445156749005,0.212216548797119,2.64847543233227e-06,9.85425318167031e-06,"Hypermethylated in Primary Tumor"
"cg01169778","chr9",136038690,136038690,1,"*","cg01169778","GBGT1",0.832169419054405,0.456681110904731,0.375488308149674,2.20963993000945e-15,3.98247823865463e-13,"Hypermethylated in Primary Tumor"
"cg01185080","chr15",90543813,90543813,1,"*","cg01185080","ZNF710",0.581300451843103,0.242613992253342,0.338686459589761,2.72279894555601e-09,2.44877993790145e-08,"Hypermethylated in Primary Tumor"
"cg01192900","chr11",111383668,111383668,1,"*","cg01192900","MIR34B;BTG4;MIR34C",0.41469263103767,0.163273200541031,0.251419430496639,4.31248246741191e-08,2.61875788432137e-07,"Hypermethylated in Primary Tumor"
"cg01204985","chr19",54849738,54849738,1,"*","cg01204985","LILRA4",0.56377950414036,0.795235413446912,-0.231455909306552,1.26177616167486e-08,9.11107536742721e-08,"Hypomethylated in Primary Tumor"
"cg01231779","chr14",52535887,52535887,1,"*","cg01231779","NID2",0.236030684160812,0.0235375113559483,0.212493172804863,2.08742899094756e-13,9.87976633131461e-12,"Hypermethylated in Primary Tumor"
"cg01240931","chr5",112074043,112074043,1,"*","cg01240931","APC",0.590923523630189,0.357017591983096,0.233905931647093,4.63481034001301e-11,7.80984608452903e-10,"Hypermethylated in Primary Tumor"
"cg01295203","chr8",70984199,70984199,1,"*","cg01295203","PRDM14",0.540651376624735,0.0655099787848039,0.475141397839931,2.60236492324436e-15,4.40817138013324e-13,"Hypermethylated in Primary Tumor"
"cg01305421","chr12",102874286,102874286,1,"*","cg01305421","IGF1",0.55747213628047,0.202854441247313,0.354617695033157,3.19028722509697e-13,1.35867638741417e-11,"Hypermethylated in Primary Tumor"
"cg01305625","chr5",131593812,131593812,1,"*","cg01305625","PDLIM4",0.578399263176186,0.327861403001819,0.250537860174367,3.78073736747675e-10,4.62914305173282e-09,"Hypermethylated in Primary Tumor"
"cg01321151","chrNA",0,0,1,"*","cg01321151",NA,0.498630853091259,0.295206505890315,0.203424347200944,7.22401599037301e-10,7.89281553089784e-09,"Hypermethylated in Primary Tumor"
"cg01324261","chr4",174320378,174320378,1,"*","cg01324261","SCRG1",0.686069293615612,0.366328691416793,0.319740602198819,7.00325654664596e-09,5.48405862841108e-08,"Hypermethylated in Primary Tumor"
"cg01335367","chr12",110172208,110172208,1,"*","cg01335367","MGC14436;C12orf34",0.682776329216591,0.197432916513604,0.485343412702988,1.09618172086844e-14,1.06447749954505e-12,"Hypermethylated in Primary Tumor"
"cg01344171","chr6",43612647,43612647,1,"*","cg01344171","RSPH9",0.754736553120691,0.426687473121343,0.328049079999348,1.96838303305465e-11,3.82950788874682e-10,"Hypermethylated in Primary Tumor"
"cg01381846","chr7",27204785,27204785,1,"*","cg01381846","HOXA9",0.565615956447416,0.255653219272127,0.309962737175288,6.11066708392208e-10,6.88680433885345e-09,"Hypermethylated in Primary Tumor"
"cg01402255","chr1",153800699,153800699,1,"*","cg01402255","GATAD2B",0.482178065027863,0.191267484916477,0.290910580111386,2.43764677993154e-15,4.19219422176165e-13,"Hypermethylated in Primary Tumor"
"cg01420388","chr1",11714254,11714254,1,"*","cg01420388","FBXO44;FBXO2",0.642326390977308,0.421728894577565,0.220597496399743,3.93313937466082e-08,2.4157496448128e-07,"Hypermethylated in Primary Tumor"
"cg01423840","chrNA",0,0,1,"*","cg01423840",NA,0.626506597660416,0.84575626466727,-0.219249667006854,3.31989889384169e-09,2.88557107173455e-08,"Hypomethylated in Primary Tumor"
"cg01424107","chr13",28543113,28543113,1,"*","cg01424107","CDX2",0.331597239329256,0.0178665494117815,0.313730689917475,2.8828519306286e-14,2.12247618121346e-12,"Hypermethylated in Primary Tumor"
"cg01446393","chr3",58563609,58563609,1,"*","cg01446393","FAM107A",0.7130549456536,0.488869111566725,0.224185834086874,4.63481034001301e-11,7.80984608452903e-10,"Hypermethylated in Primary Tumor"
"cg01464985","chr2",27805622,27805622,1,"*","cg01464985","ZNF512",0.305566656522272,0.102530529909432,0.203036126612839,1.45531731595957e-08,1.03103282425325e-07,"Hypermethylated in Primary Tumor"
"cg01469547","chr11",7847155,7847155,1,"*","cg01469547","OR5P3",0.679408593550717,0.931882465696154,-0.252473872145438,1.22613866574911e-05,3.88627996632833e-05,"Hypomethylated in Primary Tumor"
"cg01473816","chr11",34535281,34535281,1,"*","cg01473816","ELF5",0.471854231213946,0.723939201568466,-0.25208497035452,2.09148186374168e-05,6.27918375642808e-05,"Hypomethylated in Primary Tumor"
"cg01479232","chr20",748992,748992,1,"*","cg01479232","C20orf54",0.28993507310822,0.529001710272502,-0.239066637164282,4.64664663918331e-13,1.83335030007287e-11,"Hypomethylated in Primary Tumor"
"cg01484156","chr8",102802615,102802615,1,"*","cg01484156","NCALD",0.749579978013463,0.460210507668894,0.289369470344569,6.77417021548167e-10,7.48114121493071e-09,"Hypermethylated in Primary Tumor"
"cg01493517","chr12",6665447,6665447,1,"*","cg01493517","IFFO1",0.717653587308477,0.474813481151302,0.242840106157176,7.83049710296238e-15,8.82066346163198e-13,"Hypermethylated in Primary Tumor"
"cg01512854","chr5",140480967,140480967,1,"*","cg01512854","PCDHB3",0.490778579223245,0.283383253424609,0.207395325798636,1.50720470580841e-06,5.98129554644315e-06,"Hypermethylated in Primary Tumor"
"cg01525376","chr1",32716212,32716212,1,"*","cg01525376","LCK",0.59176502697677,0.387113561716444,0.204651465260326,1.09223056772349e-11,2.35472368040597e-10,"Hypermethylated in Primary Tumor"
"cg01546563","chr8",11567189,11567189,1,"*","cg01546563","GATA4",0.422766549763466,0.0868257945545991,0.335940755208866,7.49143947954582e-13,2.67048481067544e-11,"Hypermethylated in Primary Tumor"
"cg01550148","chr5",134735544,134735544,1,"*","cg01550148","H2AFY",0.65871270377583,0.259060466252846,0.399652237522985,9.04682731192833e-15,9.65952476352764e-13,"Hypermethylated in Primary Tumor"
"cg01561916","chr2",43020169,43020169,1,"*","cg01561916","HAAO",0.347648794636662,0.0197828969073465,0.327865897729316,5.29463243975346e-09,4.30468329971872e-08,"Hypermethylated in Primary Tumor"
"cg01566404","chr1",204121925,204121925,1,"*","cg01566404","ETNK2",0.743840501626778,0.351621183706136,0.392219317920642,1.45612327547635e-12,4.60098194575128e-11,"Hypermethylated in Primary Tumor"
"cg01568736","chr18",61441730,61441730,1,"*","cg01568736","SERPINB7",0.646199870653388,0.905084703622003,-0.258884832968615,6.94334136259035e-05,0.000186844884803868,"Hypomethylated in Primary Tumor"
"cg01580681","chr4",174450016,174450016,1,"*","cg01580681","HAND2",0.523536481062384,0.170203781410296,0.353332699652088,7.16466601944493e-13,2.57026689095661e-11,"Hypermethylated in Primary Tumor"
"cg01593385","chr4",155534149,155534149,1,"*","cg01593385","FGG",0.292137139602061,0.611271132066478,-0.319133992464417,4.027894743474e-12,1.03826591162158e-10,"Hypomethylated in Primary Tumor"
"cg01598642","chr11",5272039,5272039,1,"*","cg01598642","HBG1",0.671545474134036,0.886512301488581,-0.214966827354545,3.48574755188992e-07,1.62420696166552e-06,"Hypomethylated in Primary Tumor"
"cg01637734","chr1",157811303,157811303,1,"*","cg01637734","CD5L",0.476957338552191,0.819127311085605,-0.342169972533414,8.49837832204591e-06,2.79096159208998e-05,"Hypomethylated in Primary Tumor"
"cg01643580","chr2",26916399,26916399,1,"*","cg01643580","KCNK3",0.344045156288751,0.104336823858665,0.239708332430086,9.14195310117262e-11,1.38042266364824e-09,"Hypermethylated in Primary Tumor"
"cg01664666","chr1",242687465,242687465,1,"*","cg01664666","PLD5",0.298204945589565,0.0218975822571481,0.276307363332417,7.16466601944493e-13,2.57026689095661e-11,"Hypermethylated in Primary Tumor"
"cg01683883","chr16",66613053,66613053,1,"*","cg01683883","CMTM2",0.709095788646113,0.456042212091154,0.253053576554959,3.78532751697417e-15,5.61050287038888e-13,"Hypermethylated in Primary Tumor"
"cg01693350","chr11",32452187,32452187,1,"*","cg01693350","WT1",0.711266996449186,0.424197497641233,0.287069498807953,1.71527682019964e-10,2.34914720257007e-09,"Hypermethylated in Primary Tumor"
"cg01705587","chr1",149889364,149889364,1,"*","cg01705587","SV2A",0.30008522263547,0.0281324780143419,0.271952744621128,3.97872526833493e-08,2.44241693652092e-07,"Hypermethylated in Primary Tumor"
"cg01731341","chr12",4554295,4554295,1,"*","cg01731341","FGF6",0.602730492292554,0.904168777925375,-0.301438285632821,1.41471109816446e-14,1.28504449812598e-12,"Hypomethylated in Primary Tumor"
"cg01767116","chr15",63889093,63889093,1,"*","cg01767116","FBXL22",0.607369366233013,0.299774564751163,0.30759480148185,5.99183306739191e-13,2.24235892317728e-11,"Hypermethylated in Primary Tumor"
"cg01777397","chr2",29337946,29337946,1,"*","cg01777397","CLIP4",0.464993052228166,0.0579413440995417,0.407051708128624,2.56333504162167e-11,4.75303499199132e-10,"Hypermethylated in Primary Tumor"
"cg01805282","chr6",133563764,133563764,1,"*","cg01805282","EYA4",0.444416286613039,0.131034923310667,0.313381363302371,2.87122850340093e-07,1.3681452401252e-06,"Hypermethylated in Primary Tumor"
"cg01830294","chr7",116963492,116963492,1,"*","cg01830294","WNT2",0.482822384414563,0.132069934050483,0.350752450364079,8.32132742329502e-14,4.89480902139461e-12,"Hypermethylated in Primary Tumor"
"cg01839464","chr18",49868477,49868477,1,"*","cg01839464","DCC",0.250036424838905,0.0254096060438445,0.22462681879506,2.50456296881566e-13,1.14452939400503e-11,"Hypermethylated in Primary Tumor"
"cg01857260","chr19",50666552,50666552,1,"*","cg01857260","C19orf41",0.471386387041111,0.10832441587815,0.363061971162961,1.47765008027087e-12,4.64943836011487e-11,"Hypermethylated in Primary Tumor"
"cg01870826","chr7",5111875,5111875,1,"*","cg01870826","LOC389458",0.341272490110662,0.10753835697701,0.233734133133651,0.000809291233196564,0.00174173884148695,"Hypermethylated in Primary Tumor"
"cg01899253","chr13",29070056,29070056,1,"*","cg01899253","FLT1",0.494849572677871,0.216793016075498,0.278056556602374,3.23301373142874e-07,1.5205963748509e-06,"Hypermethylated in Primary Tumor"
"cg01920232","chr12",106976668,106976668,1,"*","cg01920232","RFX4",0.264066686965296,0.0390410120916544,0.225025674873642,1.47405195788389e-09,1.45270851089966e-08,"Hypermethylated in Primary Tumor"
"cg01958189","chr20",68396,68396,1,"*","cg01958189","DEFB125",0.320631804680968,0.555455797258493,-0.234823992577525,1.36643917246422e-09,1.3639569391425e-08,"Hypomethylated in Primary Tumor"
"cg01965939","chr5",148442694,148442694,1,"*","cg01965939","SH3TC2",0.503860530349415,0.188250210164483,0.315610320184932,3.23881203412361e-09,2.82599520978973e-08,"Hypermethylated in Primary Tumor"
"cg02008154","chr7",35293537,35293537,1,"*","cg02008154","TBX20",0.403871630717772,0.0503050877875484,0.353566542930224,4.32822810409945e-12,1.09685771605463e-10,"Hypermethylated in Primary Tumor"
"cg02010852","chr9",126118355,126118355,1,"*","cg02010852","CRB2",0.360577803403204,0.148772372844926,0.211805430558278,1.96838303305465e-11,3.82950788874682e-10,"Hypermethylated in Primary Tumor"
"cg02029926","chr4",74734874,74734874,1,"*","cg02029926","CXCL1",0.256550983391705,0.0321869933905453,0.22436399000116,3.33940000569499e-12,8.9457006811299e-11,"Hypermethylated in Primary Tumor"
"cg02055963","chr13",28543520,28543520,1,"*","cg02055963","CDX2",0.422044818534078,0.0698040557035396,0.352240762830538,7.16466601944493e-13,2.57026689095661e-11,"Hypermethylated in Primary Tumor"
"cg02067021","chrNA",0,0,1,"*","cg02067021",NA,0.318748733705129,0.581192219410936,-0.262443485705807,1.09618172086844e-14,1.06447749954505e-12,"Hypomethylated in Primary Tumor"
"cg02077702","chr15",74465888,74465888,1,"*","cg02077702","ISLR",0.632911523934376,0.361243317326296,0.27166820660808,1.68598337960322e-12,5.13985379689864e-11,"Hypermethylated in Primary Tumor"
"cg02085507","chr19",6739192,6739192,1,"*","cg02085507","TRIP10",0.553785127152964,0.157730272977514,0.396054854175451,1.11554759201686e-09,1.14654067976951e-08,"Hypermethylated in Primary Tumor"
