Hybridization REF	TCGA-A8-A07G-01A-11D-A032-05	TCGA-A8-A07G-01A-11D-A032-05	TCGA-A8-A07G-01A-11D-A032-05	TCGA-A8-A07G-01A-11D-A032-05
cg00071998	0.0426665455362541	MSH5	6	31708121
cg00072216	0.0132755436650048	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.37574069922265	STRA6	15	74495354
cg00076645	0.014343773951291	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.754000195920318	ASAP1	8	131414474
cg00078194	0.0178541315556294	MDK	11	46402949
cg00078867	0.666680449727685	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0106401743107958	ARFGAP3	22	43253521
cg00080012	0.0109940318575992	EED	11	85955689
cg00081935	0.0288323708074018	TSPAN9	12	3186906
cg00081975	0.0314526146388461	ABCC3	17	48712370
cg00083720	0.0129089034855279	NA	NA	0
cg00083937	0.478763623523899	MAPK8IP2	22	51039805
cg00084687	0.0127583677481311	GATAD1	7	92076896
cg00089071	0.00970317471014022	PCGF2	17	36905809
cg00090147	0.123217243302526	GATA4	8	11562367
cg00091693	0.524029425455109	KRT20	17	39041602
cg00093177	0.923953157864891		17	37185495
cg00094319	0.828898576760293	PABPC3	13	25670530
cg00094851	0.114884205292679	KIF3C	2	26205706
cg00095526	0.720860237351876	CACNA1S	1	201081686
cg00095674	0.107668027543546	PLEKHO1	1	150122654
cg00096922	0.0286545431054642	DLX5	7	96654185
cg00097536	0.0173219360345944	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0133813227789188	PNPLA6	19	7599173
cg00099550	0.0295545310848087	NA	NA	0
cg00101227	0.738179925958492	MPZ	1	161280266
cg00103783	0.0213990971369119	MPDU1	17	7487249
cg00105253	0.081247639059541	NUDT14	14	105647194
cg00105470	0.018964771454236	C1orf35	1	228290868
cg00107187	0.226636323102743	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0112680583688885	PGM2	4	37828500
cg00108454	0.405697838189785	C1QA	1	22963614
cg00109274	0.0318612882326601	DGKH	13	42623032
cg00112517	0.129106293843079	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.103267105567532	CABP1	12	121078090
cg00115714	0.0309479219438767	AMD1	6	111196112
cg00116234	0.0384200984910188	ADAMTSL1	9	18474243
cg00116838	0.0573807486464054	RTN2;FLJ40125	19	46001746
cg00117172	0.126961342810194	RUNX3	1	25255838
cg00119079	0.021697829589192	LAMP3	3	182880278
cg00121158	0.0146780197153519	KDM4C	9	6757826
cg00121640	0.113626696334392	ASTN2	9	120176515
cg00121904	0.430151805513138	MAOB	X	43741826
cg00123035	0.0203997743243245	RFX5	1	151319538
cg00126034	0.423834761500367	WNT3	17	44896162
cg00126657	0.359938963055218	SSX6	X	47967250
cg00126698	0.773799907647432	BTK	X	100640503
cg00128197	0.427952771614508	HSD17B10	X	53461455
cg00128560	0.942542963420397	TIGD7	16	3352013
cg00128654	0.0226710034022079	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0664022095573659	MKNK1	1	47070178
cg00129774	0.0233277631066252	CDK2;SILV	12	56360414
cg00131121	0.0209277564461812	POLR2J	7	102119710
cg00131557	0.935437043565921	DNAJC15	13	43596656
cg00132141	0.452808962205614	CTNNA3	10	69456307
cg00133909	0.0437362112764659	CD276	15	73977201
cg00134539	0.906406902935384	UBASH3A	21	43824071
cg00134787	0.588834688021075	MYH1	17	10419499
cg00135056	0.100272476788773	C3orf37	3	128997295
cg00135393	0.236727144578042	NA	NA	0
cg00136105	0.0173832595414257	GNPTAB	12	102224911
cg00136405	0.153540123398219	IL21	4	123542198
cg00136477	0.717662409717005	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.646336704277066	PMEPA1	20	56286697
cg00141162	0.686180106384096	HCLS1	3	121379777
cg00141550	0.774128242679368	NA	NA	0
cg00141845	0.121874070882934	UPRT	X	74493352
cg00143376	0.46882710613785	NMUR1	2	232394702
cg00143998	0.0223112650064573	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.0969219866542398	GNPDA1	5	141393931
cg00145348	0.596011091317189	APEX2	X	55026862
cg00146096	0.0143133989585452	FANCF	11	22647309
cg00149659	0.0195631807175218	C3orf10	3	10157352
cg00149976	0.0198542361789338	MGLL	3	127541529
cg00151234	0.549058885823434	PGK1	X	77359363
cg00151607	0.0165566763710058	TRAPPC2L;GALNS	16	88923507
cg00152644	0.941981127927165	SPRR2E	1	153068236
cg00155167	0.0210401947636386	VPS13B	8	100025831
cg00155485	0.0269449808360477	MED13L	12	116714600
cg00155609	0.0130713872188486	PRDX2	19	12912527
cg00156216	0.0195282916737539	APLP2	11	129939849
cg00156744	0.0187427366920115	STK10	5	171615663
cg00158308	0.0540130620777149	OXGR1	13	97646341
cg00160914	0.093495781564009	DDX20;C1orf183	1	112299263
cg00162401	0.0186328166091979	GSTA4	6	52859823
cg00162643	0.0266773948240451	DDX58	9	32526492
cg00164041	0.0247167018938455	NA	NA	0
cg00164898	0.0153034730530333	MAPK11	22	50709127
cg00165981	0.0239611962365233	COL4A3BP;POLK	5	74808039
cg00167504	0.0245771467627513	BLVRA	7	43798622
cg00168082	0.037708134705161	ABL1	9	133589177
cg00168785	0.0586091481579013	WDSUB1	2	160142643
cg00168942	0.441585783376184	GJD4	10	35894430
cg00169548	0.156805668649428	NA	NA	0
cg00171126	0.0199328560269614	WRB	21	40752522
cg00171161	0.0537295134213258	NUDT9	4	88343636
cg00174500	0.680427723120089	CMTM5	14	23846479
cg00174901	0.334640376174844	PALM	19	709889
cg00176210	0.819489320414186	ANK1	8	41654967
cg00176879	0.992267974074062	VPS16;PTPRA	20	2843525
cg00177013	0.107232217466752	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0259469953133009	PNPO	17	46018875
cg00177923	0.0166817718355895	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.226012822866497	UPF3B	X	118986947
cg00180012	0.0191477976332554	LACE1	6	108615929
cg00180631	0.570420532217982	MTM1	X	149736640
cg00182461	0.0393899517907692	NA	NA	0
cg00183782	0.850442168613726	NA	NA	0
cg00183916	0.0153933554466404	HS3ST3B1	17	14204936
cg00184884	0.0113575648957524	SFI1	22	31892343
cg00184893	0.0121169991350076	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0259981735381341	LRDD	11	804954
cg00186141	0.0141102685208398	PODXL	7	131241768
cg00186701	0.171494285423608	TSPYL5	8	98290510
cg00186954	0.778459553077754	ST5;C11orf17	11	8933980
cg00187380	0.0224617687163776	HOXC4;HOXC5	12	54427384
cg00187686	0.385483109974815	TCN1	11	59634218
cg00188348	0.619705376809342	NA	NA	0
cg00191052	0.821511056431678	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0269584426000128	FAM53C	5	137673669
cg00197641	0.0241550507841522	MRPL52	14	23299461
cg00199549	0.838768637041163	MCM5	22	35795374
cg00200063	0.0146126792995757	USP32	17	58469941
cg00201234	0.50291861153412	FBLN2	3	13590968
cg00202702	0.0136454014205691	C11orf70	11	101918157
cg00202711	0.34821240916738	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.022890437057413	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0218630350183446	KIAA0174	16	71929512
cg00208830	0.58879133676972	LAMC2	1	183154778
cg00208967	0.0873649445943677	OLFM2	19	10047924
cg00209066	0.885504521142281	BRD1	22	50218923
cg00209951	0.036587759363655	DENND2C	1	115212834
cg00210842	0.0495091519476894	APAF1;IKBIP	12	99039578
cg00211661	0.0137793062211146	ARAP1	11	72433619
cg00212549	0.0316506464038408	NA	NA	0
cg00213044	0.683872780506527	KRT6A	12	52886438
cg00213331	0.948700491117067	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0168846600219794	NA	NA	0
cg00214794	0.760347940921374	NA	NA	0
cg00214855	0.188231199959947	CCDC90A	6	13813947
cg00215066	0.971105159929546	MYO9B	19	17212316
cg00216361	0.0289425674576013	GAP43	3	115342527
cg00216758	0.0299205322155445	RASSF7;C11orf35	11	560589
cg00217795	0.486452776065096	DIO2	14	80677688
cg00221494	0.221170194745056	FARP1	13	98794593
cg00223186	0.0165083796004007	ACBD6	1	180472200
cg00223950	0.0201504484010375	UBR4	1	19536222
cg00224234	0.00889215270157824	GLOD4;RNMTL1	17	685693
cg00224508	0.0190844674820073	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.813544366308262	FGD2	6	36972027
cg00228799	0.0233158150944327	ENDOG	9	131580591
cg00229387	0.110151387183451	TJAP1	6	43445942
cg00230271	0.0337027966191144	TBCK;AIMP1	4	107237183
cg00230368	0.024707602317513	IGF2R	6	160389833
cg00230502	0.0315051613744379	CCDC60	12	119772381
cg00230685	NA	SCML1	X	17755839
cg00231140	0.0199533352695034	ACAA2;SCARNA17	18	47339702
cg00231644	0.237641180891217	TUBB2A	6	3158512
cg00231920	0.0241726808487872	VPS16;FAM113A	20	2821308
cg00233307	0.0280574111617063	MAP4K1;EIF3K	19	39109076
cg00234616	0.186074917991347	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0483735612915794	RARA	17	38465489
cg00237010	0.32864939059338	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.944984016963261	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0425189179738704	TTC21A;GORASP1	3	39148342
cg00240312	0.0292850496172165	NA	NA	0
cg00240432	0.0206609516939167	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0150769375747353	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.0159262105918901	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0194296060051768	CR2	1	207628182
cg00250430	0.447183208794175	DMRT2	9	1051579
cg00253200	0.0147279051904743	C3orf59	3	192636074
cg00256074	0.942616824077523	MYLPF	16	30386150
cg00256166	0.0271146236375118	KLHL25	15	86338428
cg00256281	0.0135049529379916	PMM1	22	41985642
cg00259755	0.0487221326760278	PWWP2B	10	134209763
cg00260778	0.356704550757998	NA	NA	0
cg00261552	0.0287168762030641	CREBL2	12	12764894
cg00261781	0.0114261009042719	MATN3	2	20212517
cg00262415	0.0182941330777656	PUSL1;ACAP3	1	1242732
cg00263723	0.0172045753332997	NA	NA	0
cg00263760	0.0677534251377793	VAX1	10	118897366
cg00265415	0.0097879421196936	B3GALNT2	1	235667507
cg00265490	0.0367629694980597	MTDH	8	98655845
cg00268009	0.0139024153866638	ADH5	4	100010211
cg00268338	0.0109905264462076	HECTD2;LOC100188947	10	93169495
cg00269115	0.0151790390151231	C1orf213;ZNF436	1	23695530
cg00269932	0.875710891593335	NA	NA	0
cg00273068	0.600832809319092	EMILIN3	20	39995747
cg00273124	0.57086007872762	NHP2	5	177581512
cg00274399	0.0303121966033094	FGF9	13	22245420
cg00275232	0.0181378357714107	ZNF296	19	45579541
cg00276797	0.0172124541259203	SLK	10	105726614
cg00278366	0.352947800871969	RAD9B;VPS29	12	110940287
cg00279797	0.204640930799833	AMMECR1	X	109561918
cg00280814	0.883458864936047	ZDHHC8P	22	23745389
cg00280894	0.5059396304983	NA	NA	0
cg00282347	0.0422452121703963	CHD5	1	6241040
cg00282683	0.0159423911800083	UBE3C	7	156931995
cg00283535	0.719780681359166	ANXA13	8	124749564
cg00288562	0.0332788025117171	TRA2A	7	23571645
cg00290028	0.0121913425691357	RFXAP	13	37393125
cg00290506	0.014942965269349	CNIH3	1	224804226
cg00291877	0.0364231882512354	SNRPA1	15	101835933
cg00292662	0.0133781468802629	LGALS1	22	38071168
cg00292971	0.82918427585541	FAM131B	7	143060536
cg00293409	0.0270288622362747	LRRC33	3	196366669
cg00294382	0.522992016454797	IL23A	12	56732721
cg00295206	0.0174265525950902	RAB7A	3	128444813
cg00295325	0.590425257606989	ABCB11	2	169887932
cg00296685	0.026370431048722	NA	NA	0
cg00297584	0.0981540172481654	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.880921151902219	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0241777615062282	PPP3CA	4	102268125
cg00303548	0.0163376907974941	HS6ST3	13	96742413
cg00304278	0.0445291202721933	NA	NA	0
cg00307685	0.956238687857106	BRDT	1	92415524
cg00308133	0.012729303002489	GAMT	19	1401118
cg00308665	0.21823977077819	HTR2A	13	47469654
cg00309056	0.018636676125006	STARD3NL	7	38218112
cg00309204	0.0203984848965114	C17orf61	17	7307432
cg00311768	0.391850826952714	TSTA3	8	144698857
cg00312919	0.0123809049442751	STARD3NL	7	38217710
cg00314943	0.928522135153561	ALPPL2	2	233270750
cg00315936	0.0698591686830333	SND1	7	127292739
cg00317680	0.103555976986633	MTERFD1;PTDSS1	8	97274070
cg00318573	0.15688347283556	CHRNA4	20	61993118
cg00318865	0.0135087859173063	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.00721415021570034	PKMYT1	16	3030447
cg00320243	0.0157989135506972	RAB3A	19	18314691
cg00321065	0.0186254465685526	RLF	1	40627063
cg00321478	0.474490195138279	CRB1	1	197238398
cg00323915	0.520904151442166	GIMAP4	7	150264987
cg00324733	0.0188800916413373	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.148934907684507	DLAT	11	111896498
cg00327483	0.955919549899668	CASQ1	1	160160587
cg00328227	0.202572338665791	C1orf59	1	109204325
cg00331237	0.0264503880326491	CSRP2	12	77273319
cg00331433	0.016966554759763	SYAP1	X	16737800
cg00332153	0.72308457119185	BANK1	4	102712010
cg00332745	0.0230919431674019	NOL3	16	67208247
cg00333226	0.109313191632042	VWC2	7	49813763
cg00333528	0.403915299167047	GABRR1	6	89927485
cg00334507	0.618497079453816	PRRT2	16	29824599
cg00335286	0.626798253478854	MC2R	18	13916355
cg00336605	0.0229523997941385	NR1H2	19	50879437
cg00338702	0.0260821462150697	CHFR	12	133463694
cg00338893	0.0211669369752151	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.261179263530432	GARNL3	9	130027020
cg00343092	0.015266896669867	TSPO	22	43547974
cg00344358	0.936782289392736	GDF11	12	56135693
cg00344372	0.864021478354289	HGFAC	4	3443625
cg00344709	0.90645571597755	POTED	21	14982225
cg00346145	0.0359929865039743	RPL34;LOC285456	4	109541559
cg00347729	0.320997060384872	MMP10	11	102651753
cg00347904	0.18002905022329	SCUBE3	6	35182508
cg00350296	0.301146357574934	CD248	11	66084841
cg00350478	0.648896042143062	FRMD1	6	168480013
cg00350702	0.0178458456030112	ERGIC3	20	34129927
cg00351011	0.0199710398214669	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.813558221927792	ZIM2	19	57306738
cg00354572	0.041052194519274	ACSS3	12	81471419
cg00355802	0.0216786660600717	DUSP4	8	29208983
cg00359325	0.0272947754582887	USP4	3	49377419
cg00359973	0.452939368531061	RIBC1;SMC1A	X	53449900
cg00363813	0.649825221611433	IFFO1	12	6664872
cg00364344	0.0165998111918041	NA	NA	0
cg00364814	0.906041470843905	R3HDM2	12	57691455
cg00365193	0.140242188256253	NA	NA	0
cg00367281	0.804668699444836	CHRNB3	8	42552470
cg00367438	0.034243760492568	TMUB1	7	150780797
cg00368022	0.0178047391558858	C5orf22;RNASEN	5	31532653
cg00368415	0.0123037308364706	SNX27	1	151584398
cg00371195	0.956024299356535	F2	11	46740481
cg00374717	0.960043287917366	ARSG	17	66303145
cg00375964	0.0163190154547082	ABCE1;ANAPC10	4	146019130
cg00376639	0.0758811515741789	ZNF581	19	56155151
cg00380464	0.0188967495445795	LTV1	6	144164650
cg00381076	0.0307673730520263	C18orf54	18	51884797
cg00382515	0.0122380580705612	MRPL44	2	224822229
cg00382991	0.0430150489402376	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.165610597522801	TGFBI	5	135364970
cg00387170	0.0230961840248712	FOXP4	6	41514002
cg00392257	0.230479054202767	ISG20L2	1	156696747
cg00393585	0.0406082984513897	C4orf39;TRIM61	4	165878091
cg00394658	0.27887288734409	PTPRJ	11	48001669
cg00396163	0.0190760326043556	DNAH6	2	84743584
cg00396894	0.690461348559303	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0239935764310697	PPOX	1	161136321
cg00398048	0.0664576971709338	AGA	4	178364342
cg00399483	0.152333374569751	DCC	18	49868378
cg00400028	0.168961602994633	NA	NA	0
cg00400263	0.989014206905725	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0191834866426601	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.301864516980141	TSC22D3	X	107018431
cg00405070	0.0211128733727025	ERP29;TMEM116	12	112450647
cg00405568	0.021847368453574	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.752202986420799	RFPL3	22	32753939
cg00407150	0.640541556317517	HHATL	3	42743794
cg00410419	0.0206428758017237	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.0751592114013312	STC1	8	23712355
cg00410921	0.304711751890254	NA	NA	0
cg00411097	0.462694205980335	TMEM184A	7	1596050
cg00412772	0.615360003618369	YIF1B;C19orf33	19	38794845
cg00412805	0.981845067982232	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.424547752803577	NA	NA	0
cg00415494	0.92498309048161	NA	NA	0
cg00415978	0.0963705364434388	SYNPO2	4	119809925
cg00415993	0.634231449597396	F2RL2;IQGAP2	5	75919188
cg00417297	0.0139435892214763	ZNF619	3	40518742
cg00418150	0.645243515724539	ALX4	11	44327869
cg00419564	0.0155722651737585	S100A6	1	153508860
cg00420568	0.12421695401595	SHC3	9	91794904
cg00420715	0.0140518689847509	VPS13B	8	100025364
cg00420929	0.20884684054617	PGPEP1	19	18451112
cg00422913	0.0307035650918966	C17orf91;WDR81	17	1619022
cg00424946	0.0181557686180232	SNTB2	16	69221172
cg00425710	0.900669860261199	MT1A	16	56672671
cg00425792	0.0355930780456329	PEX12	17	33905503
cg00426056	0.0130103500655731	CUTA	6	33385896
cg00426498	0.29479231866421	MYO18A	17	27507667
cg00426963	0.0195022964196294	KIF27	9	86535755
cg00427635	0.110097247312995	TBC1D21	15	74166372
cg00429618	0.118988214038211	ZNF322B	9	99962350
cg00430287	0.473856633709522	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.414583794282393	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.107814368811942	MGP	12	15039025
cg00432979	0.0208192652075899	MRP63;SKA3	13	21750473
cg00433406	0.943483930454682	VWA5B1	1	20616975
cg00434413	0.924834653342269	RENBP;NAA10	X	153201653
cg00435408	0.0308036438349266	FAM192A;RSPRY1	16	57220662
cg00436282	0.929092112016464	STATH	4	70861449
cg00436301	0.0194804930441498	NT5DC1	6	116421736
cg00436603	0.478924895151905	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.00963852050217466	STOML1	15	74284481
cg00443307	0.730824204615214	KLRG1	12	9141740
cg00445824	0.111402559357389	ISYNA1	19	18548929
cg00446235	0.081787903223952	TSTD1	1	161008644
cg00447208	0.709780357275379	TMC8;TMC6	17	76126301
cg00448720	0.621431740974602	C1QTNF9	13	24883014
cg00449941	0.0163221266653979	SPAG5	17	26926011
cg00451635	0.244337826341411	EMP2	16	10675030
cg00453193	0.0165707882640959	TES	7	115851050
cg00453258	0.808389419787863	CALHM1	10	105219172
cg00459975	0.0167432765911501	INTS9;HMBOX1	8	28749099
cg00461841	0.718784763459198	ATF7IP2	16	10523485
cg00462311	0.045345283005296	NFATC4	14	24837184
cg00462994	0.517381452132102	NAGS;PYY	17	42081955
cg00463202	0.761693619531153	ADPRHL1	13	114107710
cg00463577	0.0177328281751865	C6orf150	6	74161911
cg00463848	0.914910934283204	KRT2	12	53046105
cg00464269	0.0146125418077972	TNFAIP1;IFT20	17	26662842
cg00465284	0.427761387122519	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0130361120251769	NA	NA	0
cg00466249	0.277864520921843	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0145097890554438	C14orf101	14	57046243
cg00468146	0.161597780154979	ID4	6	19838211
cg00469635	0.0152746489802265	PPME1;C2CD3	11	73882471
cg00471562	0.023141942234352	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0244798869396008	ADAMTS1	21	28217676
cg00474004	0.806060534324515	IFNA14	9	21239944
cg00474209	0.0527649574345021	DLL1	6	170600060
cg00475955	0.01402071491487	C9orf114	9	131592049
cg00476577	0.0364264075977669	NA	NA	0
cg00476580	0.00989838669571267	ANP32E	1	150207583
cg00479269	0.0384916896827385	C2orf29	2	101869975
cg00480115	0.600409298091017	FXYD3	19	35606877
cg00480209	0.0165949076555033	SCO1;C17orf48	17	10600689
cg00480356	0.0674917283848859	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0150846469243127	DDX41	5	176943504
cg00485296	0.0116039093294256	NME3	16	1821559
cg00485380	0.0181197382384948	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0148202570592976	SOCS1	16	11349568
cg00488300	0.938850015530128	NA	NA	0
cg00488364	0.838508460503811	IL13RA2	X	114253315
cg00488718	0.0147242775717209	MFSD8;C4orf29	4	128887044
cg00489401	0.631266858071539	FLT4	5	180075875
cg00491404	0.890429355513998	EPS8L3	1	110306591
cg00491839	0.052094817076858	PPP1R15A	19	49375640
cg00493400	0.0159711150351903	STAT1	2	191879127
cg00495415	0.0189906024122725	SP1	12	53773795
cg00495442	0.0214441276215934	RALGAPB	20	37101172
cg00495491	0.848552776500009	NA	NA	0
cg00496170	0.0112534903671791	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.697660179642544	PPEF1	X	18709116
cg00497251	0.0735149311133085	RNPEPL1	2	241508725
cg00498305	0.468972462449093	SLC18A2	10	119000236
cg00498604	0.0543439550247999	TLL1	4	166793789
cg00499599	0.0166609376489945	C21orf57;MCM3AP	21	47706392
cg00499822	0.6054096100531	CXCL12	10	44881551
cg00500400	0.0236371621196346	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0167124054790588	ZDHHC14	6	157801893
cg00503458	0.0334941488119824	KIAA0907	1	155904439
