Hybridization REF	TCGA-E2-A158-11A-22D-A12E-05	TCGA-E2-A158-11A-22D-A12E-05	TCGA-E2-A158-11A-22D-A12E-05	TCGA-E2-A158-11A-22D-A12E-05
cg00094319	0.622716281943296	PABPC3	13	25670530
cg00094851	0.0646582740936335	KIF3C	2	26205706
cg00095526	0.472127759609099	CACNA1S	1	201081686
cg00095674	0.0860286165643773	PLEKHO1	1	150122654
cg00096922	0.0192722240921314	DLX5	7	96654185
cg00097536	0.0106535284207847	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0129730022452711	PNPLA6	19	7599173
cg00099550	0.0333680870152604	NA	NA	0
cg00101227	0.589755522569821	MPZ	1	161280266
cg00103783	0.01303952084185	MPDU1	17	7487249
cg00105253	0.033885197170831	NUDT14	14	105647194
cg00105470	0.0155781724636993	C1orf35	1	228290868
cg00107187	0.110967771536839	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0154567716587244	PGM2	4	37828500
cg00108454	0.448769847200141	C1QA	1	22963614
cg00109274	0.0951467745831647	DGKH	13	42623032
cg00112517	0.0649739419816937	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.0713355813938045	CABP1	12	121078090
cg00115714	0.338317500624708	AMD1	6	111196112
cg00116234	0.0247636859942555	ADAMTSL1	9	18474243
cg00116838	0.0462424188088449	RTN2;FLJ40125	19	46001746
cg00117172	0.0326183288804464	RUNX3	1	25255838
cg00119079	0.0343776834832397	LAMP3	3	182880278
cg00121158	0.0113563166919271	KDM4C	9	6757826
cg00121640	0.0434513603896019	ASTN2	9	120176515
cg00121904	0.128154541521134	MAOB	X	43741826
cg00123035	0.0226815342269577	RFX5	1	151319538
cg00126034	0.0236491173824754	WNT3	17	44896162
cg00126657	0.539820953915166	SSX6	X	47967250
cg00126698	0.642693794231037	BTK	X	100640503
cg00128197	0.174168952862349	HSD17B10	X	53461455
cg00128560	0.975077769627696	TIGD7	16	3352013
cg00128654	0.0158361307951963	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0576322328052217	MKNK1	1	47070178
cg00129774	0.0147553807855488	CDK2;SILV	12	56360414
cg00131121	0.0215661033876755	POLR2J	7	102119710
cg00131557	0.930054771214313	DNAJC15	13	43596656
cg00132141	0.366487165199043	CTNNA3	10	69456307
cg00133909	0.07104906325432	CD276	15	73977201
cg00134539	0.818318845751126	UBASH3A	21	43824071
cg00134787	0.85554608638284	MYH1	17	10419499
cg00135056	0.0917404710383123	C3orf37	3	128997295
cg00135393	0.419667486405263	NA	NA	0
cg00136105	0.0204136782068917	GNPTAB	12	102224911
cg00136405	0.640671936711594	IL21	4	123542198
cg00136477	0.70972129517537	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.626551825522626	PMEPA1	20	56286697
cg00141162	0.182679351584025	HCLS1	3	121379777
cg00141550	0.872686622136757	NA	NA	0
cg00141845	0.216457953824039	UPRT	X	74493352
cg00143376	0.48335403895991	NMUR1	2	232394702
cg00143998	0.0314767106037069	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.111795885658589	GNPDA1	5	141393931
cg00145348	0.396491038332271	APEX2	X	55026862
cg00146096	0.0186189311527137	FANCF	11	22647309
cg00149659	0.0119840627114448	C3orf10	3	10157352
cg00149976	0.0373094482710348	MGLL	3	127541529
cg00151234	0.306127438452577	PGK1	X	77359363
cg00151607	0.00906547064962699	TRAPPC2L;GALNS	16	88923507
cg00152644	0.911229791165332	SPRR2E	1	153068236
cg00155167	0.0235294650953495	VPS13B	8	100025831
cg00155485	0.0284683791199186	MED13L	12	116714600
cg00155609	0.0410969552649383	PRDX2	19	12912527
cg00156216	0.0137645561012166	APLP2	11	129939849
cg00156744	0.0894136434720297	STK10	5	171615663
cg00158308	0.0864690368208566	OXGR1	13	97646341
cg00160914	0.0828833552486241	DDX20;C1orf183	1	112299263
cg00162401	0.0258498426172197	GSTA4	6	52859823
cg00162643	0.0219900068589684	DDX58	9	32526492
cg00164041	0.123053333613269	NA	NA	0
cg00164898	0.0371879456863462	MAPK11	22	50709127
cg00165981	0.0454327414219606	COL4A3BP;POLK	5	74808039
cg00167504	0.0172641478276242	BLVRA	7	43798622
cg00168082	0.0317119180215522	ABL1	9	133589177
cg00168785	0.036180422297117	WDSUB1	2	160142643
cg00168942	0.749935732099823	GJD4	10	35894430
cg00169548	0.428922519807828	NA	NA	0
cg00171126	0.0215605953394936	WRB	21	40752522
cg00171161	0.043676721463156	NUDT9	4	88343636
cg00174500	0.224870841808638	CMTM5	14	23846479
cg00174901	0.0887316003730622	PALM	19	709889
cg00176210	0.707636454631298	ANK1	8	41654967
cg00176879	0.990672313969773	VPS16;PTPRA	20	2843525
cg00177013	0.037233912372206	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0224018703248954	PNPO	17	46018875
cg00177923	0.0121812722705763	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.138316207405609	UPF3B	X	118986947
cg00180012	0.0198742498849468	LACE1	6	108615929
cg00180631	0.333922902316142	MTM1	X	149736640
cg00182461	0.0870833057671013	NA	NA	0
cg00183782	0.841597080476756	NA	NA	0
cg00183916	0.0182627003185159	HS3ST3B1	17	14204936
cg00184884	0.00861452786175431	SFI1	22	31892343
cg00184893	0.0135792392121942	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0229152135193561	LRDD	11	804954
cg00186141	0.0118356451538077	PODXL	7	131241768
cg00186701	0.456863664351754	TSPYL5	8	98290510
cg00186954	0.61518995629023	ST5;C11orf17	11	8933980
cg00187380	0.0226244727198461	HOXC4;HOXC5	12	54427384
cg00187686	0.73237451239039	TCN1	11	59634218
cg00188348	0.578625236408571	NA	NA	0
cg00191052	0.330030085746687	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0358088921026737	FAM53C	5	137673669
cg00197641	0.101578079859457	MRPL52	14	23299461
cg00199549	0.91305672550565	MCM5	22	35795374
cg00200063	0.0141090528024257	USP32	17	58469941
cg00201234	0.139818772879912	FBLN2	3	13590968
cg00202702	0.0115348287215797	C11orf70	11	101918157
cg00202711	0.153947354313381	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0270599135230947	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0182903252097909	KIAA0174	16	71929512
cg00208830	0.8281139667791	LAMC2	1	183154778
cg00208967	0.11967243839264	OLFM2	19	10047924
cg00209066	0.893813291750353	BRD1	22	50218923
cg00209951	0.0623582435824192	DENND2C	1	115212834
cg00210842	0.013406047982893	APAF1;IKBIP	12	99039578
cg00211661	0.014449882369293	ARAP1	11	72433619
cg00212549	0.0731175947255355	NA	NA	0
cg00213044	0.834792642470886	KRT6A	12	52886438
cg00213331	0.944991106158756	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0144556877906692	NA	NA	0
cg00214794	0.558871306812185	NA	NA	0
cg00214855	0.150742451883997	CCDC90A	6	13813947
cg00215066	0.97908226236907	MYO9B	19	17212316
cg00216361	0.0161693960011183	GAP43	3	115342527
cg00216758	0.0433209777665244	RASSF7;C11orf35	11	560589
cg00217795	0.407054528883157	DIO2	14	80677688
cg00221494	0.110352828157178	FARP1	13	98794593
cg00223186	0.017339403540351	ACBD6	1	180472200
cg00223950	0.0234297896290742	UBR4	1	19536222
cg00224234	0.0214881878283968	GLOD4;RNMTL1	17	685693
cg00224508	0.0154264228247817	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.774860195885554	FGD2	6	36972027
cg00228799	0.0180902199196598	ENDOG	9	131580591
cg00229387	0.218161595810472	TJAP1	6	43445942
cg00230271	0.0279898374911068	TBCK;AIMP1	4	107237183
cg00230368	0.0197874222341136	IGF2R	6	160389833
cg00230502	0.0455063856282708	CCDC60	12	119772381
cg00230685	0.526176975428891	SCML1	X	17755839
cg00231140	0.0629578627104612	ACAA2;SCARNA17	18	47339702
cg00231644	0.292168593239544	TUBB2A	6	3158512
cg00231920	0.0238699347720074	VPS16;FAM113A	20	2821308
cg00233307	0.131847740370347	MAP4K1;EIF3K	19	39109076
cg00234616	0.143716584738497	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0268411599324198	RARA	17	38465489
cg00237010	0.505170356925765	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.917468695305466	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0316767451409823	TTC21A;GORASP1	3	39148342
cg00240312	0.016726545346245	NA	NA	0
cg00240432	0.0218787320489298	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0381758834324524	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.0214546829508709	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0147090654984713	CR2	1	207628182
cg00250430	0.230407056962912	DMRT2	9	1051579
cg00253200	0.0324323330374135	C3orf59	3	192636074
cg00256074	0.62473703978751	MYLPF	16	30386150
cg00256166	0.0491515007092113	KLHL25	15	86338428
cg00256281	0.0154306371142616	PMM1	22	41985642
cg00259755	0.0423245155817919	PWWP2B	10	134209763
cg00260778	0.530785541672515	NA	NA	0
cg00261552	0.0259955942420407	CREBL2	12	12764894
cg00261781	0.00919884284643861	MATN3	2	20212517
cg00262415	0.0138817291354381	PUSL1;ACAP3	1	1242732
cg00263723	0.0220670877200649	NA	NA	0
cg00263760	0.0275767525357707	VAX1	10	118897366
cg00265415	0.00838571711635143	B3GALNT2	1	235667507
cg00265490	0.0344972797214398	MTDH	8	98655845
cg00268009	0.0125064410997096	ADH5	4	100010211
cg00268338	0.0130063245833598	HECTD2;LOC100188947	10	93169495
cg00269115	0.0128896322951738	C1orf213;ZNF436	1	23695530
cg00269932	0.960137541966787	NA	NA	0
cg00273068	0.140298574453971	EMILIN3	20	39995747
cg00273124	0.861312861559788	NHP2	5	177581512
cg00274399	0.0248919692830584	FGF9	13	22245420
cg00275232	0.0117743755559691	ZNF296	19	45579541
cg00276797	0.0123658338100107	SLK	10	105726614
cg00278366	0.291667202174951	RAD9B;VPS29	12	110940287
cg00279797	0.150355756991021	AMMECR1	X	109561918
cg00280814	0.789205068998338	ZDHHC8P	22	23745389
cg00280894	0.472584788638345	NA	NA	0
cg00282347	0.0281260621638122	CHD5	1	6241040
cg00282683	0.00866126400476085	UBE3C	7	156931995
cg00283535	0.411867590902697	ANXA13	8	124749564
cg00288562	0.136431467426925	TRA2A	7	23571645
cg00290028	0.0202816394884716	RFXAP	13	37393125
cg00290506	0.011751674035747	CNIH3	1	224804226
cg00291877	0.0502046909984657	SNRPA1	15	101835933
cg00292662	0.0129736828508514	LGALS1	22	38071168
cg00292971	0.431110420887174	FAM131B	7	143060536
cg00293409	0.0818528501510358	LRRC33	3	196366669
cg00294382	0.14680431860807	IL23A	12	56732721
cg00295206	0.0140779221443327	RAB7A	3	128444813
cg00295325	0.395972697904556	ABCB11	2	169887932
cg00296685	0.378583223876774	NA	NA	0
cg00297584	0.0354238891527112	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.809961938414321	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0366435646681483	PPP3CA	4	102268125
cg00303548	0.0114349171223074	HS6ST3	13	96742413
cg00304278	0.0347263915110268	NA	NA	0
cg00307685	0.89808046301157	BRDT	1	92415524
cg00308133	0.00621049023140239	GAMT	19	1401118
cg00308665	0.267344511965942	HTR2A	13	47469654
cg00309056	0.0156879171968698	STARD3NL	7	38218112
cg00309204	0.0163791412511265	C17orf61	17	7307432
cg00311768	0.60736253059205	TSTA3	8	144698857
cg00312919	0.0570822718357519	STARD3NL	7	38217710
cg00314943	0.823094443551049	ALPPL2	2	233270750
cg00315936	0.0488670020196694	SND1	7	127292739
cg00317680	0.0975394693441503	MTERFD1;PTDSS1	8	97274070
cg00318573	0.150065885818995	CHRNA4	20	61993118
cg00318865	0.011418139428667	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.00777147706334261	PKMYT1	16	3030447
cg00320243	0.0139623674153921	RAB3A	19	18314691
cg00321065	0.0137154381520213	RLF	1	40627063
cg00321478	0.71994712242796	CRB1	1	197238398
cg00323915	0.190698558301288	GIMAP4	7	150264987
cg00324733	0.0318522625431021	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.075592373459449	DLAT	11	111896498
cg00327483	0.966502921687722	CASQ1	1	160160587
cg00328227	0.22138389950381	C1orf59	1	109204325
cg00331237	0.0232063929090824	CSRP2	12	77273319
cg00331433	0.0243572635159181	SYAP1	X	16737800
cg00332153	0.331559093424907	BANK1	4	102712010
cg00332745	0.0177085839308697	NOL3	16	67208247
cg00333226	0.0437564971814702	VWC2	7	49813763
cg00333528	0.149144670967644	GABRR1	6	89927485
cg00334507	0.492980090038333	PRRT2	16	29824599
cg00335286	0.393196286746853	MC2R	18	13916355
cg00336605	0.038968686822598	NR1H2	19	50879437
cg00338702	0.0348963029903247	CHFR	12	133463694
cg00338893	0.0241223574715733	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.28761528118316	GARNL3	9	130027020
cg00343092	0.0154728236734814	TSPO	22	43547974
cg00344358	0.910660466044542	GDF11	12	56135693
cg00344372	0.8040319404676	HGFAC	4	3443625
cg00344709	0.802299268274637	POTED	21	14982225
cg00346145	0.0361163974436436	RPL34;LOC285456	4	109541559
cg00347729	0.790995901460804	MMP10	11	102651753
cg00347904	0.0366491106181684	SCUBE3	6	35182508
cg00350296	0.0541946854863942	CD248	11	66084841
cg00350478	0.46336486806856	FRMD1	6	168480013
cg00350702	0.0163630469195721	ERGIC3	20	34129927
cg00351011	0.0133395156240093	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.834427619754805	ZIM2	19	57306738
cg00354572	0.122240080771475	ACSS3	12	81471419
cg00355802	0.029139538666368	DUSP4	8	29208983
cg00359325	0.045901030174449	USP4	3	49377419
cg00359973	0.0511029504430502	RIBC1;SMC1A	X	53449900
cg00363813	0.325183718903848	IFFO1	12	6664872
cg00364344	0.0157275533116454	NA	NA	0
cg00364814	0.877973514315675	R3HDM2	12	57691455
cg00365193	0.0748839070800267	NA	NA	0
cg00367281	0.661299160273659	CHRNB3	8	42552470
cg00367438	0.0243738699101777	TMUB1	7	150780797
cg00368022	0.0371668071267893	C5orf22;RNASEN	5	31532653
cg00368415	0.0102973484693312	SNX27	1	151584398
cg00371195	0.970820251216896	F2	11	46740481
cg00374717	0.838263073300418	ARSG	17	66303145
cg00375964	0.138846971210711	ABCE1;ANAPC10	4	146019130
cg00376639	0.0846746914324483	ZNF581	19	56155151
cg00380464	0.0628719905537974	LTV1	6	144164650
cg00381076	0.096109379631603	C18orf54	18	51884797
cg00382515	0.0122213617313567	MRPL44	2	224822229
cg00382991	0.0434796099994717	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.0534933709459845	TGFBI	5	135364970
cg00387170	0.0236482494686443	FOXP4	6	41514002
cg00392257	0.548281843773983	ISG20L2	1	156696747
cg00393585	0.0655435328113779	C4orf39;TRIM61	4	165878091
cg00394658	0.191228286525571	PTPRJ	11	48001669
cg00396163	0.0130919220672686	DNAH6	2	84743584
cg00396894	0.710401098577996	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0377685032814588	PPOX	1	161136321
cg00398048	0.166651463049459	AGA	4	178364342
cg00399483	0.130612707207632	DCC	18	49868378
cg00400028	0.402839524084214	NA	NA	0
cg00400263	0.809626308396338	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0500066324385497	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.206668272765136	TSC22D3	X	107018431
cg00405070	0.0155274519570856	ERP29;TMEM116	12	112450647
cg00405568	0.168018184693272	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.7821313410089	RFPL3	22	32753939
cg00407150	0.597454864676822	HHATL	3	42743794
cg00410419	0.0289617320207735	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.0644902206232044	STC1	8	23712355
cg00410921	0.232601357669683	NA	NA	0
cg00411097	0.569338633893172	TMEM184A	7	1596050
cg00412772	0.654559347471879	YIF1B;C19orf33	19	38794845
cg00412805	0.929346317011677	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.137210351738819	NA	NA	0
cg00415494	0.851769253684175	NA	NA	0
cg00415978	0.0710737649500428	SYNPO2	4	119809925
cg00415993	0.164125610055742	F2RL2;IQGAP2	5	75919188
cg00417297	0.015639685219429	ZNF619	3	40518742
cg00418150	0.58980867634039	ALX4	11	44327869
cg00419564	0.021978896886526	S100A6	1	153508860
cg00420568	0.0467346606485344	SHC3	9	91794904
cg00420715	0.0612467099002601	VPS13B	8	100025364
cg00420929	0.356932602569586	PGPEP1	19	18451112
cg00422913	0.0159660890029897	C17orf91;WDR81	17	1619022
cg00424946	0.0193361724436435	SNTB2	16	69221172
cg00425710	0.800970057987835	MT1A	16	56672671
cg00425792	0.0564663114730638	PEX12	17	33905503
cg00426056	0.0352519046250924	CUTA	6	33385896
cg00426498	0.165886884283914	MYO18A	17	27507667
cg00426963	0.0222451181377736	KIF27	9	86535755
cg00427635	0.184366364240283	TBC1D21	15	74166372
cg00429618	0.104666709071704	ZNF322B	9	99962350
cg00430287	0.739549654403577	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.280355160043189	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.0739429839583235	MGP	12	15039025
cg00432979	0.01418740750981	MRP63;SKA3	13	21750473
cg00433406	0.668573474390468	VWA5B1	1	20616975
cg00434413	0.986814743270206	RENBP;NAA10	X	153201653
cg00435408	0.0254655232262889	FAM192A;RSPRY1	16	57220662
cg00436282	0.910981757068284	STATH	4	70861449
cg00436301	0.0110320523812501	NT5DC1	6	116421736
cg00436603	0.667752999811469	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.0086151553748741	STOML1	15	74284481
cg00443307	0.670530586883486	KLRG1	12	9141740
cg00445824	0.111569201959642	ISYNA1	19	18548929
cg00446235	0.337946908039699	TSTD1	1	161008644
cg00447208	0.443763651915573	TMC8;TMC6	17	76126301
cg00448720	0.612772714036028	C1QTNF9	13	24883014
cg00449941	0.0190254070191444	SPAG5	17	26926011
cg00451635	0.113537915437015	EMP2	16	10675030
cg00453193	0.0318882312562122	TES	7	115851050
cg00453258	0.736328716376627	CALHM1	10	105219172
cg00459975	0.011673142452214	INTS9;HMBOX1	8	28749099
cg00461841	0.811113983089241	ATF7IP2	16	10523485
cg00462311	0.0534848677513578	NFATC4	14	24837184
cg00462994	0.0341978402710352	NAGS;PYY	17	42081955
cg00463202	0.742365344522336	ADPRHL1	13	114107710
cg00463577	0.020261630408575	C6orf150	6	74161911
cg00463848	0.936207162008485	KRT2	12	53046105
cg00464269	0.0135432319593505	TNFAIP1;IFT20	17	26662842
cg00465284	0.021812590290326	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0121324469900939	NA	NA	0
cg00466249	0.699976253272615	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.015300772813025	C14orf101	14	57046243
cg00468146	0.038608903271209	ID4	6	19838211
cg00469635	0.010306353515741	PPME1;C2CD3	11	73882471
cg00471562	0.011516035204263	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0240354759787519	ADAMTS1	21	28217676
cg00474004	0.830694475237858	IFNA14	9	21239944
cg00474209	0.0277994019415475	DLL1	6	170600060
cg00475955	0.0106870089492242	C9orf114	9	131592049
cg00476577	0.123026868646188	NA	NA	0
cg00476580	0.0110224417151099	ANP32E	1	150207583
cg00479269	0.0443978625839259	C2orf29	2	101869975
cg00480115	0.742143479202874	FXYD3	19	35606877
cg00480209	0.0141189568502372	SCO1;C17orf48	17	10600689
cg00480356	0.104079105308931	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0104877513930222	DDX41	5	176943504
cg00485296	0.00628444703501513	NME3	16	1821559
cg00485380	0.0212542456390789	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0135264504749299	SOCS1	16	11349568
cg00488300	0.851449697834931	NA	NA	0
cg00488364	0.776336680588641	IL13RA2	X	114253315
cg00488718	0.0143346524985497	MFSD8;C4orf29	4	128887044
cg00489401	0.0353313784647567	FLT4	5	180075875
cg00491404	0.842222005537698	EPS8L3	1	110306591
cg00491839	0.149576285198614	PPP1R15A	19	49375640
cg00493400	0.0136338913008048	STAT1	2	191879127
cg00495415	0.0154653613627039	SP1	12	53773795
cg00495442	0.0313684405872854	RALGAPB	20	37101172
cg00495491	0.764555240208629	NA	NA	0
cg00496170	0.0141623237892829	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.917619596600207	PPEF1	X	18709116
cg00497251	0.0581477641672437	RNPEPL1	2	241508725
cg00498305	0.0673825369663388	SLC18A2	10	119000236
cg00498604	0.0573583834897984	TLL1	4	166793789
cg00499599	0.015805897588536	C21orf57;MCM3AP	21	47706392
cg00499822	0.630184334819814	CXCL12	10	44881551
cg00500400	0.0195935802479149	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0096864172193362	ZDHHC14	6	157801893
cg00503458	0.0910112686684322	KIAA0907	1	155904439
