Hybridization REF	TCGA-AN-A0FJ-01A-11D-A00Y-05	TCGA-AN-A0FJ-01A-11D-A00Y-05	TCGA-AN-A0FJ-01A-11D-A00Y-05	TCGA-AN-A0FJ-01A-11D-A00Y-05
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0454757229036941	RARA	17	38465489
cg00237010	0.0719215353279641	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.57194847247503	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.041261755214766	TTC21A;GORASP1	3	39148342
cg00240312	0.0139838556439571	NA	NA	0
cg00240432	0.0168253266942555	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0135874069765948	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.00881475238100898	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0144953079852842	CR2	1	207628182
cg00250430	0.0461090176254595	DMRT2	9	1051579
cg00253200	0.0150345015986287	C3orf59	3	192636074
cg00256074	0.425966895284156	MYLPF	16	30386150
cg00256166	0.0210165111648345	KLHL25	15	86338428
cg00256281	0.00926633956985941	PMM1	22	41985642
cg00259755	0.0199797894798584	PWWP2B	10	134209763
cg00260778	0.107314664207668	NA	NA	0
cg00261552	0.0206350663039162	CREBL2	12	12764894
cg00261781	0.0092979096655717	MATN3	2	20212517
cg00262415	0.0106658846065244	PUSL1;ACAP3	1	1242732
cg00263723	0.018125108746141	NA	NA	0
cg00263760	0.050460963922246	VAX1	10	118897366
cg00265415	0.0105201117048333	B3GALNT2	1	235667507
cg00265490	0.037086929478344	MTDH	8	98655845
cg00268009	0.0165850040137857	ADH5	4	100010211
cg00268338	0.0104006334343745	HECTD2;LOC100188947	10	93169495
cg00269115	0.0209511220476215	C1orf213;ZNF436	1	23695530
cg00269932	0.790792452553135	NA	NA	0
cg00273068	0.148127405270856	EMILIN3	20	39995747
cg00273124	0.406144076334017	NHP2	5	177581512
cg00274399	0.0297924324980975	FGF9	13	22245420
cg00275232	0.0162702853537124	ZNF296	19	45579541
cg00276797	0.0224898851328229	SLK	10	105726614
cg00278366	0.0996398827053469	RAD9B;VPS29	12	110940287
cg00279797	0.0539017846019199	AMMECR1	X	109561918
cg00280814	0.162619729260917	ZDHHC8P	22	23745389
cg00280894	0.0938411533351602	NA	NA	0
cg00282347	0.0157692667281864	CHD5	1	6241040
cg00282683	0.011522993825909	UBE3C	7	156931995
cg00283535	0.860807664704751	ANXA13	8	124749564
cg00288562	0.0123852685380734	TRA2A	7	23571645
cg00290028	0.0103069415578535	RFXAP	13	37393125
cg00290506	0.010269994417192	CNIH3	1	224804226
cg00291877	0.0250862569419723	SNRPA1	15	101835933
cg00292662	0.0130922763516777	LGALS1	22	38071168
cg00292971	0.100275597533275	FAM131B	7	143060536
cg00293409	0.0185401364319731	LRRC33	3	196366669
cg00294382	0.0284779002770731	IL23A	12	56732721
cg00295206	0.0158568259107748	RAB7A	3	128444813
cg00295325	0.116948714257613	ABCB11	2	169887932
cg00296685	0.0271735999338358	NA	NA	0
cg00297584	0.0204047651304564	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.528226851849053	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0114504959035139	PPP3CA	4	102268125
cg00303548	0.018044423473464	HS6ST3	13	96742413
cg00304278	0.0410519456432245	NA	NA	0
cg00307685	0.873886055159405	BRDT	1	92415524
cg00308133	0.0110788317766885	GAMT	19	1401118
cg00308665	0.0448189710429443	HTR2A	13	47469654
cg00309056	0.0186663895063593	STARD3NL	7	38218112
cg00309204	0.0204012104745428	C17orf61	17	7307432
cg00311768	0.283670822260341	TSTA3	8	144698857
cg00312919	0.0102138806541533	STARD3NL	7	38217710
cg00314943	0.386300458195281	ALPPL2	2	233270750
cg00315936	0.0353540127306882	SND1	7	127292739
cg00317680	0.0606056915197488	MTERFD1;PTDSS1	8	97274070
cg00318573	0.119582691546489	CHRNA4	20	61993118
cg00318865	0.0109964807271275	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.00722207909687409	PKMYT1	16	3030447
cg00320243	0.0117904971676155	RAB3A	19	18314691
cg00321065	0.0162913530374869	RLF	1	40627063
cg00321478	0.495412478993289	CRB1	1	197238398
cg00323915	0.0549202996604446	GIMAP4	7	150264987
cg00324733	0.0156996289923234	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.0531801871173724	DLAT	11	111896498
cg00327483	0.479069218979477	CASQ1	1	160160587
cg00328227	0.0545791810142218	C1orf59	1	109204325
cg00331237	0.0139645739540016	CSRP2	12	77273319
cg00331433	0.00970382481744506	SYAP1	X	16737800
cg00332153	0.829220667589794	BANK1	4	102712010
cg00332745	0.0158169017563028	NOL3	16	67208247
cg00333226	0.0757021633837771	VWC2	7	49813763
cg00333528	0.0626541003300243	GABRR1	6	89927485
cg00334507	0.140835069396065	PRRT2	16	29824599
cg00335286	0.0800640838904689	MC2R	18	13916355
cg00336605	0.0242741667497515	NR1H2	19	50879437
cg00338702	0.0198050901564018	CHFR	12	133463694
cg00338893	0.0169425515086778	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.098085805530092	GARNL3	9	130027020
cg00343092	0.00818196007471717	TSPO	22	43547974
cg00344358	0.290825301767977	GDF11	12	56135693
cg00344372	0.412993085894999	HGFAC	4	3443625
cg00344709	0.627329827843714	POTED	21	14982225
cg00346145	0.033184380954256	RPL34;LOC285456	4	109541559
cg00347729	0.340882161949105	MMP10	11	102651753
cg00347904	0.0303912001640001	SCUBE3	6	35182508
cg00350296	0.059071314865855	CD248	11	66084841
cg00350478	0.314827249605454	FRMD1	6	168480013
cg00350702	0.0172001193354597	ERGIC3	20	34129927
cg00351011	0.0112819111100973	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.903052389089261	ZIM2	19	57306738
cg00354572	0.0223634006614759	ACSS3	12	81471419
cg00355802	0.0220145010642528	DUSP4	8	29208983
cg00359325	0.0281593661987869	USP4	3	49377419
cg00359973	0.0374086196331491	RIBC1;SMC1A	X	53449900
cg00363813	0.720344459240991	IFFO1	12	6664872
cg00364344	0.0115847030905636	NA	NA	0
cg00364814	0.908198206540526	R3HDM2	12	57691455
cg00365193	0.0860210417978034	NA	NA	0
cg00367281	0.176030673018639	CHRNB3	8	42552470
cg00367438	0.0286291753856812	TMUB1	7	150780797
cg00368022	0.0197671714337949	C5orf22;RNASEN	5	31532653
cg00368415	0.0131659865936713	SNX27	1	151584398
cg00371195	0.609891621396214	F2	11	46740481
cg00374717	0.915154052200013	ARSG	17	66303145
cg00375964	0.0237633160792833	ABCE1;ANAPC10	4	146019130
cg00376639	0.0452928977213885	ZNF581	19	56155151
cg00380464	0.0144815820155449	LTV1	6	144164650
cg00381076	0.0140405337825226	C18orf54	18	51884797
cg00382515	0.0112519197386243	MRPL44	2	224822229
cg00382991	0.0379939482147013	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.1056707517124	TGFBI	5	135364970
cg00387170	0.0247051024744003	FOXP4	6	41514002
cg00392257	0.204821463216961	ISG20L2	1	156696747
cg00393585	0.0480694247530454	C4orf39;TRIM61	4	165878091
cg00394658	0.159719442673799	PTPRJ	11	48001669
cg00396163	0.0153915186605527	DNAH6	2	84743584
cg00396894	0.565553641180795	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0239060655167792	PPOX	1	161136321
cg00398048	0.0440600603333258	AGA	4	178364342
cg00399483	0.0913016334873549	DCC	18	49868378
cg00400028	0.0306494915795151	NA	NA	0
cg00400263	0.676165434118177	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0158734228502342	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.190431480936887	TSC22D3	X	107018431
cg00405070	0.0179519258659783	ERP29;TMEM116	12	112450647
cg00405568	0.0237056757187448	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.187398202347201	RFPL3	22	32753939
cg00407150	0.282250091571509	HHATL	3	42743794
cg00410419	0.018908285403303	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.0970719398339318	STC1	8	23712355
cg00410921	0.0766851713244176	NA	NA	0
cg00411097	0.255973406133277	TMEM184A	7	1596050
cg00412772	0.264784797781021	YIF1B;C19orf33	19	38794845
cg00412805	0.545913994171226	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.0209945694009288	NA	NA	0
cg00415494	0.523026216416854	NA	NA	0
cg00415978	0.0631910993608296	SYNPO2	4	119809925
cg00415993	0.103486891412864	F2RL2;IQGAP2	5	75919188
cg00417297	0.0148706917489139	ZNF619	3	40518742
cg00418150	0.282464953169514	ALX4	11	44327869
cg00419564	0.0144108279439255	S100A6	1	153508860
cg00420568	0.0405018939353015	SHC3	9	91794904
cg00420715	0.0107352418988948	VPS13B	8	100025364
cg00420929	0.0910558766636006	PGPEP1	19	18451112
cg00422913	0.0195419603912529	C17orf91;WDR81	17	1619022
cg00424946	0.0125499840457648	SNTB2	16	69221172
cg00425710	0.609660099606916	MT1A	16	56672671
cg00425792	0.0387343211680442	PEX12	17	33905503
cg00426056	0.0161809278022297	CUTA	6	33385896
cg00426498	0.126470188158138	MYO18A	17	27507667
cg00426963	0.028171232195814	KIF27	9	86535755
cg00427635	0.0832451516672659	TBC1D21	15	74166372
cg00429618	0.162483646500251	ZNF322B	9	99962350
cg00430287	0.298202215383713	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.125417448425273	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.0380876252612846	MGP	12	15039025
cg00432979	0.0194412926627082	MRP63;SKA3	13	21750473
cg00433406	0.221258464841557	VWA5B1	1	20616975
cg00434413	0.3106023087708	RENBP;NAA10	X	153201653
cg00435408	0.0247978568844888	FAM192A;RSPRY1	16	57220662
cg00436282	0.816424287687282	STATH	4	70861449
cg00436301	0.0172833464712248	NT5DC1	6	116421736
cg00436603	0.145294775716435	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.00939536064038134	STOML1	15	74284481
cg00443307	0.72040582527819	KLRG1	12	9141740
cg00445824	0.0669212158213304	ISYNA1	19	18548929
cg00446235	0.0751161304153944	TSTD1	1	161008644
cg00447208	0.0899505807218145	TMC8;TMC6	17	76126301
cg00448720	0.280548034805385	C1QTNF9	13	24883014
cg00449941	0.0165669265808645	SPAG5	17	26926011
cg00451635	0.107123832933384	EMP2	16	10675030
cg00453193	0.0141308511743769	TES	7	115851050
cg00453258	0.474011105169062	CALHM1	10	105219172
cg00459975	0.0125812191713281	INTS9;HMBOX1	8	28749099
cg00461841	0.486517287120729	ATF7IP2	16	10523485
cg00462311	0.0537581537993012	NFATC4	14	24837184
cg00462994	0.0468441728664917	NAGS;PYY	17	42081955
cg00463202	0.856582218600576	ADPRHL1	13	114107710
cg00463577	0.00890895763913746	C6orf150	6	74161911
cg00463848	0.520784102337864	KRT2	12	53046105
cg00464269	0.0121511949835805	TNFAIP1;IFT20	17	26662842
cg00465284	0.0252085694550945	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0126727674426216	NA	NA	0
cg00466249	0.120275800686067	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0155360615214313	C14orf101	14	57046243
cg00468146	0.0457354066537763	ID4	6	19838211
cg00469635	0.0105398455262533	PPME1;C2CD3	11	73882471
cg00471562	0.0138373668588198	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0158789191102337	ADAMTS1	21	28217676
cg00474004	0.658832232033114	IFNA14	9	21239944
cg00474209	0.0346591055844098	DLL1	6	170600060
cg00475955	0.0155488981429945	C9orf114	9	131592049
cg00476577	0.0167189481161278	NA	NA	0
cg00476580	0.00817303073048734	ANP32E	1	150207583
cg00479269	0.0219304597538526	C2orf29	2	101869975
cg00480115	0.145596756197704	FXYD3	19	35606877
cg00480209	0.0132143386978357	SCO1;C17orf48	17	10600689
cg00480356	0.0482847819599366	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0159430459924398	DDX41	5	176943504
cg00485296	0.00767456160896681	NME3	16	1821559
cg00485380	0.014781300264274	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0129814999573712	SOCS1	16	11349568
cg00488300	0.390695887565335	NA	NA	0
cg00488364	0.827206920289966	IL13RA2	X	114253315
cg00488718	0.0214309135842925	MFSD8;C4orf29	4	128887044
cg00489401	0.0620020855310342	FLT4	5	180075875
cg00491404	0.401140647293272	EPS8L3	1	110306591
cg00491839	0.0432085858138095	PPP1R15A	19	49375640
cg00493400	0.0115292693579078	STAT1	2	191879127
cg00495415	0.020553273260527	SP1	12	53773795
cg00495442	0.0183506154550532	RALGAPB	20	37101172
cg00495491	0.740141737278087	NA	NA	0
cg00496170	0.0123370930045016	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.341037038847299	PPEF1	X	18709116
cg00497251	0.0233025356656372	RNPEPL1	2	241508725
cg00498305	0.109718867673491	SLC18A2	10	119000236
cg00498604	0.068794204347437	TLL1	4	166793789
cg00499599	0.0150932735773252	C21orf57;MCM3AP	21	47706392
cg00499822	0.27905641564423	CXCL12	10	44881551
