Hybridization REF	TCGA-A7-A0CG-01A-11D-A00Y-05	TCGA-A7-A0CG-01A-11D-A00Y-05	TCGA-A7-A0CG-01A-11D-A00Y-05	TCGA-A7-A0CG-01A-11D-A00Y-05
cg00152644	0.942706629665222	SPRR2E	1	153068236
cg00155167	0.0241488629920445	VPS13B	8	100025831
cg00155485	0.0253582002133011	MED13L	12	116714600
cg00155609	0.0188329079789553	PRDX2	19	12912527
cg00156216	0.0181693769592934	APLP2	11	129939849
cg00156744	0.0136020209391267	STK10	5	171615663
cg00158308	0.186163115658434	OXGR1	13	97646341
cg00160914	0.102046679538451	DDX20;C1orf183	1	112299263
cg00162401	0.018850337662478	GSTA4	6	52859823
cg00162643	0.0180129657645123	DDX58	9	32526492
cg00164041	0.020658680404934	NA	NA	0
cg00164898	0.0187185128531043	MAPK11	22	50709127
cg00165981	0.0282474789258101	COL4A3BP;POLK	5	74808039
cg00167504	0.0183737836596101	BLVRA	7	43798622
cg00168082	0.0277692786164278	ABL1	9	133589177
cg00168785	0.103623555008654	WDSUB1	2	160142643
cg00168942	0.524955890517872	GJD4	10	35894430
cg00169548	0.146976469607355	NA	NA	0
cg00171126	0.0206452964704945	WRB	21	40752522
cg00171161	0.069048020909281	NUDT9	4	88343636
cg00174500	0.607280001106974	CMTM5	14	23846479
cg00174901	0.425269619496386	PALM	19	709889
cg00176210	0.72620540451067	ANK1	8	41654967
cg00176879	0.992110553279456	VPS16;PTPRA	20	2843525
cg00177013	0.0745034778168569	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0267054276063394	PNPO	17	46018875
cg00177923	0.0133573002917024	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.396872439664443	UPF3B	X	118986947
cg00180012	0.0198206708105987	LACE1	6	108615929
cg00180631	0.400228612422109	MTM1	X	149736640
cg00182461	0.0404134064728134	NA	NA	0
cg00183782	0.844151120683108	NA	NA	0
cg00183916	0.0117058993630516	HS3ST3B1	17	14204936
cg00184884	0.0122115907492426	SFI1	22	31892343
cg00184893	0.0134385364579738	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0271966139694989	LRDD	11	804954
cg00186141	0.0127855630771241	PODXL	7	131241768
cg00186701	0.165416483961109	TSPYL5	8	98290510
cg00186954	0.822180464369526	ST5;C11orf17	11	8933980
cg00187380	0.0597340034329131	HOXC4;HOXC5	12	54427384
cg00187686	0.34943020310884	TCN1	11	59634218
cg00188348	0.640568364254171	NA	NA	0
cg00191052	0.614239864823462	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0162926189048029	FAM53C	5	137673669
cg00197641	0.0239528198613175	MRPL52	14	23299461
cg00199549	0.961619761836572	MCM5	22	35795374
cg00200063	0.0182139174837728	USP32	17	58469941
cg00201234	0.523980897572834	FBLN2	3	13590968
cg00202702	0.0125646572551761	C11orf70	11	101918157
cg00202711	0.484291730156284	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0237559573844671	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0186871853702261	KIAA0174	16	71929512
cg00208830	0.809657386502749	LAMC2	1	183154778
cg00208967	0.319187222214233	OLFM2	19	10047924
cg00209066	0.860346888996815	BRD1	22	50218923
cg00209951	0.0547914530864091	DENND2C	1	115212834
cg00210842	0.0335639040221958	APAF1;IKBIP	12	99039578
cg00211661	0.0154035240566385	ARAP1	11	72433619
cg00212549	0.0713982410372687	NA	NA	0
cg00213044	0.674281317300843	KRT6A	12	52886438
cg00213331	0.951176951753279	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0181176056655376	NA	NA	0
cg00214794	0.637492620301502	NA	NA	0
cg00214855	0.14921990807707	CCDC90A	6	13813947
cg00215066	0.972443498354725	MYO9B	19	17212316
cg00216361	0.089499118093013	GAP43	3	115342527
cg00216758	0.0247605344609343	RASSF7;C11orf35	11	560589
cg00217795	0.448828089852774	DIO2	14	80677688
cg00221494	0.588670052226388	FARP1	13	98794593
cg00223186	0.0154269967816095	ACBD6	1	180472200
cg00223950	0.0238465467774708	UBR4	1	19536222
cg00224234	0.00878815350905428	GLOD4;RNMTL1	17	685693
cg00224508	0.0195825600476583	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.877483025719106	FGD2	6	36972027
cg00228799	0.0180099162672699	ENDOG	9	131580591
cg00229387	0.136008836208681	TJAP1	6	43445942
cg00230271	0.0285339298539653	TBCK;AIMP1	4	107237183
cg00230368	0.01941114927738	IGF2R	6	160389833
cg00230502	0.0814527889853622	CCDC60	12	119772381
cg00230685	0.494360885234227	SCML1	X	17755839
cg00231140	0.193239841187972	ACAA2;SCARNA17	18	47339702
cg00231644	0.2719250932119	TUBB2A	6	3158512
cg00231920	0.0211854350526042	VPS16;FAM113A	20	2821308
cg00233307	0.0448153063930293	MAP4K1;EIF3K	19	39109076
cg00234616	0.393233458638477	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0573830984944955	RARA	17	38465489
cg00237010	0.34600509348395	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.966384506265119	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0449104211295777	TTC21A;GORASP1	3	39148342
cg00240312	0.0250353182517189	NA	NA	0
cg00240432	0.0201889648494767	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0140202655357717	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.0134557311806006	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0272014661639998	CR2	1	207628182
cg00250430	0.594835307427866	DMRT2	9	1051579
cg00253200	0.0168266223475032	C3orf59	3	192636074
cg00256074	0.929477155706111	MYLPF	16	30386150
cg00256166	0.0217678944028745	KLHL25	15	86338428
cg00256281	0.0130105936090676	PMM1	22	41985642
cg00259755	0.0478626373582855	PWWP2B	10	134209763
cg00260778	0.498968707903439	NA	NA	0
cg00261552	0.0256816350837779	CREBL2	12	12764894
cg00261781	0.0233700009278003	MATN3	2	20212517
cg00262415	0.0169883949312618	PUSL1;ACAP3	1	1242732
cg00263723	0.0142389065711489	NA	NA	0
cg00263760	0.101046145947309	VAX1	10	118897366
cg00265415	0.0116205168778553	B3GALNT2	1	235667507
cg00265490	0.0359153655841986	MTDH	8	98655845
cg00268009	0.0108493579612049	ADH5	4	100010211
cg00268338	0.0101209434537587	HECTD2;LOC100188947	10	93169495
cg00269115	0.0124792554509061	C1orf213;ZNF436	1	23695530
cg00269932	0.923569709150028	NA	NA	0
cg00273068	0.316507343809581	EMILIN3	20	39995747
cg00273124	0.789325549257275	NHP2	5	177581512
cg00274399	0.0243732569105819	FGF9	13	22245420
cg00275232	0.0202194147441365	ZNF296	19	45579541
cg00276797	0.0212058106933486	SLK	10	105726614
cg00278366	0.537599084700564	RAD9B;VPS29	12	110940287
cg00279797	0.275212204530612	AMMECR1	X	109561918
cg00280814	0.853733278526845	ZDHHC8P	22	23745389
cg00280894	0.328180459157873	NA	NA	0
cg00282347	0.213530940777107	CHD5	1	6241040
cg00282683	0.0127303772805408	UBE3C	7	156931995
cg00283535	0.808859950626026	ANXA13	8	124749564
cg00288562	0.0169757239304131	TRA2A	7	23571645
cg00290028	0.0128152589424319	RFXAP	13	37393125
cg00290506	0.015488364115277	CNIH3	1	224804226
cg00291877	0.0342980995487768	SNRPA1	15	101835933
cg00292662	0.0158882226963859	LGALS1	22	38071168
cg00292971	0.919244484498886	FAM131B	7	143060536
cg00293409	0.0236850271856923	LRRC33	3	196366669
cg00294382	0.38082022046965	IL23A	12	56732721
cg00295206	0.0189377822808863	RAB7A	3	128444813
cg00295325	0.689616607417922	ABCB11	2	169887932
cg00296685	0.0294321445925016	NA	NA	0
cg00297584	0.346510162632464	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.823062141062424	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0155222924888818	PPP3CA	4	102268125
cg00303548	0.0153188977376667	HS6ST3	13	96742413
cg00304278	0.0334478145464841	NA	NA	0
cg00307685	0.906604001096917	BRDT	1	92415524
cg00308133	0.00983277800113864	GAMT	19	1401118
cg00308665	0.207304659413342	HTR2A	13	47469654
cg00309056	0.0215695001632265	STARD3NL	7	38218112
cg00309204	0.0220702371449957	C17orf61	17	7307432
cg00311768	0.450905249422208	TSTA3	8	144698857
cg00312919	0.0103491793852125	STARD3NL	7	38217710
cg00314943	0.927703874991997	ALPPL2	2	233270750
cg00315936	0.0459167909504438	SND1	7	127292739
cg00317680	0.0765054124751501	MTERFD1;PTDSS1	8	97274070
cg00318573	0.259806235398399	CHRNA4	20	61993118
cg00318865	0.0150930414414566	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.00976260648033476	PKMYT1	16	3030447
cg00320243	0.0131596611457343	RAB3A	19	18314691
cg00321065	0.0197958573462209	RLF	1	40627063
cg00321478	0.49239377397203	CRB1	1	197238398
cg00323915	0.680025593491577	GIMAP4	7	150264987
cg00324733	0.0171574226218282	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.110769017960501	DLAT	11	111896498
cg00327483	0.969389394088086	CASQ1	1	160160587
cg00328227	0.434610746811763	C1orf59	1	109204325
cg00331237	0.0946503892646853	CSRP2	12	77273319
cg00331433	0.0142074388636869	SYAP1	X	16737800
cg00332153	0.713569000575892	BANK1	4	102712010
cg00332745	0.0137014030830665	NOL3	16	67208247
cg00333226	0.518070841727475	VWC2	7	49813763
cg00333528	0.31939245898342	GABRR1	6	89927485
cg00334507	0.743750507021742	PRRT2	16	29824599
cg00335286	0.573646277387016	MC2R	18	13916355
cg00336605	0.0224402845373949	NR1H2	19	50879437
cg00338702	0.0417611267220022	CHFR	12	133463694
cg00338893	0.0250510219818014	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.24218521033342	GARNL3	9	130027020
cg00343092	0.0171895726498763	TSPO	22	43547974
cg00344358	0.930882407531969	GDF11	12	56135693
cg00344372	0.825462837326517	HGFAC	4	3443625
cg00344709	0.833072471210206	POTED	21	14982225
cg00346145	0.0475964614657286	RPL34;LOC285456	4	109541559
cg00347729	0.473115031969912	MMP10	11	102651753
cg00347904	0.496457095077367	SCUBE3	6	35182508
cg00350296	0.503615209232147	CD248	11	66084841
cg00350478	0.64687744406397	FRMD1	6	168480013
cg00350702	0.0205979448714997	ERGIC3	20	34129927
cg00351011	0.0144870191998118	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.913027047333263	ZIM2	19	57306738
cg00354572	0.111420456146288	ACSS3	12	81471419
cg00355802	0.025426490122528	DUSP4	8	29208983
cg00359325	0.0336808181046626	USP4	3	49377419
cg00359973	0.0973052222850039	RIBC1;SMC1A	X	53449900
cg00363813	0.606872944978359	IFFO1	12	6664872
cg00364344	0.0153555968730158	NA	NA	0
cg00364814	0.908771858645293	R3HDM2	12	57691455
cg00365193	0.22220916358194	NA	NA	0
cg00367281	0.818106038595366	CHRNB3	8	42552470
cg00367438	0.0358587182567524	TMUB1	7	150780797
cg00368022	0.01798883584988	C5orf22;RNASEN	5	31532653
cg00368415	0.0113090853201802	SNX27	1	151584398
cg00371195	0.963097384611575	F2	11	46740481
cg00374717	0.926302553952935	ARSG	17	66303145
cg00375964	0.0260619286619431	ABCE1;ANAPC10	4	146019130
cg00376639	0.0730616167207802	ZNF581	19	56155151
cg00380464	0.0168791580632473	LTV1	6	144164650
cg00381076	0.0233330145590225	C18orf54	18	51884797
cg00382515	0.0129743621498521	MRPL44	2	224822229
cg00382991	0.029852626883937	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.224100673406663	TGFBI	5	135364970
cg00387170	0.0297697403649367	FOXP4	6	41514002
cg00392257	0.27904302852815	ISG20L2	1	156696747
cg00393585	0.0349668824102698	C4orf39;TRIM61	4	165878091
cg00394658	0.570872094257525	PTPRJ	11	48001669
cg00396163	0.0180572804697072	DNAH6	2	84743584
cg00396894	0.720426373957726	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0396040653072056	PPOX	1	161136321
cg00398048	0.0963801910695047	AGA	4	178364342
cg00399483	0.422619958120887	DCC	18	49868378
cg00400028	0.12218295874235	NA	NA	0
cg00400263	0.581563483146659	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.11593784147866	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.444615686222016	TSC22D3	X	107018431
cg00405070	0.0182918176723966	ERP29;TMEM116	12	112450647
cg00405568	0.0250678726827344	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.71689005839826	RFPL3	22	32753939
cg00407150	0.684078335648291	HHATL	3	42743794
cg00410419	0.0206793013575787	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.162296511546135	STC1	8	23712355
cg00410921	0.317442150056127	NA	NA	0
cg00411097	0.370872931446008	TMEM184A	7	1596050
cg00412772	0.622328790577564	YIF1B;C19orf33	19	38794845
cg00412805	0.84294224695739	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.085033320525515	NA	NA	0
cg00415494	0.783912565813747	NA	NA	0
cg00415978	0.0863923421568329	SYNPO2	4	119809925
cg00415993	0.755168677216818	F2RL2;IQGAP2	5	75919188
cg00417297	0.0164518698145298	ZNF619	3	40518742
cg00418150	0.506984632873719	ALX4	11	44327869
cg00419564	0.0276102400969115	S100A6	1	153508860
cg00420568	0.0606366635143609	SHC3	9	91794904
cg00420715	0.0121016533145181	VPS13B	8	100025364
cg00420929	0.297974438670639	PGPEP1	19	18451112
cg00422913	0.0222047656934966	C17orf91;WDR81	17	1619022
cg00424946	0.0174667851244661	SNTB2	16	69221172
cg00425710	0.852616680732803	MT1A	16	56672671
cg00425792	0.0320264638795097	PEX12	17	33905503
cg00426056	0.0145872467849605	CUTA	6	33385896
cg00426498	0.285134512685111	MYO18A	17	27507667
cg00426963	0.0239295453285675	KIF27	9	86535755
cg00427635	0.146792896018165	TBC1D21	15	74166372
cg00429618	0.172852578251332	ZNF322B	9	99962350
cg00430287	0.82855398313033	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.461504581022431	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.104073874218337	MGP	12	15039025
cg00432979	0.0254934134691766	MRP63;SKA3	13	21750473
cg00433406	0.928158328693063	VWA5B1	1	20616975
cg00434413	0.983317578955036	RENBP;NAA10	X	153201653
cg00435408	0.0333891679444042	FAM192A;RSPRY1	16	57220662
cg00436282	0.926861117204796	STATH	4	70861449
cg00436301	0.0166649038786126	NT5DC1	6	116421736
cg00436603	0.458101735256283	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.00917445301746882	STOML1	15	74284481
cg00443307	0.800545243031985	KLRG1	12	9141740
cg00445824	0.0674015199426103	ISYNA1	19	18548929
cg00446235	0.0919504265881687	TSTD1	1	161008644
cg00447208	0.504018518590179	TMC8;TMC6	17	76126301
cg00448720	0.746480460454874	C1QTNF9	13	24883014
cg00449941	0.0201406723525093	SPAG5	17	26926011
cg00451635	0.300436234533071	EMP2	16	10675030
cg00453193	0.031535650482509	TES	7	115851050
cg00453258	0.776320834537608	CALHM1	10	105219172
cg00459975	0.0659187339731189	INTS9;HMBOX1	8	28749099
cg00461841	0.560730093431435	ATF7IP2	16	10523485
cg00462311	0.0567577608509466	NFATC4	14	24837184
cg00462994	0.405669431760366	NAGS;PYY	17	42081955
cg00463202	0.788167384674762	ADPRHL1	13	114107710
cg00463577	0.0192958374156245	C6orf150	6	74161911
cg00463848	0.68946666665021	KRT2	12	53046105
cg00464269	0.0169201474824033	TNFAIP1;IFT20	17	26662842
cg00465284	0.369284922495751	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0161878395250838	NA	NA	0
cg00466249	0.371300790456029	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0161690874270912	C14orf101	14	57046243
cg00468146	0.194034152333499	ID4	6	19838211
cg00469635	0.00936396899945318	PPME1;C2CD3	11	73882471
cg00471562	0.0147239397888682	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0168707972896543	ADAMTS1	21	28217676
cg00474004	0.846223630093074	IFNA14	9	21239944
cg00474209	0.042264200056899	DLL1	6	170600060
cg00475955	0.0119606259157309	C9orf114	9	131592049
cg00476577	0.0642193156775521	NA	NA	0
cg00476580	0.00957073423398733	ANP32E	1	150207583
cg00479269	0.0249513214565375	C2orf29	2	101869975
cg00480115	0.506223413198885	FXYD3	19	35606877
cg00480209	0.0134011647515748	SCO1;C17orf48	17	10600689
cg00480356	0.0444878543335574	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0136534910079588	DDX41	5	176943504
cg00485296	0.00823841477627289	NME3	16	1821559
cg00485380	0.0153028258842605	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0164615106232394	SOCS1	16	11349568
cg00488300	0.911331557812378	NA	NA	0
cg00488364	0.75062860750143	IL13RA2	X	114253315
cg00488718	0.0151171362336887	MFSD8;C4orf29	4	128887044
cg00489401	0.683294321707757	FLT4	5	180075875
cg00491404	0.859192387653989	EPS8L3	1	110306591
cg00491839	0.0477789080383007	PPP1R15A	19	49375640
cg00493400	0.0149994205966662	STAT1	2	191879127
cg00495415	0.0147374862530147	SP1	12	53773795
cg00495442	0.0253292940261499	RALGAPB	20	37101172
cg00495491	0.825186922459165	NA	NA	0
cg00496170	0.0118622605993749	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.640182694043333	PPEF1	X	18709116
cg00497251	0.0458384075606789	RNPEPL1	2	241508725
cg00498305	0.625216980097882	SLC18A2	10	119000236
cg00498604	0.0541762494257754	TLL1	4	166793789
cg00499599	0.0179622451910222	C21orf57;MCM3AP	21	47706392
cg00499822	0.580139658062936	CXCL12	10	44881551
cg00500400	0.0220559706182258	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.014883044959591	ZDHHC14	6	157801893
