Hybridization REF	TCGA-E2-A15O-01A-11D-A112-05	TCGA-E2-A15O-01A-11D-A112-05	TCGA-E2-A15O-01A-11D-A112-05	TCGA-E2-A15O-01A-11D-A112-05
cg00230271	0.0222262684261399	TBCK;AIMP1	4	107237183
cg00230368	0.0245663931414762	IGF2R	6	160389833
cg00230502	0.681209955981636	CCDC60	12	119772381
cg00230685	0.714743163353792	SCML1	X	17755839
cg00231140	0.0985637273360974	ACAA2;SCARNA17	18	47339702
cg00231644	0.227270878209145	TUBB2A	6	3158512
cg00231920	0.0242553709521902	VPS16;FAM113A	20	2821308
cg00233307	0.594544629635802	MAP4K1;EIF3K	19	39109076
cg00234616	0.722661015427197	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0332952726351478	RARA	17	38465489
cg00237010	0.0516967486536705	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.957378893510514	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0548612666370951	TTC21A;GORASP1	3	39148342
cg00240312	0.0142378554604646	NA	NA	0
cg00240432	0.0269325360777351	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.021010316195447	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.140279155381819	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0246716725706612	CR2	1	207628182
cg00250430	0.740051763522563	DMRT2	9	1051579
cg00253200	0.0208262865895127	C3orf59	3	192636074
cg00256074	0.951569629789067	MYLPF	16	30386150
cg00256166	0.0335254286758791	KLHL25	15	86338428
cg00256281	0.00819770261152801	PMM1	22	41985642
cg00259755	0.0288672459511124	PWWP2B	10	134209763
cg00260778	0.196296720148876	NA	NA	0
cg00261552	0.031743978893047	CREBL2	12	12764894
cg00261781	0.00881567021623012	MATN3	2	20212517
cg00262415	0.0370647157488846	PUSL1;ACAP3	1	1242732
cg00263723	0.0657175082278347	NA	NA	0
cg00263760	0.723688254773147	VAX1	10	118897366
cg00265415	0.00808972911315595	B3GALNT2	1	235667507
cg00265490	0.0240721920042137	MTDH	8	98655845
cg00268009	0.0124385858557419	ADH5	4	100010211
cg00268338	0.0114841724207655	HECTD2;LOC100188947	10	93169495
cg00269115	0.0143171553401102	C1orf213;ZNF436	1	23695530
cg00269932	0.873178773176188	NA	NA	0
cg00273068	0.187094978192809	EMILIN3	20	39995747
cg00273124	0.585346248881519	NHP2	5	177581512
cg00274399	0.142729573837859	FGF9	13	22245420
cg00275232	0.0178566751335119	ZNF296	19	45579541
cg00276797	0.0147108611624599	SLK	10	105726614
cg00278366	0.426276598025092	RAD9B;VPS29	12	110940287
cg00279797	0.18948976429807	AMMECR1	X	109561918
cg00280814	0.918144106610338	ZDHHC8P	22	23745389
cg00280894	0.0990290794422375	NA	NA	0
cg00282347	0.497403312814394	CHD5	1	6241040
cg00282683	0.00967711331847498	UBE3C	7	156931995
cg00283535	0.933019041298167	ANXA13	8	124749564
cg00288562	0.069248737309023	TRA2A	7	23571645
cg00290028	0.0218838566850843	RFXAP	13	37393125
cg00290506	0.327567805170221	CNIH3	1	224804226
cg00291877	0.0620197077713758	SNRPA1	15	101835933
cg00292662	0.0117932611993477	LGALS1	22	38071168
cg00292971	0.868528973782497	FAM131B	7	143060536
cg00293409	0.0505428098371455	LRRC33	3	196366669
cg00294382	0.444951127476839	IL23A	12	56732721
cg00295206	0.0269469340152883	RAB7A	3	128444813
cg00295325	0.506132474381897	ABCB11	2	169887932
cg00296685	0.366342141433251	NA	NA	0
cg00297584	0.032939983199883	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.9200528752571	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0220387305871269	PPP3CA	4	102268125
cg00303548	0.0135448439966203	HS6ST3	13	96742413
cg00304278	0.0454296537065566	NA	NA	0
cg00307685	0.952734643507737	BRDT	1	92415524
cg00308133	0.0062771635490689	GAMT	19	1401118
cg00308665	0.474397748413686	HTR2A	13	47469654
cg00309056	0.0190448651031738	STARD3NL	7	38218112
cg00309204	0.022525288487328	C17orf61	17	7307432
cg00311768	0.200177651823865	TSTA3	8	144698857
cg00312919	0.0362184153124988	STARD3NL	7	38217710
cg00314943	0.900540710810133	ALPPL2	2	233270750
cg00315936	0.062794235796926	SND1	7	127292739
cg00317680	0.168144284054401	MTERFD1;PTDSS1	8	97274070
cg00318573	0.276421719457669	CHRNA4	20	61993118
cg00318865	0.00961582931052903	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.00582108909689008	PKMYT1	16	3030447
cg00320243	0.0129510376007555	RAB3A	19	18314691
cg00321065	0.0150949417399846	RLF	1	40627063
cg00321478	0.369777721380486	CRB1	1	197238398
cg00323915	0.511316512225065	GIMAP4	7	150264987
cg00324733	0.0182457799920957	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.0629532388444821	DLAT	11	111896498
cg00327483	0.980817092988055	CASQ1	1	160160587
cg00328227	0.289188617605812	C1orf59	1	109204325
cg00331237	0.0256931305274514	CSRP2	12	77273319
cg00331433	0.0127248378498605	SYAP1	X	16737800
cg00332153	0.848815432299588	BANK1	4	102712010
cg00332745	0.0178184071844694	NOL3	16	67208247
cg00333226	0.597729004591663	VWC2	7	49813763
cg00333528	0.280679838377651	GABRR1	6	89927485
cg00334507	0.396508806101181	PRRT2	16	29824599
cg00335286	0.18794140513148	MC2R	18	13916355
cg00336605	0.0374755365610873	NR1H2	19	50879437
cg00338702	0.0217208576496437	CHFR	12	133463694
cg00338893	0.0210996249076031	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.0951860070748213	GARNL3	9	130027020
cg00343092	0.0199779271731535	TSPO	22	43547974
cg00344358	0.948723899234298	GDF11	12	56135693
cg00344372	0.91030501301656	HGFAC	4	3443625
cg00344709	0.572397582953735	POTED	21	14982225
cg00346145	0.0305629155313783	RPL34;LOC285456	4	109541559
cg00347729	0.222844100356525	MMP10	11	102651753
cg00347904	0.145226121825875	SCUBE3	6	35182508
cg00350296	0.724558901408461	CD248	11	66084841
cg00350478	0.687824381881574	FRMD1	6	168480013
cg00350702	0.0136057220500896	ERGIC3	20	34129927
cg00351011	0.013072203333339	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.940619947250249	ZIM2	19	57306738
cg00354572	0.151684562745979	ACSS3	12	81471419
cg00355802	0.0520074897205196	DUSP4	8	29208983
cg00359325	0.0469287200246347	USP4	3	49377419
cg00359973	0.0363047423009391	RIBC1;SMC1A	X	53449900
cg00363813	0.780002878246057	IFFO1	12	6664872
cg00364344	0.0169654994274221	NA	NA	0
cg00364814	0.925349130894454	R3HDM2	12	57691455
cg00365193	0.161029538358392	NA	NA	0
cg00367281	0.436402053541109	CHRNB3	8	42552470
cg00367438	0.0270366649216081	TMUB1	7	150780797
cg00368022	0.0199899714498958	C5orf22;RNASEN	5	31532653
cg00368415	0.00774140156711632	SNX27	1	151584398
cg00371195	0.957278418649781	F2	11	46740481
cg00374717	0.939965523728932	ARSG	17	66303145
cg00375964	0.220022225266253	ABCE1;ANAPC10	4	146019130
cg00376639	0.0479246925813306	ZNF581	19	56155151
cg00380464	0.0388510114594201	LTV1	6	144164650
cg00381076	0.049104625700612	C18orf54	18	51884797
cg00382515	0.0142329457263869	MRPL44	2	224822229
cg00382991	0.025964286453253	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.72731375914935	TGFBI	5	135364970
cg00387170	0.0217698483702017	FOXP4	6	41514002
cg00392257	0.106556278386011	ISG20L2	1	156696747
cg00393585	0.0556437615397734	C4orf39;TRIM61	4	165878091
cg00394658	0.163262706172473	PTPRJ	11	48001669
cg00396163	0.0191229660029795	DNAH6	2	84743584
cg00396894	0.798327553757662	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0276993850684972	PPOX	1	161136321
cg00398048	0.0962381077342967	AGA	4	178364342
cg00399483	0.6723828895227	DCC	18	49868378
cg00400028	0.322613209650501	NA	NA	0
cg00400263	0.990460357449701	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.032862808173442	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.36773825066125	TSC22D3	X	107018431
cg00405070	0.0145885164763889	ERP29;TMEM116	12	112450647
cg00405568	0.0764623372974722	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.794454758252421	RFPL3	22	32753939
cg00407150	0.375050886065357	HHATL	3	42743794
cg00410419	0.0264325710001345	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.0731598186599009	STC1	8	23712355
cg00410921	0.189124743849983	NA	NA	0
cg00411097	0.117396029285904	TMEM184A	7	1596050
cg00412772	0.489829427532496	YIF1B;C19orf33	19	38794845
cg00412805	0.973150961804684	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.635064062118064	NA	NA	0
cg00415494	0.735532294466356	NA	NA	0
cg00415978	0.0490195119726525	SYNPO2	4	119809925
cg00415993	0.743443082595984	F2RL2;IQGAP2	5	75919188
cg00417297	0.0141746224597316	ZNF619	3	40518742
cg00418150	0.766948601965898	ALX4	11	44327869
cg00419564	0.0130217372785907	S100A6	1	153508860
cg00420568	0.075933898124693	SHC3	9	91794904
cg00420715	0.0372674106588427	VPS13B	8	100025364
cg00420929	0.167133031222763	PGPEP1	19	18451112
cg00422913	0.0180360480597887	C17orf91;WDR81	17	1619022
cg00424946	0.0149520080784786	SNTB2	16	69221172
cg00425710	0.934913250250281	MT1A	16	56672671
cg00425792	0.0291764890841473	PEX12	17	33905503
cg00426056	0.0127195357888532	CUTA	6	33385896
cg00426498	0.101000021385487	MYO18A	17	27507667
cg00426963	0.0156726713858182	KIF27	9	86535755
cg00427635	0.484611877610733	TBC1D21	15	74166372
cg00429618	0.0995642244050509	ZNF322B	9	99962350
cg00430287	0.439889564970896	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.676556756440461	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.093871217600285	MGP	12	15039025
cg00432979	0.0214680476761657	MRP63;SKA3	13	21750473
cg00433406	0.957179393976063	VWA5B1	1	20616975
cg00434413	0.982349370987766	RENBP;NAA10	X	153201653
cg00435408	0.0490497497056708	FAM192A;RSPRY1	16	57220662
cg00436282	0.246651446843469	STATH	4	70861449
cg00436301	0.0145314003046468	NT5DC1	6	116421736
cg00436603	0.457018371922861	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.0114398084957843	STOML1	15	74284481
cg00443307	0.879020115889498	KLRG1	12	9141740
cg00445824	0.154090764990155	ISYNA1	19	18548929
cg00446235	0.117965335099761	TSTD1	1	161008644
cg00447208	0.759081521888008	TMC8;TMC6	17	76126301
cg00448720	0.717553557551487	C1QTNF9	13	24883014
cg00449941	0.0176738804635666	SPAG5	17	26926011
cg00451635	0.0738571451019953	EMP2	16	10675030
cg00453193	0.355385723505008	TES	7	115851050
cg00453258	0.872531172202873	CALHM1	10	105219172
cg00459975	0.0155366328794909	INTS9;HMBOX1	8	28749099
cg00461841	0.564927882565799	ATF7IP2	16	10523485
cg00462311	0.0567599156133872	NFATC4	14	24837184
cg00462994	0.707772829107241	NAGS;PYY	17	42081955
cg00463202	0.876930041944248	ADPRHL1	13	114107710
cg00463577	0.0160922948651161	C6orf150	6	74161911
cg00463848	0.768376737418577	KRT2	12	53046105
cg00464269	0.00966280416674581	TNFAIP1;IFT20	17	26662842
cg00465284	0.174820402507023	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0104517505850615	NA	NA	0
cg00466249	0.0774351930084878	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0154074076175182	C14orf101	14	57046243
cg00468146	0.685132256710993	ID4	6	19838211
cg00469635	0.00695928277002958	PPME1;C2CD3	11	73882471
cg00471562	0.0103965467370083	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0284337989770937	ADAMTS1	21	28217676
cg00474004	0.380795209390751	IFNA14	9	21239944
cg00474209	0.0292900758165696	DLL1	6	170600060
cg00475955	0.0100048972630743	C9orf114	9	131592049
cg00476577	0.0340222971832591	NA	NA	0
cg00476580	0.00778515290596984	ANP32E	1	150207583
cg00479269	0.0345587018025325	C2orf29	2	101869975
cg00480115	0.0992192374003939	FXYD3	19	35606877
cg00480209	0.0110572624206851	SCO1;C17orf48	17	10600689
cg00480356	0.0882889196577634	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.00986443528135248	DDX41	5	176943504
cg00485296	0.00442284689729924	NME3	16	1821559
cg00485380	0.0187402223197611	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0168158342408262	SOCS1	16	11349568
cg00488300	0.962479908131836	NA	NA	0
cg00488364	0.60299594524987	IL13RA2	X	114253315
cg00488718	0.0147137345398839	MFSD8;C4orf29	4	128887044
cg00489401	0.866895702591967	FLT4	5	180075875
cg00491404	0.910463626638743	EPS8L3	1	110306591
cg00491839	0.0782387581948935	PPP1R15A	19	49375640
cg00493400	0.0164901447124644	STAT1	2	191879127
cg00495415	0.0120684490981831	SP1	12	53773795
cg00495442	0.0473403363201245	RALGAPB	20	37101172
cg00495491	0.655108928785223	NA	NA	0
cg00496170	0.0146815295899438	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.372112288182104	PPEF1	X	18709116
cg00497251	0.0193638587919866	RNPEPL1	2	241508725
cg00498305	0.377720588612767	SLC18A2	10	119000236
cg00498604	0.490962715009686	TLL1	4	166793789
cg00499599	0.0136447468199789	C21orf57;MCM3AP	21	47706392
cg00499822	0.817314346119962	CXCL12	10	44881551
cg00500400	0.0220426021156135	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.00911576605128788	ZDHHC14	6	157801893
