Hybridization REF	TCGA-A8-A09G-01A-21D-A00Y-05	TCGA-A8-A09G-01A-21D-A00Y-05	TCGA-A8-A09G-01A-21D-A00Y-05	TCGA-A8-A09G-01A-21D-A00Y-05
cg00049986	0.0888406883591799	NA	NA	0
cg00050312	0.0144974733192019	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0339100899548739	C10orf4	10	95462161
cg00053292	0.028039341137071	TACO1	17	61678300
cg00053647	0.0438788660517226	C7orf28B	7	6866072
cg00054706	0.0148456384698791	C1D	2	68289972
cg00055233	0.236721379352205	RLN1	9	5339677
cg00056767	0.0197894582375101	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.34110152306853	GLRA1	5	151304357
cg00059424	0.0220196593337017	PES1	22	30988148
cg00059740	0.0137876576084634	C7orf49	7	134855689
cg00059930	0.829202127075047	RB1	13	48894382
cg00060762	0.0196398709037162	LEO1	15	52264133
cg00060882	0.113368889653448	EIF2S3	X	24072811
cg00061059	0.0350224613544147	TECR	19	14640983
cg00061629	0.84127047150045	ALX4	11	44325258
cg00062776	0.473624155460936	TULP2	19	49402424
cg00063144	0.8837742092932	KRT31	17	39554055
cg00065385	0.967321594179543	ACTL7A	9	111623395
cg00065408	0.0244557914149846	CACNB3	12	49212475
cg00066153	0.941049850649894	ACRV1	11	125550744
cg00066816	0.0983222776730923	IL12B	5	158758353
cg00067471	0.0380346197833931	ATP5D	19	1241377
cg00069261	0.0269358681186603	CDR2	16	22386531
cg00071250	0.677297732075741	FASLG	1	172628263
cg00071998	0.0222310203170068	MSH5	6	31708121
cg00072216	0.0145700655593967	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.686130523913889	STRA6	15	74495354
cg00076645	0.0166200798161901	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.812458067274507	ASAP1	8	131414474
cg00078194	0.0148146617723136	MDK	11	46402949
cg00078867	0.508037311808656	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.00829523443703502	ARFGAP3	22	43253521
cg00080012	0.0117204599557993	EED	11	85955689
cg00081935	0.0303330965444454	TSPAN9	12	3186906
cg00081975	0.0635312152525339	ABCC3	17	48712370
cg00083720	0.0137833356557809	NA	NA	0
cg00083937	0.446153474021693	MAPK8IP2	22	51039805
cg00084687	0.0152948614619806	GATAD1	7	92076896
cg00089071	0.00940945281139074	PCGF2	17	36905809
cg00090147	0.10786482787684	GATA4	8	11562367
cg00091693	0.724451651076495	KRT20	17	39041602
cg00093177	0.862549363637543		17	37185495
cg00094319	0.908581156006767	PABPC3	13	25670530
cg00094851	0.0792916175497038	KIF3C	2	26205706
cg00095526	0.763464624009864	CACNA1S	1	201081686
cg00095674	0.0547003101802436	PLEKHO1	1	150122654
cg00096922	0.0208199552622674	DLX5	7	96654185
cg00097536	0.011034598682144	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0126958479626273	PNPLA6	19	7599173
cg00099550	0.0155676814243372	NA	NA	0
cg00101227	0.79291021578182	MPZ	1	161280266
cg00103783	0.0132543080366094	MPDU1	17	7487249
cg00105253	0.0291017775501152	NUDT14	14	105647194
cg00105470	0.018905805496676	C1orf35	1	228290868
cg00107187	0.186916513118706	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0107658627874441	PGM2	4	37828500
cg00108454	0.23780003560001	C1QA	1	22963614
cg00109274	0.00959561060348219	DGKH	13	42623032
cg00112517	0.563028126178433	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.205848014824208	CABP1	12	121078090
cg00115714	0.0274237679761188	AMD1	6	111196112
cg00116234	0.0326584142062204	ADAMTSL1	9	18474243
cg00116838	0.046455066741404	RTN2;FLJ40125	19	46001746
cg00117172	0.161891246874739	RUNX3	1	25255838
cg00119079	0.0253263618257056	LAMP3	3	182880278
cg00121158	0.0117289942059148	KDM4C	9	6757826
cg00121640	0.0710232468623891	ASTN2	9	120176515
cg00121904	0.231861468107543	MAOB	X	43741826
cg00123035	0.0212123780531458	RFX5	1	151319538
cg00126034	0.0219836723952012	WNT3	17	44896162
cg00126657	0.102930995665767	SSX6	X	47967250
cg00126698	0.624956478808408	BTK	X	100640503
cg00128197	0.352209083631358	HSD17B10	X	53461455
cg00128560	0.938631710603057	TIGD7	16	3352013
cg00128654	0.0136672443253073	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0662754162033797	MKNK1	1	47070178
cg00129774	0.0209408930020454	CDK2;SILV	12	56360414
cg00131121	0.0232681045892055	POLR2J	7	102119710
cg00131557	0.924981106641244	DNAJC15	13	43596656
cg00132141	0.666034672874398	CTNNA3	10	69456307
cg00133909	0.0305896612858531	CD276	15	73977201
cg00134539	0.811372740876231	UBASH3A	21	43824071
cg00134787	0.321578378621787	MYH1	17	10419499
cg00135056	0.123596255193118	C3orf37	3	128997295
cg00135393	0.280526268882245	NA	NA	0
cg00136105	0.0150969859765246	GNPTAB	12	102224911
cg00136405	0.146423500597144	IL21	4	123542198
cg00136477	0.74080720502115	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.321304013970639	PMEPA1	20	56286697
cg00141162	0.505512424938478	HCLS1	3	121379777
cg00141550	0.60041756438731	NA	NA	0
cg00141845	0.0734402585346837	UPRT	X	74493352
cg00143376	0.454189872443333	NMUR1	2	232394702
cg00143998	0.0271624918056152	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.340409415746336	GNPDA1	5	141393931
cg00145348	0.513363984177484	APEX2	X	55026862
cg00146096	0.0135741683574502	FANCF	11	22647309
cg00149659	0.0232728145637329	C3orf10	3	10157352
cg00149976	0.0133980352725167	MGLL	3	127541529
cg00151234	0.511125067783242	PGK1	X	77359363
cg00151607	0.0109897980116066	TRAPPC2L;GALNS	16	88923507
cg00152644	0.791358335481298	SPRR2E	1	153068236
cg00155167	0.0244248944809612	VPS13B	8	100025831
cg00155485	0.0251702376149336	MED13L	12	116714600
cg00155609	0.0177261027223384	PRDX2	19	12912527
cg00156216	0.018455753004825	APLP2	11	129939849
cg00156744	0.0109984271176245	STK10	5	171615663
cg00158308	0.187421806385076	OXGR1	13	97646341
cg00160914	0.071620379100422	DDX20;C1orf183	1	112299263
cg00162401	0.0212492645898877	GSTA4	6	52859823
cg00162643	0.0245886119594153	DDX58	9	32526492
cg00164041	0.0184803316024795	NA	NA	0
cg00164898	0.0178264235704668	MAPK11	22	50709127
cg00165981	0.0335869538244637	COL4A3BP;POLK	5	74808039
cg00167504	0.018147057846298	BLVRA	7	43798622
cg00168082	0.0224149716757935	ABL1	9	133589177
cg00168785	0.0894888188663005	WDSUB1	2	160142643
cg00168942	0.666383677180355	GJD4	10	35894430
cg00169548	0.185161683185928	NA	NA	0
cg00171126	0.0226990877010213	WRB	21	40752522
cg00171161	0.0473601169246871	NUDT9	4	88343636
cg00174500	0.789722152667704	CMTM5	14	23846479
cg00174901	0.218676846599602	PALM	19	709889
cg00176210	0.802952339772018	ANK1	8	41654967
cg00176879	0.992311118022178	VPS16;PTPRA	20	2843525
cg00177013	0.0429426272058065	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0182479266600257	PNPO	17	46018875
cg00177923	0.0144832833197557	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.103630927514674	UPF3B	X	118986947
cg00180012	0.020617978588142	LACE1	6	108615929
cg00180631	0.456805497590182	MTM1	X	149736640
cg00182461	0.0413882959294264	NA	NA	0
cg00183782	0.81812105899127	NA	NA	0
cg00183916	0.0128160141393111	HS3ST3B1	17	14204936
cg00184884	0.0124002994312764	SFI1	22	31892343
cg00184893	0.0172542262696585	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0191814394355465	LRDD	11	804954
cg00186141	0.0116078172186155	PODXL	7	131241768
cg00186701	0.096362454668927	TSPYL5	8	98290510
cg00186954	0.893214102589321	ST5;C11orf17	11	8933980
cg00187380	0.0620176681821403	HOXC4;HOXC5	12	54427384
cg00187686	0.139366569638848	TCN1	11	59634218
cg00188348	0.619321452099529	NA	NA	0
cg00191052	0.690566735820184	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0163357511211973	FAM53C	5	137673669
cg00197641	0.0192520913864762	MRPL52	14	23299461
cg00199549	0.422063520654186	MCM5	22	35795374
cg00200063	0.0111874681667994	USP32	17	58469941
cg00201234	0.419313191158311	FBLN2	3	13590968
cg00202702	0.0140606735826956	C11orf70	11	101918157
cg00202711	0.776368301201911	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0285102571363681	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0224670781008732	KIAA0174	16	71929512
cg00208830	0.70691352278456	LAMC2	1	183154778
cg00208967	0.199088402981566	OLFM2	19	10047924
cg00209066	0.868526013825455	BRD1	22	50218923
cg00209951	0.0616193546356223	DENND2C	1	115212834
cg00210842	0.0279565340374767	APAF1;IKBIP	12	99039578
cg00211661	0.0150391904839963	ARAP1	11	72433619
cg00212549	0.055898054777455	NA	NA	0
cg00213044	0.643050773269548	KRT6A	12	52886438
cg00213331	0.937854356475937	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0128599408863645	NA	NA	0
cg00214794	0.749694474446707	NA	NA	0
cg00214855	0.173148899185737	CCDC90A	6	13813947
cg00215066	0.975100928060831	MYO9B	19	17212316
cg00216361	0.0417711855133473	GAP43	3	115342527
cg00216758	0.0256544572856022	RASSF7;C11orf35	11	560589
cg00217795	0.375706989703037	DIO2	14	80677688
cg00221494	0.160056744876875	FARP1	13	98794593
cg00223186	0.0168938932759743	ACBD6	1	180472200
cg00223950	0.0272755242675394	UBR4	1	19536222
cg00224234	0.0108290013040773	GLOD4;RNMTL1	17	685693
cg00224508	0.0157019156854877	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.842581840764957	FGD2	6	36972027
cg00228799	0.0192848233223624	ENDOG	9	131580591
cg00229387	0.0996156089002861	TJAP1	6	43445942
cg00230271	0.0367728789070021	TBCK;AIMP1	4	107237183
cg00230368	0.0165212007945451	IGF2R	6	160389833
cg00230502	0.0443321317430916	CCDC60	12	119772381
cg00230685	0.539226660292737	SCML1	X	17755839
cg00231140	0.0305982437801899	ACAA2;SCARNA17	18	47339702
cg00231644	0.171310973070169	TUBB2A	6	3158512
cg00231920	0.0219592570353641	VPS16;FAM113A	20	2821308
cg00233307	0.0138375278222957	MAP4K1;EIF3K	19	39109076
cg00234616	0.675716758096215	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0940192285661119	RARA	17	38465489
cg00237010	0.330171027900405	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.952273674621251	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.029775991355042	TTC21A;GORASP1	3	39148342
cg00240312	0.0669796403846045	NA	NA	0
cg00240432	0.0239705490797715	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.014889563911527	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.0169417810895221	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0194218364705413	CR2	1	207628182
cg00250430	0.559244840783866	DMRT2	9	1051579
cg00253200	0.0139335748749186	C3orf59	3	192636074
cg00256074	0.944264226558787	MYLPF	16	30386150
cg00256166	0.0197930761521767	KLHL25	15	86338428
cg00256281	0.0124853049500437	PMM1	22	41985642
cg00259755	0.0409482217605234	PWWP2B	10	134209763
cg00260778	0.404448512912068	NA	NA	0
cg00261552	0.0334978906071926	CREBL2	12	12764894
cg00261781	0.0147504321342346	MATN3	2	20212517
cg00262415	0.0182094119463182	PUSL1;ACAP3	1	1242732
cg00263723	0.0130245368848734	NA	NA	0
cg00263760	0.0849425574716467	VAX1	10	118897366
cg00265415	0.009362402740591	B3GALNT2	1	235667507
cg00265490	0.0461052627029595	MTDH	8	98655845
cg00268009	0.0156188363701113	ADH5	4	100010211
cg00268338	0.0151846140839587	HECTD2;LOC100188947	10	93169495
cg00269115	0.0139475941842123	C1orf213;ZNF436	1	23695530
cg00269932	0.847604134500139	NA	NA	0
cg00273068	0.287762969112059	EMILIN3	20	39995747
cg00273124	0.524939367665464	NHP2	5	177581512
cg00274399	0.0297541993168638	FGF9	13	22245420
cg00275232	0.0184231317287814	ZNF296	19	45579541
cg00276797	0.0179075251569804	SLK	10	105726614
cg00278366	0.209824180158142	RAD9B;VPS29	12	110940287
cg00279797	0.0979304056224713	AMMECR1	X	109561918
cg00280814	0.848185262778173	ZDHHC8P	22	23745389
cg00280894	0.163412441796821	NA	NA	0
cg00282347	0.0360974620063832	CHD5	1	6241040
cg00282683	0.0129110316942156	UBE3C	7	156931995
cg00283535	0.840448699639013	ANXA13	8	124749564
cg00288562	0.0156065086237936	TRA2A	7	23571645
cg00290028	0.0114424445362626	RFXAP	13	37393125
cg00290506	0.0150002213068785	CNIH3	1	224804226
cg00291877	0.0256946103930796	SNRPA1	15	101835933
cg00292662	0.0165320625038796	LGALS1	22	38071168
cg00292971	0.925003405461142	FAM131B	7	143060536
cg00293409	0.0259781221739113	LRRC33	3	196366669
cg00294382	0.420343898131621	IL23A	12	56732721
cg00295206	0.0139849937165029	RAB7A	3	128444813
cg00295325	0.702612730809589	ABCB11	2	169887932
cg00296685	0.0260516748839626	NA	NA	0
cg00297584	0.0523284014970566	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.870709529872105	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0104105283252752	PPP3CA	4	102268125
cg00303548	0.0210036927306606	HS6ST3	13	96742413
cg00304278	0.042745812332828	NA	NA	0
cg00307685	0.886417527604703	BRDT	1	92415524
cg00308133	0.0111660123062076	GAMT	19	1401118
cg00308665	0.198762894282452	HTR2A	13	47469654
cg00309056	0.0191924527952556	STARD3NL	7	38218112
cg00309204	0.021755652510789	C17orf61	17	7307432
cg00311768	0.450044930328452	TSTA3	8	144698857
cg00312919	0.0151545136820495	STARD3NL	7	38217710
cg00314943	0.907929441185543	ALPPL2	2	233270750
cg00315936	0.0375843417153793	SND1	7	127292739
cg00317680	0.0821693641807492	MTERFD1;PTDSS1	8	97274070
cg00318573	0.512611583758583	CHRNA4	20	61993118
cg00318865	0.0128455456131969	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.00948416864244385	PKMYT1	16	3030447
cg00320243	0.0157159009940587	RAB3A	19	18314691
cg00321065	0.0187813749316902	RLF	1	40627063
cg00321478	0.349278895175301	CRB1	1	197238398
cg00323915	0.670193961434707	GIMAP4	7	150264987
cg00324733	0.0162782168795624	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.0678434300698078	DLAT	11	111896498
cg00327483	0.955713558459523	CASQ1	1	160160587
cg00328227	0.0961968464416527	C1orf59	1	109204325
cg00331237	0.0377590986652427	CSRP2	12	77273319
cg00331433	0.0119521122140153	SYAP1	X	16737800
cg00332153	0.651395365381173	BANK1	4	102712010
cg00332745	0.0178259261823452	NOL3	16	67208247
cg00333226	0.151365632439027	VWC2	7	49813763
cg00333528	0.346365766148841	GABRR1	6	89927485
cg00334507	0.843732994231628	PRRT2	16	29824599
cg00335286	0.677124502967802	MC2R	18	13916355
cg00336605	0.0283948186202088	NR1H2	19	50879437
cg00338702	0.024920693007994	CHFR	12	133463694
cg00338893	0.0255467961728622	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.172350370108656	GARNL3	9	130027020
cg00343092	0.0248353197971442	TSPO	22	43547974
cg00344358	0.923059600521537	GDF11	12	56135693
cg00344372	0.782344453365252	HGFAC	4	3443625
cg00344709	0.796984047287273	POTED	21	14982225
cg00346145	0.044359775005818	RPL34;LOC285456	4	109541559
cg00347729	0.265365742265696	MMP10	11	102651753
cg00347904	0.767422644252344	SCUBE3	6	35182508
cg00350296	0.602823416274095	CD248	11	66084841
cg00350478	0.655620162116421	FRMD1	6	168480013
cg00350702	0.0244717565820847	ERGIC3	20	34129927
cg00351011	0.0164584602909972	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.702245954476932	ZIM2	19	57306738
cg00354572	0.0480595561416648	ACSS3	12	81471419
cg00355802	0.0320922294506579	DUSP4	8	29208983
cg00359325	0.0238178601313993	USP4	3	49377419
cg00359973	0.0567049594570315	RIBC1;SMC1A	X	53449900
cg00363813	0.666013017720687	IFFO1	12	6664872
cg00364344	0.01356515800453	NA	NA	0
cg00364814	0.911517633184469	R3HDM2	12	57691455
cg00365193	0.116964870904253	NA	NA	0
cg00367281	0.782220102428946	CHRNB3	8	42552470
cg00367438	0.0395585618753735	TMUB1	7	150780797
cg00368022	0.0160926350851688	C5orf22;RNASEN	5	31532653
cg00368415	0.0130337242503429	SNX27	1	151584398
cg00371195	0.959998763894313	F2	11	46740481
cg00374717	0.948518645115057	ARSG	17	66303145
cg00375964	0.0265704959020384	ABCE1;ANAPC10	4	146019130
cg00376639	0.0454709581898583	ZNF581	19	56155151
cg00380464	0.0124780283632836	LTV1	6	144164650
cg00381076	0.0199511731636893	C18orf54	18	51884797
cg00382515	0.0130250807878819	MRPL44	2	224822229
cg00382991	0.0281982607991009	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.181826327598009	TGFBI	5	135364970
cg00387170	0.027086348822642	FOXP4	6	41514002
cg00392257	0.171359341432493	ISG20L2	1	156696747
cg00393585	0.038971596993907	C4orf39;TRIM61	4	165878091
cg00394658	0.650471190043799	PTPRJ	11	48001669
cg00396163	0.0215697323996333	DNAH6	2	84743584
cg00396894	0.678917812367771	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0191617692224121	PPOX	1	161136321
cg00398048	0.0540304260290773	AGA	4	178364342
cg00399483	0.185000042878179	DCC	18	49868378
cg00400028	0.0739287695354109	NA	NA	0
cg00400263	0.465954396926459	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0261688825095378	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.393356975884545	TSC22D3	X	107018431
cg00405070	0.0261272512476172	ERP29;TMEM116	12	112450647
cg00405568	0.0274268724571604	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.728387747497523	RFPL3	22	32753939
cg00407150	0.737110485403654	HHATL	3	42743794
cg00410419	0.0305937054626713	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.0717713275236401	STC1	8	23712355
cg00410921	0.16692783634132	NA	NA	0
cg00411097	0.260370338786837	TMEM184A	7	1596050
cg00412772	0.82992427150469	YIF1B;C19orf33	19	38794845
cg00412805	0.975068434715892	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.200804164404706	NA	NA	0
cg00415494	0.741735686472632	NA	NA	0
cg00415978	0.100098928625193	SYNPO2	4	119809925
cg00415993	0.814747726647588	F2RL2;IQGAP2	5	75919188
cg00417297	0.0155345510787711	ZNF619	3	40518742
cg00418150	0.602798326821241	ALX4	11	44327869
cg00419564	0.0176513893794249	S100A6	1	153508860
cg00420568	0.0464592561430818	SHC3	9	91794904
cg00420715	0.0108311596407578	VPS13B	8	100025364
cg00420929	0.120562828707311	PGPEP1	19	18451112
cg00422913	0.0322448336533059	C17orf91;WDR81	17	1619022
cg00424946	0.0176465534545907	SNTB2	16	69221172
cg00425710	0.881623573560403	MT1A	16	56672671
cg00425792	0.0289832675495024	PEX12	17	33905503
cg00426056	0.0138897923163395	CUTA	6	33385896
cg00426498	0.19231221422018	MYO18A	17	27507667
cg00426963	0.0211226600182618	KIF27	9	86535755
cg00427635	0.135251880674879	TBC1D21	15	74166372
cg00429618	0.101708440084096	ZNF322B	9	99962350
cg00430287	0.610772601459988	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.453547915200005	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.55941847544437	MGP	12	15039025
cg00432979	0.0208271449208266	MRP63;SKA3	13	21750473
cg00433406	0.912192742731301	VWA5B1	1	20616975
cg00434413	0.969687871594268	RENBP;NAA10	X	153201653
cg00435408	0.0517251879288339	FAM192A;RSPRY1	16	57220662
cg00436282	0.891133537721495	STATH	4	70861449
cg00436301	0.014282352565937	NT5DC1	6	116421736
cg00436603	0.274997392274929	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.00859787554546647	STOML1	15	74284481
cg00443307	0.905540241215526	KLRG1	12	9141740
cg00445824	0.0712048648743912	ISYNA1	19	18548929
cg00446235	0.0658332890295652	TSTD1	1	161008644
cg00447208	0.586555865202335	TMC8;TMC6	17	76126301
cg00448720	0.704991403347409	C1QTNF9	13	24883014
cg00449941	0.0181402147697585	SPAG5	17	26926011
cg00451635	0.238803117642744	EMP2	16	10675030
cg00453193	0.0208071748963901	TES	7	115851050
cg00453258	0.741290993755562	CALHM1	10	105219172
cg00459975	0.0211629667036843	INTS9;HMBOX1	8	28749099
cg00461841	0.536410705599602	ATF7IP2	16	10523485
cg00462311	0.0603242087212919	NFATC4	14	24837184
cg00462994	0.4309709896063	NAGS;PYY	17	42081955
cg00463202	0.854468414375753	ADPRHL1	13	114107710
cg00463577	0.0221473357420866	C6orf150	6	74161911
cg00463848	0.715355022456012	KRT2	12	53046105
cg00464269	0.0130642774206392	TNFAIP1;IFT20	17	26662842
cg00465284	0.163418522469305	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0157719043378307	NA	NA	0
cg00466249	0.203971701909802	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0157572231359699	C14orf101	14	57046243
cg00468146	0.253408666485526	ID4	6	19838211
cg00469635	0.00841549039015156	PPME1;C2CD3	11	73882471
cg00471562	0.0114265245970715	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0190004086639358	ADAMTS1	21	28217676
cg00474004	0.860790189866866	IFNA14	9	21239944
cg00474209	0.032451104190009	DLL1	6	170600060
cg00475955	0.0155103131035179	C9orf114	9	131592049
cg00476577	0.021849961458902	NA	NA	0
cg00476580	0.00893460820913502	ANP32E	1	150207583
cg00479269	0.028252495336599	C2orf29	2	101869975
cg00480115	0.275661215812018	FXYD3	19	35606877
cg00480209	0.0167953332379493	SCO1;C17orf48	17	10600689
cg00480356	0.0482037633188473	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0190259196194736	DDX41	5	176943504
cg00485296	0.0185765290769607	NME3	16	1821559
cg00485380	0.0160043133960512	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0166879449315032	SOCS1	16	11349568
cg00488300	0.942346528491517	NA	NA	0
cg00488364	0.817423571003274	IL13RA2	X	114253315
cg00488718	0.0210776556541988	MFSD8;C4orf29	4	128887044
cg00489401	0.692657866193149	FLT4	5	180075875
cg00491404	0.809076232516884	EPS8L3	1	110306591
cg00491839	0.0326009567089215	PPP1R15A	19	49375640
cg00493400	0.014436907401194	STAT1	2	191879127
cg00495415	0.0191035285401425	SP1	12	53773795
cg00495442	0.0256181941060695	RALGAPB	20	37101172
cg00495491	0.698876645992447	NA	NA	0
cg00496170	0.0121495106666989	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.559364821663358	PPEF1	X	18709116
cg00497251	0.0182016096573094	RNPEPL1	2	241508725
cg00498305	0.781205932717892	SLC18A2	10	119000236
cg00498604	0.0634663670613114	TLL1	4	166793789
cg00499599	0.0143961083998342	C21orf57;MCM3AP	21	47706392
cg00499822	0.449711116915136	CXCL12	10	44881551
cg00500400	0.0196728350597778	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0149152929779337	ZDHHC14	6	157801893
