Hybridization REF	TCGA-BH-A0DE-01A-11D-A112-05	TCGA-BH-A0DE-01A-11D-A112-05	TCGA-BH-A0DE-01A-11D-A112-05	TCGA-BH-A0DE-01A-11D-A112-05
cg00037940	0.948694303514354	PIK3CB	3	138479285
cg00040861	0.0172234631463024	LSM7;SPPL2B	19	2328391
cg00040873	0.158113321856932	NDUFB10	16	2009157
cg00041575	0.314319127576899	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.482830651292072	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0438025451523629	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0481038966978347	CUL5	11	107879431
cg00047469	0.0391562227700275	POLE3;C9orf43	9	116172568
cg00049986	0.201372956107436	NA	NA	0
cg00050312	0.338895003313251	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0417126870684631	C10orf4	10	95462161
cg00053292	0.0209048277642963	TACO1	17	61678300
cg00053647	0.0436292948858275	C7orf28B	7	6866072
cg00054706	0.0168569651028413	C1D	2	68289972
cg00055233	0.411233987204094	RLN1	9	5339677
cg00056767	0.0213352351883281	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.572035874325225	GLRA1	5	151304357
cg00059424	0.0251979019140874	PES1	22	30988148
cg00059740	0.017049015731876	C7orf49	7	134855689
cg00059930	0.861453473003159	RB1	13	48894382
cg00060762	0.01556403003674	LEO1	15	52264133
cg00060882	0.169035896998266	EIF2S3	X	24072811
cg00061059	0.0573275875182027	TECR	19	14640983
cg00061629	0.140471551914221	ALX4	11	44325258
cg00062776	0.98330290881188	TULP2	19	49402424
cg00063144	0.892926267737803	KRT31	17	39554055
cg00065385	0.94392968528119	ACTL7A	9	111623395
cg00065408	0.0230334446395869	CACNB3	12	49212475
cg00066153	0.934727739357355	ACRV1	11	125550744
cg00066816	0.154278538752269	IL12B	5	158758353
cg00067471	0.12864879715246	ATP5D	19	1241377
cg00069261	0.125255970978768	CDR2	16	22386531
cg00071250	0.692121841660028	FASLG	1	172628263
cg00071998	0.0458339289558717	MSH5	6	31708121
cg00072216	0.0161647837716664	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.406089697786106	STRA6	15	74495354
cg00076645	0.0243650332038581	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.767305968716602	ASAP1	8	131414474
cg00078194	0.032055845285826	MDK	11	46402949
cg00078867	0.450164502241832	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.401563407820881	ARFGAP3	22	43253521
cg00080012	0.0116590135143195	EED	11	85955689
cg00081935	0.0509454594330005	TSPAN9	12	3186906
cg00081975	0.0098533143319132	ABCC3	17	48712370
cg00083720	0.0192334014671521	NA	NA	0
cg00083937	0.382202790024789	MAPK8IP2	22	51039805
cg00084687	0.0216648220937258	GATAD1	7	92076896
cg00089071	0.0154032654620983	PCGF2	17	36905809
cg00090147	0.262926842366805	GATA4	8	11562367
cg00091693	0.683723729223896	KRT20	17	39041602
cg00093177	0.871629984033044		17	37185495
cg00094319	0.676834664288017	PABPC3	13	25670530
cg00094851	0.0494804776453948	KIF3C	2	26205706
cg00095526	0.598533646773577	CACNA1S	1	201081686
cg00095674	0.0621877648334584	PLEKHO1	1	150122654
cg00096922	0.0467284305686214	DLX5	7	96654185
cg00097536	0.0115070849543749	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0179676529819781	PNPLA6	19	7599173
cg00099550	0.0307590436824468	NA	NA	0
cg00101227	0.685711058033008	MPZ	1	161280266
cg00103783	0.0110778354578181	MPDU1	17	7487249
cg00105253	0.0214689657939531	NUDT14	14	105647194
cg00105470	0.0207234336154995	C1orf35	1	228290868
cg00107187	0.35270842910857	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0172170622822043	PGM2	4	37828500
cg00108454	0.31772127842321	C1QA	1	22963614
cg00109274	0.0835418123758856	DGKH	13	42623032
cg00112517	0.214689170502439	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.0997801161798926	CABP1	12	121078090
cg00115714	0.193781208435435	AMD1	6	111196112
cg00116234	0.271059836536517	ADAMTSL1	9	18474243
cg00116838	0.164582820673097	RTN2;FLJ40125	19	46001746
cg00117172	0.607239387388034	RUNX3	1	25255838
cg00119079	0.353232366693937	LAMP3	3	182880278
cg00121158	0.0177609765411155	KDM4C	9	6757826
cg00121640	0.0429594846708966	ASTN2	9	120176515
cg00121904	0.0983057832258504	MAOB	X	43741826
cg00123035	0.0261216109155916	RFX5	1	151319538
cg00126034	0.0597349824698458	WNT3	17	44896162
cg00126657	0.264219713972479	SSX6	X	47967250
cg00126698	0.576300512974146	BTK	X	100640503
cg00128197	0.311219105574359	HSD17B10	X	53461455
cg00128560	0.971303541972397	TIGD7	16	3352013
cg00128654	0.040006256166143	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0381149307794594	MKNK1	1	47070178
cg00129774	0.0173493071403147	CDK2;SILV	12	56360414
cg00131121	0.0380331180572819	POLR2J	7	102119710
cg00131557	0.844667726034464	DNAJC15	13	43596656
cg00132141	0.713111074089978	CTNNA3	10	69456307
cg00133909	0.0527368829022908	CD276	15	73977201
cg00134539	0.833220652860675	UBASH3A	21	43824071
cg00134787	0.623069437972548	MYH1	17	10419499
cg00135056	0.105583231554362	C3orf37	3	128997295
cg00135393	0.224099825319805	NA	NA	0
cg00136105	0.0230266542931907	GNPTAB	12	102224911
cg00136405	0.205767732220525	IL21	4	123542198
cg00136477	0.775525571318701	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.747426855485071	PMEPA1	20	56286697
cg00141162	0.553059183208994	HCLS1	3	121379777
cg00141550	0.617897239758024	NA	NA	0
cg00141845	0.213325920330187	UPRT	X	74493352
cg00143376	0.723896351478392	NMUR1	2	232394702
cg00143998	0.0426723792445655	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.3072793311828	GNPDA1	5	141393931
cg00145348	0.426789566604521	APEX2	X	55026862
cg00146096	0.0367278404299562	FANCF	11	22647309
cg00149659	0.0160647805539192	C3orf10	3	10157352
cg00149976	0.0106259398191749	MGLL	3	127541529
cg00151234	0.247335391865241	PGK1	X	77359363
cg00151607	0.0162642750778087	TRAPPC2L;GALNS	16	88923507
cg00152644	0.478608130813925	SPRR2E	1	153068236
cg00155167	0.0363452485695175	VPS13B	8	100025831
cg00155485	0.0452980879944782	MED13L	12	116714600
cg00155609	0.0359449602347091	PRDX2	19	12912527
cg00156216	0.0270835099000623	APLP2	11	129939849
cg00156744	0.0666853937366535	STK10	5	171615663
cg00158308	0.126953209997127	OXGR1	13	97646341
cg00160914	0.0531347179241629	DDX20;C1orf183	1	112299263
cg00162401	0.0313530741660336	GSTA4	6	52859823
cg00162643	0.0350275845460999	DDX58	9	32526492
cg00164041	0.141447956841322	NA	NA	0
cg00164898	0.0332424609311658	MAPK11	22	50709127
cg00165981	0.0434102906793968	COL4A3BP;POLK	5	74808039
cg00167504	0.0111386014376427	BLVRA	7	43798622
cg00168082	0.0336277022232182	ABL1	9	133589177
cg00168785	0.037758208253389	WDSUB1	2	160142643
cg00168942	0.347434372191231	GJD4	10	35894430
cg00169548	0.143493930369439	NA	NA	0
cg00171126	0.0387843328461516	WRB	21	40752522
cg00171161	0.0556170102012574	NUDT9	4	88343636
cg00174500	0.635157485090578	CMTM5	14	23846479
cg00174901	0.406517669281714	PALM	19	709889
cg00176210	0.38367655741902	ANK1	8	41654967
cg00176879	0.990011051569627	VPS16;PTPRA	20	2843525
cg00177013	0.0221462348324824	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0170409156975864	PNPO	17	46018875
cg00177923	0.0178965273454345	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.0693220672238156	UPF3B	X	118986947
cg00180012	0.0419255512522166	LACE1	6	108615929
cg00180631	0.564012713812595	MTM1	X	149736640
cg00182461	0.0836423695942968	NA	NA	0
cg00183782	0.80662160166592	NA	NA	0
cg00183916	0.0169683705906492	HS3ST3B1	17	14204936
cg00184884	0.0104693010823447	SFI1	22	31892343
cg00184893	0.017452500217004	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0132219611571403	LRDD	11	804954
cg00186141	0.0166016453726613	PODXL	7	131241768
cg00186701	0.328342525736434	TSPYL5	8	98290510
cg00186954	0.847610795342782	ST5;C11orf17	11	8933980
cg00187380	0.396494096478961	HOXC4;HOXC5	12	54427384
cg00187686	0.361479711587479	TCN1	11	59634218
cg00188348	0.633763554616794	NA	NA	0
cg00191052	0.595554823865918	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.045121187758854	FAM53C	5	137673669
cg00197641	0.064473335252662	MRPL52	14	23299461
cg00199549	0.97927239869487	MCM5	22	35795374
cg00200063	0.0165490167718743	USP32	17	58469941
cg00201234	0.144258866707465	FBLN2	3	13590968
cg00202702	0.169328969263209	C11orf70	11	101918157
cg00202711	0.126486112375898	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0406732708258404	RP11-529I10.4;POLL	10	103348143
cg00207534	0.036408488622865	KIAA0174	16	71929512
cg00208830	0.712195108938954	LAMC2	1	183154778
cg00208967	0.470670236411799	OLFM2	19	10047924
cg00209066	0.940094124886569	BRD1	22	50218923
cg00209951	0.111285815273165	DENND2C	1	115212834
cg00210842	0.0214938193531255	APAF1;IKBIP	12	99039578
cg00211661	0.0181981508857746	ARAP1	11	72433619
cg00212549	0.257223166169177	NA	NA	0
cg00213044	0.590049104731066	KRT6A	12	52886438
cg00213331	0.936785388477	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0141369321972747	NA	NA	0
cg00214794	0.683579714621978	NA	NA	0
cg00214855	0.166860702991976	CCDC90A	6	13813947
cg00215066	0.975311974291382	MYO9B	19	17212316
cg00216361	0.0204007468749864	GAP43	3	115342527
cg00216758	0.0381551482672019	RASSF7;C11orf35	11	560589
cg00217795	0.427925657028302	DIO2	14	80677688
cg00221494	0.591252833829788	FARP1	13	98794593
cg00223186	0.0231362586069138	ACBD6	1	180472200
cg00223950	0.0311416959477506	UBR4	1	19536222
cg00224234	0.00848219162071485	GLOD4;RNMTL1	17	685693
cg00224508	0.0133856937040724	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.965509192795091	FGD2	6	36972027
cg00228799	0.0262397860102526	ENDOG	9	131580591
cg00229387	0.128040564068254	TJAP1	6	43445942
cg00230271	0.0306246217509279	TBCK;AIMP1	4	107237183
cg00230368	0.0282586510970489	IGF2R	6	160389833
cg00230502	0.126453551179925	CCDC60	12	119772381
cg00230685	0.481281057674281	SCML1	X	17755839
cg00231140	0.38358134887623	ACAA2;SCARNA17	18	47339702
cg00231644	0.60534062154181	TUBB2A	6	3158512
cg00231920	0.02799661399776	VPS16;FAM113A	20	2821308
cg00233307	0.472057050543422	MAP4K1;EIF3K	19	39109076
cg00234616	NA	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0274047200516351	RARA	17	38465489
cg00237010	0.454114788578371	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.970580286907881	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.044533696786268	TTC21A;GORASP1	3	39148342
cg00240312	0.0306585533367634	NA	NA	0
cg00240432	0.0976692537336958	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0194762103192275	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.257369545298261	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.359258166581151	CR2	1	207628182
cg00250430	0.165016006778739	DMRT2	9	1051579
cg00253200	0.0319931243726031	C3orf59	3	192636074
cg00256074	0.937869418173849	MYLPF	16	30386150
cg00256166	0.0337847651172622	KLHL25	15	86338428
cg00256281	0.00987655200667312	PMM1	22	41985642
cg00259755	0.0547674682488134	PWWP2B	10	134209763
cg00260778	0.465716456085317	NA	NA	0
cg00261552	0.0498420370259875	CREBL2	12	12764894
cg00261781	0.00966192445792717	MATN3	2	20212517
cg00262415	0.0263710904387048	PUSL1;ACAP3	1	1242732
cg00263723	0.0193506920252948	NA	NA	0
cg00263760	0.428757018479291	VAX1	10	118897366
cg00265415	0.0176601404303209	B3GALNT2	1	235667507
cg00265490	0.0640256497083246	MTDH	8	98655845
cg00268009	0.0156401752788712	ADH5	4	100010211
cg00268338	0.0120523159493482	HECTD2;LOC100188947	10	93169495
cg00269115	0.0227671081804444	C1orf213;ZNF436	1	23695530
cg00269932	0.718639819881839	NA	NA	0
cg00273068	0.516152108754721	EMILIN3	20	39995747
cg00273124	0.913778841270842	NHP2	5	177581512
cg00274399	0.0755239647172756	FGF9	13	22245420
cg00275232	0.0159171769487189	ZNF296	19	45579541
cg00276797	0.0117231701657383	SLK	10	105726614
cg00278366	0.561160700428914	RAD9B;VPS29	12	110940287
cg00279797	0.243267721955402	AMMECR1	X	109561918
cg00280814	0.940497622756684	ZDHHC8P	22	23745389
cg00280894	0.239482460375959	NA	NA	0
cg00282347	0.495457790919867	CHD5	1	6241040
cg00282683	0.0127860024238509	UBE3C	7	156931995
cg00283535	0.807679393571569	ANXA13	8	124749564
cg00288562	0.081060245367222	TRA2A	7	23571645
cg00290028	0.0291052035770259	RFXAP	13	37393125
cg00290506	0.34618245999633	CNIH3	1	224804226
cg00291877	0.0390027660155969	SNRPA1	15	101835933
cg00292662	0.0216881554536443	LGALS1	22	38071168
cg00292971	0.90845566855286	FAM131B	7	143060536
cg00293409	0.159490102748192	LRRC33	3	196366669
cg00294382	0.510678627334312	IL23A	12	56732721
cg00295206	0.0230315780134915	RAB7A	3	128444813
cg00295325	0.821052668520011	ABCB11	2	169887932
cg00296685	0.369691777755709	NA	NA	0
cg00297584	0.621990123312762	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.888880809315723	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0258715725833753	PPP3CA	4	102268125
cg00303548	0.0183131559513515	HS6ST3	13	96742413
cg00304278	0.0524496595321838	NA	NA	0
cg00307685	0.926210341503805	BRDT	1	92415524
cg00308133	0.00679301495086158	GAMT	19	1401118
cg00308665	0.305200143130522	HTR2A	13	47469654
cg00309056	0.0276493259714552	STARD3NL	7	38218112
cg00309204	0.0283569783975315	C17orf61	17	7307432
cg00311768	0.355173401202578	TSTA3	8	144698857
cg00312919	0.135298710257189	STARD3NL	7	38217710
cg00314943	0.880539714974696	ALPPL2	2	233270750
cg00315936	0.0704497025942785	SND1	7	127292739
cg00317680	0.175669366519213	MTERFD1;PTDSS1	8	97274070
cg00318573	0.29498114489149	CHRNA4	20	61993118
cg00318865	0.0135797923094822	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.0121049044215103	PKMYT1	16	3030447
cg00320243	0.0137014278916606	RAB3A	19	18314691
cg00321065	0.0255538922812574	RLF	1	40627063
cg00321478	0.811610922434851	CRB1	1	197238398
cg00323915	0.10368271968898	GIMAP4	7	150264987
cg00324733	0.0187930041961894	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.0356417258177446	DLAT	11	111896498
cg00327483	0.982342557657008	CASQ1	1	160160587
cg00328227	0.447175427934543	C1orf59	1	109204325
cg00331237	0.595809448785308	CSRP2	12	77273319
cg00331433	0.0167187992731351	SYAP1	X	16737800
cg00332153	0.711492373064951	BANK1	4	102712010
cg00332745	0.0198498028232141	NOL3	16	67208247
cg00333226	0.502508755972872	VWC2	7	49813763
cg00333528	0.147723217930218	GABRR1	6	89927485
cg00334507	0.265663249777967	PRRT2	16	29824599
cg00335286	0.217574981372026	MC2R	18	13916355
cg00336605	0.0611139879859097	NR1H2	19	50879437
cg00338702	0.123911851997944	CHFR	12	133463694
cg00338893	0.0297874002503581	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.436992941653633	GARNL3	9	130027020
cg00343092	0.0158030288939228	TSPO	22	43547974
cg00344358	0.956684787909867	GDF11	12	56135693
cg00344372	0.902503334501988	HGFAC	4	3443625
cg00344709	0.546172302808471	POTED	21	14982225
cg00346145	0.0332368828248214	RPL34;LOC285456	4	109541559
cg00347729	0.455652406514185	MMP10	11	102651753
cg00347904	0.333802903176133	SCUBE3	6	35182508
cg00350296	0.254340424550934	CD248	11	66084841
cg00350478	0.565224464455264	FRMD1	6	168480013
cg00350702	0.0244314753706635	ERGIC3	20	34129927
cg00351011	0.0189484645632662	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.76472918855003	ZIM2	19	57306738
cg00354572	0.504987762042277	ACSS3	12	81471419
cg00355802	0.0322843038123858	DUSP4	8	29208983
cg00359325	0.0422731089755556	USP4	3	49377419
cg00359973	0.397788057321378	RIBC1;SMC1A	X	53449900
cg00363813	0.624106639478572	IFFO1	12	6664872
cg00364344	0.022564201163712	NA	NA	0
cg00364814	0.923819366691758	R3HDM2	12	57691455
cg00365193	0.170357942292374	NA	NA	0
cg00367281	0.583855896861088	CHRNB3	8	42552470
cg00367438	0.0382989453108907	TMUB1	7	150780797
cg00368022	0.0161394675758202	C5orf22;RNASEN	5	31532653
cg00368415	0.00879767270406122	SNX27	1	151584398
cg00371195	0.94859896085857	F2	11	46740481
cg00374717	0.95520674399061	ARSG	17	66303145
cg00375964	0.150786095022543	ABCE1;ANAPC10	4	146019130
cg00376639	0.0637719332974462	ZNF581	19	56155151
cg00380464	0.0423292428924279	LTV1	6	144164650
cg00381076	0.0773947994705182	C18orf54	18	51884797
cg00382515	0.0157293162497885	MRPL44	2	224822229
cg00382991	0.0415522373717074	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.482085148872526	TGFBI	5	135364970
cg00387170	0.0209233240308727	FOXP4	6	41514002
cg00392257	0.234358906833486	ISG20L2	1	156696747
cg00393585	0.143224534707476	C4orf39;TRIM61	4	165878091
cg00394658	0.356016768424808	PTPRJ	11	48001669
cg00396163	0.0230834883091224	DNAH6	2	84743584
cg00396894	0.815995969123899	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0262386023357888	PPOX	1	161136321
cg00398048	0.209362309726196	AGA	4	178364342
cg00399483	0.218173478283071	DCC	18	49868378
cg00400028	0.658991760312036	NA	NA	0
cg00400263	0.985410382495856	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0357878167809275	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.295829852854489	TSC22D3	X	107018431
cg00405070	0.027441845932853	ERP29;TMEM116	12	112450647
cg00405568	0.107696029058096	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.683958144162966	RFPL3	22	32753939
cg00407150	0.691989838617555	HHATL	3	42743794
cg00410419	0.0216550407000571	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.220720085738318	STC1	8	23712355
cg00410921	0.241332172954786	NA	NA	0
cg00411097	0.339574509310603	TMEM184A	7	1596050
cg00412772	0.723336976180498	YIF1B;C19orf33	19	38794845
cg00412805	0.891267527567297	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.0353976025816691	NA	NA	0
cg00415494	0.660414936035335	NA	NA	0
cg00415978	0.282662668798444	SYNPO2	4	119809925
cg00415993	0.735741800701432	F2RL2;IQGAP2	5	75919188
cg00417297	0.0160125789860745	ZNF619	3	40518742
cg00418150	0.529949443820589	ALX4	11	44327869
cg00419564	0.234695663539129	S100A6	1	153508860
cg00420568	0.201984635868236	SHC3	9	91794904
cg00420715	0.0570914628586847	VPS13B	8	100025364
cg00420929	0.370383694263787	PGPEP1	19	18451112
cg00422913	0.0241486046705798	C17orf91;WDR81	17	1619022
cg00424946	0.0163071508964206	SNTB2	16	69221172
cg00425710	0.894327905427061	MT1A	16	56672671
cg00425792	0.0337896735263315	PEX12	17	33905503
cg00426056	0.0230634061304043	CUTA	6	33385896
cg00426498	0.247003088377119	MYO18A	17	27507667
cg00426963	0.0242084396673126	KIF27	9	86535755
cg00427635	0.135934427879494	TBC1D21	15	74166372
cg00429618	0.0298326477051243	ZNF322B	9	99962350
cg00430287	0.818104009970113	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.508571473801137	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.148830006892829	MGP	12	15039025
cg00432979	0.0229951666318108	MRP63;SKA3	13	21750473
cg00433406	0.947481511760901	VWA5B1	1	20616975
cg00434413	0.981502214464675	RENBP;NAA10	X	153201653
cg00435408	0.0539750597308272	FAM192A;RSPRY1	16	57220662
cg00436282	0.821270847308287	STATH	4	70861449
cg00436301	0.0130620484238475	NT5DC1	6	116421736
cg00436603	0.457062793366833	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.0140580454483838	STOML1	15	74284481
cg00443307	0.699160989325881	KLRG1	12	9141740
cg00445824	0.0817823351916734	ISYNA1	19	18548929
cg00446235	0.193616001656131	TSTD1	1	161008644
cg00447208	0.677222118096563	TMC8;TMC6	17	76126301
cg00448720	0.873211953218938	C1QTNF9	13	24883014
cg00449941	0.0312990696286455	SPAG5	17	26926011
cg00451635	0.188655745602825	EMP2	16	10675030
cg00453193	0.0311938551484594	TES	7	115851050
cg00453258	0.84036457055921	CALHM1	10	105219172
cg00459975	0.118398841536378	INTS9;HMBOX1	8	28749099
cg00461841	0.620007745382552	ATF7IP2	16	10523485
cg00462311	0.0663354058943222	NFATC4	14	24837184
cg00462994	0.397889466798839	NAGS;PYY	17	42081955
cg00463202	0.875492825635246	ADPRHL1	13	114107710
cg00463577	0.0252437381750522	C6orf150	6	74161911
cg00463848	0.588149786768536	KRT2	12	53046105
cg00464269	0.0125714171330082	TNFAIP1;IFT20	17	26662842
cg00465284	0.0527727121747984	CTNNA2;LRRTM1	2	80531898
cg00465846	0.021799070611231	NA	NA	0
cg00466249	0.30461226041718	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0150828701528873	C14orf101	14	57046243
cg00468146	0.269057024989377	ID4	6	19838211
cg00469635	0.0136808088805726	PPME1;C2CD3	11	73882471
cg00471562	0.0187467545212626	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0426761714722132	ADAMTS1	21	28217676
cg00474004	0.483449456963287	IFNA14	9	21239944
cg00474209	0.416619474956598	DLL1	6	170600060
cg00475955	0.0136125180235877	C9orf114	9	131592049
cg00476577	0.0327622398647426	NA	NA	0
cg00476580	0.00789707058351166	ANP32E	1	150207583
cg00479269	0.0443479963248613	C2orf29	2	101869975
cg00480115	0.288512551151024	FXYD3	19	35606877
cg00480209	0.0145698154910837	SCO1;C17orf48	17	10600689
cg00480356	0.0621871672834064	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.014558914389901	DDX41	5	176943504
cg00485296	0.47703915101863	NME3	16	1821559
cg00485380	0.0225793771281184	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0309308703916842	SOCS1	16	11349568
cg00488300	0.947369608331217	NA	NA	0
cg00488364	0.692076581360538	IL13RA2	X	114253315
cg00488718	0.0201588944245245	MFSD8;C4orf29	4	128887044
cg00489401	0.732317529062304	FLT4	5	180075875
cg00491404	0.891834463881192	EPS8L3	1	110306591
cg00491839	0.0725133375448613	PPP1R15A	19	49375640
cg00493400	0.0219064816271741	STAT1	2	191879127
cg00495415	0.0181815748588229	SP1	12	53773795
cg00495442	0.0767339635528584	RALGAPB	20	37101172
cg00495491	0.662937351585369	NA	NA	0
cg00496170	0.0168804882467243	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.659637560854107	PPEF1	X	18709116
cg00497251	0.0419862285680083	RNPEPL1	2	241508725
cg00498305	0.199426358689448	SLC18A2	10	119000236
cg00498604	0.447288861699219	TLL1	4	166793789
cg00499599	0.0234310490356867	C21orf57;MCM3AP	21	47706392
cg00499822	0.702083640986968	CXCL12	10	44881551
cg00500400	0.0452513271165746	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0326534035425982	ZDHHC14	6	157801893
cg00503458	0.0786696268551327	KIAA0907	1	155904439
