Hybridization REF	TCGA-A8-A09K-01A-11D-A00Y-05	TCGA-A8-A09K-01A-11D-A00Y-05	TCGA-A8-A09K-01A-11D-A00Y-05	TCGA-A8-A09K-01A-11D-A00Y-05
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0114084930276775	PGM2	4	37828500
cg00108454	0.175929460819445	C1QA	1	22963614
cg00109274	0.00816784077554746	DGKH	13	42623032
cg00112517	0.127129995115248	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.351003635987476	CABP1	12	121078090
cg00115714	0.045510800414977	AMD1	6	111196112
cg00116234	0.824614821160818	ADAMTSL1	9	18474243
cg00116838	0.0294490049032105	RTN2;FLJ40125	19	46001746
cg00117172	0.343810910063414	RUNX3	1	25255838
cg00119079	0.498369508966212	LAMP3	3	182880278
cg00121158	0.0216483450019038	KDM4C	9	6757826
cg00121640	0.0888661663810045	ASTN2	9	120176515
cg00121904	0.0648775427059373	MAOB	X	43741826
cg00123035	0.0254002450767941	RFX5	1	151319538
cg00126034	0.0692878473723805	WNT3	17	44896162
cg00126657	0.202280740647353	SSX6	X	47967250
cg00126698	0.458287095769778	BTK	X	100640503
cg00128197	0.384230511372596	HSD17B10	X	53461455
cg00128560	0.942261180705459	TIGD7	16	3352013
cg00128654	0.019415470908981	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0666293464415015	MKNK1	1	47070178
cg00129774	0.0247033771469646	CDK2;SILV	12	56360414
cg00131121	0.0228338237696267	POLR2J	7	102119710
cg00131557	0.936247867426456	DNAJC15	13	43596656
cg00132141	0.754438552620778	CTNNA3	10	69456307
cg00133909	0.0524313124095852	CD276	15	73977201
cg00134539	0.0938826449673207	UBASH3A	21	43824071
cg00134787	0.201159973790523	MYH1	17	10419499
cg00135056	0.0938944924209629	C3orf37	3	128997295
cg00135393	0.136372141630285	NA	NA	0
cg00136105	0.0182215823425057	GNPTAB	12	102224911
cg00136405	0.112555440886214	IL21	4	123542198
cg00136477	0.765595745393892	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.330629320315506	PMEPA1	20	56286697
cg00141162	0.745187664347258	HCLS1	3	121379777
cg00141550	0.522825509693436	NA	NA	0
cg00141845	0.0547954896188273	UPRT	X	74493352
cg00143376	0.770103409934119	NMUR1	2	232394702
cg00143998	0.0206849263269531	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.271514304201774	GNPDA1	5	141393931
cg00145348	0.278348875269792	APEX2	X	55026862
cg00146096	0.0133397373047498	FANCF	11	22647309
cg00149659	0.0175677318203247	C3orf10	3	10157352
cg00149976	0.015601979633042	MGLL	3	127541529
cg00151234	0.354549706286896	PGK1	X	77359363
cg00151607	0.0164067328060532	TRAPPC2L;GALNS	16	88923507
cg00152644	0.223163660077896	SPRR2E	1	153068236
cg00155167	0.0190119191117376	VPS13B	8	100025831
cg00155485	0.027795722697509	MED13L	12	116714600
cg00155609	0.0146426906290105	PRDX2	19	12912527
cg00156216	0.0279811038526642	APLP2	11	129939849
cg00156744	0.0242537081524359	STK10	5	171615663
cg00158308	0.0365084307793979	OXGR1	13	97646341
cg00160914	0.232426117492971	DDX20;C1orf183	1	112299263
cg00162401	0.524008114497245	GSTA4	6	52859823
cg00162643	0.0240917029935918	DDX58	9	32526492
cg00164041	0.0254972261424397	NA	NA	0
cg00164898	0.0172045265666555	MAPK11	22	50709127
cg00165981	0.0442643638692996	COL4A3BP;POLK	5	74808039
cg00167504	0.0177570544897435	BLVRA	7	43798622
cg00168082	0.0285623037088937	ABL1	9	133589177
cg00168785	0.0433024147810877	WDSUB1	2	160142643
cg00168942	0.218805496933927	GJD4	10	35894430
cg00169548	0.147856339155288	NA	NA	0
cg00171126	0.0298496024561745	WRB	21	40752522
cg00171161	0.0618384063328114	NUDT9	4	88343636
cg00174500	0.241572011756395	CMTM5	14	23846479
cg00174901	0.12520482766379	PALM	19	709889
cg00176210	0.413495691130172	ANK1	8	41654967
cg00176879	0.991261715569289	VPS16;PTPRA	20	2843525
cg00177013	0.0750766632209957	ARFRP1;ZGPAT	20	62339100
cg00177698	0.025259209683441	PNPO	17	46018875
cg00177923	0.0204719591789705	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.0772775082529033	UPF3B	X	118986947
cg00180012	0.0251472600258198	LACE1	6	108615929
cg00180631	0.477554531051515	MTM1	X	149736640
cg00182461	0.0564484424166899	NA	NA	0
cg00183782	0.824337768828983	NA	NA	0
cg00183916	0.160185035812963	HS3ST3B1	17	14204936
cg00184884	0.0162172221527243	SFI1	22	31892343
cg00184893	0.0145011153170206	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0231360566500737	LRDD	11	804954
cg00186141	0.0148827645971243	PODXL	7	131241768
cg00186701	0.595699906452836	TSPYL5	8	98290510
cg00186954	0.904811575295106	ST5;C11orf17	11	8933980
cg00187380	0.0476916815755005	HOXC4;HOXC5	12	54427384
cg00187686	0.169409925674188	TCN1	11	59634218
cg00188348	0.560240122176966	NA	NA	0
cg00191052	0.468228764642366	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.018379170467107	FAM53C	5	137673669
cg00197641	0.0243296584593544	MRPL52	14	23299461
cg00199549	0.965564860132906	MCM5	22	35795374
cg00200063	0.011628500741108	USP32	17	58469941
cg00201234	0.0284893568566638	FBLN2	3	13590968
cg00202702	0.015622754706414	C11orf70	11	101918157
cg00202711	0.558643773295075	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0215224999499673	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0268059962712649	KIAA0174	16	71929512
cg00208830	0.739681010422316	LAMC2	1	183154778
cg00208967	0.585965528072061	OLFM2	19	10047924
cg00209066	0.897565492301516	BRD1	22	50218923
cg00209951	0.239037081467777	DENND2C	1	115212834
cg00210842	0.0509854655693081	APAF1;IKBIP	12	99039578
cg00211661	0.0246842015548199	ARAP1	11	72433619
cg00212549	0.0354621192443818	NA	NA	0
cg00213044	0.411338794167852	KRT6A	12	52886438
cg00213331	0.935507793080834	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0144203691082214	NA	NA	0
cg00214794	0.671035846439919	NA	NA	0
cg00214855	0.302930364634167	CCDC90A	6	13813947
cg00215066	0.972982035468454	MYO9B	19	17212316
cg00216361	0.0472047295043921	GAP43	3	115342527
cg00216758	0.0268398693370927	RASSF7;C11orf35	11	560589
cg00217795	0.540408987483529	DIO2	14	80677688
cg00221494	0.502100440229967	FARP1	13	98794593
cg00223186	0.0270144943831871	ACBD6	1	180472200
cg00223950	0.0238487697014723	UBR4	1	19536222
cg00224234	0.0108134519753949	GLOD4;RNMTL1	17	685693
cg00224508	0.0218362834262978	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.709560676054664	FGD2	6	36972027
cg00228799	0.0163959485730835	ENDOG	9	131580591
cg00229387	0.061143690734924	TJAP1	6	43445942
cg00230271	0.0571173675416809	TBCK;AIMP1	4	107237183
cg00230368	0.0205816727899895	IGF2R	6	160389833
cg00230502	0.0840534642851967	CCDC60	12	119772381
cg00230685	0.308613260278404	SCML1	X	17755839
cg00231140	0.0434404746325886	ACAA2;SCARNA17	18	47339702
cg00231644	0.17868606776622	TUBB2A	6	3158512
cg00231920	0.0256816102173792	VPS16;FAM113A	20	2821308
cg00233307	0.497031437206708	MAP4K1;EIF3K	19	39109076
cg00234616	0.309099428271589	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0651423882702773	RARA	17	38465489
cg00237010	0.0884549057979667	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.948090589357243	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0567018421738053	TTC21A;GORASP1	3	39148342
cg00240312	0.0386874803073577	NA	NA	0
cg00240432	0.0812455117838182	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0144521666649892	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.247490065926682	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.400803219913456	CR2	1	207628182
cg00250430	0.591252929576936	DMRT2	9	1051579
cg00253200	0.016081397455707	C3orf59	3	192636074
cg00256074	0.925810886835638	MYLPF	16	30386150
cg00256166	0.0300241937967438	KLHL25	15	86338428
cg00256281	0.0133922459261408	PMM1	22	41985642
cg00259755	0.0474506490485012	PWWP2B	10	134209763
cg00260778	0.163991709091257	NA	NA	0
cg00261552	0.0282354294867614	CREBL2	12	12764894
cg00261781	0.0149700291651254	MATN3	2	20212517
cg00262415	0.017754583940032	PUSL1;ACAP3	1	1242732
cg00263723	0.0216597972624444	NA	NA	0
cg00263760	0.305979590028162	VAX1	10	118897366
cg00265415	0.0110024405763485	B3GALNT2	1	235667507
cg00265490	0.0300182892458647	MTDH	8	98655845
cg00268009	0.0125688965524479	ADH5	4	100010211
cg00268338	0.0106869843161183	HECTD2;LOC100188947	10	93169495
cg00269115	0.0151150706325019	C1orf213;ZNF436	1	23695530
cg00269932	0.469259989220521	NA	NA	0
cg00273068	0.172277635416853	EMILIN3	20	39995747
cg00273124	0.814910848302593	NHP2	5	177581512
cg00274399	0.0582866099759541	FGF9	13	22245420
cg00275232	0.0251053559218329	ZNF296	19	45579541
cg00276797	0.021716181675624	SLK	10	105726614
cg00278366	0.693765386957242	RAD9B;VPS29	12	110940287
cg00279797	0.124034094845749	AMMECR1	X	109561918
cg00280814	0.849380789914761	ZDHHC8P	22	23745389
cg00280894	0.0709603837003342	NA	NA	0
cg00282347	0.721213988571182	CHD5	1	6241040
cg00282683	0.0145216229120937	UBE3C	7	156931995
cg00283535	0.887151509661098	ANXA13	8	124749564
cg00288562	0.0151183163388992	TRA2A	7	23571645
cg00290028	0.0134568404336015	RFXAP	13	37393125
cg00290506	0.766100465396978	CNIH3	1	224804226
cg00291877	0.0324425949370344	SNRPA1	15	101835933
cg00292662	0.0190839203650627	LGALS1	22	38071168
cg00292971	0.933151858823201	FAM131B	7	143060536
cg00293409	0.0198157820990706	LRRC33	3	196366669
cg00294382	0.606760923730085	IL23A	12	56732721
cg00295206	0.0228837811934615	RAB7A	3	128444813
cg00295325	0.834593607064389	ABCB11	2	169887932
cg00296685	0.0214367694076633	NA	NA	0
cg00297584	0.0479308335153232	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.836850323584308	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0149385519535163	PPP3CA	4	102268125
cg00303548	0.0214613725198426	HS6ST3	13	96742413
cg00304278	0.0333354052502295	NA	NA	0
cg00307685	0.829823806416466	BRDT	1	92415524
cg00308133	0.014720101815973	GAMT	19	1401118
cg00308665	0.128640519615338	HTR2A	13	47469654
cg00309056	0.0192960046185514	STARD3NL	7	38218112
cg00309204	0.0260254255687497	C17orf61	17	7307432
cg00311768	0.15076706474113	TSTA3	8	144698857
cg00312919	0.011275553991288	STARD3NL	7	38217710
cg00314943	0.561684157019071	ALPPL2	2	233270750
cg00315936	0.0484386311780448	SND1	7	127292739
cg00317680	0.0854024677994931	MTERFD1;PTDSS1	8	97274070
cg00318573	0.622132872898758	CHRNA4	20	61993118
cg00318865	0.0169079432044496	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.0108744017259682	PKMYT1	16	3030447
cg00320243	0.0155249971854396	RAB3A	19	18314691
cg00321065	0.0210619846464056	RLF	1	40627063
cg00321478	0.765898283003087	CRB1	1	197238398
cg00323915	0.154123067926318	GIMAP4	7	150264987
cg00324733	0.0178323225885565	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.0789978085680073	DLAT	11	111896498
cg00327483	0.944666034081158	CASQ1	1	160160587
cg00328227	0.301484992626111	C1orf59	1	109204325
cg00331237	0.610909985529819	CSRP2	12	77273319
cg00331433	0.0171170172177726	SYAP1	X	16737800
cg00332153	0.843853953166035	BANK1	4	102712010
cg00332745	0.0181695077119301	NOL3	16	67208247
cg00333226	0.634741498745247	VWC2	7	49813763
cg00333528	0.195011762995383	GABRR1	6	89927485
cg00334507	0.179154379804783	PRRT2	16	29824599
cg00335286	0.441680076105871	MC2R	18	13916355
cg00336605	0.0327896488409536	NR1H2	19	50879437
cg00338702	0.0833942742839927	CHFR	12	133463694
cg00338893	0.0316076603007707	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.20470828493846	GARNL3	9	130027020
cg00343092	0.0112451221025843	TSPO	22	43547974
cg00344358	0.879647053644437	GDF11	12	56135693
cg00344372	0.818138213438435	HGFAC	4	3443625
cg00344709	0.435134321608979	POTED	21	14982225
cg00346145	0.0348104999156906	RPL34;LOC285456	4	109541559
cg00347729	0.307586842569689	MMP10	11	102651753
cg00347904	0.484881449742974	SCUBE3	6	35182508
cg00350296	0.693273489545276	CD248	11	66084841
cg00350478	0.481073836582906	FRMD1	6	168480013
cg00350702	0.02331490962318	ERGIC3	20	34129927
cg00351011	0.0195579057478804	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.365231708203131	ZIM2	19	57306738
cg00354572	0.349694505450947	ACSS3	12	81471419
cg00355802	0.0517385489711496	DUSP4	8	29208983
cg00359325	0.0431825960290962	USP4	3	49377419
cg00359973	0.0803264903802669	RIBC1;SMC1A	X	53449900
cg00363813	0.710897250429393	IFFO1	12	6664872
cg00364344	0.017477787656884	NA	NA	0
cg00364814	0.884725211908345	R3HDM2	12	57691455
cg00365193	0.276906082438389	NA	NA	0
cg00367281	0.545737372133556	CHRNB3	8	42552470
cg00367438	0.0356024642280646	TMUB1	7	150780797
cg00368022	0.0216662319005018	C5orf22;RNASEN	5	31532653
cg00368415	0.0108689660251303	SNX27	1	151584398
cg00371195	0.966020383068508	F2	11	46740481
cg00374717	0.966192677517126	ARSG	17	66303145
cg00375964	0.0277965543790869	ABCE1;ANAPC10	4	146019130
cg00376639	0.0828392343433995	ZNF581	19	56155151
cg00380464	0.017792687571381	LTV1	6	144164650
cg00381076	0.0200031037296913	C18orf54	18	51884797
cg00382515	0.0126089085140099	MRPL44	2	224822229
cg00382991	0.0300030011773235	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.650517927044549	TGFBI	5	135364970
cg00387170	0.0387706460779981	FOXP4	6	41514002
cg00392257	0.162308361199471	ISG20L2	1	156696747
cg00393585	0.175231712336376	C4orf39;TRIM61	4	165878091
cg00394658	0.49959938353824	PTPRJ	11	48001669
cg00396163	0.0202076067460094	DNAH6	2	84743584
cg00396894	0.717156855004117	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0323898939014335	PPOX	1	161136321
cg00398048	0.0833536069685644	AGA	4	178364342
cg00399483	0.073450532642034	DCC	18	49868378
cg00400028	0.305542391142837	NA	NA	0
cg00400263	0.714729211839057	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0288529313690182	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.176405691461306	TSC22D3	X	107018431
cg00405070	0.0217362935412236	ERP29;TMEM116	12	112450647
cg00405568	0.0277235955126018	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.36255832970141	RFPL3	22	32753939
cg00407150	0.494979500551514	HHATL	3	42743794
cg00410419	0.023683332409919	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.146879389276356	STC1	8	23712355
cg00410921	0.228835705867349	NA	NA	0
cg00411097	0.197972024642103	TMEM184A	7	1596050
cg00412772	0.830091618871518	YIF1B;C19orf33	19	38794845
cg00412805	0.280452275052578	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.0205261483414279	NA	NA	0
cg00415494	0.422880496940786	NA	NA	0
cg00415978	0.305232330479706	SYNPO2	4	119809925
cg00415993	0.855937148877511	F2RL2;IQGAP2	5	75919188
cg00417297	0.0132512064401108	ZNF619	3	40518742
cg00418150	0.235193027570998	ALX4	11	44327869
cg00419564	0.0184991786169372	S100A6	1	153508860
cg00420568	0.722342024922055	SHC3	9	91794904
cg00420715	0.0130741535974118	VPS13B	8	100025364
cg00420929	0.188643981663835	PGPEP1	19	18451112
cg00422913	0.0231495400341988	C17orf91;WDR81	17	1619022
cg00424946	0.0167227056037897	SNTB2	16	69221172
cg00425710	0.50687295518389	MT1A	16	56672671
cg00425792	0.0383627430113788	PEX12	17	33905503
cg00426056	0.0155075234254115	CUTA	6	33385896
cg00426498	0.264938725087629	MYO18A	17	27507667
cg00426963	0.0260327993227134	KIF27	9	86535755
cg00427635	0.0725275126038538	TBC1D21	15	74166372
cg00429618	0.0866464371649341	ZNF322B	9	99962350
cg00430287	0.784273172814205	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.653596671515839	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.199345708277439	MGP	12	15039025
cg00432979	0.0215098023168685	MRP63;SKA3	13	21750473
cg00433406	0.866650598211978	VWA5B1	1	20616975
cg00434413	0.749006271202628	RENBP;NAA10	X	153201653
cg00435408	0.0528978217266344	FAM192A;RSPRY1	16	57220662
cg00436282	0.906913082070134	STATH	4	70861449
cg00436301	0.0227946206431047	NT5DC1	6	116421736
cg00436603	0.259603447795438	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.00895771657384743	STOML1	15	74284481
cg00443307	0.834398937978615	KLRG1	12	9141740
cg00445824	0.095927775562749	ISYNA1	19	18548929
cg00446235	0.0282759288968692	TSTD1	1	161008644
cg00447208	0.629485360968466	TMC8;TMC6	17	76126301
cg00448720	0.741180430187171	C1QTNF9	13	24883014
cg00449941	0.0280058949506983	SPAG5	17	26926011
cg00451635	0.175090493998199	EMP2	16	10675030
cg00453193	0.0200788617322374	TES	7	115851050
cg00453258	0.760488237999338	CALHM1	10	105219172
cg00459975	0.0576397958485533	INTS9;HMBOX1	8	28749099
cg00461841	0.44540149361733	ATF7IP2	16	10523485
cg00462311	0.108203031359247	NFATC4	14	24837184
cg00462994	0.685111229260141	NAGS;PYY	17	42081955
cg00463202	0.905259241333465	ADPRHL1	13	114107710
cg00463577	0.0205909450444561	C6orf150	6	74161911
cg00463848	0.122515162319763	KRT2	12	53046105
cg00464269	0.0166848814075045	TNFAIP1;IFT20	17	26662842
cg00465284	0.0398906724102523	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0134996038253614	NA	NA	0
cg00466249	0.111720430896155	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0188274348793173	C14orf101	14	57046243
cg00468146	0.607434917182947	ID4	6	19838211
cg00469635	0.0215353569782358	PPME1;C2CD3	11	73882471
cg00471562	0.0172185444375349	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.749847472878777	ADAMTS1	21	28217676
cg00474004	0.637489858468092	IFNA14	9	21239944
cg00474209	0.159791699264794	DLL1	6	170600060
cg00475955	0.0130829364354623	C9orf114	9	131592049
cg00476577	0.0303389201625548	NA	NA	0
cg00476580	0.0128856186985576	ANP32E	1	150207583
cg00479269	0.0300588250988045	C2orf29	2	101869975
cg00480115	0.264291152869781	FXYD3	19	35606877
cg00480209	0.0158009401495528	SCO1;C17orf48	17	10600689
cg00480356	0.0573079347384157	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0173201642869357	DDX41	5	176943504
cg00485296	0.00866862378516937	NME3	16	1821559
cg00485380	0.0166568116507474	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0151481219011959	SOCS1	16	11349568
cg00488300	0.628217558493999	NA	NA	0
cg00488364	0.448351500741622	IL13RA2	X	114253315
cg00488718	0.0225494473746012	MFSD8;C4orf29	4	128887044
cg00489401	0.391600859256111	FLT4	5	180075875
cg00491404	0.870776284799305	EPS8L3	1	110306591
cg00491839	0.0531300265038451	PPP1R15A	19	49375640
cg00493400	0.0144327156775989	STAT1	2	191879127
cg00495415	0.0210656858185976	SP1	12	53773795
cg00495442	0.0266640432280009	RALGAPB	20	37101172
cg00495491	0.613074282225272	NA	NA	0
cg00496170	0.0176777677199744	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.261081408763222	PPEF1	X	18709116
cg00497251	0.0269185422270605	RNPEPL1	2	241508725
cg00498305	0.153392790398204	SLC18A2	10	119000236
cg00498604	0.832148634423308	TLL1	4	166793789
cg00499599	0.0185935706817574	C21orf57;MCM3AP	21	47706392
cg00499822	0.670755190329063	CXCL12	10	44881551
cg00500400	0.0207985714267155	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0196864190611774	ZDHHC14	6	157801893
