Hybridization REF	TCGA-A2-A0CZ-01A-11D-A032-05	TCGA-A2-A0CZ-01A-11D-A032-05	TCGA-A2-A0CZ-01A-11D-A032-05	TCGA-A2-A0CZ-01A-11D-A032-05
cg00043004	0.114380937867763	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0427525975912126	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0235504025124674	CUL5	11	107879431
cg00047469	0.0162687895198784	POLE3;C9orf43	9	116172568
cg00049986	0.152875949344153	NA	NA	0
cg00050312	0.0183945821811849	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0263622661304693	C10orf4	10	95462161
cg00053292	0.0214610986294553	TACO1	17	61678300
cg00053647	0.0754559886134239	C7orf28B	7	6866072
cg00054706	0.0139395272445212	C1D	2	68289972
cg00055233	0.372520581042983	RLN1	9	5339677
cg00056767	0.0140262572850441	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.351997097159151	GLRA1	5	151304357
cg00059424	0.0194898077189557	PES1	22	30988148
cg00059740	0.0139522534975368	C7orf49	7	134855689
cg00059930	0.821097544525391	RB1	13	48894382
cg00060762	0.0145923110225165	LEO1	15	52264133
cg00060882	0.112622431653328	EIF2S3	X	24072811
cg00061059	0.0431572930653677	TECR	19	14640983
cg00061629	0.746881921197391	ALX4	11	44325258
cg00062776	0.989179422726785	TULP2	19	49402424
cg00063144	0.908151441250852	KRT31	17	39554055
cg00065385	0.976752910572385	ACTL7A	9	111623395
cg00065408	0.0191346073053686	CACNB3	12	49212475
cg00066153	0.947488261123987	ACRV1	11	125550744
cg00066816	0.100207833710293	IL12B	5	158758353
cg00067471	0.0669261754321416	ATP5D	19	1241377
cg00069261	0.0227275613015534	CDR2	16	22386531
cg00071250	0.624550370659724	FASLG	1	172628263
cg00071998	0.0387672339365773	MSH5	6	31708121
cg00072216	0.012985338594896	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.652660949352155	STRA6	15	74495354
cg00076645	0.0190400067318899	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.853391595760158	ASAP1	8	131414474
cg00078194	0.0195459700978124	MDK	11	46402949
cg00078867	0.624235741450552	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0136366763613054	ARFGAP3	22	43253521
cg00080012	0.0124297328085832	EED	11	85955689
cg00081935	0.0218684854703553	TSPAN9	12	3186906
cg00081975	0.0403653846238096	ABCC3	17	48712370
cg00083720	0.0142956494741778	NA	NA	0
cg00083937	0.53455016377679	MAPK8IP2	22	51039805
cg00084687	0.0121477249043849	GATAD1	7	92076896
cg00089071	0.0109191442190842	PCGF2	17	36905809
cg00090147	0.165439823749384	GATA4	8	11562367
cg00091693	0.70694546450035	KRT20	17	39041602
cg00093177	0.94557896402502		17	37185495
cg00094319	0.764226135973958	PABPC3	13	25670530
cg00094851	0.0857695088119239	KIF3C	2	26205706
cg00095526	0.702590689929341	CACNA1S	1	201081686
cg00095674	0.0905619394874328	PLEKHO1	1	150122654
cg00096922	0.0230291991243894	DLX5	7	96654185
cg00097536	0.0140438878291971	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0135228634001062	PNPLA6	19	7599173
cg00099550	0.0270274474669526	NA	NA	0
cg00101227	0.786987461658188	MPZ	1	161280266
cg00103783	0.0149112475665872	MPDU1	17	7487249
cg00105253	0.0703880211417275	NUDT14	14	105647194
cg00105470	0.0198807811151456	C1orf35	1	228290868
cg00107187	0.242588586659113	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0145406929433304	PGM2	4	37828500
cg00108454	0.453594724825756	C1QA	1	22963614
cg00109274	0.0372917162713477	DGKH	13	42623032
cg00112517	0.153093173753434	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.09037900349763	CABP1	12	121078090
cg00115714	0.0285239268518414	AMD1	6	111196112
cg00116234	0.0340910737095923	ADAMTSL1	9	18474243
cg00116838	0.0414894391231292	RTN2;FLJ40125	19	46001746
cg00117172	0.451448844749587	RUNX3	1	25255838
cg00119079	0.019934071806364	LAMP3	3	182880278
cg00121158	0.0146950572350841	KDM4C	9	6757826
cg00121640	0.10381351743865	ASTN2	9	120176515
cg00121904	0.0959510091485893	MAOB	X	43741826
cg00123035	0.0262073731240543	RFX5	1	151319538
cg00126034	0.083897950349959	WNT3	17	44896162
cg00126657	0.397807591561276	SSX6	X	47967250
cg00126698	0.733713008186507	BTK	X	100640503
cg00128197	0.430628758350052	HSD17B10	X	53461455
cg00128560	0.9584175185341	TIGD7	16	3352013
cg00128654	0.016740541287726	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0717343476134216	MKNK1	1	47070178
cg00129774	0.0203609224169762	CDK2;SILV	12	56360414
cg00131121	0.0279724916247427	POLR2J	7	102119710
cg00131557	0.95530638870212	DNAJC15	13	43596656
cg00132141	0.724223805825603	CTNNA3	10	69456307
cg00133909	0.0657659155749535	CD276	15	73977201
cg00134539	0.822366945388005	UBASH3A	21	43824071
cg00134787	0.652620965676449	MYH1	17	10419499
cg00135056	0.130617888100989	C3orf37	3	128997295
cg00135393	0.301448675426615	NA	NA	0
cg00136105	0.0125128972323647	GNPTAB	12	102224911
cg00136405	0.406863792234729	IL21	4	123542198
cg00136477	0.771361294001517	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.765448821572725	PMEPA1	20	56286697
cg00141162	0.564967490045394	HCLS1	3	121379777
cg00141550	0.733649082152244	NA	NA	0
cg00141845	0.181149639543627	UPRT	X	74493352
cg00143376	0.56768576951036	NMUR1	2	232394702
cg00143998	0.0293110022065748	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.293147512573571	GNPDA1	5	141393931
cg00145348	0.489099880893554	APEX2	X	55026862
cg00146096	0.0159177809398682	FANCF	11	22647309
cg00149659	0.0189878005663391	C3orf10	3	10157352
cg00149976	0.0138160779641144	MGLL	3	127541529
cg00151234	0.396264353409744	PGK1	X	77359363
cg00151607	0.0139245594322257	TRAPPC2L;GALNS	16	88923507
cg00152644	0.731254427859853	SPRR2E	1	153068236
cg00155167	0.0177572898638835	VPS13B	8	100025831
cg00155485	0.0224670493761041	MED13L	12	116714600
cg00155609	0.0315645531989131	PRDX2	19	12912527
cg00156216	0.0238989407148869	APLP2	11	129939849
cg00156744	0.0255543780234321	STK10	5	171615663
cg00158308	0.1004669705709	OXGR1	13	97646341
cg00160914	0.106470228936384	DDX20;C1orf183	1	112299263
cg00162401	0.0175067997500565	GSTA4	6	52859823
cg00162643	0.0258534313536815	DDX58	9	32526492
cg00164041	0.0212508243111319	NA	NA	0
cg00164898	0.0185882053218977	MAPK11	22	50709127
cg00165981	0.0312496373230807	COL4A3BP;POLK	5	74808039
cg00167504	0.0219574218498009	BLVRA	7	43798622
cg00168082	0.0328774957182434	ABL1	9	133589177
cg00168785	0.0428686327577984	WDSUB1	2	160142643
cg00168942	0.74879595770523	GJD4	10	35894430
cg00169548	0.158212539471089	NA	NA	0
cg00171126	0.0213098646501712	WRB	21	40752522
cg00171161	0.0653850846608638	NUDT9	4	88343636
cg00174500	0.588168288648143	CMTM5	14	23846479
cg00174901	0.193701764713017	PALM	19	709889
cg00176210	0.615689843371468	ANK1	8	41654967
cg00176879	0.991600960349091	VPS16;PTPRA	20	2843525
cg00177013	0.094558385196428	ARFRP1;ZGPAT	20	62339100
cg00177698	0.026656736174322	PNPO	17	46018875
cg00177923	0.0162623093374083	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.275395726013983	UPF3B	X	118986947
cg00180012	0.0166867699953952	LACE1	6	108615929
cg00180631	0.445247852372224	MTM1	X	149736640
cg00182461	0.049602131800524	NA	NA	0
cg00183782	0.87112045169449	NA	NA	0
cg00183916	0.0244246179093907	HS3ST3B1	17	14204936
cg00184884	0.0103210310011533	SFI1	22	31892343
cg00184893	0.0172955496118383	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0273848278463538	LRDD	11	804954
cg00186141	0.0153910185845815	PODXL	7	131241768
cg00186701	0.154888228645763	TSPYL5	8	98290510
cg00186954	0.666593439964993	ST5;C11orf17	11	8933980
cg00187380	0.0431029952208161	HOXC4;HOXC5	12	54427384
cg00187686	0.636366216661	TCN1	11	59634218
cg00188348	0.597254103935186	NA	NA	0
cg00191052	0.628268736441774	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0227280654700672	FAM53C	5	137673669
cg00197641	0.0315767213624996	MRPL52	14	23299461
cg00199549	0.925907784114709	MCM5	22	35795374
cg00200063	0.0119851852597588	USP32	17	58469941
cg00201234	0.471937375733053	FBLN2	3	13590968
cg00202702	0.0113374592973736	C11orf70	11	101918157
cg00202711	0.142342604565397	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0215441410155993	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0184687770921931	KIAA0174	16	71929512
cg00208830	0.808363117646992	LAMC2	1	183154778
cg00208967	0.354097005040182	OLFM2	19	10047924
cg00209066	0.885125188251901	BRD1	22	50218923
cg00209951	0.0637297655835118	DENND2C	1	115212834
cg00210842	0.0262414531540622	APAF1;IKBIP	12	99039578
cg00211661	0.0213676301874048	ARAP1	11	72433619
cg00212549	0.0392003595760762	NA	NA	0
cg00213044	0.717575601726642	KRT6A	12	52886438
cg00213331	0.954729985058602	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.011538620962118	NA	NA	0
cg00214794	0.631373716830265	NA	NA	0
cg00214855	0.151620628716726	CCDC90A	6	13813947
cg00215066	0.948715023531419	MYO9B	19	17212316
cg00216361	0.0394128464016696	GAP43	3	115342527
cg00216758	0.0313511787158252	RASSF7;C11orf35	11	560589
cg00217795	0.630633553101975	DIO2	14	80677688
cg00221494	0.445438473532104	FARP1	13	98794593
cg00223186	0.020103778121705	ACBD6	1	180472200
cg00223950	0.0281114159598572	UBR4	1	19536222
cg00224234	0.00939269889059722	GLOD4;RNMTL1	17	685693
cg00224508	0.0142876594286458	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.884185932356016	FGD2	6	36972027
cg00228799	0.0175117979816521	ENDOG	9	131580591
cg00229387	0.11369818404134	TJAP1	6	43445942
cg00230271	0.0295196406507859	TBCK;AIMP1	4	107237183
cg00230368	0.0215276339082303	IGF2R	6	160389833
cg00230502	0.0810270535319444	CCDC60	12	119772381
cg00230685	0.558369686347596	SCML1	X	17755839
cg00231140	0.0242126230822987	ACAA2;SCARNA17	18	47339702
cg00231644	0.249990878853226	TUBB2A	6	3158512
cg00231920	0.0194724736976575	VPS16;FAM113A	20	2821308
cg00233307	0.221559493941711	MAP4K1;EIF3K	19	39109076
cg00234616	0.277612906153851	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0456025475005963	RARA	17	38465489
cg00237010	0.468358405831959	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.940195421619904	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0474448510245804	TTC21A;GORASP1	3	39148342
cg00240312	0.0383824796025412	NA	NA	0
cg00240432	0.0177238667210471	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0224553028715983	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.0205037458378758	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.021981134083774	CR2	1	207628182
cg00250430	0.561329619681448	DMRT2	9	1051579
cg00253200	0.0165232276375555	C3orf59	3	192636074
cg00256074	0.922930275436257	MYLPF	16	30386150
cg00256166	0.0242553023116068	KLHL25	15	86338428
cg00256281	0.0179333714992929	PMM1	22	41985642
cg00259755	0.115502085996937	PWWP2B	10	134209763
cg00260778	0.381744658138945	NA	NA	0
cg00261552	0.021778164043444	CREBL2	12	12764894
cg00261781	0.0122245087147222	MATN3	2	20212517
cg00262415	0.0174163282936057	PUSL1;ACAP3	1	1242732
cg00263723	0.0184229320065756	NA	NA	0
cg00263760	0.117180818329516	VAX1	10	118897366
cg00265415	0.0101273736185551	B3GALNT2	1	235667507
cg00265490	0.0340840749161479	MTDH	8	98655845
cg00268009	0.0115389214853923	ADH5	4	100010211
cg00268338	0.0103704454376389	HECTD2;LOC100188947	10	93169495
cg00269115	0.0152171494472634	C1orf213;ZNF436	1	23695530
cg00269932	0.858817124783198	NA	NA	0
cg00273068	0.327002117221774	EMILIN3	20	39995747
cg00273124	0.855581108999099	NHP2	5	177581512
cg00274399	0.0304951317168699	FGF9	13	22245420
cg00275232	0.0180533580234943	ZNF296	19	45579541
cg00276797	0.0236576696332669	SLK	10	105726614
cg00278366	0.495395904332354	RAD9B;VPS29	12	110940287
cg00279797	0.288325980260756	AMMECR1	X	109561918
cg00280814	0.83893988430637	ZDHHC8P	22	23745389
cg00280894	0.410759765924919	NA	NA	0
cg00282347	0.135727861626867	CHD5	1	6241040
cg00282683	0.0181138469038945	UBE3C	7	156931995
cg00283535	0.68422989591403	ANXA13	8	124749564
cg00288562	0.0157860026098408	TRA2A	7	23571645
cg00290028	0.0117026591029374	RFXAP	13	37393125
cg00290506	0.0189709484196249	CNIH3	1	224804226
cg00291877	0.0269883957832948	SNRPA1	15	101835933
cg00292662	0.0165799379723462	LGALS1	22	38071168
cg00292971	0.902108555037233	FAM131B	7	143060536
cg00293409	0.0518118032621295	LRRC33	3	196366669
cg00294382	0.295722748130747	IL23A	12	56732721
cg00295206	0.0176155639064292	RAB7A	3	128444813
cg00295325	0.71382124577526	ABCB11	2	169887932
cg00296685	0.0238148402554857	NA	NA	0
cg00297584	0.296450881402272	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.798014292233891	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0213414668956905	PPP3CA	4	102268125
cg00303548	0.0125363756428991	HS6ST3	13	96742413
cg00304278	0.0375089261200952	NA	NA	0
cg00307685	0.910524859956217	BRDT	1	92415524
cg00308133	0.00997443807255942	GAMT	19	1401118
cg00308665	0.477417127591997	HTR2A	13	47469654
cg00309056	0.0199411097083607	STARD3NL	7	38218112
cg00309204	0.0206124957049184	C17orf61	17	7307432
cg00311768	0.501300892975181	TSTA3	8	144698857
cg00312919	0.0112276336602466	STARD3NL	7	38217710
cg00314943	0.906446561204977	ALPPL2	2	233270750
cg00315936	0.0433755563100264	SND1	7	127292739
cg00317680	0.0944863273192383	MTERFD1;PTDSS1	8	97274070
cg00318573	0.20188490034561	CHRNA4	20	61993118
cg00318865	0.0168245554493332	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.0103755706462444	PKMYT1	16	3030447
cg00320243	0.0147153089460909	RAB3A	19	18314691
cg00321065	0.0186478576389994	RLF	1	40627063
cg00321478	0.848758351967634	CRB1	1	197238398
cg00323915	0.630864944428967	GIMAP4	7	150264987
cg00324733	0.0190916811921761	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.107676692412019	DLAT	11	111896498
cg00327483	0.966393565613144	CASQ1	1	160160587
cg00328227	0.411799773914029	C1orf59	1	109204325
cg00331237	0.143868033011505	CSRP2	12	77273319
cg00331433	0.0162880796055633	SYAP1	X	16737800
cg00332153	0.661593611621313	BANK1	4	102712010
cg00332745	0.0153311136591798	NOL3	16	67208247
cg00333226	0.349728507357856	VWC2	7	49813763
cg00333528	0.432551919038574	GABRR1	6	89927485
cg00334507	0.779200717118933	PRRT2	16	29824599
cg00335286	0.446876225770002	MC2R	18	13916355
cg00336605	0.0218179709556623	NR1H2	19	50879437
cg00338702	0.0371348631772513	CHFR	12	133463694
cg00338893	0.0231768016225552	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.313096173622327	GARNL3	9	130027020
cg00343092	0.0207064839376978	TSPO	22	43547974
cg00344358	0.925328313043977	GDF11	12	56135693
cg00344372	0.834588046786917	HGFAC	4	3443625
cg00344709	0.755738626155596	POTED	21	14982225
cg00346145	0.0314025799581703	RPL34;LOC285456	4	109541559
cg00347729	0.513282273059125	MMP10	11	102651753
cg00347904	0.353646431915966	SCUBE3	6	35182508
cg00350296	0.437604316784958	CD248	11	66084841
cg00350478	0.720941616876229	FRMD1	6	168480013
cg00350702	0.017147013703074	ERGIC3	20	34129927
cg00351011	0.0157711856628204	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.8779933945594	ZIM2	19	57306738
cg00354572	0.223143271068981	ACSS3	12	81471419
cg00355802	0.0304997783375952	DUSP4	8	29208983
cg00359325	0.0391939426840616	USP4	3	49377419
cg00359973	0.106799477525126	RIBC1;SMC1A	X	53449900
cg00363813	0.632868716762467	IFFO1	12	6664872
cg00364344	0.016456124253876	NA	NA	0
cg00364814	0.850296872784786	R3HDM2	12	57691455
cg00365193	0.339882836187855	NA	NA	0
cg00367281	0.853608279345817	CHRNB3	8	42552470
cg00367438	0.0349874019025143	TMUB1	7	150780797
cg00368022	0.0165556946386784	C5orf22;RNASEN	5	31532653
cg00368415	0.011841439670656	SNX27	1	151584398
cg00371195	0.963823571229421	F2	11	46740481
cg00374717	0.955655952033028	ARSG	17	66303145
cg00375964	0.0246385285428418	ABCE1;ANAPC10	4	146019130
cg00376639	0.0773743153988809	ZNF581	19	56155151
cg00380464	0.0156305275784971	LTV1	6	144164650
cg00381076	0.0320974010687699	C18orf54	18	51884797
cg00382515	0.0124198560592918	MRPL44	2	224822229
cg00382991	0.0363228815443648	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.196453537457041	TGFBI	5	135364970
cg00387170	0.023034732664525	FOXP4	6	41514002
cg00392257	0.319547761410374	ISG20L2	1	156696747
cg00393585	0.0381884730235593	C4orf39;TRIM61	4	165878091
cg00394658	0.434869769072609	PTPRJ	11	48001669
cg00396163	0.016770819071926	DNAH6	2	84743584
cg00396894	0.727898977892185	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.023959596674124	PPOX	1	161136321
cg00398048	0.136358483839242	AGA	4	178364342
cg00399483	0.148610205917194	DCC	18	49868378
cg00400028	0.202427340087771	NA	NA	0
cg00400263	0.988580621751363	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0148339912426648	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.421330918028799	TSC22D3	X	107018431
cg00405070	0.0226780168259497	ERP29;TMEM116	12	112450647
cg00405568	0.0222642184674692	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.776953775213332	RFPL3	22	32753939
cg00407150	0.655444042203003	HHATL	3	42743794
cg00410419	0.0167034198234966	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.0737953290168753	STC1	8	23712355
cg00410921	0.47485534160795	NA	NA	0
cg00411097	0.444730926606487	TMEM184A	7	1596050
cg00412772	0.718719059882364	YIF1B;C19orf33	19	38794845
cg00412805	0.981781693070871	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.146554642077098	NA	NA	0
cg00415494	0.756401202813767	NA	NA	0
cg00415978	0.0975679175899543	SYNPO2	4	119809925
cg00415993	0.676699077188111	F2RL2;IQGAP2	5	75919188
cg00417297	0.0162393841622292	ZNF619	3	40518742
cg00418150	0.492572478950991	ALX4	11	44327869
cg00419564	0.0170801930681197	S100A6	1	153508860
cg00420568	0.394506592604924	SHC3	9	91794904
cg00420715	0.0131681140355779	VPS13B	8	100025364
cg00420929	0.255993263807894	PGPEP1	19	18451112
cg00422913	0.019630086454731	C17orf91;WDR81	17	1619022
cg00424946	0.0148583864048769	SNTB2	16	69221172
cg00425710	0.896635282194408	MT1A	16	56672671
cg00425792	0.032324772283763	PEX12	17	33905503
cg00426056	0.0153992999541356	CUTA	6	33385896
cg00426498	0.241907417028885	MYO18A	17	27507667
cg00426963	0.0175725099390862	KIF27	9	86535755
cg00427635	0.224417179982524	TBC1D21	15	74166372
cg00429618	0.184224372683505	ZNF322B	9	99962350
cg00430287	0.701716776784086	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.406243813641854	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.120880848513684	MGP	12	15039025
cg00432979	0.0170339162158021	MRP63;SKA3	13	21750473
cg00433406	0.940525294535563	VWA5B1	1	20616975
cg00434413	0.985730626057241	RENBP;NAA10	X	153201653
cg00435408	0.0310370185082909	FAM192A;RSPRY1	16	57220662
cg00436282	0.888790624934979	STATH	4	70861449
cg00436301	0.0163271449919325	NT5DC1	6	116421736
cg00436603	0.506217950799804	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.00951617252050047	STOML1	15	74284481
cg00443307	0.747577365923839	KLRG1	12	9141740
cg00445824	0.153242342818667	ISYNA1	19	18548929
cg00446235	0.207569293048886	TSTD1	1	161008644
cg00447208	0.709978326849976	TMC8;TMC6	17	76126301
cg00448720	0.681868858569854	C1QTNF9	13	24883014
cg00449941	0.0208852088984761	SPAG5	17	26926011
cg00451635	0.312651839052875	EMP2	16	10675030
cg00453193	0.0262095766532429	TES	7	115851050
cg00453258	0.775156221776431	CALHM1	10	105219172
cg00459975	0.0298416914232195	INTS9;HMBOX1	8	28749099
cg00461841	0.819638351043986	ATF7IP2	16	10523485
cg00462311	0.0356727570538347	NFATC4	14	24837184
cg00462994	0.179116755074347	NAGS;PYY	17	42081955
cg00463202	0.783314182267283	ADPRHL1	13	114107710
cg00463577	0.0385155018958509	C6orf150	6	74161911
cg00463848	0.938165618201728	KRT2	12	53046105
cg00464269	0.013834195684049	TNFAIP1;IFT20	17	26662842
cg00465284	0.0219569107408628	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0151089444148023	NA	NA	0
cg00466249	0.304004239781369	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0148788589951832	C14orf101	14	57046243
cg00468146	0.170398079602275	ID4	6	19838211
cg00469635	0.0109591198691308	PPME1;C2CD3	11	73882471
cg00471562	0.0216888304376641	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0204065385811846	ADAMTS1	21	28217676
cg00474004	0.836183450164598	IFNA14	9	21239944
cg00474209	0.0382905746602821	DLL1	6	170600060
cg00475955	0.0125622678333357	C9orf114	9	131592049
cg00476577	0.159292532009498	NA	NA	0
cg00476580	0.0114481826074547	ANP32E	1	150207583
cg00479269	0.0268942751714613	C2orf29	2	101869975
cg00480115	0.518096654313987	FXYD3	19	35606877
cg00480209	0.0141930896424892	SCO1;C17orf48	17	10600689
cg00480356	0.0767836625438584	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0135253433291232	DDX41	5	176943504
cg00485296	0.0113372654227681	NME3	16	1821559
cg00485380	0.0151835287234109	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0192862659827806	SOCS1	16	11349568
cg00488300	0.870675956123042	NA	NA	0
cg00488364	0.63255517739288	IL13RA2	X	114253315
cg00488718	0.0179953795739435	MFSD8;C4orf29	4	128887044
cg00489401	0.599768625160956	FLT4	5	180075875
cg00491404	0.866260369025169	EPS8L3	1	110306591
cg00491839	0.0564838612269188	PPP1R15A	19	49375640
cg00493400	0.0153773195167225	STAT1	2	191879127
cg00495415	0.0221462868066276	SP1	12	53773795
cg00495442	0.0225099670984855	RALGAPB	20	37101172
cg00495491	0.785036895608504	NA	NA	0
cg00496170	0.0145003861730092	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.694412856826286	PPEF1	X	18709116
cg00497251	0.0536479443195432	RNPEPL1	2	241508725
cg00498305	0.425365119635598	SLC18A2	10	119000236
cg00498604	0.152027449646066	TLL1	4	166793789
cg00499599	0.0148227392346145	C21orf57;MCM3AP	21	47706392
cg00499822	0.586425876761555	CXCL12	10	44881551
cg00500400	0.0295199317912324	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0142762908122254	ZDHHC14	6	157801893
