Hybridization REF	TCGA-B6-A0IA-01A-11D-A032-05	TCGA-B6-A0IA-01A-11D-A032-05	TCGA-B6-A0IA-01A-11D-A032-05	TCGA-B6-A0IA-01A-11D-A032-05
cg00053647	0.0656947223014055	C7orf28B	7	6866072
cg00054706	0.0180998476062843	C1D	2	68289972
cg00055233	0.143174704046942	RLN1	9	5339677
cg00056767	0.0200902208613407	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.252659920937402	GLRA1	5	151304357
cg00059424	0.0186698850385866	PES1	22	30988148
cg00059740	0.0130118398558147	C7orf49	7	134855689
cg00059930	0.587733818488069	RB1	13	48894382
cg00060762	0.0188500233669496	LEO1	15	52264133
cg00060882	0.0778710907726246	EIF2S3	X	24072811
cg00061059	0.046372702115543	TECR	19	14640983
cg00061629	0.400059786325017	ALX4	11	44325258
cg00062776	0.990402780850596	TULP2	19	49402424
cg00063144	0.936858874540144	KRT31	17	39554055
cg00065385	0.965542932799347	ACTL7A	9	111623395
cg00065408	0.0226075412535178	CACNB3	12	49212475
cg00066153	0.962956795229197	ACRV1	11	125550744
cg00066816	0.43152125901888	IL12B	5	158758353
cg00067471	0.0550853332440071	ATP5D	19	1241377
cg00069261	0.0178801147396622	CDR2	16	22386531
cg00071250	0.865906633835466	FASLG	1	172628263
cg00071998	0.0256624181292442	MSH5	6	31708121
cg00072216	0.0151863155213269	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.118522626239535	STRA6	15	74495354
cg00076645	0.0176913731431738	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.907238293367497	ASAP1	8	131414474
cg00078194	0.0165565029642473	MDK	11	46402949
cg00078867	0.816582099604133	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0310650849509576	ARFGAP3	22	43253521
cg00080012	0.0113385854957287	EED	11	85955689
cg00081935	0.0290574686466144	TSPAN9	12	3186906
cg00081975	0.0160111717330362	ABCC3	17	48712370
cg00083720	0.01814336805433	NA	NA	0
cg00083937	0.653928229111639	MAPK8IP2	22	51039805
cg00084687	0.0136718344516698	GATAD1	7	92076896
cg00089071	0.0123031088707043	PCGF2	17	36905809
cg00090147	0.225284406711515	GATA4	8	11562367
cg00091693	0.802952526860741	KRT20	17	39041602
cg00093177	0.930411493127529		17	37185495
cg00094319	0.873740515265241	PABPC3	13	25670530
cg00094851	0.0991952992674515	KIF3C	2	26205706
cg00095526	0.839773315973928	CACNA1S	1	201081686
cg00095674	0.0597433104331592	PLEKHO1	1	150122654
cg00096922	0.0196054366196499	DLX5	7	96654185
cg00097536	0.0121337967718827	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0135573258321023	PNPLA6	19	7599173
cg00099550	0.0240755853476279	NA	NA	0
cg00101227	0.895790795143234	MPZ	1	161280266
cg00103783	0.0132029033531273	MPDU1	17	7487249
cg00105253	0.0294323805188509	NUDT14	14	105647194
cg00105470	0.015965764527266	C1orf35	1	228290868
cg00107187	0.0768758640957936	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0124019125533956	PGM2	4	37828500
cg00108454	0.0986451755568254	C1QA	1	22963614
cg00109274	0.0174507578804917	DGKH	13	42623032
cg00112517	0.0293046383264761	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.0996951946721752	CABP1	12	121078090
cg00115714	0.0316210432825623	AMD1	6	111196112
cg00116234	0.032559990109944	ADAMTSL1	9	18474243
cg00116838	0.544880371956687	RTN2;FLJ40125	19	46001746
cg00117172	0.110406069730146	RUNX3	1	25255838
cg00119079	0.0361872214913513	LAMP3	3	182880278
cg00121158	0.0136760740075094	KDM4C	9	6757826
cg00121640	0.0884833291119046	ASTN2	9	120176515
cg00121904	0.0476566998434726	MAOB	X	43741826
cg00123035	0.0240181976427912	RFX5	1	151319538
cg00126034	0.0309662225388339	WNT3	17	44896162
cg00126657	0.0976563785512319	SSX6	X	47967250
cg00126698	0.575485328984039	BTK	X	100640503
cg00128197	0.543204139704322	HSD17B10	X	53461455
cg00128560	0.965152480435259	TIGD7	16	3352013
cg00128654	0.0153866635858741	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0558501228229777	MKNK1	1	47070178
cg00129774	0.0195533331319411	CDK2;SILV	12	56360414
cg00131121	0.0170632856493744	POLR2J	7	102119710
cg00131557	0.938556798377096	DNAJC15	13	43596656
cg00132141	0.351314316768498	CTNNA3	10	69456307
cg00133909	0.0363509074645157	CD276	15	73977201
cg00134539	0.96753346332497	UBASH3A	21	43824071
cg00134787	0.0970390541184426	MYH1	17	10419499
cg00135056	0.0576007232094961	C3orf37	3	128997295
cg00135393	0.173971753876832	NA	NA	0
cg00136105	0.0172050609307463	GNPTAB	12	102224911
cg00136405	0.345844935278501	IL21	4	123542198
cg00136477	0.854339214205182	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.582986617499684	PMEPA1	20	56286697
cg00141162	0.87825784183776	HCLS1	3	121379777
cg00141550	0.905273124760227	NA	NA	0
cg00141845	0.357858398312661	UPRT	X	74493352
cg00143376	0.506437182736492	NMUR1	2	232394702
cg00143998	0.0173207550811921	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.361717992041376	GNPDA1	5	141393931
cg00145348	0.244492413531821	APEX2	X	55026862
cg00146096	0.0140710915691196	FANCF	11	22647309
cg00149659	0.0148454034244228	C3orf10	3	10157352
cg00149976	0.0132190402536017	MGLL	3	127541529
cg00151234	0.142138298607658	PGK1	X	77359363
cg00151607	0.0137424151360463	TRAPPC2L;GALNS	16	88923507
cg00152644	0.822315313042312	SPRR2E	1	153068236
cg00155167	0.0155207778512422	VPS13B	8	100025831
cg00155485	0.0290700129248951	MED13L	12	116714600
cg00155609	0.0195213769926279	PRDX2	19	12912527
cg00156216	0.0198936240671463	APLP2	11	129939849
cg00156744	0.019089766628599	STK10	5	171615663
cg00158308	0.0238247012499643	OXGR1	13	97646341
cg00160914	0.0465690268872369	DDX20;C1orf183	1	112299263
cg00162401	0.0174433252212818	GSTA4	6	52859823
cg00162643	0.0212886536421662	DDX58	9	32526492
cg00164041	0.0235877434276508	NA	NA	0
cg00164898	0.011412787834522	MAPK11	22	50709127
cg00165981	0.0323383700252073	COL4A3BP;POLK	5	74808039
cg00167504	0.0215047840429184	BLVRA	7	43798622
cg00168082	0.0290590667724415	ABL1	9	133589177
cg00168785	0.0166981265636082	WDSUB1	2	160142643
cg00168942	0.125663452735492	GJD4	10	35894430
cg00169548	0.126612504701824	NA	NA	0
cg00171126	0.0337566069488497	WRB	21	40752522
cg00171161	0.050591890793352	NUDT9	4	88343636
cg00174500	0.936502498849485	CMTM5	14	23846479
cg00174901	0.249597103695677	PALM	19	709889
cg00176210	0.923533964871607	ANK1	8	41654967
cg00176879	0.987777780170597	VPS16;PTPRA	20	2843525
cg00177013	0.0815570196204276	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0301248364848183	PNPO	17	46018875
cg00177923	0.0173079633828044	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.150447653587722	UPF3B	X	118986947
cg00180012	0.0285021795903065	LACE1	6	108615929
cg00180631	0.572425491179479	MTM1	X	149736640
cg00182461	0.0471688657452527	NA	NA	0
cg00183782	0.859634653531937	NA	NA	0
cg00183916	0.00987444023685123	HS3ST3B1	17	14204936
cg00184884	0.0119832019671306	SFI1	22	31892343
cg00184893	0.013986847010486	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.029943784560632	LRDD	11	804954
cg00186141	0.0132316066758936	PODXL	7	131241768
cg00186701	0.129855274179287	TSPYL5	8	98290510
cg00186954	0.897054115622671	ST5;C11orf17	11	8933980
cg00187380	0.0277280397655085	HOXC4;HOXC5	12	54427384
cg00187686	0.115831574968065	TCN1	11	59634218
cg00188348	0.589472981755226	NA	NA	0
cg00191052	0.89155050458125	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.016025467549823	FAM53C	5	137673669
cg00197641	0.0202177811509476	MRPL52	14	23299461
cg00199549	0.984391509068771	MCM5	22	35795374
cg00200063	0.0174423207498578	USP32	17	58469941
cg00201234	0.482195805448717	FBLN2	3	13590968
cg00202702	0.0116070683522023	C11orf70	11	101918157
cg00202711	0.0345206229316236	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0225767838299196	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0303694244021474	KIAA0174	16	71929512
cg00208830	0.755484870863804	LAMC2	1	183154778
cg00208967	0.366370909225436	OLFM2	19	10047924
cg00209066	0.937461130300815	BRD1	22	50218923
cg00209951	0.0675276258041012	DENND2C	1	115212834
cg00210842	0.0309465771394001	APAF1;IKBIP	12	99039578
cg00211661	0.0184072336228822	ARAP1	11	72433619
cg00212549	0.0399955475793283	NA	NA	0
cg00213044	0.602793498298606	KRT6A	12	52886438
cg00213331	0.946917852070271	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0135632362865472	NA	NA	0
cg00214794	0.568041881272721	NA	NA	0
cg00214855	0.111120397300935	CCDC90A	6	13813947
cg00215066	0.96718443818117	MYO9B	19	17212316
cg00216361	0.0264719121654458	GAP43	3	115342527
cg00216758	0.0265220498890031	RASSF7;C11orf35	11	560589
cg00217795	0.43057424859723	DIO2	14	80677688
cg00221494	0.0211056948807216	FARP1	13	98794593
cg00223186	0.014773614402717	ACBD6	1	180472200
cg00223950	0.0210342517878212	UBR4	1	19536222
cg00224234	0.00873143841647419	GLOD4;RNMTL1	17	685693
cg00224508	0.0212958126591828	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.946631715696998	FGD2	6	36972027
cg00228799	0.0169083439785607	ENDOG	9	131580591
cg00229387	0.020099379406833	TJAP1	6	43445942
cg00230271	0.0449312795618611	TBCK;AIMP1	4	107237183
cg00230368	0.021449230851258	IGF2R	6	160389833
cg00230502	0.0340231981239934	CCDC60	12	119772381
cg00230685	0.584924368372754	SCML1	X	17755839
cg00231140	0.021870535956233	ACAA2;SCARNA17	18	47339702
cg00231644	0.275724315115752	TUBB2A	6	3158512
cg00231920	0.0180681524278291	VPS16;FAM113A	20	2821308
cg00233307	0.0212728312017115	MAP4K1;EIF3K	19	39109076
cg00234616	0.0677791629601426	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0388808840042676	RARA	17	38465489
cg00237010	0.294198045387866	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.956484412927612	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0242913296240478	TTC21A;GORASP1	3	39148342
cg00240312	0.0200018016704818	NA	NA	0
cg00240432	0.0603318455043737	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0187140910345379	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.00943196766939112	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0186296771072916	CR2	1	207628182
cg00250430	0.415876091189432	DMRT2	9	1051579
cg00253200	0.012558776045024	C3orf59	3	192636074
cg00256074	0.95439923958351	MYLPF	16	30386150
cg00256166	0.0228268779272391	KLHL25	15	86338428
cg00256281	0.0139019871909264	PMM1	22	41985642
cg00259755	0.0273689710301725	PWWP2B	10	134209763
cg00260778	0.154759024011039	NA	NA	0
cg00261552	0.031625570731407	CREBL2	12	12764894
cg00261781	0.0109640403202944	MATN3	2	20212517
cg00262415	0.0201685851332436	PUSL1;ACAP3	1	1242732
cg00263723	0.0156028436018748	NA	NA	0
cg00263760	0.245741586078289	VAX1	10	118897366
cg00265415	0.00968085806046662	B3GALNT2	1	235667507
cg00265490	0.0304822806259331	MTDH	8	98655845
cg00268009	0.014419948895978	ADH5	4	100010211
cg00268338	0.0139556247393586	HECTD2;LOC100188947	10	93169495
cg00269115	0.0199998862464669	C1orf213;ZNF436	1	23695530
cg00269932	0.977070085401092	NA	NA	0
cg00273068	0.508209060566095	EMILIN3	20	39995747
cg00273124	0.871815212061698	NHP2	5	177581512
cg00274399	0.0330130476115878	FGF9	13	22245420
cg00275232	0.0181903967862684	ZNF296	19	45579541
cg00276797	0.0190472184945084	SLK	10	105726614
cg00278366	0.487186725718345	RAD9B;VPS29	12	110940287
cg00279797	0.326827759907509	AMMECR1	X	109561918
cg00280814	0.928437023155686	ZDHHC8P	22	23745389
cg00280894	0.078768487686936	NA	NA	0
cg00282347	0.0279916611181565	CHD5	1	6241040
cg00282683	0.015136033767027	UBE3C	7	156931995
cg00283535	0.936972057286172	ANXA13	8	124749564
cg00288562	0.021865159990763	TRA2A	7	23571645
cg00290028	0.0228036621410727	RFXAP	13	37393125
cg00290506	0.492275481539752	CNIH3	1	224804226
cg00291877	0.030150265429315	SNRPA1	15	101835933
cg00292662	0.01397042797655	LGALS1	22	38071168
cg00292971	0.951929042415479	FAM131B	7	143060536
cg00293409	0.022227464114889	LRRC33	3	196366669
cg00294382	0.809876017627692	IL23A	12	56732721
cg00295206	0.0157033412117409	RAB7A	3	128444813
cg00295325	0.899592088451117	ABCB11	2	169887932
cg00296685	0.0231006679828954	NA	NA	0
cg00297584	0.515100585808249	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.887989043475327	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.019776288448248	PPP3CA	4	102268125
cg00303548	0.0139538283362906	HS6ST3	13	96742413
cg00304278	0.0479066839582434	NA	NA	0
cg00307685	0.92452866450513	BRDT	1	92415524
cg00308133	0.013002185801341	GAMT	19	1401118
cg00308665	0.075498339119188	HTR2A	13	47469654
cg00309056	0.0154651479493478	STARD3NL	7	38218112
cg00309204	0.0202346898972572	C17orf61	17	7307432
cg00311768	0.0857899316722237	TSTA3	8	144698857
cg00312919	0.0115345553054452	STARD3NL	7	38217710
cg00314943	0.928803609927075	ALPPL2	2	233270750
cg00315936	0.051899263956954	SND1	7	127292739
cg00317680	0.118863311926982	MTERFD1;PTDSS1	8	97274070
cg00318573	0.0598653128675914	CHRNA4	20	61993118
cg00318865	0.0128006888588069	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.00896802079850485	PKMYT1	16	3030447
cg00320243	0.0178042907581001	RAB3A	19	18314691
cg00321065	0.017949765538161	RLF	1	40627063
cg00321478	0.768965244448639	CRB1	1	197238398
cg00323915	0.864512224100785	GIMAP4	7	150264987
cg00324733	0.0245157737045565	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.130041125606377	DLAT	11	111896498
cg00327483	0.95704790726478	CASQ1	1	160160587
cg00328227	0.806673897984371	C1orf59	1	109204325
cg00331237	0.0186956383181568	CSRP2	12	77273319
cg00331433	0.0113424693007361	SYAP1	X	16737800
cg00332153	0.899770221682779	BANK1	4	102712010
cg00332745	0.0209107219236143	NOL3	16	67208247
cg00333226	0.518187221441898	VWC2	7	49813763
cg00333528	0.143180521615509	GABRR1	6	89927485
cg00334507	0.640711259022799	PRRT2	16	29824599
cg00335286	0.884161535052449	MC2R	18	13916355
cg00336605	0.0288588821817389	NR1H2	19	50879437
cg00338702	0.0184990342556605	CHFR	12	133463694
cg00338893	0.0190808513629241	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.049177667730787	GARNL3	9	130027020
cg00343092	0.00931676627935159	TSPO	22	43547974
cg00344358	0.938981871627129	GDF11	12	56135693
cg00344372	0.891737296623529	HGFAC	4	3443625
cg00344709	0.965811188921119	POTED	21	14982225
cg00346145	0.0318554533141004	RPL34;LOC285456	4	109541559
cg00347729	0.172773092718422	MMP10	11	102651753
cg00347904	0.131100101928011	SCUBE3	6	35182508
cg00350296	0.386258421640181	CD248	11	66084841
cg00350478	0.665880866807751	FRMD1	6	168480013
cg00350702	0.0181946797361218	ERGIC3	20	34129927
cg00351011	0.0136933572633375	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.920129253689276	ZIM2	19	57306738
cg00354572	0.0236241891362573	ACSS3	12	81471419
cg00355802	0.0406657986870205	DUSP4	8	29208983
cg00359325	0.0348699680413884	USP4	3	49377419
cg00359973	0.0505978327391647	RIBC1;SMC1A	X	53449900
cg00363813	0.851666486211146	IFFO1	12	6664872
cg00364344	0.0123414963582951	NA	NA	0
cg00364814	0.916159222868433	R3HDM2	12	57691455
cg00365193	0.439122950487375	NA	NA	0
cg00367281	0.858993727158743	CHRNB3	8	42552470
cg00367438	0.0308695617108774	TMUB1	7	150780797
cg00368022	0.0198948980244051	C5orf22;RNASEN	5	31532653
cg00368415	0.0119155945453495	SNX27	1	151584398
cg00371195	0.960660363376534	F2	11	46740481
cg00374717	0.949953568537701	ARSG	17	66303145
cg00375964	0.0217328554575476	ABCE1;ANAPC10	4	146019130
cg00376639	0.106625464683665	ZNF581	19	56155151
cg00380464	0.0183541092645447	LTV1	6	144164650
cg00381076	0.0338319967378378	C18orf54	18	51884797
cg00382515	0.0118689189043646	MRPL44	2	224822229
cg00382991	0.0350502684106584	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.0822664170682824	TGFBI	5	135364970
cg00387170	0.0187913997555816	FOXP4	6	41514002
cg00392257	0.113634769882895	ISG20L2	1	156696747
cg00393585	0.0526693082847196	C4orf39;TRIM61	4	165878091
cg00394658	0.80290972854322	PTPRJ	11	48001669
cg00396163	0.0198237131446549	DNAH6	2	84743584
cg00396894	0.877884968782314	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0231208694637854	PPOX	1	161136321
cg00398048	0.0681980022716429	AGA	4	178364342
cg00399483	0.0231505245626889	DCC	18	49868378
cg00400028	0.0891382034781755	NA	NA	0
cg00400263	0.990694219998203	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0191467460963086	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.509648382152227	TSC22D3	X	107018431
cg00405070	0.017547430172828	ERP29;TMEM116	12	112450647
cg00405568	0.0215755116324283	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.887024451663091	RFPL3	22	32753939
cg00407150	0.818765495059548	HHATL	3	42743794
cg00410419	0.020360697389523	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.12216925735079	STC1	8	23712355
cg00410921	0.0660822490779257	NA	NA	0
cg00411097	0.161714500432029	TMEM184A	7	1596050
cg00412772	0.892360023841219	YIF1B;C19orf33	19	38794845
cg00412805	0.987981572399951	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.0187101060111073	NA	NA	0
cg00415494	0.905728247020214	NA	NA	0
cg00415978	0.0798574285859788	SYNPO2	4	119809925
cg00415993	0.8940698314903	F2RL2;IQGAP2	5	75919188
cg00417297	0.0136524099795461	ZNF619	3	40518742
cg00418150	0.551679843755996	ALX4	11	44327869
cg00419564	0.0154667330892645	S100A6	1	153508860
cg00420568	0.0422473048827137	SHC3	9	91794904
cg00420715	0.00940475185791536	VPS13B	8	100025364
cg00420929	0.048360503061347	PGPEP1	19	18451112
cg00422913	0.0163265389870496	C17orf91;WDR81	17	1619022
cg00424946	0.0172346323315518	SNTB2	16	69221172
cg00425710	0.93828031137845	MT1A	16	56672671
cg00425792	0.0303594293676972	PEX12	17	33905503
cg00426056	0.0142963391147227	CUTA	6	33385896
cg00426498	0.186291338417608	MYO18A	17	27507667
cg00426963	0.0197856216623219	KIF27	9	86535755
cg00427635	0.0718546450352614	TBC1D21	15	74166372
cg00429618	0.112543294851676	ZNF322B	9	99962350
cg00430287	0.47932957780366	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.467142668381112	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.0969254301602337	MGP	12	15039025
cg00432979	0.0151296783357464	MRP63;SKA3	13	21750473
cg00433406	0.952726697706611	VWA5B1	1	20616975
cg00434413	0.976391532929784	RENBP;NAA10	X	153201653
cg00435408	0.0570936853158239	FAM192A;RSPRY1	16	57220662
cg00436282	0.948448449546385	STATH	4	70861449
cg00436301	0.0202108032918407	NT5DC1	6	116421736
cg00436603	0.606154910650227	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.0113796621931656	STOML1	15	74284481
cg00443307	0.894646992946361	KLRG1	12	9141740
cg00445824	0.0901077976002948	ISYNA1	19	18548929
cg00446235	0.0248333034028293	TSTD1	1	161008644
cg00447208	0.762772959569914	TMC8;TMC6	17	76126301
cg00448720	0.89806518368741	C1QTNF9	13	24883014
cg00449941	0.0258219064361946	SPAG5	17	26926011
cg00451635	0.0497142131863614	EMP2	16	10675030
cg00453193	0.0190271496422568	TES	7	115851050
cg00453258	0.818396044608279	CALHM1	10	105219172
cg00459975	0.0148557896744272	INTS9;HMBOX1	8	28749099
cg00461841	0.866187410803975	ATF7IP2	16	10523485
cg00462311	0.0438430237065958	NFATC4	14	24837184
cg00462994	0.198346154001817	NAGS;PYY	17	42081955
cg00463202	0.88745796168325	ADPRHL1	13	114107710
cg00463577	0.0201176786582552	C6orf150	6	74161911
cg00463848	0.317652330149898	KRT2	12	53046105
cg00464269	0.0126191192994996	TNFAIP1;IFT20	17	26662842
cg00465284	0.0201142769490028	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0120854946723406	NA	NA	0
cg00466249	0.0687219103792046	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0134179797925995	C14orf101	14	57046243
cg00468146	0.0455012564317623	ID4	6	19838211
cg00469635	0.0102374569105232	PPME1;C2CD3	11	73882471
cg00471562	0.0161279019593006	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.278778580138562	ADAMTS1	21	28217676
cg00474004	0.899456663591612	IFNA14	9	21239944
cg00474209	0.0365649489203647	DLL1	6	170600060
cg00475955	0.0135567224559816	C9orf114	9	131592049
cg00476577	0.0244271546820987	NA	NA	0
cg00476580	0.010982501284563	ANP32E	1	150207583
cg00479269	0.035165144952533	C2orf29	2	101869975
cg00480115	0.0808419654623529	FXYD3	19	35606877
cg00480209	0.0129779115304993	SCO1;C17orf48	17	10600689
cg00480356	0.0898666347563264	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0164790870449317	DDX41	5	176943504
cg00485296	0.00785590110181299	NME3	16	1821559
cg00485380	0.0159835482019598	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0171268689389684	SOCS1	16	11349568
cg00488300	0.960025740546454	NA	NA	0
cg00488364	0.517723852424031	IL13RA2	X	114253315
cg00488718	0.0228308698992875	MFSD8;C4orf29	4	128887044
cg00489401	0.737595189388886	FLT4	5	180075875
cg00491404	0.900252220950464	EPS8L3	1	110306591
cg00491839	0.0530427922131687	PPP1R15A	19	49375640
cg00493400	0.0136372128106036	STAT1	2	191879127
cg00495415	0.0214363862172569	SP1	12	53773795
cg00495442	0.0231812182627093	RALGAPB	20	37101172
cg00495491	0.635520905850865	NA	NA	0
cg00496170	0.0133307243077978	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.446281275919525	PPEF1	X	18709116
cg00497251	0.0290941263969035	RNPEPL1	2	241508725
cg00498305	0.127030704329113	SLC18A2	10	119000236
cg00498604	0.720105529713593	TLL1	4	166793789
cg00499599	0.0150420476449009	C21orf57;MCM3AP	21	47706392
cg00499822	0.79048263337349	CXCL12	10	44881551
cg00500400	0.0325522728363948	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0174850939530047	ZDHHC14	6	157801893
