Hybridization REF	TCGA-AN-A046-01A-21D-A032-05	TCGA-AN-A046-01A-21D-A032-05	TCGA-AN-A046-01A-21D-A032-05	TCGA-AN-A046-01A-21D-A032-05
cg00398048	0.55561722486638	AGA	4	178364342
cg00399483	0.502751456769477	DCC	18	49868378
cg00400028	0.357641053105968	NA	NA	0
cg00400263	0.991189785061251	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0167439557058996	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.567118134243284	TSC22D3	X	107018431
cg00405070	0.0198325155992329	ERP29;TMEM116	12	112450647
cg00405568	0.0228729259741936	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.769609183320002	RFPL3	22	32753939
cg00407150	0.721483354357038	HHATL	3	42743794
cg00410419	0.0181559562628136	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.0621322453781507	STC1	8	23712355
cg00410921	0.323063609839567	NA	NA	0
cg00411097	0.247261380484491	TMEM184A	7	1596050
cg00412772	0.87741653582359	YIF1B;C19orf33	19	38794845
cg00412805	0.974728327268359	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.38743382492512	NA	NA	0
cg00415494	0.688315910308765	NA	NA	0
cg00415978	0.297991293271343	SYNPO2	4	119809925
cg00415993	0.820594488952939	F2RL2;IQGAP2	5	75919188
cg00417297	0.0152905035499481	ZNF619	3	40518742
cg00418150	0.616197255563568	ALX4	11	44327869
cg00419564	0.0779106163430503	S100A6	1	153508860
cg00420568	0.366687781750919	SHC3	9	91794904
cg00420715	0.0119538465763999	VPS13B	8	100025364
cg00420929	0.323785759316704	PGPEP1	19	18451112
cg00422913	0.0277358383702053	C17orf91;WDR81	17	1619022
cg00424946	0.0193237905237624	SNTB2	16	69221172
cg00425710	0.918269930735469	MT1A	16	56672671
cg00425792	0.0312023703248114	PEX12	17	33905503
cg00426056	0.0182486892423032	CUTA	6	33385896
cg00426498	0.455998648766899	MYO18A	17	27507667
cg00426963	0.02022326840812	KIF27	9	86535755
cg00427635	0.222458593390626	TBC1D21	15	74166372
cg00429618	0.176117031533642	ZNF322B	9	99962350
cg00430287	0.476322771311303	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.553712138573387	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.142893880519391	MGP	12	15039025
cg00432979	0.0170570536949839	MRP63;SKA3	13	21750473
cg00433406	0.931274685559684	VWA5B1	1	20616975
cg00434413	0.987531616826756	RENBP;NAA10	X	153201653
cg00435408	0.0333513142045231	FAM192A;RSPRY1	16	57220662
cg00436282	0.875122955217199	STATH	4	70861449
cg00436301	0.0184495322390717	NT5DC1	6	116421736
cg00436603	0.719601438715096	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.0141029398077135	STOML1	15	74284481
cg00443307	0.775204911033287	KLRG1	12	9141740
cg00445824	0.109627187101681	ISYNA1	19	18548929
cg00446235	0.0681015797569002	TSTD1	1	161008644
cg00447208	0.560101009534998	TMC8;TMC6	17	76126301
cg00448720	0.789562907979684	C1QTNF9	13	24883014
cg00449941	0.0213811879811251	SPAG5	17	26926011
cg00451635	0.369502434425782	EMP2	16	10675030
cg00453193	0.0260049964604147	TES	7	115851050
cg00453258	0.773084137382845	CALHM1	10	105219172
cg00459975	0.0598581759015992	INTS9;HMBOX1	8	28749099
cg00461841	0.803800009398524	ATF7IP2	16	10523485
cg00462311	0.0671284340811488	NFATC4	14	24837184
cg00462994	0.577791132489807	NAGS;PYY	17	42081955
cg00463202	0.871357398426309	ADPRHL1	13	114107710
cg00463577	0.0194872597283189	C6orf150	6	74161911
cg00463848	0.932037099122247	KRT2	12	53046105
cg00464269	0.0161806529694718	TNFAIP1;IFT20	17	26662842
cg00465284	0.0828862607698075	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0144194208496552	NA	NA	0
cg00466249	0.301302304735129	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0121331244209907	C14orf101	14	57046243
cg00468146	0.284855865278578	ID4	6	19838211
cg00469635	0.0134827605446807	PPME1;C2CD3	11	73882471
cg00471562	0.0177610470310618	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0348909120437887	ADAMTS1	21	28217676
cg00474004	0.904068068673185	IFNA14	9	21239944
cg00474209	0.0354857117129291	DLL1	6	170600060
cg00475955	0.016071068600461	C9orf114	9	131592049
cg00476577	0.0253383759479483	NA	NA	0
cg00476580	0.0206178294745692	ANP32E	1	150207583
cg00479269	0.0317725215242933	C2orf29	2	101869975
cg00480115	0.422661043950476	FXYD3	19	35606877
cg00480209	0.0140234409035442	SCO1;C17orf48	17	10600689
cg00480356	0.0591564188585739	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0176894798282925	DDX41	5	176943504
cg00485296	0.0101585028457031	NME3	16	1821559
cg00485380	0.0146920233222397	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0176615239661272	SOCS1	16	11349568
cg00488300	0.919555108157829	NA	NA	0
cg00488364	0.439982198113857	IL13RA2	X	114253315
cg00488718	0.0189275289467032	MFSD8;C4orf29	4	128887044
cg00489401	0.746592831978355	FLT4	5	180075875
cg00491404	0.78391539237438	EPS8L3	1	110306591
cg00491839	0.0512397210541354	PPP1R15A	19	49375640
cg00493400	0.0151173571977078	STAT1	2	191879127
cg00495415	0.0188509705192277	SP1	12	53773795
cg00495442	0.0191033629545831	RALGAPB	20	37101172
cg00495491	0.795932444481876	NA	NA	0
cg00496170	0.0153431195263419	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.625422676447851	PPEF1	X	18709116
cg00497251	0.0256173002620347	RNPEPL1	2	241508725
cg00498305	0.754113737996282	SLC18A2	10	119000236
cg00498604	0.360153465506372	TLL1	4	166793789
cg00499599	0.015315346317175	C21orf57;MCM3AP	21	47706392
cg00499822	0.70406773261441	CXCL12	10	44881551
cg00500400	0.0275216242571999	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0140613772561889	ZDHHC14	6	157801893
cg00503458	0.0384083847543013	KIAA0907	1	155904439
cg00503840	0.673512707168025	DLX5	7	96650509
