Hybridization REF	TCGA-BH-A0H5-01A-21D-A112-05	TCGA-BH-A0H5-01A-21D-A112-05	TCGA-BH-A0H5-01A-21D-A112-05	TCGA-BH-A0H5-01A-21D-A112-05
cg00101227	0.872614182886912	MPZ	1	161280266
cg00103783	0.0161711650426785	MPDU1	17	7487249
cg00105253	0.0413839096919712	NUDT14	14	105647194
cg00105470	0.0187057692121901	C1orf35	1	228290868
cg00107187	0.430389681793837	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0115969809529271	PGM2	4	37828500
cg00108454	0.400556962737366	C1QA	1	22963614
cg00109274	0.0892231417655992	DGKH	13	42623032
cg00112517	0.21149764470812	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.0880689633344545	CABP1	12	121078090
cg00115714	0.381002908399121	AMD1	6	111196112
cg00116234	0.0444766085566444	ADAMTSL1	9	18474243
cg00116838	0.0805836506448006	RTN2;FLJ40125	19	46001746
cg00117172	0.134202565824634	RUNX3	1	25255838
cg00119079	0.0365493610872108	LAMP3	3	182880278
cg00121158	0.0105548877594543	KDM4C	9	6757826
cg00121640	0.0473635970002271	ASTN2	9	120176515
cg00121904	0.189784855519976	MAOB	X	43741826
cg00123035	0.0258772786652352	RFX5	1	151319538
cg00126034	0.0578790724663899	WNT3	17	44896162
cg00126657	0.377690739965395	SSX6	X	47967250
cg00126698	0.628299844155647	BTK	X	100640503
cg00128197	0.332672398522184	HSD17B10	X	53461455
cg00128560	0.968621416944555	TIGD7	16	3352013
cg00128654	0.0174628693199157	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0615455214858468	MKNK1	1	47070178
cg00129774	0.0173475587195406	CDK2;SILV	12	56360414
cg00131121	0.018326806829519	POLR2J	7	102119710
cg00131557	0.927609749721706	DNAJC15	13	43596656
cg00132141	0.420840564581654	CTNNA3	10	69456307
cg00133909	0.0895991127769247	CD276	15	73977201
cg00134539	0.294385669228165	UBASH3A	21	43824071
cg00134787	0.699986660757967	MYH1	17	10419499
cg00135056	0.241226656248906	C3orf37	3	128997295
cg00135393	0.408541027212379	NA	NA	0
cg00136105	0.0225380432667878	GNPTAB	12	102224911
cg00136405	0.234794094820063	IL21	4	123542198
cg00136477	0.64943445190111	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.812824967285749	PMEPA1	20	56286697
cg00141162	0.111176009123595	HCLS1	3	121379777
cg00141550	0.739288567610058	NA	NA	0
cg00141845	0.203286377019728	UPRT	X	74493352
cg00143376	0.530293748109544	NMUR1	2	232394702
cg00143998	0.0213977314351539	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.418894847851685	GNPDA1	5	141393931
cg00145348	0.45339743399658	APEX2	X	55026862
cg00146096	0.0185622769657164	FANCF	11	22647309
cg00149659	0.0247739343487468	C3orf10	3	10157352
cg00149976	0.0295755056245456	MGLL	3	127541529
cg00151234	0.399372782518203	PGK1	X	77359363
cg00151607	0.0107648493757277	TRAPPC2L;GALNS	16	88923507
cg00152644	0.855181976662032	SPRR2E	1	153068236
cg00155167	0.035330094300882	VPS13B	8	100025831
cg00155485	0.0382727998068531	MED13L	12	116714600
cg00155609	0.0314006376110992	PRDX2	19	12912527
cg00156216	0.0236927192431908	APLP2	11	129939849
cg00156744	0.0847478288258345	STK10	5	171615663
cg00158308	0.049452275777913	OXGR1	13	97646341
cg00160914	0.127412461994984	DDX20;C1orf183	1	112299263
cg00162401	0.112585965750585	GSTA4	6	52859823
cg00162643	0.0450476143610112	DDX58	9	32526492
cg00164041	0.115332871402856	NA	NA	0
cg00164898	0.0462224444567302	MAPK11	22	50709127
cg00165981	0.0605929334367035	COL4A3BP;POLK	5	74808039
cg00167504	0.0155011432691153	BLVRA	7	43798622
cg00168082	0.0310768643945792	ABL1	9	133589177
cg00168785	0.232138259759305	WDSUB1	2	160142643
cg00168942	0.515931978632707	GJD4	10	35894430
cg00169548	0.426553328733326	NA	NA	0
cg00171126	0.0360968107952093	WRB	21	40752522
cg00171161	0.0400208243164308	NUDT9	4	88343636
cg00174500	0.61556135624051	CMTM5	14	23846479
cg00174901	0.3344449788614	PALM	19	709889
cg00176210	0.572389152156908	ANK1	8	41654967
cg00176879	0.990224695650219	VPS16;PTPRA	20	2843525
cg00177013	0.0357494462222881	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0224044144776553	PNPO	17	46018875
cg00177923	0.0189202171852535	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.270287355350367	UPF3B	X	118986947
cg00180012	0.0205167316426146	LACE1	6	108615929
cg00180631	0.554000931260688	MTM1	X	149736640
cg00182461	0.0753603443623041	NA	NA	0
cg00183782	0.771704298020103	NA	NA	0
cg00183916	0.0433489593188263	HS3ST3B1	17	14204936
cg00184884	0.0127279310361861	SFI1	22	31892343
cg00184893	0.016480862548329	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0126643453125594	LRDD	11	804954
cg00186141	0.0150444249369372	PODXL	7	131241768
cg00186701	0.126616345888276	TSPYL5	8	98290510
cg00186954	0.840149943629606	ST5;C11orf17	11	8933980
cg00187380	0.0637085239552658	HOXC4;HOXC5	12	54427384
cg00187686	0.469109734777671	TCN1	11	59634218
cg00188348	0.660837728656058	NA	NA	0
cg00191052	0.342922174112706	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0637801794070494	FAM53C	5	137673669
cg00197641	0.0711573372714752	MRPL52	14	23299461
cg00199549	0.913717629812121	MCM5	22	35795374
cg00200063	0.0271811272788982	USP32	17	58469941
cg00201234	0.238643197711928	FBLN2	3	13590968
cg00202702	0.0153347543336134	C11orf70	11	101918157
cg00202711	0.239267118911871	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0396031778751814	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0309535161006984	KIAA0174	16	71929512
cg00208830	0.818398175406909	LAMC2	1	183154778
cg00208967	0.0905875058998038	OLFM2	19	10047924
cg00209066	0.946507517557536	BRD1	22	50218923
cg00209951	0.0258444523733943	DENND2C	1	115212834
cg00210842	0.0374833976320309	APAF1;IKBIP	12	99039578
cg00211661	0.0210500624274747	ARAP1	11	72433619
cg00212549	0.0753315804788666	NA	NA	0
cg00213044	0.756454493616865	KRT6A	12	52886438
cg00213331	0.945599818046421	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0220206864014845	NA	NA	0
cg00214794	0.564620226232477	NA	NA	0
cg00214855	0.210987334347705	CCDC90A	6	13813947
cg00215066	0.981680190343957	MYO9B	19	17212316
cg00216361	0.0312809231659022	GAP43	3	115342527
cg00216758	0.023545985301125	RASSF7;C11orf35	11	560589
cg00217795	0.576307209102848	DIO2	14	80677688
cg00221494	0.103134392196224	FARP1	13	98794593
cg00223186	0.0225173359168458	ACBD6	1	180472200
cg00223950	0.030856927002523	UBR4	1	19536222
cg00224234	0.0301090575241812	GLOD4;RNMTL1	17	685693
cg00224508	0.0121899842009244	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.735020008433125	FGD2	6	36972027
cg00228799	0.0216191229803352	ENDOG	9	131580591
cg00229387	0.197078275945004	TJAP1	6	43445942
cg00230271	0.0520833598619776	TBCK;AIMP1	4	107237183
cg00230368	0.0249302244836094	IGF2R	6	160389833
cg00230502	0.0586397480356506	CCDC60	12	119772381
cg00230685	0.60607942038245	SCML1	X	17755839
cg00231140	0.0580799742246357	ACAA2;SCARNA17	18	47339702
cg00231644	0.22305909944713	TUBB2A	6	3158512
cg00231920	0.0373674205869033	VPS16;FAM113A	20	2821308
cg00233307	0.0459895978275892	MAP4K1;EIF3K	19	39109076
cg00234616	0.241946901522852	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0359052453157752	RARA	17	38465489
cg00237010	0.414835717416601	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.933277812716265	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0769703152662426	TTC21A;GORASP1	3	39148342
cg00240312	0.072607068708317	NA	NA	0
cg00240432	0.0206385489924995	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.030082149703906	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.043417835639529	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0202827850937099	CR2	1	207628182
cg00250430	0.17695897539777	DMRT2	9	1051579
cg00253200	0.0517596501784919	C3orf59	3	192636074
cg00256074	0.929830319004584	MYLPF	16	30386150
cg00256166	0.0287953481821091	KLHL25	15	86338428
cg00256281	0.0112844583188849	PMM1	22	41985642
cg00259755	0.0649784726088065	PWWP2B	10	134209763
cg00260778	0.467343714910445	NA	NA	0
cg00261552	0.0456969879475232	CREBL2	12	12764894
cg00261781	0.0266415884541991	MATN3	2	20212517
cg00262415	0.0193978090923202	PUSL1;ACAP3	1	1242732
cg00263723	0.0132786307727519	NA	NA	0
cg00263760	0.138763278506612	VAX1	10	118897366
cg00265415	0.0131167432292976	B3GALNT2	1	235667507
cg00265490	0.0390256915768729	MTDH	8	98655845
cg00268009	0.0166775338172796	ADH5	4	100010211
cg00268338	0.0219887036830195	HECTD2;LOC100188947	10	93169495
cg00269115	0.013116594954267	C1orf213;ZNF436	1	23695530
cg00269932	0.978977369320591	NA	NA	0
cg00273068	0.18786879950015	EMILIN3	20	39995747
cg00273124	0.906700063847338	NHP2	5	177581512
cg00274399	0.0542480516437002	FGF9	13	22245420
cg00275232	0.0182925897867237	ZNF296	19	45579541
cg00276797	0.0154872206255365	SLK	10	105726614
cg00278366	0.421098717169941	RAD9B;VPS29	12	110940287
cg00279797	0.213478143463165	AMMECR1	X	109561918
cg00280814	0.792148835969529	ZDHHC8P	22	23745389
cg00280894	0.419557887030533	NA	NA	0
cg00282347	0.15477505044121	CHD5	1	6241040
cg00282683	0.013279757690761	UBE3C	7	156931995
cg00283535	0.810057210728264	ANXA13	8	124749564
cg00288562	0.0724866433387012	TRA2A	7	23571645
cg00290028	0.0244226459742941	RFXAP	13	37393125
cg00290506	0.0625305270138536	CNIH3	1	224804226
cg00291877	0.100790995725752	SNRPA1	15	101835933
cg00292662	0.0174833562678424	LGALS1	22	38071168
cg00292971	0.847237676322455	FAM131B	7	143060536
cg00293409	0.046563745504464	LRRC33	3	196366669
cg00294382	0.126162143783083	IL23A	12	56732721
cg00295206	0.0169068534697065	RAB7A	3	128444813
cg00295325	0.713474083331549	ABCB11	2	169887932
cg00296685	0.316396973882838	NA	NA	0
cg00297584	0.0476137660979473	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.89555363790331	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0133025122050635	PPP3CA	4	102268125
cg00303548	0.0136691785295986	HS6ST3	13	96742413
cg00304278	0.0652042203669787	NA	NA	0
cg00307685	0.923797373669977	BRDT	1	92415524
cg00308133	0.0071988226596351	GAMT	19	1401118
cg00308665	0.608348917778313	HTR2A	13	47469654
cg00309056	0.0310110648527434	STARD3NL	7	38218112
cg00309204	0.0170766811468352	C17orf61	17	7307432
cg00311768	0.592815477524464	TSTA3	8	144698857
cg00312919	0.0690262073694821	STARD3NL	7	38217710
cg00314943	0.908467438253585	ALPPL2	2	233270750
cg00315936	0.0898381923037214	SND1	7	127292739
cg00317680	0.108836288072431	MTERFD1;PTDSS1	8	97274070
cg00318573	0.27021584861356	CHRNA4	20	61993118
cg00318865	0.0183026777000699	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.00855769780079209	PKMYT1	16	3030447
cg00320243	0.0126816467990115	RAB3A	19	18314691
cg00321065	0.0223070708901448	RLF	1	40627063
cg00321478	0.907134655288109	CRB1	1	197238398
cg00323915	0.227295894766454	GIMAP4	7	150264987
cg00324733	0.0174064967623457	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.0975847067757342	DLAT	11	111896498
cg00327483	0.969249635347899	CASQ1	1	160160587
cg00328227	0.216638618675985	C1orf59	1	109204325
cg00331237	0.0564483902493393	CSRP2	12	77273319
cg00331433	0.0203259532924976	SYAP1	X	16737800
cg00332153	0.356169892176463	BANK1	4	102712010
cg00332745	0.0194976256650414	NOL3	16	67208247
cg00333226	0.293289280361113	VWC2	7	49813763
cg00333528	0.397174311919187	GABRR1	6	89927485
cg00334507	0.763047189571392	PRRT2	16	29824599
cg00335286	0.56071623223664	MC2R	18	13916355
cg00336605	0.0535081551329324	NR1H2	19	50879437
cg00338702	0.0913138091398725	CHFR	12	133463694
cg00338893	0.0368621864285925	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.646538272644139	GARNL3	9	130027020
cg00343092	0.0187266323091918	TSPO	22	43547974
cg00344358	0.948183758681486	GDF11	12	56135693
cg00344372	0.791188649197176	HGFAC	4	3443625
cg00344709	0.88583660817837	POTED	21	14982225
cg00346145	0.0620223450362293	RPL34;LOC285456	4	109541559
cg00347729	0.568610670451786	MMP10	11	102651753
cg00347904	0.128970662132745	SCUBE3	6	35182508
cg00350296	0.357247566811369	CD248	11	66084841
cg00350478	0.708501938333205	FRMD1	6	168480013
cg00350702	0.0293901263136175	ERGIC3	20	34129927
cg00351011	0.0173300040874017	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.929494421745461	ZIM2	19	57306738
cg00354572	0.161902527581271	ACSS3	12	81471419
cg00355802	0.0327991053026366	DUSP4	8	29208983
cg00359325	0.050514897302265	USP4	3	49377419
cg00359973	0.0809353811836937	RIBC1;SMC1A	X	53449900
cg00363813	0.420380979028493	IFFO1	12	6664872
cg00364344	0.0203846729143711	NA	NA	0
cg00364814	0.896718635732809	R3HDM2	12	57691455
cg00365193	0.155334616707276	NA	NA	0
cg00367281	0.83590602237526	CHRNB3	8	42552470
cg00367438	0.0479253164610442	TMUB1	7	150780797
cg00368022	0.044257797265449	C5orf22;RNASEN	5	31532653
cg00368415	0.00937186423961501	SNX27	1	151584398
cg00371195	0.95088622433841	F2	11	46740481
cg00374717	0.935520730184767	ARSG	17	66303145
cg00375964	0.23521068030973	ABCE1;ANAPC10	4	146019130
cg00376639	0.0572879473756306	ZNF581	19	56155151
cg00380464	0.0252045062411727	LTV1	6	144164650
cg00381076	0.074125834271166	C18orf54	18	51884797
cg00382515	0.0139235071844858	MRPL44	2	224822229
cg00382991	0.0214475100162082	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.291862263357789	TGFBI	5	135364970
cg00387170	0.0229595448272149	FOXP4	6	41514002
cg00392257	0.324962639586784	ISG20L2	1	156696747
cg00393585	0.18884062832925	C4orf39;TRIM61	4	165878091
cg00394658	0.475592398568463	PTPRJ	11	48001669
cg00396163	0.024207759615236	DNAH6	2	84743584
cg00396894	0.676636159238259	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0294804424815329	PPOX	1	161136321
cg00398048	0.289528821956528	AGA	4	178364342
cg00399483	0.330873461298908	DCC	18	49868378
cg00400028	0.390265400680641	NA	NA	0
cg00400263	0.988415879154631	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0689160183848565	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.355564316918089	TSC22D3	X	107018431
cg00405070	0.0353702881138079	ERP29;TMEM116	12	112450647
cg00405568	0.20698084168806	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.746139919318896	RFPL3	22	32753939
cg00407150	0.636962736410202	HHATL	3	42743794
cg00410419	0.0347205288377186	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.0960261779026507	STC1	8	23712355
cg00410921	0.397604852155248	NA	NA	0
cg00411097	0.277125861722303	TMEM184A	7	1596050
cg00412772	0.600943347747999	YIF1B;C19orf33	19	38794845
cg00412805	0.940505903816869	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.0359705124785381	NA	NA	0
cg00415494	0.868782146431667	NA	NA	0
cg00415978	0.0294321785546421	SYNPO2	4	119809925
cg00415993	0.750638252143122	F2RL2;IQGAP2	5	75919188
cg00417297	0.0238780736621815	ZNF619	3	40518742
cg00418150	0.42640776831498	ALX4	11	44327869
cg00419564	0.0238597787914568	S100A6	1	153508860
cg00420568	0.052226012383008	SHC3	9	91794904
cg00420715	0.0140830160440446	VPS13B	8	100025364
cg00420929	0.23660661081951	PGPEP1	19	18451112
cg00422913	0.0536253086331455	C17orf91;WDR81	17	1619022
cg00424946	0.0250381892257863	SNTB2	16	69221172
cg00425710	0.831748196297039	MT1A	16	56672671
cg00425792	0.0292570719547459	PEX12	17	33905503
cg00426056	0.0145626120756816	CUTA	6	33385896
cg00426498	0.198308234463414	MYO18A	17	27507667
cg00426963	0.0195962580571768	KIF27	9	86535755
cg00427635	0.237276500150449	TBC1D21	15	74166372
cg00429618	0.0798175974553004	ZNF322B	9	99962350
cg00430287	0.861983164781407	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.677232665032428	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.201277721046959	MGP	12	15039025
cg00432979	0.0277815302235321	MRP63;SKA3	13	21750473
cg00433406	0.928994327123809	VWA5B1	1	20616975
cg00434413	0.972438880570524	RENBP;NAA10	X	153201653
cg00435408	0.0342778520461852	FAM192A;RSPRY1	16	57220662
cg00436282	0.884622855134244	STATH	4	70861449
cg00436301	0.0140446754381413	NT5DC1	6	116421736
cg00436603	0.633002906456958	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.00881698107234369	STOML1	15	74284481
cg00443307	0.680889964857848	KLRG1	12	9141740
cg00445824	0.081726224390136	ISYNA1	19	18548929
cg00446235	0.152993798087194	TSTD1	1	161008644
cg00447208	0.206189373835498	TMC8;TMC6	17	76126301
cg00448720	0.795026143972564	C1QTNF9	13	24883014
cg00449941	0.0190703709065088	SPAG5	17	26926011
cg00451635	0.380562929123015	EMP2	16	10675030
cg00453193	0.0297419479443046	TES	7	115851050
cg00453258	0.771355611517285	CALHM1	10	105219172
cg00459975	0.0175175668510252	INTS9;HMBOX1	8	28749099
cg00461841	0.73257300938482	ATF7IP2	16	10523485
cg00462311	0.0717591374108781	NFATC4	14	24837184
cg00462994	0.146706305607694	NAGS;PYY	17	42081955
cg00463202	0.861996901043938	ADPRHL1	13	114107710
cg00463577	0.0224801232097219	C6orf150	6	74161911
cg00463848	0.683947376971954	KRT2	12	53046105
cg00464269	0.012061665017734	TNFAIP1;IFT20	17	26662842
cg00465284	0.152572928311521	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0212558474540602	NA	NA	0
cg00466249	0.272601788068131	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0270814662235699	C14orf101	14	57046243
cg00468146	0.227492804426356	ID4	6	19838211
cg00469635	0.00928050695255404	PPME1;C2CD3	11	73882471
cg00471562	0.0118311760431901	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0210922839293973	ADAMTS1	21	28217676
cg00474004	0.840154341932419	IFNA14	9	21239944
cg00474209	0.0347130972664887	DLL1	6	170600060
cg00475955	0.0261465113504964	C9orf114	9	131592049
cg00476577	0.0502493063272802	NA	NA	0
cg00476580	0.0129137564253714	ANP32E	1	150207583
cg00479269	0.0398150292630858	C2orf29	2	101869975
cg00480115	0.748710246457191	FXYD3	19	35606877
cg00480209	0.0126407656801889	SCO1;C17orf48	17	10600689
cg00480356	0.0824433361358479	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.00826378816776614	DDX41	5	176943504
cg00485296	0.00984536220293338	NME3	16	1821559
cg00485380	0.0214342372922612	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0201978200840751	SOCS1	16	11349568
cg00488300	0.899930948677886	NA	NA	0
cg00488364	0.677411612897436	IL13RA2	X	114253315
cg00488718	0.0208289264347788	MFSD8;C4orf29	4	128887044
cg00489401	0.498650609432863	FLT4	5	180075875
cg00491404	0.76708878876092	EPS8L3	1	110306591
cg00491839	0.160370350266765	PPP1R15A	19	49375640
cg00493400	0.0231895920400419	STAT1	2	191879127
cg00495415	0.01724113646132	SP1	12	53773795
cg00495442	0.0433966499046152	RALGAPB	20	37101172
cg00495491	0.78673605299963	NA	NA	0
cg00496170	0.0355112692797279	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.829683026394305	PPEF1	X	18709116
cg00497251	0.0411402031370436	RNPEPL1	2	241508725
cg00498305	0.443993114713432	SLC18A2	10	119000236
cg00498604	0.102816016966519	TLL1	4	166793789
cg00499599	0.0169705737875122	C21orf57;MCM3AP	21	47706392
cg00499822	0.343176338531819	CXCL12	10	44881551
cg00500400	0.0328327583177533	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0188432879389125	ZDHHC14	6	157801893
cg00503458	0.0713672933082098	KIAA0907	1	155904439
