Hybridization REF	TCGA-BH-A18N-11A-43D-A12E-05	TCGA-BH-A18N-11A-43D-A12E-05	TCGA-BH-A18N-11A-43D-A12E-05	TCGA-BH-A18N-11A-43D-A12E-05
cg00043004	0.034147965790316	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0320246498546167	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0299297039103193	CUL5	11	107879431
cg00047469	0.0612533366265616	POLE3;C9orf43	9	116172568
cg00049986	0.130396929509037	NA	NA	0
cg00050312	0.0124443348583521	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.050602069648169	C10orf4	10	95462161
cg00053292	0.0169614327386717	TACO1	17	61678300
cg00053647	0.0594398381093489	C7orf28B	7	6866072
cg00054706	0.0236702594990984	C1D	2	68289972
cg00055233	0.392964088623654	RLN1	9	5339677
cg00056767	0.030902198498668	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.333832102808365	GLRA1	5	151304357
cg00059424	0.0207949778220065	PES1	22	30988148
cg00059740	0.0106338097610701	C7orf49	7	134855689
cg00059930	0.84406463759411	RB1	13	48894382
cg00060762	0.0336864347225342	LEO1	15	52264133
cg00060882	0.0959310352198247	EIF2S3	X	24072811
cg00061059	0.053100849595048	TECR	19	14640983
cg00061629	0.516711057896452	ALX4	11	44325258
cg00062776	0.983828895239517	TULP2	19	49402424
cg00063144	0.886426116644009	KRT31	17	39554055
cg00065385	0.974357101812585	ACTL7A	9	111623395
cg00065408	0.0307527772853964	CACNB3	12	49212475
cg00066153	0.954012132842798	ACRV1	11	125550744
cg00066816	0.252627920623424	IL12B	5	158758353
cg00067471	0.0811290666433504	ATP5D	19	1241377
cg00069261	0.0622435025470279	CDR2	16	22386531
cg00071250	0.683291720154864	FASLG	1	172628263
cg00071998	0.0152035726520949	MSH5	6	31708121
cg00072216	0.0118821716329806	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.347351293084077	STRA6	15	74495354
cg00076645	0.0225023690793979	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.845846203219207	ASAP1	8	131414474
cg00078194	0.0135372034465703	MDK	11	46402949
cg00078867	0.689558433960951	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0162116314841943	ARFGAP3	22	43253521
cg00080012	0.0117288662755592	EED	11	85955689
cg00081935	0.0358960059619212	TSPAN9	12	3186906
cg00081975	0.0167945253335981	ABCC3	17	48712370
cg00083720	0.00969445850533239	NA	NA	0
cg00083937	0.655701398559612	MAPK8IP2	22	51039805
cg00084687	0.010239900825819	GATAD1	7	92076896
cg00089071	0.0154134385017878	PCGF2	17	36905809
cg00090147	0.108648147501169	GATA4	8	11562367
cg00091693	0.630693475016957	KRT20	17	39041602
cg00093177	0.896153131109081		17	37185495
cg00094319	0.609998165403861	PABPC3	13	25670530
cg00094851	0.0547044213931543	KIF3C	2	26205706
cg00095526	0.74917501633733	CACNA1S	1	201081686
cg00095674	0.0432036121674541	PLEKHO1	1	150122654
cg00096922	0.0192958721682785	DLX5	7	96654185
cg00097536	0.0101055285404252	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0133700494641344	PNPLA6	19	7599173
cg00099550	0.0190359859672711	NA	NA	0
cg00101227	0.767823902971532	MPZ	1	161280266
cg00103783	0.0148694401618342	MPDU1	17	7487249
cg00105253	0.0456661027811134	NUDT14	14	105647194
cg00105470	0.0171785464268999	C1orf35	1	228290868
cg00107187	0.162532286994702	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0139779131930957	PGM2	4	37828500
cg00108454	0.40221093696769	C1QA	1	22963614
cg00109274	0.0586307241945778	DGKH	13	42623032
cg00112517	0.0617824412166855	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.0586876839892049	CABP1	12	121078090
cg00115714	0.273718334385118	AMD1	6	111196112
cg00116234	0.0349674059855685	ADAMTSL1	9	18474243
cg00116838	0.0477207188164115	RTN2;FLJ40125	19	46001746
cg00117172	0.100590903493476	RUNX3	1	25255838
cg00119079	0.0236710476989639	LAMP3	3	182880278
cg00121158	0.0131671613017009	KDM4C	9	6757826
cg00121640	0.055139822838275	ASTN2	9	120176515
cg00121904	0.155559367599267	MAOB	X	43741826
cg00123035	0.0259908256681107	RFX5	1	151319538
cg00126034	0.0435217674907682	WNT3	17	44896162
cg00126657	0.543586862850747	SSX6	X	47967250
cg00126698	0.679494963982609	BTK	X	100640503
cg00128197	0.24513707772244	HSD17B10	X	53461455
cg00128560	0.968636645233091	TIGD7	16	3352013
cg00128654	0.0192623539477161	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0538104866597988	MKNK1	1	47070178
cg00129774	0.0168063707377913	CDK2;SILV	12	56360414
cg00131121	0.0177753490843548	POLR2J	7	102119710
cg00131557	0.947797791198854	DNAJC15	13	43596656
cg00132141	0.570493460547073	CTNNA3	10	69456307
cg00133909	0.0638304996190365	CD276	15	73977201
cg00134539	0.788063513606124	UBASH3A	21	43824071
cg00134787	0.840112786018719	MYH1	17	10419499
cg00135056	0.122202627509595	C3orf37	3	128997295
cg00135393	0.396525963919089	NA	NA	0
cg00136105	0.0188834491702643	GNPTAB	12	102224911
cg00136405	0.461619104827583	IL21	4	123542198
cg00136477	0.790381732806772	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.751291406347228	PMEPA1	20	56286697
cg00141162	0.45252853892056	HCLS1	3	121379777
cg00141550	0.845794534458062	NA	NA	0
cg00141845	0.157001736864628	UPRT	X	74493352
cg00143376	0.463404552792698	NMUR1	2	232394702
cg00143998	0.0319357928780449	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.10966195122675	GNPDA1	5	141393931
cg00145348	0.388989339984976	APEX2	X	55026862
cg00146096	0.0282210478537563	FANCF	11	22647309
cg00149659	0.0177519064927852	C3orf10	3	10157352
cg00149976	0.0195432040583407	MGLL	3	127541529
cg00151234	0.337560722935912	PGK1	X	77359363
cg00151607	0.00987997007729539	TRAPPC2L;GALNS	16	88923507
cg00152644	0.945839048358689	SPRR2E	1	153068236
cg00155167	0.0349679872853141	VPS13B	8	100025831
cg00155485	0.0280263565564701	MED13L	12	116714600
cg00155609	0.0853587350915335	PRDX2	19	12912527
cg00156216	0.0178256820419142	APLP2	11	129939849
cg00156744	0.0625990633650124	STK10	5	171615663
cg00158308	0.115143354775958	OXGR1	13	97646341
cg00160914	0.078015298652028	DDX20;C1orf183	1	112299263
cg00162401	0.0243113540740212	GSTA4	6	52859823
cg00162643	0.0301349504902352	DDX58	9	32526492
cg00164041	0.157090077342049	NA	NA	0
cg00164898	0.0466596241435775	MAPK11	22	50709127
cg00165981	0.0337852612848448	COL4A3BP;POLK	5	74808039
cg00167504	0.0148236967587358	BLVRA	7	43798622
cg00168082	0.0329701412959611	ABL1	9	133589177
cg00168785	0.0338205308537282	WDSUB1	2	160142643
cg00168942	0.714662208049728	GJD4	10	35894430
cg00169548	0.199818630478579	NA	NA	0
cg00171126	0.022382335208625	WRB	21	40752522
cg00171161	0.0426266202727629	NUDT9	4	88343636
cg00174500	0.265327679978242	CMTM5	14	23846479
cg00174901	0.0634836592929859	PALM	19	709889
cg00176210	0.688368335874992	ANK1	8	41654967
cg00176879	0.98748900656903	VPS16;PTPRA	20	2843525
cg00177013	0.0455987138846087	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0182703577453627	PNPO	17	46018875
cg00177923	0.0169572564546697	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.186373059351657	UPF3B	X	118986947
cg00180012	0.0186518341102498	LACE1	6	108615929
cg00180631	0.375514990152594	MTM1	X	149736640
cg00182461	0.0469435020936793	NA	NA	0
cg00183782	0.775677840546651	NA	NA	0
cg00183916	0.0113332683052532	HS3ST3B1	17	14204936
cg00184884	0.00704343219198391	SFI1	22	31892343
cg00184893	0.0137421893572606	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0150520634477657	LRDD	11	804954
cg00186141	0.0128346257309255	PODXL	7	131241768
cg00186701	0.115451411572718	TSPYL5	8	98290510
cg00186954	0.759447344232835	ST5;C11orf17	11	8933980
cg00187380	0.0234475070956705	HOXC4;HOXC5	12	54427384
cg00187686	0.613304915266756	TCN1	11	59634218
cg00188348	0.631813205191803	NA	NA	0
cg00191052	0.319940917045543	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0389803132851941	FAM53C	5	137673669
cg00197641	0.0902336591973342	MRPL52	14	23299461
cg00199549	0.971047089002325	MCM5	22	35795374
cg00200063	0.0142844190158507	USP32	17	58469941
cg00201234	0.251920755754012	FBLN2	3	13590968
cg00202702	0.0150879645814241	C11orf70	11	101918157
cg00202711	0.0343681399190958	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.029188774683244	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0195394039094025	KIAA0174	16	71929512
cg00208830	0.634859982354288	LAMC2	1	183154778
cg00208967	0.0934035663773923	OLFM2	19	10047924
cg00209066	0.912662709824803	BRD1	22	50218923
cg00209951	0.0648270655614363	DENND2C	1	115212834
cg00210842	0.0195027175658032	APAF1;IKBIP	12	99039578
cg00211661	0.0137779316409251	ARAP1	11	72433619
cg00212549	0.0621896849114394	NA	NA	0
cg00213044	0.781318863096638	KRT6A	12	52886438
cg00213331	0.947542694413029	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0119815515352226	NA	NA	0
cg00214794	0.441932609018427	NA	NA	0
cg00214855	0.177107969975002	CCDC90A	6	13813947
cg00215066	0.972042983424815	MYO9B	19	17212316
cg00216361	0.0342730245549977	GAP43	3	115342527
cg00216758	0.0245881809254099	RASSF7;C11orf35	11	560589
cg00217795	0.474678381651748	DIO2	14	80677688
cg00221494	0.398246231185017	FARP1	13	98794593
cg00223186	0.019970326511405	ACBD6	1	180472200
cg00223950	0.0234846351928715	UBR4	1	19536222
cg00224234	0.0113764016705619	GLOD4;RNMTL1	17	685693
cg00224508	0.0288295081498677	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.914503230336903	FGD2	6	36972027
cg00228799	0.0216096664951606	ENDOG	9	131580591
cg00229387	0.105335258681434	TJAP1	6	43445942
cg00230271	0.0242901524597167	TBCK;AIMP1	4	107237183
cg00230368	0.028364082940023	IGF2R	6	160389833
cg00230502	0.0844823052427541	CCDC60	12	119772381
cg00230685	0.581595115575616	SCML1	X	17755839
cg00231140	0.0472328675017016	ACAA2;SCARNA17	18	47339702
cg00231644	0.326210001534706	TUBB2A	6	3158512
cg00231920	0.0409487623604157	VPS16;FAM113A	20	2821308
cg00233307	0.0339114877864143	MAP4K1;EIF3K	19	39109076
cg00234616	0.144545602720351	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0302686093879296	RARA	17	38465489
cg00237010	0.438586626867752	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.962549974032557	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0340064880247044	TTC21A;GORASP1	3	39148342
cg00240312	0.021603330806725	NA	NA	0
cg00240432	0.0199967380938489	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0316096694195953	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.0273749902011094	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0146850843554138	CR2	1	207628182
cg00250430	0.203467745172711	DMRT2	9	1051579
cg00253200	0.0172613480826502	C3orf59	3	192636074
cg00256074	0.88369000592775	MYLPF	16	30386150
cg00256166	0.0336321028479994	KLHL25	15	86338428
cg00256281	0.0143476309104207	PMM1	22	41985642
cg00259755	0.0599542706587672	PWWP2B	10	134209763
cg00260778	0.381963379339307	NA	NA	0
cg00261552	0.0341997222453004	CREBL2	12	12764894
cg00261781	0.00851161643185886	MATN3	2	20212517
cg00262415	0.0175558060558783	PUSL1;ACAP3	1	1242732
cg00263723	0.0201586409455669	NA	NA	0
cg00263760	0.0611984177248415	VAX1	10	118897366
cg00265415	0.00958074030507874	B3GALNT2	1	235667507
cg00265490	0.0657729888776773	MTDH	8	98655845
cg00268009	0.0138489754101983	ADH5	4	100010211
cg00268338	0.0126066957665753	HECTD2;LOC100188947	10	93169495
cg00269115	0.0175107601718818	C1orf213;ZNF436	1	23695530
cg00269932	0.969871461711898	NA	NA	0
cg00273068	0.231417977328491	EMILIN3	20	39995747
cg00273124	0.90138273806782	NHP2	5	177581512
cg00274399	0.0282438035517636	FGF9	13	22245420
cg00275232	0.0138581033679836	ZNF296	19	45579541
cg00276797	0.0130870984688322	SLK	10	105726614
cg00278366	0.352631955279243	RAD9B;VPS29	12	110940287
cg00279797	0.104172947481185	AMMECR1	X	109561918
cg00280814	0.834844875967487	ZDHHC8P	22	23745389
cg00280894	0.486748788350253	NA	NA	0
cg00282347	0.137009227748677	CHD5	1	6241040
cg00282683	0.0225176677494945	UBE3C	7	156931995
cg00283535	0.598788799374665	ANXA13	8	124749564
cg00288562	0.087469332380376	TRA2A	7	23571645
cg00290028	0.0228623699044468	RFXAP	13	37393125
cg00290506	0.0180445450006558	CNIH3	1	224804226
cg00291877	0.0526077988041141	SNRPA1	15	101835933
cg00292662	0.0223302696693883	LGALS1	22	38071168
cg00292971	0.806780560370323	FAM131B	7	143060536
cg00293409	0.0627560886108555	LRRC33	3	196366669
cg00294382	0.187587077309408	IL23A	12	56732721
cg00295206	0.0289059413749549	RAB7A	3	128444813
cg00295325	0.695670290715704	ABCB11	2	169887932
cg00296685	0.319273583238637	NA	NA	0
cg00297584	0.121111686902979	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.801151174520268	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0223349247999056	PPP3CA	4	102268125
cg00303548	0.0116558943729419	HS6ST3	13	96742413
cg00304278	0.0308380068649755	NA	NA	0
cg00307685	0.923279587343718	BRDT	1	92415524
cg00308133	0.00719534629059928	GAMT	19	1401118
cg00308665	0.134481090422196	HTR2A	13	47469654
cg00309056	0.0191963203049717	STARD3NL	7	38218112
cg00309204	0.0166571621998735	C17orf61	17	7307432
cg00311768	0.417804876148453	TSTA3	8	144698857
cg00312919	0.0829706375828265	STARD3NL	7	38217710
cg00314943	0.844993486980316	ALPPL2	2	233270750
cg00315936	0.0446093524670851	SND1	7	127292739
cg00317680	0.124614875316869	MTERFD1;PTDSS1	8	97274070
cg00318573	0.24408236420658	CHRNA4	20	61993118
cg00318865	0.0112965139309487	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.0107203171610281	PKMYT1	16	3030447
cg00320243	0.0118738900626969	RAB3A	19	18314691
cg00321065	0.0133315197609201	RLF	1	40627063
cg00321478	0.693100420125824	CRB1	1	197238398
cg00323915	0.417687891440871	GIMAP4	7	150264987
cg00324733	0.0176413111266383	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.0795883314130237	DLAT	11	111896498
cg00327483	0.9834114202985	CASQ1	1	160160587
cg00328227	0.310361903421959	C1orf59	1	109204325
cg00331237	0.027021247398452	CSRP2	12	77273319
cg00331433	0.0204507349346716	SYAP1	X	16737800
cg00332153	0.555413905503772	BANK1	4	102712010
cg00332745	0.0159792753205515	NOL3	16	67208247
cg00333226	0.0870798397096007	VWC2	7	49813763
cg00333528	0.146168974211669	GABRR1	6	89927485
cg00334507	0.859336293111649	PRRT2	16	29824599
cg00335286	0.228037279307519	MC2R	18	13916355
cg00336605	0.0280361087884553	NR1H2	19	50879437
cg00338702	0.0268471336967443	CHFR	12	133463694
cg00338893	0.0215060958670226	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.198263955933582	GARNL3	9	130027020
cg00343092	0.0125446735793302	TSPO	22	43547974
cg00344358	0.949192912540812	GDF11	12	56135693
cg00344372	0.884728296208963	HGFAC	4	3443625
cg00344709	0.840258167027665	POTED	21	14982225
cg00346145	0.0465568792585111	RPL34;LOC285456	4	109541559
cg00347729	0.558707541496507	MMP10	11	102651753
cg00347904	0.066935770267209	SCUBE3	6	35182508
cg00350296	0.10776394909107	CD248	11	66084841
cg00350478	0.597803977203587	FRMD1	6	168480013
cg00350702	0.0207801316106063	ERGIC3	20	34129927
cg00351011	0.0142874873562176	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.814502484466589	ZIM2	19	57306738
cg00354572	0.130671418297049	ACSS3	12	81471419
cg00355802	0.0371600450939354	DUSP4	8	29208983
cg00359325	0.0668184321293638	USP4	3	49377419
cg00359973	0.0580968985455221	RIBC1;SMC1A	X	53449900
cg00363813	0.504254454154291	IFFO1	12	6664872
cg00364344	0.0173684827015982	NA	NA	0
cg00364814	0.888504828581645	R3HDM2	12	57691455
cg00365193	0.0990117337781995	NA	NA	0
cg00367281	0.858688115909433	CHRNB3	8	42552470
cg00367438	0.0283805720068482	TMUB1	7	150780797
cg00368022	0.0240574519232295	C5orf22;RNASEN	5	31532653
cg00368415	0.00814807124375913	SNX27	1	151584398
cg00371195	0.967636737988664	F2	11	46740481
cg00374717	0.888899288889154	ARSG	17	66303145
cg00375964	0.179130329215615	ABCE1;ANAPC10	4	146019130
cg00376639	0.0935945219415082	ZNF581	19	56155151
cg00380464	0.0332244505923342	LTV1	6	144164650
cg00381076	0.0459466482890971	C18orf54	18	51884797
cg00382515	0.0196073564638997	MRPL44	2	224822229
cg00382991	0.0328265062487132	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.0437053415751367	TGFBI	5	135364970
cg00387170	0.0232497461802283	FOXP4	6	41514002
cg00392257	0.298177615858793	ISG20L2	1	156696747
cg00393585	0.0403028133523315	C4orf39;TRIM61	4	165878091
cg00394658	0.219450593953409	PTPRJ	11	48001669
cg00396163	0.0193953694707576	DNAH6	2	84743584
cg00396894	0.78109762844137	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0261315142194734	PPOX	1	161136321
cg00398048	0.172727365958384	AGA	4	178364342
cg00399483	0.163490650266917	DCC	18	49868378
cg00400028	0.327639795581966	NA	NA	0
cg00400263	0.99007988073408	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0755407270210538	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.276728627034075	TSC22D3	X	107018431
cg00405070	0.0212697726761466	ERP29;TMEM116	12	112450647
cg00405568	0.0728252423891087	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.840912127574259	RFPL3	22	32753939
cg00407150	0.624270252300589	HHATL	3	42743794
cg00410419	0.0233804762253878	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.0911940897888291	STC1	8	23712355
cg00410921	0.267453037860061	NA	NA	0
cg00411097	0.424662329044206	TMEM184A	7	1596050
cg00412772	0.72939811789708	YIF1B;C19orf33	19	38794845
cg00412805	0.976452381422882	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.0672837561468191	NA	NA	0
cg00415494	0.873687460966249	NA	NA	0
cg00415978	0.0438340764075539	SYNPO2	4	119809925
cg00415993	0.592313614359602	F2RL2;IQGAP2	5	75919188
cg00417297	0.0164289120772019	ZNF619	3	40518742
cg00418150	0.553483766622162	ALX4	11	44327869
cg00419564	0.0175734785691952	S100A6	1	153508860
cg00420568	0.0354002695179725	SHC3	9	91794904
cg00420715	0.0404196519206343	VPS13B	8	100025364
cg00420929	0.231826609620082	PGPEP1	19	18451112
cg00422913	0.0136651590970019	C17orf91;WDR81	17	1619022
cg00424946	0.0220742377762968	SNTB2	16	69221172
cg00425710	0.872948884545812	MT1A	16	56672671
cg00425792	0.0325155523625063	PEX12	17	33905503
cg00426056	0.0181093811738069	CUTA	6	33385896
cg00426498	0.172448547195919	MYO18A	17	27507667
cg00426963	0.0165436346348995	KIF27	9	86535755
cg00427635	0.247107014719922	TBC1D21	15	74166372
cg00429618	0.0863151771742329	ZNF322B	9	99962350
cg00430287	0.52538125586802	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.30788025492498	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.0907607551381201	MGP	12	15039025
cg00432979	0.0169119668213939	MRP63;SKA3	13	21750473
cg00433406	0.932740334460351	VWA5B1	1	20616975
cg00434413	0.982930900409488	RENBP;NAA10	X	153201653
cg00435408	0.0420962510495246	FAM192A;RSPRY1	16	57220662
cg00436282	0.89442930170288	STATH	4	70861449
cg00436301	0.013284072930752	NT5DC1	6	116421736
cg00436603	0.571971307632913	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.0127092619041977	STOML1	15	74284481
cg00443307	0.736629306206353	KLRG1	12	9141740
cg00445824	0.0905867335299921	ISYNA1	19	18548929
cg00446235	0.370617887598092	TSTD1	1	161008644
cg00447208	0.498029873977309	TMC8;TMC6	17	76126301
cg00448720	0.772257407430456	C1QTNF9	13	24883014
cg00449941	0.0138815148787364	SPAG5	17	26926011
cg00451635	0.0713782201768911	EMP2	16	10675030
cg00453193	0.0221792963054803	TES	7	115851050
cg00453258	0.809566043469769	CALHM1	10	105219172
cg00459975	0.0141069379159391	INTS9;HMBOX1	8	28749099
cg00461841	0.683480909367095	ATF7IP2	16	10523485
cg00462311	0.0638988829246503	NFATC4	14	24837184
cg00462994	0.198653922447291	NAGS;PYY	17	42081955
cg00463202	0.724275397954736	ADPRHL1	13	114107710
cg00463577	0.0387899895424891	C6orf150	6	74161911
cg00463848	0.942058769626469	KRT2	12	53046105
cg00464269	0.0159096316523464	TNFAIP1;IFT20	17	26662842
cg00465284	0.0210195855622612	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0127582098809873	NA	NA	0
cg00466249	0.303907754788263	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0174457829378725	C14orf101	14	57046243
cg00468146	0.110415650804217	ID4	6	19838211
cg00469635	0.00858827898205827	PPME1;C2CD3	11	73882471
cg00471562	0.0140394539643218	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0692025174659018	ADAMTS1	21	28217676
cg00474004	0.860962968995836	IFNA14	9	21239944
cg00474209	0.0415219034729769	DLL1	6	170600060
cg00475955	0.009985059436171	C9orf114	9	131592049
cg00476577	0.0847349291642204	NA	NA	0
cg00476580	0.0159272021636793	ANP32E	1	150207583
cg00479269	0.039057844306373	C2orf29	2	101869975
cg00480115	0.375998952815911	FXYD3	19	35606877
cg00480209	0.0214469699347131	SCO1;C17orf48	17	10600689
cg00480356	0.0481193790933696	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0134431200519907	DDX41	5	176943504
cg00485296	0.00645505879442463	NME3	16	1821559
cg00485380	0.01769338815422	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0141138177576315	SOCS1	16	11349568
cg00488300	0.90486044556198	NA	NA	0
cg00488364	0.821711435735086	IL13RA2	X	114253315
cg00488718	0.0206529733808753	MFSD8;C4orf29	4	128887044
cg00489401	0.224299617907085	FLT4	5	180075875
cg00491404	0.86749777118889	EPS8L3	1	110306591
cg00491839	0.233434634093204	PPP1R15A	19	49375640
cg00493400	0.0170111179001937	STAT1	2	191879127
cg00495415	0.0146231974653658	SP1	12	53773795
cg00495442	0.03306207184062	RALGAPB	20	37101172
cg00495491	0.776537384221486	NA	NA	0
cg00496170	0.0165576808238817	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.84382512999444	PPEF1	X	18709116
cg00497251	0.0305150443372021	RNPEPL1	2	241508725
cg00498305	0.237305849853677	SLC18A2	10	119000236
cg00498604	0.0598474065259222	TLL1	4	166793789
cg00499599	0.0339582329377462	C21orf57;MCM3AP	21	47706392
cg00499822	0.4213058371959	CXCL12	10	44881551
cg00500400	0.0230807796096084	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0116814914497456	ZDHHC14	6	157801893
