Hybridization REF	TCGA-AR-A0TS-01A-11D-A112-05	TCGA-AR-A0TS-01A-11D-A112-05	TCGA-AR-A0TS-01A-11D-A112-05	TCGA-AR-A0TS-01A-11D-A112-05
cg00043004	0.151703657130323	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0157451015053386	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0369650598797833	CUL5	11	107879431
cg00047469	0.0510041693371044	POLE3;C9orf43	9	116172568
cg00049986	0.211155165200906	NA	NA	0
cg00050312	0.014330920190797	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0443412975878548	C10orf4	10	95462161
cg00053292	0.0460067748250101	TACO1	17	61678300
cg00053647	0.0472086463424883	C7orf28B	7	6866072
cg00054706	0.0211967939221402	C1D	2	68289972
cg00055233	0.255700586057948	RLN1	9	5339677
cg00056767	0.0262852079153482	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.391317386700772	GLRA1	5	151304357
cg00059424	0.0260914644417851	PES1	22	30988148
cg00059740	0.0148032112223803	C7orf49	7	134855689
cg00059930	0.706693084547201	RB1	13	48894382
cg00060762	0.0509838095839746	LEO1	15	52264133
cg00060882	0.16039676895191	EIF2S3	X	24072811
cg00061059	0.0698908524205533	TECR	19	14640983
cg00061629	0.531407545630032	ALX4	11	44325258
cg00062776	0.989244501550492	TULP2	19	49402424
cg00063144	0.934349114143521	KRT31	17	39554055
cg00065385	0.949630520974427	ACTL7A	9	111623395
cg00065408	0.0287459043178877	CACNB3	12	49212475
cg00066153	0.957974713615038	ACRV1	11	125550744
cg00066816	0.276819166157229	IL12B	5	158758353
cg00067471	0.0548284693494348	ATP5D	19	1241377
cg00069261	0.0680709054455178	CDR2	16	22386531
cg00071250	0.448919424471375	FASLG	1	172628263
cg00071998	0.0233643861558539	MSH5	6	31708121
cg00072216	0.0185204080557871	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.760141454907547	STRA6	15	74495354
cg00076645	0.0266842083123915	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.527484027649292	ASAP1	8	131414474
cg00078194	0.0291622096755049	MDK	11	46402949
cg00078867	0.458708122051995	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0115526415179315	ARFGAP3	22	43253521
cg00080012	0.0131744060411935	EED	11	85955689
cg00081935	0.0414938304402739	TSPAN9	12	3186906
cg00081975	0.0385466878170436	ABCC3	17	48712370
cg00083720	0.0217811904597257	NA	NA	0
cg00083937	0.600016129406415	MAPK8IP2	22	51039805
cg00084687	0.0143565215969831	GATAD1	7	92076896
cg00089071	0.0932584880300272	PCGF2	17	36905809
cg00090147	0.0826862007843579	GATA4	8	11562367
cg00091693	0.746509872740317	KRT20	17	39041602
cg00093177	0.931167500839411		17	37185495
cg00094319	0.855103773793532	PABPC3	13	25670530
cg00094851	0.0577437445863513	KIF3C	2	26205706
cg00095526	0.725648695740497	CACNA1S	1	201081686
cg00095674	0.0651109547069032	PLEKHO1	1	150122654
cg00096922	0.0246607380280512	DLX5	7	96654185
cg00097536	0.0136236751858894	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0254207604898271	PNPLA6	19	7599173
cg00099550	0.0294288863058794	NA	NA	0
cg00101227	0.887703870516619	MPZ	1	161280266
cg00103783	0.0159856292586685	MPDU1	17	7487249
cg00105253	0.0349710608085418	NUDT14	14	105647194
cg00105470	0.0290121737232124	C1orf35	1	228290868
cg00107187	0.161898070320247	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0115625807808872	PGM2	4	37828500
cg00108454	0.452346315004454	C1QA	1	22963614
cg00109274	0.0625657672744499	DGKH	13	42623032
cg00112517	0.194015726897827	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.0817993537388845	CABP1	12	121078090
cg00115714	0.297766910915497	AMD1	6	111196112
cg00116234	0.0485667219515234	ADAMTSL1	9	18474243
cg00116838	0.087913600076976	RTN2;FLJ40125	19	46001746
cg00117172	0.0217626269275039	RUNX3	1	25255838
cg00119079	0.0198060417682704	LAMP3	3	182880278
cg00121158	0.0135817772941709	KDM4C	9	6757826
cg00121640	0.0751675529807092	ASTN2	9	120176515
cg00121904	0.108421477325246	MAOB	X	43741826
cg00123035	0.0233338011930982	RFX5	1	151319538
cg00126034	0.0461271710727293	WNT3	17	44896162
cg00126657	0.516086156530546	SSX6	X	47967250
cg00126698	0.733113049492375	BTK	X	100640503
cg00128197	0.170149621539077	HSD17B10	X	53461455
cg00128560	0.970218718797268	TIGD7	16	3352013
cg00128654	0.0256465168180585	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0591727664871237	MKNK1	1	47070178
cg00129774	0.0264390868236944	CDK2;SILV	12	56360414
cg00131121	0.0269276739223866	POLR2J	7	102119710
cg00131557	0.930947412199626	DNAJC15	13	43596656
cg00132141	0.486947905921691	CTNNA3	10	69456307
cg00133909	0.0557245328601921	CD276	15	73977201
cg00134539	0.587871008423568	UBASH3A	21	43824071
cg00134787	0.734854741785666	MYH1	17	10419499
cg00135056	0.132849776250368	C3orf37	3	128997295
cg00135393	0.397467366133086	NA	NA	0
cg00136105	0.0349227115345031	GNPTAB	12	102224911
cg00136405	0.553006878601849	IL21	4	123542198
cg00136477	0.692573785132222	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.588995089316684	PMEPA1	20	56286697
cg00141162	0.0809006969591081	HCLS1	3	121379777
cg00141550	0.795844701476463	NA	NA	0
cg00141845	0.301125184812228	UPRT	X	74493352
cg00143376	0.491258525537862	NMUR1	2	232394702
cg00143998	0.0514933511250336	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.488156006716611	GNPDA1	5	141393931
cg00145348	0.331016262384549	APEX2	X	55026862
cg00146096	0.0168283006564359	FANCF	11	22647309
cg00149659	0.0209734262740158	C3orf10	3	10157352
cg00149976	0.0148406757651958	MGLL	3	127541529
cg00151234	0.237279206409518	PGK1	X	77359363
cg00151607	0.0148446109069521	TRAPPC2L;GALNS	16	88923507
cg00152644	0.944017223705218	SPRR2E	1	153068236
cg00155167	0.0339258730949306	VPS13B	8	100025831
cg00155485	0.0264208452780583	MED13L	12	116714600
cg00155609	0.109790799103979	PRDX2	19	12912527
cg00156216	0.0468690015527286	APLP2	11	129939849
cg00156744	0.125872018776131	STK10	5	171615663
cg00158308	0.139992236656012	OXGR1	13	97646341
cg00160914	0.073654403237751	DDX20;C1orf183	1	112299263
cg00162401	0.0206136799832086	GSTA4	6	52859823
cg00162643	0.0341110139329949	DDX58	9	32526492
cg00164041	0.15178557758507	NA	NA	0
cg00164898	0.0189126413546488	MAPK11	22	50709127
cg00165981	0.0323600078621689	COL4A3BP;POLK	5	74808039
cg00167504	0.0113786911392789	BLVRA	7	43798622
cg00168082	0.0685144112087057	ABL1	9	133589177
cg00168785	0.143480276358279	WDSUB1	2	160142643
cg00168942	0.595218248332242	GJD4	10	35894430
cg00169548	0.347332848359484	NA	NA	0
cg00171126	0.0245158242291762	WRB	21	40752522
cg00171161	0.0354523473688318	NUDT9	4	88343636
cg00174500	0.6715080688554	CMTM5	14	23846479
cg00174901	0.403005916845807	PALM	19	709889
cg00176210	0.669043828849087	ANK1	8	41654967
cg00176879	0.992313285598633	VPS16;PTPRA	20	2843525
cg00177013	0.0436534716156164	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0336174479908363	PNPO	17	46018875
cg00177923	0.0145138567859636	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.163178800446455	UPF3B	X	118986947
cg00180012	0.0220751966850777	LACE1	6	108615929
cg00180631	0.280950917615972	MTM1	X	149736640
cg00182461	0.0730246727756958	NA	NA	0
cg00183782	0.844148222251486	NA	NA	0
cg00183916	0.112769248194795	HS3ST3B1	17	14204936
cg00184884	0.0101242554676912	SFI1	22	31892343
cg00184893	0.0141290749086477	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0242493938580231	LRDD	11	804954
cg00186141	0.0142323939897871	PODXL	7	131241768
cg00186701	0.0661218309291776	TSPYL5	8	98290510
cg00186954	0.697265768745826	ST5;C11orf17	11	8933980
cg00187380	0.31655944680583	HOXC4;HOXC5	12	54427384
cg00187686	0.697043389108675	TCN1	11	59634218
cg00188348	0.636683940182738	NA	NA	0
cg00191052	0.381017783188741	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0362564064955069	FAM53C	5	137673669
cg00197641	0.0685120408232163	MRPL52	14	23299461
cg00199549	0.636047909042805	MCM5	22	35795374
cg00200063	0.0157466634773271	USP32	17	58469941
cg00201234	0.0513925280660992	FBLN2	3	13590968
cg00202702	0.0150758904951991	C11orf70	11	101918157
cg00202711	0.443073096916071	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0351536811273958	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0148473887683777	KIAA0174	16	71929512
cg00208830	0.673311174357946	LAMC2	1	183154778
cg00208967	0.112756088210494	OLFM2	19	10047924
cg00209066	0.903977495089994	BRD1	22	50218923
cg00209951	0.0739001783544419	DENND2C	1	115212834
cg00210842	0.0249168395340399	APAF1;IKBIP	12	99039578
cg00211661	0.0232354650160523	ARAP1	11	72433619
cg00212549	0.0698051926339607	NA	NA	0
cg00213044	0.804725833939443	KRT6A	12	52886438
cg00213331	0.944527210686215	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0164806895264027	NA	NA	0
cg00214794	0.47661669177937	NA	NA	0
cg00214855	0.169248692631578	CCDC90A	6	13813947
cg00215066	0.980372403444094	MYO9B	19	17212316
cg00216361	0.0173736997795714	GAP43	3	115342527
cg00216758	0.0213953045367251	RASSF7;C11orf35	11	560589
cg00217795	0.56430925804466	DIO2	14	80677688
cg00221494	0.0910801211674195	FARP1	13	98794593
cg00223186	0.0331252228233854	ACBD6	1	180472200
cg00223950	0.0354994644479258	UBR4	1	19536222
cg00224234	0.00810379451979516	GLOD4;RNMTL1	17	685693
cg00224508	0.0187679499462214	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.704292900722074	FGD2	6	36972027
cg00228799	0.0220667766830005	ENDOG	9	131580591
cg00229387	0.242863801012226	TJAP1	6	43445942
cg00230271	0.0403710270859558	TBCK;AIMP1	4	107237183
cg00230368	0.028541876979784	IGF2R	6	160389833
cg00230502	0.0928285923627092	CCDC60	12	119772381
cg00230685	0.482624084020148	SCML1	X	17755839
cg00231140	0.057901761843953	ACAA2;SCARNA17	18	47339702
cg00231644	0.240277408124645	TUBB2A	6	3158512
cg00231920	0.0260464375248991	VPS16;FAM113A	20	2821308
cg00233307	0.0462866986165311	MAP4K1;EIF3K	19	39109076
cg00234616	0.51121896213388	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0339081967001257	RARA	17	38465489
cg00237010	0.681158766078756	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.953462483197841	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0481879554144393	TTC21A;GORASP1	3	39148342
cg00240312	0.0657489425430209	NA	NA	0
cg00240432	0.0226229537451021	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.048013867299598	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.038903560145432	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0250845942911968	CR2	1	207628182
cg00250430	0.105452331898067	DMRT2	9	1051579
cg00253200	0.0177379708642589	C3orf59	3	192636074
cg00256074	0.923078198395624	MYLPF	16	30386150
cg00256166	0.0233759532431236	KLHL25	15	86338428
cg00256281	0.0101515689566054	PMM1	22	41985642
cg00259755	0.103798315190305	PWWP2B	10	134209763
cg00260778	0.614504102144869	NA	NA	0
cg00261552	0.0669809028350888	CREBL2	12	12764894
cg00261781	0.0281047994136111	MATN3	2	20212517
cg00262415	0.0271956558431446	PUSL1;ACAP3	1	1242732
cg00263723	0.0167206162356373	NA	NA	0
cg00263760	0.0362922096539182	VAX1	10	118897366
cg00265415	0.0114403631727181	B3GALNT2	1	235667507
cg00265490	0.0368194094923748	MTDH	8	98655845
cg00268009	0.0180736300216718	ADH5	4	100010211
cg00268338	0.0236157412718734	HECTD2;LOC100188947	10	93169495
cg00269115	0.0161227561703485	C1orf213;ZNF436	1	23695530
cg00269932	0.984090769460393	NA	NA	0
cg00273068	0.0606192179109613	EMILIN3	20	39995747
cg00273124	0.882259846067202	NHP2	5	177581512
cg00274399	0.0391163492390255	FGF9	13	22245420
cg00275232	0.016875309951285	ZNF296	19	45579541
cg00276797	0.0141700648251944	SLK	10	105726614
cg00278366	0.337390186090298	RAD9B;VPS29	12	110940287
cg00279797	0.105939683119923	AMMECR1	X	109561918
cg00280814	0.821006965409873	ZDHHC8P	22	23745389
cg00280894	0.373489430936221	NA	NA	0
cg00282347	0.291537752740401	CHD5	1	6241040
cg00282683	0.0141476896324928	UBE3C	7	156931995
cg00283535	0.879278073099582	ANXA13	8	124749564
cg00288562	0.0764462510446048	TRA2A	7	23571645
cg00290028	0.0187283476444226	RFXAP	13	37393125
cg00290506	0.0307344299159013	CNIH3	1	224804226
cg00291877	0.054018462297416	SNRPA1	15	101835933
cg00292662	0.0119572572344542	LGALS1	22	38071168
cg00292971	0.876986525009015	FAM131B	7	143060536
cg00293409	0.0538390685452391	LRRC33	3	196366669
cg00294382	0.090861924637799	IL23A	12	56732721
cg00295206	0.0318569214989076	RAB7A	3	128444813
cg00295325	0.794975681700175	ABCB11	2	169887932
cg00296685	0.352216046458534	NA	NA	0
cg00297584	0.0238924970684672	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.891828457469178	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0200212754054461	PPP3CA	4	102268125
cg00303548	0.0134203589836858	HS6ST3	13	96742413
cg00304278	0.0530818010217718	NA	NA	0
cg00307685	0.93044370829533	BRDT	1	92415524
cg00308133	0.0132667478195144	GAMT	19	1401118
cg00308665	0.692243027815748	HTR2A	13	47469654
cg00309056	0.0322765988880202	STARD3NL	7	38218112
cg00309204	0.0221588747813998	C17orf61	17	7307432
cg00311768	0.714377709142508	TSTA3	8	144698857
cg00312919	0.0565694787169393	STARD3NL	7	38217710
cg00314943	0.918447680856164	ALPPL2	2	233270750
cg00315936	0.0679564835611264	SND1	7	127292739
cg00317680	0.0553419599719766	MTERFD1;PTDSS1	8	97274070
cg00318573	0.22935720647752	CHRNA4	20	61993118
cg00318865	0.0157809370299183	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.00779110938612675	PKMYT1	16	3030447
cg00320243	0.0192104165602239	RAB3A	19	18314691
cg00321065	0.0234009128876123	RLF	1	40627063
cg00321478	0.953582260683289	CRB1	1	197238398
cg00323915	0.354466913540396	GIMAP4	7	150264987
cg00324733	0.0205216890732381	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.0660347013418831	DLAT	11	111896498
cg00327483	0.97631795869401	CASQ1	1	160160587
cg00328227	0.0926548154034294	C1orf59	1	109204325
cg00331237	0.0418601693257485	CSRP2	12	77273319
cg00331433	0.0217789853840779	SYAP1	X	16737800
cg00332153	0.482473828512893	BANK1	4	102712010
cg00332745	0.019987163245701	NOL3	16	67208247
cg00333226	0.10918640435813	VWC2	7	49813763
cg00333528	0.410128702900986	GABRR1	6	89927485
cg00334507	0.760305362265726	PRRT2	16	29824599
cg00335286	0.660816323506507	MC2R	18	13916355
cg00336605	0.0626626676923084	NR1H2	19	50879437
cg00338702	0.0652359415912873	CHFR	12	133463694
cg00338893	0.0390968515870603	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.577985429139493	GARNL3	9	130027020
cg00343092	0.0481157116710309	TSPO	22	43547974
cg00344358	0.960943963838103	GDF11	12	56135693
cg00344372	0.80843170155322	HGFAC	4	3443625
cg00344709	0.946321767226372	POTED	21	14982225
cg00346145	0.0525236581490345	RPL34;LOC285456	4	109541559
cg00347729	0.727087220073532	MMP10	11	102651753
cg00347904	0.212078145842006	SCUBE3	6	35182508
cg00350296	0.254732728378331	CD248	11	66084841
cg00350478	0.714597115954186	FRMD1	6	168480013
cg00350702	0.0167086946090073	ERGIC3	20	34129927
cg00351011	0.0229225653320115	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.822288672528212	ZIM2	19	57306738
cg00354572	0.140570236277574	ACSS3	12	81471419
cg00355802	0.0568058001912216	DUSP4	8	29208983
cg00359325	0.0413342682054166	USP4	3	49377419
cg00359973	0.0307836271662368	RIBC1;SMC1A	X	53449900
cg00363813	0.496875748262368	IFFO1	12	6664872
cg00364344	0.020183536481659	NA	NA	0
cg00364814	0.926741947817627	R3HDM2	12	57691455
cg00365193	0.145506016497898	NA	NA	0
cg00367281	0.899115554242698	CHRNB3	8	42552470
cg00367438	0.0607087736392883	TMUB1	7	150780797
cg00368022	0.0172494528042693	C5orf22;RNASEN	5	31532653
cg00368415	0.00970424752761377	SNX27	1	151584398
cg00371195	0.965738175187916	F2	11	46740481
cg00374717	0.90610176092335	ARSG	17	66303145
cg00375964	0.196635912401996	ABCE1;ANAPC10	4	146019130
cg00376639	0.0477402868000678	ZNF581	19	56155151
cg00380464	0.0654442534278544	LTV1	6	144164650
cg00381076	0.0559265445100339	C18orf54	18	51884797
cg00382515	0.0150035550624133	MRPL44	2	224822229
cg00382991	0.0350329655843971	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.23073100685416	TGFBI	5	135364970
cg00387170	0.0394807514843543	FOXP4	6	41514002
cg00392257	0.505930428693039	ISG20L2	1	156696747
cg00393585	0.076463392996302	C4orf39;TRIM61	4	165878091
cg00394658	0.431820519729498	PTPRJ	11	48001669
cg00396163	0.0253167306163163	DNAH6	2	84743584
cg00396894	0.763343239397958	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0388796277809163	PPOX	1	161136321
cg00398048	0.189686776027731	AGA	4	178364342
cg00399483	0.420876591979404	DCC	18	49868378
cg00400028	0.369650783677221	NA	NA	0
cg00400263	0.987640901570555	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0709622599775926	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.320970605282981	TSC22D3	X	107018431
cg00405070	0.0312880448400408	ERP29;TMEM116	12	112450647
cg00405568	0.188851572076617	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.81077669249941	RFPL3	22	32753939
cg00407150	0.663003686360347	HHATL	3	42743794
cg00410419	0.0282781422831688	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.113097680979482	STC1	8	23712355
cg00410921	0.403648225800895	NA	NA	0
cg00411097	0.249507416925814	TMEM184A	7	1596050
cg00412772	0.842079804084343	YIF1B;C19orf33	19	38794845
cg00412805	0.961656238363819	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.0784950274000463	NA	NA	0
cg00415494	0.856578821736173	NA	NA	0
cg00415978	0.232217506275054	SYNPO2	4	119809925
cg00415993	0.836419221965383	F2RL2;IQGAP2	5	75919188
cg00417297	0.0183177816126786	ZNF619	3	40518742
cg00418150	0.490212673991193	ALX4	11	44327869
cg00419564	0.030250255927064	S100A6	1	153508860
cg00420568	0.094465120344013	SHC3	9	91794904
cg00420715	0.0185914309872866	VPS13B	8	100025364
cg00420929	0.266418814740048	PGPEP1	19	18451112
cg00422913	0.0348649411719712	C17orf91;WDR81	17	1619022
cg00424946	0.0418508384990318	SNTB2	16	69221172
cg00425710	0.879139670037142	MT1A	16	56672671
cg00425792	0.0446929189439046	PEX12	17	33905503
cg00426056	0.0545777130369706	CUTA	6	33385896
cg00426498	0.211734289840033	MYO18A	17	27507667
cg00426963	0.0205031555127156	KIF27	9	86535755
cg00427635	0.104325133180347	TBC1D21	15	74166372
cg00429618	0.0904947177532761	ZNF322B	9	99962350
cg00430287	0.894363654180485	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.621217157665463	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.146660946166995	MGP	12	15039025
cg00432979	0.0274783676908352	MRP63;SKA3	13	21750473
cg00433406	0.868782059793987	VWA5B1	1	20616975
cg00434413	0.984513502891969	RENBP;NAA10	X	153201653
cg00435408	0.038799071195535	FAM192A;RSPRY1	16	57220662
cg00436282	0.925451843531923	STATH	4	70861449
cg00436301	0.0132032466302309	NT5DC1	6	116421736
cg00436603	0.761651678290408	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.0171443573999097	STOML1	15	74284481
cg00443307	0.859022722887674	KLRG1	12	9141740
cg00445824	0.0602209091410075	ISYNA1	19	18548929
cg00446235	0.255043015842529	TSTD1	1	161008644
cg00447208	0.239821915148571	TMC8;TMC6	17	76126301
cg00448720	0.856113735041043	C1QTNF9	13	24883014
cg00449941	0.0186116735094614	SPAG5	17	26926011
cg00451635	0.384050808654229	EMP2	16	10675030
cg00453193	0.0327264494034395	TES	7	115851050
cg00453258	0.818241440313139	CALHM1	10	105219172
cg00459975	0.0257674529174468	INTS9;HMBOX1	8	28749099
cg00461841	0.852296383723379	ATF7IP2	16	10523485
cg00462311	0.100205653122603	NFATC4	14	24837184
cg00462994	0.130293631382218	NAGS;PYY	17	42081955
cg00463202	0.877074461968221	ADPRHL1	13	114107710
cg00463577	0.0179455359965442	C6orf150	6	74161911
cg00463848	0.862617802285044	KRT2	12	53046105
cg00464269	0.0253521334713111	TNFAIP1;IFT20	17	26662842
cg00465284	0.0260761152199745	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0154557251157246	NA	NA	0
cg00466249	0.285367701179919	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0175111637799826	C14orf101	14	57046243
cg00468146	0.142041831760007	ID4	6	19838211
cg00469635	0.0108277227498943	PPME1;C2CD3	11	73882471
cg00471562	0.00957905681636107	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0213614194139145	ADAMTS1	21	28217676
cg00474004	0.848142809707457	IFNA14	9	21239944
cg00474209	0.0231620060078573	DLL1	6	170600060
cg00475955	0.0213378662274031	C9orf114	9	131592049
cg00476577	0.0492908622067463	NA	NA	0
cg00476580	0.0132900018828874	ANP32E	1	150207583
cg00479269	0.04617963549966	C2orf29	2	101869975
cg00480115	0.662045249745839	FXYD3	19	35606877
cg00480209	0.0156743572746306	SCO1;C17orf48	17	10600689
cg00480356	0.117162345586508	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.010125277579434	DDX41	5	176943504
cg00485296	0.453588707058868	NME3	16	1821559
cg00485380	0.0247370653999159	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0135653841112137	SOCS1	16	11349568
cg00488300	0.889043690044076	NA	NA	0
cg00488364	0.734231488243648	IL13RA2	X	114253315
cg00488718	0.0306683490764891	MFSD8;C4orf29	4	128887044
cg00489401	0.276680177708384	FLT4	5	180075875
cg00491404	0.812950535381744	EPS8L3	1	110306591
cg00491839	0.21535655040895	PPP1R15A	19	49375640
cg00493400	0.0242714544869418	STAT1	2	191879127
cg00495415	0.027724207823561	SP1	12	53773795
cg00495442	0.0376887899664172	RALGAPB	20	37101172
cg00495491	0.790636680737501	NA	NA	0
cg00496170	0.0138803200087842	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.938783778630993	PPEF1	X	18709116
cg00497251	0.0467300793788492	RNPEPL1	2	241508725
cg00498305	0.609506500079498	SLC18A2	10	119000236
cg00498604	0.125195821999311	TLL1	4	166793789
cg00499599	0.021572398306555	C21orf57;MCM3AP	21	47706392
cg00499822	0.336973108661353	CXCL12	10	44881551
cg00500400	0.021168133674774	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0124312285360224	ZDHHC14	6	157801893
