Hybridization REF	TCGA-E2-A14O-01A-31D-A112-05	TCGA-E2-A14O-01A-31D-A112-05	TCGA-E2-A14O-01A-31D-A112-05	TCGA-E2-A14O-01A-31D-A112-05
cg00240432	0.427148893408421	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0366222762983099	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.392922372554443	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.469293497211655	CR2	1	207628182
cg00250430	0.580768918442819	DMRT2	9	1051579
cg00253200	0.0193055715183999	C3orf59	3	192636074
cg00256074	0.863873787553517	MYLPF	16	30386150
cg00256166	0.0305197551471226	KLHL25	15	86338428
cg00256281	0.00944727111165854	PMM1	22	41985642
cg00259755	0.017802634747586	PWWP2B	10	134209763
cg00260778	0.214978166305353	NA	NA	0
cg00261552	0.0308515485735662	CREBL2	12	12764894
cg00261781	0.00866452602945009	MATN3	2	20212517
cg00262415	0.0229709964430893	PUSL1;ACAP3	1	1242732
cg00263723	0.0467524546861909	NA	NA	0
cg00263760	0.373895396698289	VAX1	10	118897366
cg00265415	0.00702955012507395	B3GALNT2	1	235667507
cg00265490	0.0233212727321932	MTDH	8	98655845
cg00268009	0.014199981636242	ADH5	4	100010211
cg00268338	0.0111617854329874	HECTD2;LOC100188947	10	93169495
cg00269115	0.0150407523477494	C1orf213;ZNF436	1	23695530
cg00269932	0.304951985183744	NA	NA	0
cg00273068	0.805134727716253	EMILIN3	20	39995747
cg00273124	0.873412656970537	NHP2	5	177581512
cg00274399	0.0312416458249607	FGF9	13	22245420
cg00275232	0.0158775168741338	ZNF296	19	45579541
cg00276797	0.0121123022520554	SLK	10	105726614
cg00278366	0.801540185167286	RAD9B;VPS29	12	110940287
cg00279797	0.126465104326952	AMMECR1	X	109561918
cg00280814	0.8916651092024	ZDHHC8P	22	23745389
cg00280894	0.0880425073635619	NA	NA	0
cg00282347	0.694595031000119	CHD5	1	6241040
cg00282683	0.00981746131615186	UBE3C	7	156931995
cg00283535	0.850015793620859	ANXA13	8	124749564
cg00288562	0.110141914398549	TRA2A	7	23571645
cg00290028	0.0423097858006781	RFXAP	13	37393125
cg00290506	0.233544975934589	CNIH3	1	224804226
cg00291877	0.0686144551626882	SNRPA1	15	101835933
cg00292662	0.0100633912444691	LGALS1	22	38071168
cg00292971	0.854132145365651	FAM131B	7	143060536
cg00293409	0.0670407304743589	LRRC33	3	196366669
cg00294382	0.745784787453417	IL23A	12	56732721
cg00295206	0.011449825341157	RAB7A	3	128444813
cg00295325	0.612498383590956	ABCB11	2	169887932
cg00296685	0.387722367979644	NA	NA	0
cg00297584	0.0414735216409821	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.892727653149319	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0196447378280056	PPP3CA	4	102268125
cg00303548	0.0117279035287391	HS6ST3	13	96742413
cg00304278	0.0430692091560928	NA	NA	0
cg00307685	0.928472370642842	BRDT	1	92415524
cg00308133	0.00672093104661803	GAMT	19	1401118
cg00308665	0.0592664803373517	HTR2A	13	47469654
cg00309056	0.0224391837190744	STARD3NL	7	38218112
cg00309204	0.0230412324914395	C17orf61	17	7307432
cg00311768	0.310485065085639	TSTA3	8	144698857
cg00312919	0.0662785910811072	STARD3NL	7	38217710
cg00314943	0.883404892817924	ALPPL2	2	233270750
cg00315936	0.0460787964595284	SND1	7	127292739
cg00317680	0.139399639824701	MTERFD1;PTDSS1	8	97274070
cg00318573	0.535313858940852	CHRNA4	20	61993118
cg00318865	0.00982286720784646	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.00876722821912992	PKMYT1	16	3030447
cg00320243	0.0116792210572551	RAB3A	19	18314691
cg00321065	0.0194736103608826	RLF	1	40627063
cg00321478	0.235252469538385	CRB1	1	197238398
cg00323915	0.0678753348437381	GIMAP4	7	150264987
cg00324733	0.016600755701502	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.0665801499865726	DLAT	11	111896498
cg00327483	0.971636253607741	CASQ1	1	160160587
cg00328227	0.502737562065768	C1orf59	1	109204325
cg00331237	0.144978950807224	CSRP2	12	77273319
cg00331433	0.0194572239271017	SYAP1	X	16737800
cg00332153	0.785753707924132	BANK1	4	102712010
cg00332745	0.0170136720570178	NOL3	16	67208247
cg00333226	0.511335683457285	VWC2	7	49813763
cg00333528	0.0903296325493175	GABRR1	6	89927485
cg00334507	0.301809163347055	PRRT2	16	29824599
cg00335286	0.216920715205295	MC2R	18	13916355
cg00336605	0.323128918559786	NR1H2	19	50879437
cg00338702	0.0237333349749549	CHFR	12	133463694
cg00338893	0.0193217368067586	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.153680644644256	GARNL3	9	130027020
cg00343092	0.0130336188783132	TSPO	22	43547974
cg00344358	0.936338982299385	GDF11	12	56135693
cg00344372	0.881139515130302	HGFAC	4	3443625
cg00344709	0.675739016663733	POTED	21	14982225
cg00346145	0.0381154155437519	RPL34;LOC285456	4	109541559
cg00347729	0.218037269831208	MMP10	11	102651753
cg00347904	0.0923104524226572	SCUBE3	6	35182508
cg00350296	0.766585624009548	CD248	11	66084841
cg00350478	0.65353022969418	FRMD1	6	168480013
cg00350702	0.0143093551878364	ERGIC3	20	34129927
cg00351011	0.0132287439851007	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.381349128010968	ZIM2	19	57306738
cg00354572	0.160149380954791	ACSS3	12	81471419
cg00355802	0.0211245306063889	DUSP4	8	29208983
cg00359325	0.0455210580087265	USP4	3	49377419
cg00359973	0.0422069610602327	RIBC1;SMC1A	X	53449900
cg00363813	0.702916830552403	IFFO1	12	6664872
cg00364344	0.0136425740673788	NA	NA	0
cg00364814	0.933044975176124	R3HDM2	12	57691455
cg00365193	0.149825540727021	NA	NA	0
cg00367281	0.336807791856892	CHRNB3	8	42552470
cg00367438	0.0312501107213156	TMUB1	7	150780797
cg00368022	0.0201316108356073	C5orf22;RNASEN	5	31532653
cg00368415	0.00535004996285984	SNX27	1	151584398
cg00371195	0.970826494594109	F2	11	46740481
cg00374717	0.942845157546955	ARSG	17	66303145
cg00375964	0.193392234672375	ABCE1;ANAPC10	4	146019130
cg00376639	0.0726991857940655	ZNF581	19	56155151
cg00380464	0.0344759075326395	LTV1	6	144164650
cg00381076	0.0519097586204875	C18orf54	18	51884797
cg00382515	0.0134307056656797	MRPL44	2	224822229
cg00382991	0.0235578177997567	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.378862294989468	TGFBI	5	135364970
cg00387170	0.0206868148750665	FOXP4	6	41514002
cg00392257	0.175198420553256	ISG20L2	1	156696747
cg00393585	0.240770821891442	C4orf39;TRIM61	4	165878091
cg00394658	0.1075984310508	PTPRJ	11	48001669
cg00396163	0.0311753857006537	DNAH6	2	84743584
cg00396894	0.747676120698287	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0493933280152566	PPOX	1	161136321
cg00398048	0.0511046573496088	AGA	4	178364342
cg00399483	0.175025715873565	DCC	18	49868378
cg00400028	0.397769807558034	NA	NA	0
cg00400263	0.991136013045331	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0790763692556317	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.351156209155278	TSC22D3	X	107018431
cg00405070	0.0143340512497243	ERP29;TMEM116	12	112450647
cg00405568	0.120387738838122	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.677642712003615	RFPL3	22	32753939
cg00407150	0.666601743105422	HHATL	3	42743794
cg00410419	0.0183778186143425	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.059918210701983	STC1	8	23712355
cg00410921	0.10626504721954	NA	NA	0
cg00411097	0.195021239361159	TMEM184A	7	1596050
cg00412772	0.417623027495888	YIF1B;C19orf33	19	38794845
cg00412805	0.968178144972862	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.0640711529767548	NA	NA	0
cg00415494	0.45365347114295	NA	NA	0
cg00415978	0.0439677436154047	SYNPO2	4	119809925
cg00415993	0.716006692970055	F2RL2;IQGAP2	5	75919188
cg00417297	0.0143827307893933	ZNF619	3	40518742
cg00418150	0.546325030068807	ALX4	11	44327869
cg00419564	0.0127221409720293	S100A6	1	153508860
cg00420568	0.0661063363104616	SHC3	9	91794904
cg00420715	0.0502539636959478	VPS13B	8	100025364
cg00420929	0.437222258004174	PGPEP1	19	18451112
cg00422913	0.0222923572806896	C17orf91;WDR81	17	1619022
cg00424946	0.0171540215039032	SNTB2	16	69221172
cg00425710	0.916879547707349	MT1A	16	56672671
cg00425792	0.0494143488429956	PEX12	17	33905503
cg00426056	0.0336025887524723	CUTA	6	33385896
cg00426498	0.15248643009618	MYO18A	17	27507667
cg00426963	0.0178140532805881	KIF27	9	86535755
cg00427635	0.180125231261942	TBC1D21	15	74166372
cg00429618	0.0245775064499093	ZNF322B	9	99962350
cg00430287	0.19694606950153	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.229028370130545	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.0707970727112451	MGP	12	15039025
cg00432979	0.0181546551261913	MRP63;SKA3	13	21750473
cg00433406	0.78066308555301	VWA5B1	1	20616975
cg00434413	0.796957665155945	RENBP;NAA10	X	153201653
cg00435408	0.0370180471334538	FAM192A;RSPRY1	16	57220662
cg00436282	0.278385398723243	STATH	4	70861449
cg00436301	0.0171218868076653	NT5DC1	6	116421736
cg00436603	0.606833668694351	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.00852847623365183	STOML1	15	74284481
cg00443307	0.181383148652699	KLRG1	12	9141740
cg00445824	0.0571475501096728	ISYNA1	19	18548929
cg00446235	0.0780057616030866	TSTD1	1	161008644
cg00447208	0.794727803751082	TMC8;TMC6	17	76126301
cg00448720	0.688542830045942	C1QTNF9	13	24883014
cg00449941	0.0153661766021507	SPAG5	17	26926011
cg00451635	0.0717433680046372	EMP2	16	10675030
cg00453193	0.380452003909419	TES	7	115851050
cg00453258	0.798035735455844	CALHM1	10	105219172
cg00459975	0.0179958561977197	INTS9;HMBOX1	8	28749099
cg00461841	0.799165858644257	ATF7IP2	16	10523485
cg00462311	0.0560441651123218	NFATC4	14	24837184
cg00462994	0.785284054671424	NAGS;PYY	17	42081955
cg00463202	0.880138307278751	ADPRHL1	13	114107710
cg00463577	0.0215451566208767	C6orf150	6	74161911
cg00463848	0.349337768593276	KRT2	12	53046105
cg00464269	0.0126959268298838	TNFAIP1;IFT20	17	26662842
cg00465284	0.0258772516730334	CTNNA2;LRRTM1	2	80531898
cg00465846	0.00947091056692174	NA	NA	0
cg00466249	0.0383664443895006	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.027398928089903	C14orf101	14	57046243
cg00468146	0.599188917785671	ID4	6	19838211
cg00469635	0.0189662282596005	PPME1;C2CD3	11	73882471
cg00471562	0.0159016593616787	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.609480871519943	ADAMTS1	21	28217676
cg00474004	0.235568336531245	IFNA14	9	21239944
cg00474209	0.0264425205183676	DLL1	6	170600060
cg00475955	0.0123723426475546	C9orf114	9	131592049
cg00476577	0.0420291104416815	NA	NA	0
cg00476580	0.00832995186652799	ANP32E	1	150207583
cg00479269	0.0334626340407794	C2orf29	2	101869975
cg00480115	0.10966749302628	FXYD3	19	35606877
cg00480209	0.017100970835663	SCO1;C17orf48	17	10600689
cg00480356	0.0772074865685961	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0126345254665319	DDX41	5	176943504
cg00485296	0.00648359842732381	NME3	16	1821559
cg00485380	0.0535664303752457	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0229960756041006	SOCS1	16	11349568
cg00488300	0.95305932997602	NA	NA	0
cg00488364	0.196316374285525	IL13RA2	X	114253315
cg00488718	0.0195636186223443	MFSD8;C4orf29	4	128887044
cg00489401	0.873637681503478	FLT4	5	180075875
cg00491404	0.907219930103917	EPS8L3	1	110306591
cg00491839	0.127566908282262	PPP1R15A	19	49375640
cg00493400	0.0179395332436837	STAT1	2	191879127
cg00495415	0.0134890987370976	SP1	12	53773795
cg00495442	0.136075105287115	RALGAPB	20	37101172
cg00495491	0.552589618337087	NA	NA	0
cg00496170	0.0163955615126215	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.43003755671648	PPEF1	X	18709116
cg00497251	0.0251974913546855	RNPEPL1	2	241508725
cg00498305	0.480130862735627	SLC18A2	10	119000236
cg00498604	0.308821180893449	TLL1	4	166793789
cg00499599	0.0128461508967707	C21orf57;MCM3AP	21	47706392
cg00499822	0.824041945054647	CXCL12	10	44881551
cg00500400	0.0204653804496853	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0145353319216931	ZDHHC14	6	157801893
cg00503458	0.0852540918568682	KIAA0907	1	155904439
