Hybridization REF	TCGA-BH-A0E9-01B-11D-A112-05	TCGA-BH-A0E9-01B-11D-A112-05	TCGA-BH-A0E9-01B-11D-A112-05	TCGA-BH-A0E9-01B-11D-A112-05
cg00167504	0.0193158993206901	BLVRA	7	43798622
cg00168082	0.0360028161219658	ABL1	9	133589177
cg00168785	0.0686595730114901	WDSUB1	2	160142643
cg00168942	0.674728174487078	GJD4	10	35894430
cg00169548	0.256604727820234	NA	NA	0
cg00171126	0.0337531079141324	WRB	21	40752522
cg00171161	0.0547583603473896	NUDT9	4	88343636
cg00174500	0.489691466388169	CMTM5	14	23846479
cg00174901	0.455300480014597	PALM	19	709889
cg00176210	0.78263821392511	ANK1	8	41654967
cg00176879	0.990464348092149	VPS16;PTPRA	20	2843525
cg00177013	0.0312096126271939	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0135497181771718	PNPO	17	46018875
cg00177923	0.0112494646015874	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.257133643759382	UPF3B	X	118986947
cg00180012	0.0225814392675093	LACE1	6	108615929
cg00180631	0.638012039100575	MTM1	X	149736640
cg00182461	0.0988922688497183	NA	NA	0
cg00183782	0.812296863870893	NA	NA	0
cg00183916	0.0120883308664693	HS3ST3B1	17	14204936
cg00184884	0.00945727662340563	SFI1	22	31892343
cg00184893	0.0173554202963724	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.00966572220596345	LRDD	11	804954
cg00186141	0.0140388123141061	PODXL	7	131241768
cg00186701	0.0614736405529737	TSPYL5	8	98290510
cg00186954	0.709682059205113	ST5;C11orf17	11	8933980
cg00187380	0.0178949163179214	HOXC4;HOXC5	12	54427384
cg00187686	0.599445911998585	TCN1	11	59634218
cg00188348	0.640367011007102	NA	NA	0
cg00191052	0.636206827117696	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0283048825273868	FAM53C	5	137673669
cg00197641	0.0638289450036644	MRPL52	14	23299461
cg00199549	0.97077451540418	MCM5	22	35795374
cg00200063	0.0164393694692017	USP32	17	58469941
cg00201234	0.412394008566598	FBLN2	3	13590968
cg00202702	0.0113132134349793	C11orf70	11	101918157
cg00202711	0.327239667429211	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0370196787045459	RP11-529I10.4;POLL	10	103348143
cg00207534	0.025087927839049	KIAA0174	16	71929512
cg00208830	0.813242921496092	LAMC2	1	183154778
cg00208967	0.331494798909823	OLFM2	19	10047924
cg00209066	0.942970139322687	BRD1	22	50218923
cg00209951	0.0790794130554638	DENND2C	1	115212834
cg00210842	0.0455250077449971	APAF1;IKBIP	12	99039578
cg00211661	0.0179712112368583	ARAP1	11	72433619
cg00212549	0.191739524569917	NA	NA	0
cg00213044	0.839490658561951	KRT6A	12	52886438
cg00213331	0.960987740277873	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0164785737951749	NA	NA	0
cg00214794	0.48143726590198	NA	NA	0
cg00214855	0.258244814432233	CCDC90A	6	13813947
cg00215066	0.965728420598616	MYO9B	19	17212316
cg00216361	0.10335963396575	GAP43	3	115342527
cg00216758	0.026397895102755	RASSF7;C11orf35	11	560589
cg00217795	0.614509146571921	DIO2	14	80677688
cg00221494	0.490950004045606	FARP1	13	98794593
cg00223186	0.0233542144838162	ACBD6	1	180472200
cg00223950	0.0194961329395643	UBR4	1	19536222
cg00224234	0.0219887266414178	GLOD4;RNMTL1	17	685693
cg00224508	0.017544605395538	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.928239455527148	FGD2	6	36972027
cg00228799	0.0247017516947463	ENDOG	9	131580591
cg00229387	0.076081096063486	TJAP1	6	43445942
cg00230271	0.0344038541310661	TBCK;AIMP1	4	107237183
cg00230368	0.0178855969213862	IGF2R	6	160389833
cg00230502	0.133945500589511	CCDC60	12	119772381
cg00230685	0.586953569651652	SCML1	X	17755839
cg00231140	0.141624032244839	ACAA2;SCARNA17	18	47339702
cg00231644	0.181597045407007	TUBB2A	6	3158512
cg00231920	0.0278498060501857	VPS16;FAM113A	20	2821308
cg00233307	0.235702121697135	MAP4K1;EIF3K	19	39109076
cg00234616	0.189554027202555	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.034901951288897	RARA	17	38465489
cg00237010	0.385951840145725	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.973778498579457	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0722414142157721	TTC21A;GORASP1	3	39148342
cg00240312	0.0342232942888062	NA	NA	0
cg00240432	0.0307613085103387	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0222234201886184	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.0216999895284692	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0147926933775032	CR2	1	207628182
cg00250430	0.596513829352557	DMRT2	9	1051579
cg00253200	0.0190989950440778	C3orf59	3	192636074
cg00256074	0.936558112919062	MYLPF	16	30386150
cg00256166	0.0336263036800992	KLHL25	15	86338428
cg00256281	0.0087248364347731	PMM1	22	41985642
cg00259755	0.0584421036358486	PWWP2B	10	134209763
cg00260778	0.425415433768036	NA	NA	0
cg00261552	0.0530496851032726	CREBL2	12	12764894
cg00261781	0.0147361288611888	MATN3	2	20212517
cg00262415	0.0285823384579198	PUSL1;ACAP3	1	1242732
cg00263723	0.0213970360717071	NA	NA	0
cg00263760	0.176238991580297	VAX1	10	118897366
cg00265415	0.0113339326242619	B3GALNT2	1	235667507
cg00265490	0.0421020505657568	MTDH	8	98655845
cg00268009	0.0186782674613962	ADH5	4	100010211
cg00268338	0.0222435979548405	HECTD2;LOC100188947	10	93169495
cg00269115	0.01220710792558	C1orf213;ZNF436	1	23695530
cg00269932	0.984937257805353	NA	NA	0
cg00273068	0.346452219788407	EMILIN3	20	39995747
cg00273124	0.872205299565105	NHP2	5	177581512
cg00274399	0.064064568053329	FGF9	13	22245420
cg00275232	0.0135110694585354	ZNF296	19	45579541
cg00276797	0.0139153231761809	SLK	10	105726614
cg00278366	0.415993175901842	RAD9B;VPS29	12	110940287
cg00279797	0.163168397763529	AMMECR1	X	109561918
cg00280814	0.816876526377654	ZDHHC8P	22	23745389
cg00280894	0.551786188030429	NA	NA	0
cg00282347	0.0790260947797404	CHD5	1	6241040
cg00282683	0.0101801254745409	UBE3C	7	156931995
cg00283535	0.690844044326835	ANXA13	8	124749564
cg00288562	0.109930817531587	TRA2A	7	23571645
cg00290028	0.0361262604115785	RFXAP	13	37393125
cg00290506	0.248307670466273	CNIH3	1	224804226
cg00291877	0.0596040862809399	SNRPA1	15	101835933
cg00292662	0.014775975235682	LGALS1	22	38071168
cg00292971	0.842011765591582	FAM131B	7	143060536
cg00293409	0.0371417506169333	LRRC33	3	196366669
cg00294382	0.357415170255998	IL23A	12	56732721
cg00295206	0.0188604660077164	RAB7A	3	128444813
cg00295325	0.865129829635374	ABCB11	2	169887932
cg00296685	0.35541922642213	NA	NA	0
cg00297584	0.239320263961388	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.736665761503985	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0280056514675667	PPP3CA	4	102268125
cg00303548	0.0119118820529992	HS6ST3	13	96742413
cg00304278	0.0533609989824895	NA	NA	0
cg00307685	0.934078600795158	BRDT	1	92415524
cg00308133	0.00675822561395152	GAMT	19	1401118
cg00308665	0.109244870257242	HTR2A	13	47469654
cg00309056	0.023504917903183	STARD3NL	7	38218112
cg00309204	0.0218654462248982	C17orf61	17	7307432
cg00311768	0.312898673742378	TSTA3	8	144698857
cg00312919	0.0664893980914009	STARD3NL	7	38217710
cg00314943	0.93405264341281	ALPPL2	2	233270750
cg00315936	0.0546863613390107	SND1	7	127292739
cg00317680	0.0841994508906332	MTERFD1;PTDSS1	8	97274070
cg00318573	0.506441284337227	CHRNA4	20	61993118
cg00318865	0.00970623836860579	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.00858896295363358	PKMYT1	16	3030447
cg00320243	0.0131895057109486	RAB3A	19	18314691
cg00321065	0.0201988190244699	RLF	1	40627063
cg00321478	0.596480525594216	CRB1	1	197238398
cg00323915	0.689566875323271	GIMAP4	7	150264987
cg00324733	0.0199137775009138	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.0640862497190743	DLAT	11	111896498
cg00327483	0.980722556042091	CASQ1	1	160160587
cg00328227	0.238001341354908	C1orf59	1	109204325
cg00331237	0.161228751431893	CSRP2	12	77273319
cg00331433	0.0179862813668484	SYAP1	X	16737800
cg00332153	0.636657599234468	BANK1	4	102712010
cg00332745	0.0178432720107507	NOL3	16	67208247
cg00333226	0.407754410798737	VWC2	7	49813763
cg00333528	0.495582863569189	GABRR1	6	89927485
cg00334507	0.833773730344201	PRRT2	16	29824599
cg00335286	0.382850344669328	MC2R	18	13916355
cg00336605	0.0411023483347641	NR1H2	19	50879437
cg00338702	0.0232187699428225	CHFR	12	133463694
cg00338893	0.0224684541688329	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.154647548246509	GARNL3	9	130027020
cg00343092	0.0175819960271947	TSPO	22	43547974
cg00344358	0.937109760254033	GDF11	12	56135693
cg00344372	0.879112488567242	HGFAC	4	3443625
cg00344709	0.9287083916948	POTED	21	14982225
cg00346145	0.0841777634751686	RPL34;LOC285456	4	109541559
cg00347729	0.570096003312206	MMP10	11	102651753
cg00347904	0.0613573956690634	SCUBE3	6	35182508
cg00350296	0.297026142861846	CD248	11	66084841
cg00350478	0.784768519959405	FRMD1	6	168480013
cg00350702	0.021944520565403	ERGIC3	20	34129927
cg00351011	0.0139688673533447	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.916278946007483	ZIM2	19	57306738
cg00354572	0.171476061048212	ACSS3	12	81471419
cg00355802	0.045785024605413	DUSP4	8	29208983
cg00359325	0.0709883272461752	USP4	3	49377419
cg00359973	0.352755748127551	RIBC1;SMC1A	X	53449900
cg00363813	0.562422979785166	IFFO1	12	6664872
cg00364344	0.0184666198714448	NA	NA	0
cg00364814	0.893631203226457	R3HDM2	12	57691455
cg00365193	0.154731727389702	NA	NA	0
cg00367281	0.851692867901267	CHRNB3	8	42552470
cg00367438	0.0439547131383546	TMUB1	7	150780797
cg00368022	0.0326099844252793	C5orf22;RNASEN	5	31532653
cg00368415	0.00759704252832448	SNX27	1	151584398
cg00371195	0.969407839917701	F2	11	46740481
cg00374717	0.871283286989863	ARSG	17	66303145
cg00375964	0.196731951246101	ABCE1;ANAPC10	4	146019130
cg00376639	0.0604021395365105	ZNF581	19	56155151
cg00380464	0.0221058106388486	LTV1	6	144164650
cg00381076	0.0732005381899881	C18orf54	18	51884797
cg00382515	0.0133170069806527	MRPL44	2	224822229
cg00382991	0.0205434102604045	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.247761000102313	TGFBI	5	135364970
cg00387170	0.0274253153530587	FOXP4	6	41514002
cg00392257	0.165061240732004	ISG20L2	1	156696747
cg00393585	0.0585684390317652	C4orf39;TRIM61	4	165878091
cg00394658	0.490748601131587	PTPRJ	11	48001669
cg00396163	0.0165195594558547	DNAH6	2	84743584
cg00396894	0.780930694895346	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.024172971318972	PPOX	1	161136321
cg00398048	0.0752003446100647	AGA	4	178364342
cg00399483	0.39069831408899	DCC	18	49868378
cg00400028	0.414578681987487	NA	NA	0
cg00400263	0.989142626909015	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0649867925386033	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.387670409731726	TSC22D3	X	107018431
cg00405070	0.0232457917663451	ERP29;TMEM116	12	112450647
cg00405568	0.0836664848921906	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.868602523683452	RFPL3	22	32753939
cg00407150	0.74729271651864	HHATL	3	42743794
cg00410419	0.0183274809490126	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.162770138146383	STC1	8	23712355
cg00410921	0.296882314162185	NA	NA	0
cg00411097	0.304682879981524	TMEM184A	7	1596050
cg00412772	0.668744310145685	YIF1B;C19orf33	19	38794845
cg00412805	0.973767348846095	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.0895968243079885	NA	NA	0
cg00415494	0.860109487522584	NA	NA	0
cg00415978	0.0646803257915769	SYNPO2	4	119809925
cg00415993	0.781628502513998	F2RL2;IQGAP2	5	75919188
cg00417297	0.013751259816872	ZNF619	3	40518742
cg00418150	0.580890500509427	ALX4	11	44327869
cg00419564	0.0435588135726728	S100A6	1	153508860
cg00420568	0.165738668939233	SHC3	9	91794904
cg00420715	0.0480359268607089	VPS13B	8	100025364
cg00420929	0.244283394269221	PGPEP1	19	18451112
cg00422913	0.0213094729242717	C17orf91;WDR81	17	1619022
cg00424946	0.0176754036361106	SNTB2	16	69221172
cg00425710	0.941343573957632	MT1A	16	56672671
cg00425792	0.0286112920675898	PEX12	17	33905503
cg00426056	0.0178382271650128	CUTA	6	33385896
cg00426498	0.189887919863946	MYO18A	17	27507667
cg00426963	0.0234283024100652	KIF27	9	86535755
cg00427635	0.173558239535399	TBC1D21	15	74166372
cg00429618	0.109970593906988	ZNF322B	9	99962350
cg00430287	0.620542677425535	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.460547619883846	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.181198200812776	MGP	12	15039025
cg00432979	0.0416678724415668	MRP63;SKA3	13	21750473
cg00433406	0.928498280148096	VWA5B1	1	20616975
cg00434413	0.986305209949057	RENBP;NAA10	X	153201653
cg00435408	0.0373243002091153	FAM192A;RSPRY1	16	57220662
cg00436282	0.904478882897204	STATH	4	70861449
cg00436301	0.012242365058523	NT5DC1	6	116421736
cg00436603	0.504891460983847	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.00979199233772195	STOML1	15	74284481
cg00443307	0.792567401193316	KLRG1	12	9141740
cg00445824	0.0552171749090489	ISYNA1	19	18548929
cg00446235	0.113835507287022	TSTD1	1	161008644
cg00447208	0.647780063630355	TMC8;TMC6	17	76126301
cg00448720	0.911396637920751	C1QTNF9	13	24883014
cg00449941	0.0175613286857925	SPAG5	17	26926011
cg00451635	0.108534264857571	EMP2	16	10675030
cg00453193	0.0161512261214103	TES	7	115851050
cg00453258	0.823686988755068	CALHM1	10	105219172
cg00459975	0.0187502680082274	INTS9;HMBOX1	8	28749099
cg00461841	0.765578347963169	ATF7IP2	16	10523485
cg00462311	0.138591310058933	NFATC4	14	24837184
cg00462994	0.419365789245664	NAGS;PYY	17	42081955
cg00463202	0.819602051945802	ADPRHL1	13	114107710
cg00463577	0.034656720199841	C6orf150	6	74161911
cg00463848	0.78295932551604	KRT2	12	53046105
cg00464269	0.012252547706091	TNFAIP1;IFT20	17	26662842
cg00465284	0.215807354757324	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0194118907462414	NA	NA	0
cg00466249	0.149868745234917	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0138726363126404	C14orf101	14	57046243
cg00468146	0.0785862373642924	ID4	6	19838211
cg00469635	0.0108576362733927	PPME1;C2CD3	11	73882471
cg00471562	0.0181028272170609	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0435751023568324	ADAMTS1	21	28217676
cg00474004	0.799608848803294	IFNA14	9	21239944
cg00474209	0.0280354916454329	DLL1	6	170600060
cg00475955	0.0147234453551659	C9orf114	9	131592049
cg00476577	0.146337352611666	NA	NA	0
cg00476580	0.0091335545711475	ANP32E	1	150207583
cg00479269	0.0487928915955256	C2orf29	2	101869975
cg00480115	0.224296571133132	FXYD3	19	35606877
cg00480209	0.0133369472199131	SCO1;C17orf48	17	10600689
cg00480356	0.0510303011274014	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.00759692887185929	DDX41	5	176943504
cg00485296	0.00720719763269534	NME3	16	1821559
cg00485380	0.0254208664734406	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0177153137258469	SOCS1	16	11349568
cg00488300	0.962556882027197	NA	NA	0
cg00488364	0.788449090521843	IL13RA2	X	114253315
cg00488718	0.0189921463744121	MFSD8;C4orf29	4	128887044
cg00489401	0.697003785585766	FLT4	5	180075875
cg00491404	0.919032085668342	EPS8L3	1	110306591
cg00491839	0.198976299300156	PPP1R15A	19	49375640
cg00493400	0.0225817176174135	STAT1	2	191879127
cg00495415	0.0182818252632387	SP1	12	53773795
cg00495442	0.055475158282999	RALGAPB	20	37101172
cg00495491	0.820779156867327	NA	NA	0
cg00496170	0.0170007913254393	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.670480967388998	PPEF1	X	18709116
cg00497251	0.042474584563964	RNPEPL1	2	241508725
cg00498305	0.559036807908013	SLC18A2	10	119000236
cg00498604	0.186223201459399	TLL1	4	166793789
cg00499599	0.02422680326393	C21orf57;MCM3AP	21	47706392
cg00499822	0.611278457052792	CXCL12	10	44881551
cg00500400	0.0253562329589097	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0145233496956785	ZDHHC14	6	157801893
cg00503458	0.0873720718945506	KIAA0907	1	155904439
