Hybridization REF	TCGA-A8-A092-01A-11D-A00Y-05	TCGA-A8-A092-01A-11D-A00Y-05	TCGA-A8-A092-01A-11D-A00Y-05	TCGA-A8-A092-01A-11D-A00Y-05
cg00080012	0.00985719863057448	EED	11	85955689
cg00081935	0.022894925905488	TSPAN9	12	3186906
cg00081975	0.0139233578496335	ABCC3	17	48712370
cg00083720	0.0151625033428087	NA	NA	0
cg00083937	0.625407276796452	MAPK8IP2	22	51039805
cg00084687	0.0150797826685576	GATAD1	7	92076896
cg00089071	0.00898800904468618	PCGF2	17	36905809
cg00090147	0.0637119345104994	GATA4	8	11562367
cg00091693	0.292272370641217	KRT20	17	39041602
cg00093177	0.893400936074622		17	37185495
cg00094319	0.917491479449733	PABPC3	13	25670530
cg00094851	0.0948168704479169	KIF3C	2	26205706
cg00095526	0.779134971617667	CACNA1S	1	201081686
cg00095674	0.0754236424822193	PLEKHO1	1	150122654
cg00096922	0.0273636007366819	DLX5	7	96654185
cg00097536	0.0158555337865754	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0155590413675133	PNPLA6	19	7599173
cg00099550	0.0314525700613469	NA	NA	0
cg00101227	0.659213069726471	MPZ	1	161280266
cg00103783	0.0127943251467275	MPDU1	17	7487249
cg00105253	0.0662704453021628	NUDT14	14	105647194
cg00105470	0.0164460325478415	C1orf35	1	228290868
cg00107187	0.488472036287646	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0117939634082832	PGM2	4	37828500
cg00108454	0.207377782386196	C1QA	1	22963614
cg00109274	0.00950764385829533	DGKH	13	42623032
cg00112517	0.115196239840706	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.124686787162076	CABP1	12	121078090
cg00115714	0.0338041638219755	AMD1	6	111196112
cg00116234	0.038132722955161	ADAMTSL1	9	18474243
cg00116838	0.0405974688894679	RTN2;FLJ40125	19	46001746
cg00117172	0.753967470903585	RUNX3	1	25255838
cg00119079	0.0239435196225491	LAMP3	3	182880278
cg00121158	0.01468839958189	KDM4C	9	6757826
cg00121640	0.0946156908795329	ASTN2	9	120176515
cg00121904	0.0508013678394851	MAOB	X	43741826
cg00123035	0.0225036389452823	RFX5	1	151319538
cg00126034	0.0395351305444234	WNT3	17	44896162
cg00126657	0.355665918032104	SSX6	X	47967250
cg00126698	0.5895876818123	BTK	X	100640503
cg00128197	0.361911423820517	HSD17B10	X	53461455
cg00128560	0.946212750630698	TIGD7	16	3352013
cg00128654	0.0148520267608356	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0603766239727287	MKNK1	1	47070178
cg00129774	0.0195249047308512	CDK2;SILV	12	56360414
cg00131121	0.0251186125408053	POLR2J	7	102119710
cg00131557	0.933594338695469	DNAJC15	13	43596656
cg00132141	0.270690893173992	CTNNA3	10	69456307
cg00133909	0.0410434624128494	CD276	15	73977201
cg00134539	0.954889052898481	UBASH3A	21	43824071
cg00134787	0.198728804673521	MYH1	17	10419499
cg00135056	0.0694968456059715	C3orf37	3	128997295
cg00135393	0.213534207252104	NA	NA	0
cg00136105	0.0172910604043384	GNPTAB	12	102224911
cg00136405	0.121676499890352	IL21	4	123542198
cg00136477	0.754120665700237	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.583150648032586	PMEPA1	20	56286697
cg00141162	0.793924059969623	HCLS1	3	121379777
cg00141550	0.344482522149778	NA	NA	0
cg00141845	0.0738882252749036	UPRT	X	74493352
cg00143376	0.692425178564769	NMUR1	2	232394702
cg00143998	0.0186577067393749	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.0973848638395133	GNPDA1	5	141393931
cg00145348	0.278642389026238	APEX2	X	55026862
cg00146096	0.012595244820624	FANCF	11	22647309
cg00149659	0.0300180160219409	C3orf10	3	10157352
cg00149976	0.0163185686585426	MGLL	3	127541529
cg00151234	0.458643544739115	PGK1	X	77359363
cg00151607	0.0128089688838067	TRAPPC2L;GALNS	16	88923507
cg00152644	0.748145811438472	SPRR2E	1	153068236
cg00155167	0.0114616408318842	VPS13B	8	100025831
cg00155485	0.0210267575191058	MED13L	12	116714600
cg00155609	0.0143440771763176	PRDX2	19	12912527
cg00156216	0.0229819940806054	APLP2	11	129939849
cg00156744	0.0184058658356995	STK10	5	171615663
cg00158308	0.0407310749391401	OXGR1	13	97646341
cg00160914	0.0688443679766035	DDX20;C1orf183	1	112299263
cg00162401	0.0228746505791655	GSTA4	6	52859823
cg00162643	0.0257493943070693	DDX58	9	32526492
cg00164041	0.0228882381143345	NA	NA	0
cg00164898	0.0407525669367055	MAPK11	22	50709127
cg00165981	0.0424340682462351	COL4A3BP;POLK	5	74808039
cg00167504	0.01985995361281	BLVRA	7	43798622
cg00168082	0.0264530437884672	ABL1	9	133589177
cg00168785	0.0461083411384636	WDSUB1	2	160142643
cg00168942	0.408137423929303	GJD4	10	35894430
cg00169548	0.122218425026349	NA	NA	0
cg00171126	0.0221107949249865	WRB	21	40752522
cg00171161	0.0847692625871914	NUDT9	4	88343636
cg00174500	0.710143635965212	CMTM5	14	23846479
cg00174901	0.651254083844972	PALM	19	709889
cg00176210	0.627995564139499	ANK1	8	41654967
cg00176879	0.99143537271802	VPS16;PTPRA	20	2843525
cg00177013	0.0806872357238069	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0306315134106898	PNPO	17	46018875
cg00177923	0.0201248698596313	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.0927233739635266	UPF3B	X	118986947
cg00180012	0.0231179171305815	LACE1	6	108615929
cg00180631	0.604971709296102	MTM1	X	149736640
cg00182461	0.0598879010812434	NA	NA	0
cg00183782	0.768282559341663	NA	NA	0
cg00183916	0.0138137137568348	HS3ST3B1	17	14204936
cg00184884	0.0111996068507943	SFI1	22	31892343
cg00184893	0.014768692995088	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.020499455125889	LRDD	11	804954
cg00186141	0.0175464271788195	PODXL	7	131241768
cg00186701	0.421064087320458	TSPYL5	8	98290510
cg00186954	0.887929978542294	ST5;C11orf17	11	8933980
cg00187380	0.031366502429362	HOXC4;HOXC5	12	54427384
cg00187686	0.1210046472759	TCN1	11	59634218
cg00188348	0.607169874777097	NA	NA	0
cg00191052	0.761304665877683	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0167935678139803	FAM53C	5	137673669
cg00197641	0.0223662604215629	MRPL52	14	23299461
cg00199549	0.896769152654866	MCM5	22	35795374
cg00200063	0.0117693960115132	USP32	17	58469941
cg00201234	0.607513167539141	FBLN2	3	13590968
cg00202702	0.0142446861334385	C11orf70	11	101918157
cg00202711	0.817838425866355	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0200252513168371	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0248013807635243	KIAA0174	16	71929512
cg00208830	0.498204832926415	LAMC2	1	183154778
cg00208967	0.0582240260055939	OLFM2	19	10047924
cg00209066	0.881875903180962	BRD1	22	50218923
cg00209951	0.0629819013635369	DENND2C	1	115212834
cg00210842	0.034428473684871	APAF1;IKBIP	12	99039578
cg00211661	0.0265237827891585	ARAP1	11	72433619
cg00212549	0.0466892991167631	NA	NA	0
cg00213044	0.565393764197252	KRT6A	12	52886438
cg00213331	0.945120060250733	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0134317135073949	NA	NA	0
cg00214794	0.719151421457122	NA	NA	0
cg00214855	0.170527813319382	CCDC90A	6	13813947
cg00215066	0.968471645973904	MYO9B	19	17212316
cg00216361	0.0336704434286591	GAP43	3	115342527
cg00216758	0.0325625036625328	RASSF7;C11orf35	11	560589
cg00217795	0.128861823045433	DIO2	14	80677688
cg00221494	0.0723977242615876	FARP1	13	98794593
cg00223186	0.0165844692890321	ACBD6	1	180472200
cg00223950	0.0200888288885177	UBR4	1	19536222
cg00224234	0.0105237036048923	GLOD4;RNMTL1	17	685693
cg00224508	0.0221242310401707	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.775256260960341	FGD2	6	36972027
cg00228799	0.0190844352279191	ENDOG	9	131580591
cg00229387	0.153232532135016	TJAP1	6	43445942
cg00230271	0.0470212975216498	TBCK;AIMP1	4	107237183
cg00230368	0.0188270704759231	IGF2R	6	160389833
cg00230502	0.0260834463542237	CCDC60	12	119772381
cg00230685	0.508002243195159	SCML1	X	17755839
cg00231140	0.0950769957278356	ACAA2;SCARNA17	18	47339702
cg00231644	0.255683080247804	TUBB2A	6	3158512
cg00231920	0.0201513687589082	VPS16;FAM113A	20	2821308
cg00233307	0.465601785880707	MAP4K1;EIF3K	19	39109076
cg00234616	0.0826296933646375	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0336105369372157	RARA	17	38465489
cg00237010	0.102326448871825	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.958045461588923	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.054585209811702	TTC21A;GORASP1	3	39148342
cg00240312	0.020568741531536	NA	NA	0
cg00240432	0.0200587342712984	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0137245189403066	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.0139870725227358	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0232485146686251	CR2	1	207628182
cg00250430	0.294602436458561	DMRT2	9	1051579
cg00253200	0.0153115447953987	C3orf59	3	192636074
cg00256074	0.945184792388042	MYLPF	16	30386150
cg00256166	0.0259224634342343	KLHL25	15	86338428
cg00256281	0.0147677445309338	PMM1	22	41985642
cg00259755	0.0337514418396483	PWWP2B	10	134209763
cg00260778	0.19741839988112	NA	NA	0
cg00261552	0.0244286366209481	CREBL2	12	12764894
cg00261781	0.0132914120382447	MATN3	2	20212517
cg00262415	0.0222562041221313	PUSL1;ACAP3	1	1242732
cg00263723	0.014689032266842	NA	NA	0
cg00263760	0.018734927079878	VAX1	10	118897366
cg00265415	0.00905214175226144	B3GALNT2	1	235667507
cg00265490	0.0232007283838333	MTDH	8	98655845
cg00268009	0.0116571765067064	ADH5	4	100010211
cg00268338	0.0114402030526784	HECTD2;LOC100188947	10	93169495
cg00269115	0.0180552773148154	C1orf213;ZNF436	1	23695530
cg00269932	0.716651015476073	NA	NA	0
cg00273068	0.124181281007004	EMILIN3	20	39995747
cg00273124	0.482798110911606	NHP2	5	177581512
cg00274399	0.0432210365054905	FGF9	13	22245420
cg00275232	0.0220307399170171	ZNF296	19	45579541
cg00276797	0.027648275669241	SLK	10	105726614
cg00278366	0.143384368371927	RAD9B;VPS29	12	110940287
cg00279797	0.0675069475315798	AMMECR1	X	109561918
cg00280814	0.921207282598387	ZDHHC8P	22	23745389
cg00280894	0.176637128707767	NA	NA	0
cg00282347	0.031896283303953	CHD5	1	6241040
cg00282683	0.0120250706910666	UBE3C	7	156931995
cg00283535	0.929243928205356	ANXA13	8	124749564
cg00288562	0.0158580477640264	TRA2A	7	23571645
cg00290028	0.0132453211105516	RFXAP	13	37393125
cg00290506	0.0123518049292486	CNIH3	1	224804226
cg00291877	0.0430432394329311	SNRPA1	15	101835933
cg00292662	0.0138246672370079	LGALS1	22	38071168
cg00292971	0.650365602989074	FAM131B	7	143060536
cg00293409	0.0287699670922288	LRRC33	3	196366669
cg00294382	0.186466568719372	IL23A	12	56732721
cg00295206	0.0222669047936085	RAB7A	3	128444813
cg00295325	0.541725099507269	ABCB11	2	169887932
cg00296685	0.0323205926513875	NA	NA	0
cg00297584	0.0456790890621369	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.900876810141049	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0153923261729532	PPP3CA	4	102268125
cg00303548	0.0173500727929851	HS6ST3	13	96742413
cg00304278	0.0349266325703875	NA	NA	0
cg00307685	0.82753163255502	BRDT	1	92415524
cg00308133	0.0135633160552474	GAMT	19	1401118
cg00308665	0.135415979514676	HTR2A	13	47469654
cg00309056	0.0345857919137429	STARD3NL	7	38218112
cg00309204	0.024556669523076	C17orf61	17	7307432
cg00311768	0.645294365816022	TSTA3	8	144698857
cg00312919	0.0121090841170035	STARD3NL	7	38217710
cg00314943	0.910503044724763	ALPPL2	2	233270750
cg00315936	0.0622085771450769	SND1	7	127292739
cg00317680	0.0653850313650624	MTERFD1;PTDSS1	8	97274070
cg00318573	0.26902494478523	CHRNA4	20	61993118
cg00318865	0.0142599321519854	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.0101880442316249	PKMYT1	16	3030447
cg00320243	0.0133166343788246	RAB3A	19	18314691
cg00321065	0.0323793183435888	RLF	1	40627063
cg00321478	0.246492323255743	CRB1	1	197238398
cg00323915	0.461852571495505	GIMAP4	7	150264987
cg00324733	0.0161082348671588	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.101174916928948	DLAT	11	111896498
cg00327483	0.968604024646969	CASQ1	1	160160587
cg00328227	0.688167925801595	C1orf59	1	109204325
cg00331237	0.0205146614405535	CSRP2	12	77273319
cg00331433	0.0182315544706669	SYAP1	X	16737800
cg00332153	0.827163526927539	BANK1	4	102712010
cg00332745	0.0156620318867393	NOL3	16	67208247
cg00333226	0.144844246082457	VWC2	7	49813763
cg00333528	0.0706367373674889	GABRR1	6	89927485
cg00334507	0.801034169295171	PRRT2	16	29824599
cg00335286	0.747739179913673	MC2R	18	13916355
cg00336605	0.0224822879355976	NR1H2	19	50879437
cg00338702	0.0232200602073232	CHFR	12	133463694
cg00338893	0.0266827519595189	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.0801226111593343	GARNL3	9	130027020
cg00343092	0.013731159092416	TSPO	22	43547974
cg00344358	0.780919544597491	GDF11	12	56135693
cg00344372	0.885250609817739	HGFAC	4	3443625
cg00344709	0.871777470355348	POTED	21	14982225
cg00346145	0.0543063556196746	RPL34;LOC285456	4	109541559
cg00347729	0.267514990936818	MMP10	11	102651753
cg00347904	0.338746220288989	SCUBE3	6	35182508
cg00350296	0.635972016976671	CD248	11	66084841
cg00350478	0.679873237622123	FRMD1	6	168480013
cg00350702	0.0173039597089505	ERGIC3	20	34129927
cg00351011	0.0188831817344516	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.924833390419013	ZIM2	19	57306738
cg00354572	0.0268011170258467	ACSS3	12	81471419
cg00355802	0.0559998827965169	DUSP4	8	29208983
cg00359325	0.0347095653085299	USP4	3	49377419
cg00359973	0.0431178675170138	RIBC1;SMC1A	X	53449900
cg00363813	0.798566077606125	IFFO1	12	6664872
cg00364344	0.0163689496204596	NA	NA	0
cg00364814	0.914533456230711	R3HDM2	12	57691455
cg00365193	0.30331180262324	NA	NA	0
cg00367281	0.493588014983865	CHRNB3	8	42552470
cg00367438	0.0359452267085252	TMUB1	7	150780797
cg00368022	0.0214154719022301	C5orf22;RNASEN	5	31532653
cg00368415	0.0118453968520557	SNX27	1	151584398
cg00371195	0.965779289351002	F2	11	46740481
cg00374717	0.947336774749005	ARSG	17	66303145
cg00375964	0.0278404137225761	ABCE1;ANAPC10	4	146019130
cg00376639	0.0673498599899544	ZNF581	19	56155151
cg00380464	0.0194354334564168	LTV1	6	144164650
cg00381076	0.0236369029353186	C18orf54	18	51884797
cg00382515	0.0150446313877084	MRPL44	2	224822229
cg00382991	0.0322699304202155	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.112276536350639	TGFBI	5	135364970
cg00387170	0.0315376328072633	FOXP4	6	41514002
cg00392257	0.216845547948646	ISG20L2	1	156696747
cg00393585	0.0360512408627549	C4orf39;TRIM61	4	165878091
cg00394658	0.184429433053946	PTPRJ	11	48001669
cg00396163	0.0315934979594891	DNAH6	2	84743584
cg00396894	0.772075345402477	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0180991526528273	PPOX	1	161136321
cg00398048	0.0540711549053212	AGA	4	178364342
cg00399483	0.0326776874803924	DCC	18	49868378
cg00400028	0.278643317410796	NA	NA	0
cg00400263	0.988900364845451	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0302756681749037	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.448707868033193	TSC22D3	X	107018431
cg00405070	0.022976292219401	ERP29;TMEM116	12	112450647
cg00405568	0.0197168358370442	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.487528947460845	RFPL3	22	32753939
cg00407150	0.525357467999427	HHATL	3	42743794
cg00410419	0.0194382883053067	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.176832379300801	STC1	8	23712355
cg00410921	0.178255050567736	NA	NA	0
cg00411097	0.199959096680588	TMEM184A	7	1596050
cg00412772	0.564565961371905	YIF1B;C19orf33	19	38794845
cg00412805	0.979056212671327	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.043787165181258	NA	NA	0
cg00415494	0.582759439683378	NA	NA	0
cg00415978	0.0983575682445459	SYNPO2	4	119809925
cg00415993	0.545820914107427	F2RL2;IQGAP2	5	75919188
cg00417297	0.0171817527092989	ZNF619	3	40518742
cg00418150	0.276250403132963	ALX4	11	44327869
cg00419564	0.0180850774733763	S100A6	1	153508860
cg00420568	0.043351759825014	SHC3	9	91794904
cg00420715	0.009865965251171	VPS13B	8	100025364
cg00420929	0.167400024501652	PGPEP1	19	18451112
cg00422913	0.0247788452302322	C17orf91;WDR81	17	1619022
cg00424946	0.0201330668438593	SNTB2	16	69221172
cg00425710	0.909951244000043	MT1A	16	56672671
cg00425792	0.0386800655472061	PEX12	17	33905503
cg00426056	0.017089267927479	CUTA	6	33385896
cg00426498	0.200280833933814	MYO18A	17	27507667
cg00426963	0.0192107804973355	KIF27	9	86535755
cg00427635	0.0958600444329437	TBC1D21	15	74166372
cg00429618	0.066068136593338	ZNF322B	9	99962350
cg00430287	0.190976207849971	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.489653626820611	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.0849489919228548	MGP	12	15039025
cg00432979	0.0287646083987858	MRP63;SKA3	13	21750473
cg00433406	0.963432047173905	VWA5B1	1	20616975
cg00434413	0.909779019284779	RENBP;NAA10	X	153201653
cg00435408	0.046335123280021	FAM192A;RSPRY1	16	57220662
cg00436282	0.920402867310194	STATH	4	70861449
cg00436301	0.0209446158644799	NT5DC1	6	116421736
cg00436603	0.23379825091631	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.011705522142583	STOML1	15	74284481
cg00443307	0.775261817100642	KLRG1	12	9141740
cg00445824	0.0602383383255876	ISYNA1	19	18548929
cg00446235	0.0268170069321835	TSTD1	1	161008644
cg00447208	0.753610724365558	TMC8;TMC6	17	76126301
cg00448720	0.442167616313478	C1QTNF9	13	24883014
cg00449941	0.021616548161088	SPAG5	17	26926011
cg00451635	0.179526444840493	EMP2	16	10675030
cg00453193	0.0278839278880232	TES	7	115851050
cg00453258	0.777737823442873	CALHM1	10	105219172
cg00459975	0.0121840381047763	INTS9;HMBOX1	8	28749099
cg00461841	0.616298850414526	ATF7IP2	16	10523485
cg00462311	0.0405736269671341	NFATC4	14	24837184
cg00462994	0.660147185049625	NAGS;PYY	17	42081955
cg00463202	0.833985085908467	ADPRHL1	13	114107710
cg00463577	0.0157122478471793	C6orf150	6	74161911
cg00463848	0.825388599603727	KRT2	12	53046105
cg00464269	0.0164916252180487	TNFAIP1;IFT20	17	26662842
cg00465284	0.541500964621958	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0113384874586887	NA	NA	0
cg00466249	0.0918655202001284	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0138546799086823	C14orf101	14	57046243
cg00468146	0.0414560668160312	ID4	6	19838211
cg00469635	0.00999038366752926	PPME1;C2CD3	11	73882471
cg00471562	0.0186505994426311	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0117701817696742	ADAMTS1	21	28217676
cg00474004	0.755185574328317	IFNA14	9	21239944
cg00474209	0.0331447513207777	DLL1	6	170600060
cg00475955	0.0138729299935292	C9orf114	9	131592049
cg00476577	0.033099217067781	NA	NA	0
cg00476580	0.00936311538055362	ANP32E	1	150207583
cg00479269	0.0489042982345427	C2orf29	2	101869975
cg00480115	0.132837382158241	FXYD3	19	35606877
cg00480209	0.013719856800088	SCO1;C17orf48	17	10600689
cg00480356	0.082450757170877	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0175812900076527	DDX41	5	176943504
cg00485296	0.00816198839920531	NME3	16	1821559
cg00485380	0.0214581066481092	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.014957587245942	SOCS1	16	11349568
cg00488300	0.874828103124635	NA	NA	0
cg00488364	0.346773323865545	IL13RA2	X	114253315
cg00488718	0.020384555911107	MFSD8;C4orf29	4	128887044
cg00489401	0.856457823675072	FLT4	5	180075875
cg00491404	0.904008734087322	EPS8L3	1	110306591
cg00491839	0.0460968700741853	PPP1R15A	19	49375640
cg00493400	0.0172836176779101	STAT1	2	191879127
cg00495415	0.0186633846259245	SP1	12	53773795
cg00495442	0.0256931659136959	RALGAPB	20	37101172
cg00495491	0.735155430417131	NA	NA	0
cg00496170	0.0134431431873955	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.596828149344682	PPEF1	X	18709116
cg00497251	0.0374591963810679	RNPEPL1	2	241508725
cg00498305	0.689752906668671	SLC18A2	10	119000236
cg00498604	0.0697519999229284	TLL1	4	166793789
cg00499599	0.0176579901141975	C21orf57;MCM3AP	21	47706392
cg00499822	0.781541567321168	CXCL12	10	44881551
cg00500400	0.0213835508074971	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.017531203815355	ZDHHC14	6	157801893
