Hybridization REF	TCGA-A2-A0CU-01A-12D-A032-05	TCGA-A2-A0CU-01A-12D-A032-05	TCGA-A2-A0CU-01A-12D-A032-05	TCGA-A2-A0CU-01A-12D-A032-05
cg00040873	0.143714943086948	NDUFB10	16	2009157
cg00041575	0.449818250914346	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.342124362702183	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0373335606728857	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0398561260540008	CUL5	11	107879431
cg00047469	0.0162147453286327	POLE3;C9orf43	9	116172568
cg00049986	0.21712849576779	NA	NA	0
cg00050312	0.0177164539141616	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0489689966028823	C10orf4	10	95462161
cg00053292	0.0218736167225338	TACO1	17	61678300
cg00053647	0.0884699256709842	C7orf28B	7	6866072
cg00054706	0.0164174147592726	C1D	2	68289972
cg00055233	0.312029753280769	RLN1	9	5339677
cg00056767	0.0246278125023408	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.226388177352231	GLRA1	5	151304357
cg00059424	0.0253835400646732	PES1	22	30988148
cg00059740	0.0153255292584911	C7orf49	7	134855689
cg00059930	0.898115578865521	RB1	13	48894382
cg00060762	0.025274023671751	LEO1	15	52264133
cg00060882	0.0795097658089519	EIF2S3	X	24072811
cg00061059	0.0321871211064739	TECR	19	14640983
cg00061629	0.734931076872695	ALX4	11	44325258
cg00062776	0.990356965912145	TULP2	19	49402424
cg00063144	0.927717350885309	KRT31	17	39554055
cg00065385	0.970818782824264	ACTL7A	9	111623395
cg00065408	0.0329424979134976	CACNB3	12	49212475
cg00066153	0.806793781813045	ACRV1	11	125550744
cg00066816	0.230846905211003	IL12B	5	158758353
cg00067471	0.0399499567508775	ATP5D	19	1241377
cg00069261	0.0240592514007167	CDR2	16	22386531
cg00071250	0.652359982099254	FASLG	1	172628263
cg00071998	0.039837985421219	MSH5	6	31708121
cg00072216	0.0149567386309148	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.755900251686433	STRA6	15	74495354
cg00076645	0.0187877319271326	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.588354069719418	ASAP1	8	131414474
cg00078194	0.0195783727307287	MDK	11	46402949
cg00078867	0.528934014961192	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0290499565245957	ARFGAP3	22	43253521
cg00080012	0.0160736643118358	EED	11	85955689
cg00081935	0.0236715647922689	TSPAN9	12	3186906
cg00081975	0.0379653976449975	ABCC3	17	48712370
cg00083720	0.014587306024065	NA	NA	0
cg00083937	0.388762283867476	MAPK8IP2	22	51039805
cg00084687	0.0153281767963779	GATAD1	7	92076896
cg00089071	0.0103617042857708	PCGF2	17	36905809
cg00090147	0.235751086222328	GATA4	8	11562367
cg00091693	0.843518643469676	KRT20	17	39041602
cg00093177	0.928563907742097		17	37185495
cg00094319	0.869757525100779	PABPC3	13	25670530
cg00094851	0.100228792736937	KIF3C	2	26205706
cg00095526	0.801074673741971	CACNA1S	1	201081686
cg00095674	0.143664808944105	PLEKHO1	1	150122654
cg00096922	0.0403320328042357	DLX5	7	96654185
cg00097536	0.0149598060560078	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0146601587589041	PNPLA6	19	7599173
cg00099550	0.0407142842107684	NA	NA	0
cg00101227	0.599954361302256	MPZ	1	161280266
cg00103783	0.0130176182960055	MPDU1	17	7487249
cg00105253	0.0445741617857081	NUDT14	14	105647194
cg00105470	0.0227949989560307	C1orf35	1	228290868
cg00107187	0.224079760781846	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0137144035207267	PGM2	4	37828500
cg00108454	0.287527711774642	C1QA	1	22963614
cg00109274	0.0473500549829573	DGKH	13	42623032
cg00112517	0.430461156211081	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.0764086389096824	CABP1	12	121078090
cg00115714	0.0269878295085497	AMD1	6	111196112
cg00116234	0.0392297271635668	ADAMTSL1	9	18474243
cg00116838	0.0476091934008633	RTN2;FLJ40125	19	46001746
cg00117172	0.419415140150804	RUNX3	1	25255838
cg00119079	0.0236711705723304	LAMP3	3	182880278
cg00121158	0.018135138790364	KDM4C	9	6757826
cg00121640	0.106867416862389	ASTN2	9	120176515
cg00121904	0.12241635456774	MAOB	X	43741826
cg00123035	0.0343962895232251	RFX5	1	151319538
cg00126034	0.0440405045029879	WNT3	17	44896162
cg00126657	0.299053382502657	SSX6	X	47967250
cg00126698	0.565548191072895	BTK	X	100640503
cg00128197	0.417167048042705	HSD17B10	X	53461455
cg00128560	0.93521457294286	TIGD7	16	3352013
cg00128654	0.018582574846924	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0568758958150208	MKNK1	1	47070178
cg00129774	0.0197732168567243	CDK2;SILV	12	56360414
cg00131121	0.0394256005966504	POLR2J	7	102119710
cg00131557	0.936983724264817	DNAJC15	13	43596656
cg00132141	0.550686616081702	CTNNA3	10	69456307
cg00133909	0.0714261883410778	CD276	15	73977201
cg00134539	0.922779490883483	UBASH3A	21	43824071
cg00134787	0.4788135696886	MYH1	17	10419499
cg00135056	0.0649726980962029	C3orf37	3	128997295
cg00135393	0.121481517188455	NA	NA	0
cg00136105	0.0127863214597358	GNPTAB	12	102224911
cg00136405	0.100660212517218	IL21	4	123542198
cg00136477	0.734102281681552	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.817073014831077	PMEPA1	20	56286697
cg00141162	0.693326247825734	HCLS1	3	121379777
cg00141550	0.585576107226403	NA	NA	0
cg00141845	0.0698744858156031	UPRT	X	74493352
cg00143376	0.478128263522741	NMUR1	2	232394702
cg00143998	0.181687700827562	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.434067409385502	GNPDA1	5	141393931
cg00145348	0.439710603857401	APEX2	X	55026862
cg00146096	0.013960605761708	FANCF	11	22647309
cg00149659	0.0212787241011924	C3orf10	3	10157352
cg00149976	0.0160103699327959	MGLL	3	127541529
cg00151234	0.396143982795922	PGK1	X	77359363
cg00151607	0.0173172840875432	TRAPPC2L;GALNS	16	88923507
cg00152644	0.69795543381515	SPRR2E	1	153068236
cg00155167	0.0173415120479916	VPS13B	8	100025831
cg00155485	0.0312416241935316	MED13L	12	116714600
cg00155609	0.017786218911874	PRDX2	19	12912527
cg00156216	0.0183378812886898	APLP2	11	129939849
cg00156744	0.0295901953178799	STK10	5	171615663
cg00158308	0.157616319507726	OXGR1	13	97646341
cg00160914	0.0697631113301307	DDX20;C1orf183	1	112299263
cg00162401	0.020579082327042	GSTA4	6	52859823
cg00162643	0.0239584737400573	DDX58	9	32526492
cg00164041	0.0291428549076598	NA	NA	0
cg00164898	0.0256222843141487	MAPK11	22	50709127
cg00165981	0.0296008787623892	COL4A3BP;POLK	5	74808039
cg00167504	0.015570168548133	BLVRA	7	43798622
cg00168082	0.0362439336319778	ABL1	9	133589177
cg00168785	0.0389187951071457	WDSUB1	2	160142643
cg00168942	0.536781614608523	GJD4	10	35894430
cg00169548	0.218928993340856	NA	NA	0
cg00171126	0.0238832907270101	WRB	21	40752522
cg00171161	0.0539235900072478	NUDT9	4	88343636
cg00174500	0.652000519888527	CMTM5	14	23846479
cg00174901	0.475337372708974	PALM	19	709889
cg00176210	0.873310901543531	ANK1	8	41654967
cg00176879	0.989567629884157	VPS16;PTPRA	20	2843525
cg00177013	0.0994270878807045	ARFRP1;ZGPAT	20	62339100
cg00177698	0.044518636366236	PNPO	17	46018875
cg00177923	0.0196464092650483	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.146375052401531	UPF3B	X	118986947
cg00180012	0.0216325660967428	LACE1	6	108615929
cg00180631	0.529249720064614	MTM1	X	149736640
cg00182461	0.0527505370814198	NA	NA	0
cg00183782	0.88993530849791	NA	NA	0
cg00183916	0.0510556991494167	HS3ST3B1	17	14204936
cg00184884	0.0123548769703831	SFI1	22	31892343
cg00184893	0.013574384252629	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0285521590294068	LRDD	11	804954
cg00186141	0.0151104445232336	PODXL	7	131241768
cg00186701	0.0905462109870846	TSPYL5	8	98290510
cg00186954	0.844584335228176	ST5;C11orf17	11	8933980
cg00187380	0.039799692358813	HOXC4;HOXC5	12	54427384
cg00187686	0.32226983173734	TCN1	11	59634218
cg00188348	0.628320570337921	NA	NA	0
cg00191052	0.706065620228099	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0222249060032764	FAM53C	5	137673669
cg00197641	0.0227420296211875	MRPL52	14	23299461
cg00199549	0.978659501551723	MCM5	22	35795374
cg00200063	0.0184734287641407	USP32	17	58469941
cg00201234	0.528537047183164	FBLN2	3	13590968
cg00202702	0.0167353513496313	C11orf70	11	101918157
cg00202711	0.120495191962266	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0271521346814091	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0238754590136962	KIAA0174	16	71929512
cg00208830	0.662485936342352	LAMC2	1	183154778
cg00208967	0.366119629944839	OLFM2	19	10047924
cg00209066	0.888478779771335	BRD1	22	50218923
cg00209951	0.0463058479966918	DENND2C	1	115212834
cg00210842	0.0628620730177171	APAF1;IKBIP	12	99039578
cg00211661	0.0204224722889117	ARAP1	11	72433619
cg00212549	0.136469374346102	NA	NA	0
cg00213044	0.626916072253895	KRT6A	12	52886438
cg00213331	0.948091145380638	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0131557535702232	NA	NA	0
cg00214794	0.777323922308454	NA	NA	0
cg00214855	0.222104068282145	CCDC90A	6	13813947
cg00215066	0.972606198408358	MYO9B	19	17212316
cg00216361	0.0291220956873531	GAP43	3	115342527
cg00216758	0.0388554640340815	RASSF7;C11orf35	11	560589
cg00217795	0.3905660700889	DIO2	14	80677688
cg00221494	0.275693338895601	FARP1	13	98794593
cg00223186	0.022414439157679	ACBD6	1	180472200
cg00223950	0.0253277747106435	UBR4	1	19536222
cg00224234	0.0224673519723615	GLOD4;RNMTL1	17	685693
cg00224508	0.0200602290702926	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.878825346889502	FGD2	6	36972027
cg00228799	0.0191916922115939	ENDOG	9	131580591
cg00229387	0.128323003098283	TJAP1	6	43445942
cg00230271	0.0360866355558629	TBCK;AIMP1	4	107237183
cg00230368	0.0196548388224004	IGF2R	6	160389833
cg00230502	0.0470618489560447	CCDC60	12	119772381
cg00230685	0.59048788283588	SCML1	X	17755839
cg00231140	0.0178785669102306	ACAA2;SCARNA17	18	47339702
cg00231644	0.263499982569017	TUBB2A	6	3158512
cg00231920	0.0207444868571903	VPS16;FAM113A	20	2821308
cg00233307	0.620712515235749	MAP4K1;EIF3K	19	39109076
cg00234616	0.271158351022888	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0423139379662242	RARA	17	38465489
cg00237010	0.175363226989549	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.953220729393306	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0368763162682486	TTC21A;GORASP1	3	39148342
cg00240312	0.0245380660413087	NA	NA	0
cg00240432	0.0211341179622176	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0131138255228518	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.014433080632981	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0216096747429761	CR2	1	207628182
cg00250430	0.560069156248843	DMRT2	9	1051579
cg00253200	0.0134939082177597	C3orf59	3	192636074
cg00256074	0.861062666450595	MYLPF	16	30386150
cg00256166	0.0264625438158328	KLHL25	15	86338428
cg00256281	0.013173680985897	PMM1	22	41985642
cg00259755	0.0520117505737324	PWWP2B	10	134209763
cg00260778	0.554878580308313	NA	NA	0
cg00261552	0.0267750190095094	CREBL2	12	12764894
cg00261781	0.0126652320884979	MATN3	2	20212517
cg00262415	0.0194382268804199	PUSL1;ACAP3	1	1242732
cg00263723	0.0251340948959048	NA	NA	0
cg00263760	0.165933037664766	VAX1	10	118897366
cg00265415	0.0106872955532774	B3GALNT2	1	235667507
cg00265490	0.0368282780590397	MTDH	8	98655845
cg00268009	0.0113561395871741	ADH5	4	100010211
cg00268338	0.0164373021033442	HECTD2;LOC100188947	10	93169495
cg00269115	0.0158440732296452	C1orf213;ZNF436	1	23695530
cg00269932	0.703776003451728	NA	NA	0
cg00273068	0.173065488305296	EMILIN3	20	39995747
cg00273124	0.55528068955433	NHP2	5	177581512
cg00274399	0.0386811516671737	FGF9	13	22245420
cg00275232	0.0251045199774289	ZNF296	19	45579541
cg00276797	0.0305675381565505	SLK	10	105726614
cg00278366	0.654405996047386	RAD9B;VPS29	12	110940287
cg00279797	0.187699885257541	AMMECR1	X	109561918
cg00280814	0.869513800900373	ZDHHC8P	22	23745389
cg00280894	0.316756419210905	NA	NA	0
cg00282347	0.538859454583844	CHD5	1	6241040
cg00282683	0.031797460044576	UBE3C	7	156931995
cg00283535	0.92510770682583	ANXA13	8	124749564
cg00288562	0.0315722159696893	TRA2A	7	23571645
cg00290028	0.0134158095363923	RFXAP	13	37393125
cg00290506	0.0147491940880077	CNIH3	1	224804226
cg00291877	0.0269892358199097	SNRPA1	15	101835933
cg00292662	0.0190181729020897	LGALS1	22	38071168
cg00292971	0.905175334257511	FAM131B	7	143060536
cg00293409	0.0284988119858174	LRRC33	3	196366669
cg00294382	0.676859021130149	IL23A	12	56732721
cg00295206	0.0187813768608119	RAB7A	3	128444813
cg00295325	0.793969326773636	ABCB11	2	169887932
cg00296685	0.0240333195125839	NA	NA	0
cg00297584	0.281523509030508	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.827262131975084	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0262328710388049	PPP3CA	4	102268125
cg00303548	0.0216698376795878	HS6ST3	13	96742413
cg00304278	0.0541730610961118	NA	NA	0
cg00307685	0.90221549157297	BRDT	1	92415524
cg00308133	0.0129985188929829	GAMT	19	1401118
cg00308665	0.267218080119214	HTR2A	13	47469654
cg00309056	0.0200742992918587	STARD3NL	7	38218112
cg00309204	0.0253763295972943	C17orf61	17	7307432
cg00311768	0.248711218905518	TSTA3	8	144698857
cg00312919	0.0152616230181908	STARD3NL	7	38217710
cg00314943	0.92245872517028	ALPPL2	2	233270750
cg00315936	0.0545129162366344	SND1	7	127292739
cg00317680	0.119679897018834	MTERFD1;PTDSS1	8	97274070
cg00318573	0.215703429981595	CHRNA4	20	61993118
cg00318865	0.0162813196064876	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.0385664062148927	PKMYT1	16	3030447
cg00320243	0.0146051605245537	RAB3A	19	18314691
cg00321065	0.0198260186712555	RLF	1	40627063
cg00321478	0.720728943160165	CRB1	1	197238398
cg00323915	0.285201761825709	GIMAP4	7	150264987
cg00324733	0.0159863245439998	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.107798282449899	DLAT	11	111896498
cg00327483	0.963169413313435	CASQ1	1	160160587
cg00328227	0.432248309841283	C1orf59	1	109204325
cg00331237	0.0398213534898245	CSRP2	12	77273319
cg00331433	0.0189979568019431	SYAP1	X	16737800
cg00332153	0.792009710063092	BANK1	4	102712010
cg00332745	0.0173095981917353	NOL3	16	67208247
cg00333226	0.627677709096163	VWC2	7	49813763
cg00333528	0.5600982440597	GABRR1	6	89927485
cg00334507	0.522769972833615	PRRT2	16	29824599
cg00335286	0.676199316404078	MC2R	18	13916355
cg00336605	0.118949297980136	NR1H2	19	50879437
cg00338702	0.0334234857691935	CHFR	12	133463694
cg00338893	0.0249441556663392	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.266974644942892	GARNL3	9	130027020
cg00343092	0.013372805000965	TSPO	22	43547974
cg00344358	0.918260006741772	GDF11	12	56135693
cg00344372	0.881736508680255	HGFAC	4	3443625
cg00344709	0.648051855515139	POTED	21	14982225
cg00346145	0.0324321541738691	RPL34;LOC285456	4	109541559
cg00347729	0.509785795367545	MMP10	11	102651753
cg00347904	0.493391439936061	SCUBE3	6	35182508
cg00350296	0.627505187309717	CD248	11	66084841
cg00350478	0.634728540948603	FRMD1	6	168480013
cg00350702	0.0204360638936805	ERGIC3	20	34129927
cg00351011	0.0201568292193115	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.896063445750132	ZIM2	19	57306738
cg00354572	0.0267861793416065	ACSS3	12	81471419
cg00355802	0.032957055450051	DUSP4	8	29208983
cg00359325	0.0433896410006464	USP4	3	49377419
cg00359973	0.350650706198444	RIBC1;SMC1A	X	53449900
cg00363813	0.700532529653575	IFFO1	12	6664872
cg00364344	0.014746489719607	NA	NA	0
cg00364814	0.862849251966694	R3HDM2	12	57691455
cg00365193	0.301948227012536	NA	NA	0
cg00367281	0.512043403559384	CHRNB3	8	42552470
cg00367438	0.0342512522666097	TMUB1	7	150780797
cg00368022	0.0171288063280435	C5orf22;RNASEN	5	31532653
cg00368415	0.0113735745024348	SNX27	1	151584398
cg00371195	0.968755160818929	F2	11	46740481
cg00374717	0.95024860381643	ARSG	17	66303145
cg00375964	0.0203517943831131	ABCE1;ANAPC10	4	146019130
cg00376639	0.0703659571864605	ZNF581	19	56155151
cg00380464	0.0201627890742237	LTV1	6	144164650
cg00381076	0.0202957325800086	C18orf54	18	51884797
cg00382515	0.0147926180572314	MRPL44	2	224822229
cg00382991	0.0377156798383578	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.559195088521888	TGFBI	5	135364970
cg00387170	0.033846544043755	FOXP4	6	41514002
cg00392257	0.278930184149191	ISG20L2	1	156696747
cg00393585	0.031463870548518	C4orf39;TRIM61	4	165878091
cg00394658	0.250916601922108	PTPRJ	11	48001669
cg00396163	0.0191700028194025	DNAH6	2	84743584
cg00396894	0.716690969118802	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0305647202782967	PPOX	1	161136321
cg00398048	0.12332312539273	AGA	4	178364342
cg00399483	0.117156020057587	DCC	18	49868378
cg00400028	0.0886366992311497	NA	NA	0
cg00400263	0.988177246684823	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.019990081136615	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.456608985258108	TSC22D3	X	107018431
cg00405070	0.0172211116398585	ERP29;TMEM116	12	112450647
cg00405568	0.0227103694340021	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.797318020905715	RFPL3	22	32753939
cg00407150	0.719566033178768	HHATL	3	42743794
cg00410419	0.0184207146736025	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.112086792594166	STC1	8	23712355
cg00410921	0.168186369619067	NA	NA	0
cg00411097	0.337353124493445	TMEM184A	7	1596050
cg00412772	0.499168223317278	YIF1B;C19orf33	19	38794845
cg00412805	0.976433104258239	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.286223696662671	NA	NA	0
cg00415494	0.872708508537241	NA	NA	0
cg00415978	0.109449425733182	SYNPO2	4	119809925
cg00415993	0.569447329928288	F2RL2;IQGAP2	5	75919188
cg00417297	0.015981400595187	ZNF619	3	40518742
cg00418150	0.648786464649927	ALX4	11	44327869
cg00419564	0.0198260460357793	S100A6	1	153508860
cg00420568	0.0412248330238974	SHC3	9	91794904
cg00420715	0.0166727124644637	VPS13B	8	100025364
cg00420929	0.428759698584019	PGPEP1	19	18451112
cg00422913	0.0221546345207268	C17orf91;WDR81	17	1619022
cg00424946	0.0185187542399914	SNTB2	16	69221172
cg00425710	0.764698881807382	MT1A	16	56672671
cg00425792	0.0396767216110392	PEX12	17	33905503
cg00426056	0.0169679000505467	CUTA	6	33385896
cg00426498	0.328233541900968	MYO18A	17	27507667
cg00426963	0.0183017410556122	KIF27	9	86535755
cg00427635	0.0924501781596552	TBC1D21	15	74166372
cg00429618	0.125555499891966	ZNF322B	9	99962350
cg00430287	0.511745012324019	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.340249356568116	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.0838984586991862	MGP	12	15039025
cg00432979	0.0220685676141642	MRP63;SKA3	13	21750473
cg00433406	0.931091005013254	VWA5B1	1	20616975
cg00434413	0.970329373449091	RENBP;NAA10	X	153201653
cg00435408	0.0383444508042533	FAM192A;RSPRY1	16	57220662
cg00436282	0.874248380282992	STATH	4	70861449
cg00436301	0.0182614737319763	NT5DC1	6	116421736
cg00436603	0.455510130991998	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.0172974781130337	STOML1	15	74284481
cg00443307	0.888332236217142	KLRG1	12	9141740
cg00445824	0.164945570741638	ISYNA1	19	18548929
cg00446235	0.153934623722031	TSTD1	1	161008644
cg00447208	0.692566476214059	TMC8;TMC6	17	76126301
cg00448720	0.746184826893993	C1QTNF9	13	24883014
cg00449941	0.0179602176839403	SPAG5	17	26926011
cg00451635	0.143706914128175	EMP2	16	10675030
cg00453193	0.0290713462529588	TES	7	115851050
cg00453258	0.795076098942676	CALHM1	10	105219172
cg00459975	0.017388152124579	INTS9;HMBOX1	8	28749099
cg00461841	0.750720357451851	ATF7IP2	16	10523485
cg00462311	0.0710345660477485	NFATC4	14	24837184
cg00462994	0.317082841962669	NAGS;PYY	17	42081955
cg00463202	0.831637161242517	ADPRHL1	13	114107710
cg00463577	0.0206936153107053	C6orf150	6	74161911
cg00463848	0.907462457405461	KRT2	12	53046105
cg00464269	0.0140136195008439	TNFAIP1;IFT20	17	26662842
cg00465284	0.218302519650236	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0121744246842823	NA	NA	0
cg00466249	0.866639501267048	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0163918110364866	C14orf101	14	57046243
cg00468146	0.101623371946402	ID4	6	19838211
cg00469635	0.0203770279768251	PPME1;C2CD3	11	73882471
cg00471562	0.025305640038153	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0238743364686112	ADAMTS1	21	28217676
cg00474004	0.705063192807213	IFNA14	9	21239944
cg00474209	0.0720532460247645	DLL1	6	170600060
cg00475955	0.0130269420417198	C9orf114	9	131592049
cg00476577	0.0360218863578559	NA	NA	0
cg00476580	0.0142860364196835	ANP32E	1	150207583
cg00479269	0.0290647689543059	C2orf29	2	101869975
cg00480115	0.336105627720729	FXYD3	19	35606877
cg00480209	0.0153673468976015	SCO1;C17orf48	17	10600689
cg00480356	0.087184965504096	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.016845543673415	DDX41	5	176943504
cg00485296	0.00843718510373228	NME3	16	1821559
cg00485380	0.0163742468899766	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0237263472275867	SOCS1	16	11349568
cg00488300	0.9304893907525	NA	NA	0
cg00488364	0.898430206159354	IL13RA2	X	114253315
cg00488718	0.0167524120972535	MFSD8;C4orf29	4	128887044
cg00489401	0.787183992436131	FLT4	5	180075875
cg00491404	0.816411253316187	EPS8L3	1	110306591
cg00491839	0.0612633224627532	PPP1R15A	19	49375640
cg00493400	0.0193392811865074	STAT1	2	191879127
cg00495415	0.0185154507931593	SP1	12	53773795
cg00495442	0.0213657796570748	RALGAPB	20	37101172
cg00495491	0.728253388485872	NA	NA	0
cg00496170	0.0157631235490602	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.378734630893663	PPEF1	X	18709116
cg00497251	0.0438903833581361	RNPEPL1	2	241508725
cg00498305	0.254856348409844	SLC18A2	10	119000236
cg00498604	0.0873686587638053	TLL1	4	166793789
cg00499599	0.0169556494228238	C21orf57;MCM3AP	21	47706392
cg00499822	0.788408545481259	CXCL12	10	44881551
cg00500400	0.0319901075542942	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0157070851846614	ZDHHC14	6	157801893
cg00503458	0.0456708472501648	KIAA0907	1	155904439
