Hybridization REF	TCGA-E2-A14W-01A-11D-A12E-05	TCGA-E2-A14W-01A-11D-A12E-05	TCGA-E2-A14W-01A-11D-A12E-05	TCGA-E2-A14W-01A-11D-A12E-05
cg00183916	0.012629671772196	HS3ST3B1	17	14204936
cg00184884	0.00865463094709936	SFI1	22	31892343
cg00184893	0.0161391529597295	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0134454133598131	LRDD	11	804954
cg00186141	0.0145191058944862	PODXL	7	131241768
cg00186701	0.0379333426950012	TSPYL5	8	98290510
cg00186954	0.803159159301332	ST5;C11orf17	11	8933980
cg00187380	0.0228953188951981	HOXC4;HOXC5	12	54427384
cg00187686	0.105984726770862	TCN1	11	59634218
cg00188348	0.559818578968422	NA	NA	0
cg00191052	0.723926507469671	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.031843628372121	FAM53C	5	137673669
cg00197641	0.0728548813876324	MRPL52	14	23299461
cg00199549	0.978632292628537	MCM5	22	35795374
cg00200063	0.0118764549435112	USP32	17	58469941
cg00201234	0.419670721590518	FBLN2	3	13590968
cg00202702	0.0108848727774415	C11orf70	11	101918157
cg00202711	0.722145473729542	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0277130057118639	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0249625766534321	KIAA0174	16	71929512
cg00208830	0.298146086156153	LAMC2	1	183154778
cg00208967	0.0551729444410605	OLFM2	19	10047924
cg00209066	0.932312880146243	BRD1	22	50218923
cg00209951	0.0827161737062201	DENND2C	1	115212834
cg00210842	0.0179655832810802	APAF1;IKBIP	12	99039578
cg00211661	0.0134969138744147	ARAP1	11	72433619
cg00212549	0.0570910725042266	NA	NA	0
cg00213044	0.637615478732823	KRT6A	12	52886438
cg00213331	0.919426181120214	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0102425925213821	NA	NA	0
cg00214794	0.61493343327466	NA	NA	0
cg00214855	0.132101573287526	CCDC90A	6	13813947
cg00215066	0.919079706909443	MYO9B	19	17212316
cg00216361	0.0194564242184093	GAP43	3	115342527
cg00216758	0.0335582179602926	RASSF7;C11orf35	11	560589
cg00217795	0.159113242295982	DIO2	14	80677688
cg00221494	0.0667204252668178	FARP1	13	98794593
cg00223186	0.0139596862410125	ACBD6	1	180472200
cg00223950	0.0287211840391331	UBR4	1	19536222
cg00224234	0.0174575705972794	GLOD4;RNMTL1	17	685693
cg00224508	0.0151838970289878	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.739235778377642	FGD2	6	36972027
cg00228799	0.0166684686810906	ENDOG	9	131580591
cg00229387	0.0535029865112298	TJAP1	6	43445942
cg00230271	0.0256600006829261	TBCK;AIMP1	4	107237183
cg00230368	0.0222531137535388	IGF2R	6	160389833
cg00230502	0.0434669620657146	CCDC60	12	119772381
cg00230685	0.107465318890303	SCML1	X	17755839
cg00231140	0.0553985827941752	ACAA2;SCARNA17	18	47339702
cg00231644	0.567574014004172	TUBB2A	6	3158512
cg00231920	0.0202688330096389	VPS16;FAM113A	20	2821308
cg00233307	0.118007598922698	MAP4K1;EIF3K	19	39109076
cg00234616	0.0490333438778166	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.033254865747792	RARA	17	38465489
cg00237010	0.117592472532141	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.941079196895168	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0331839059757897	TTC21A;GORASP1	3	39148342
cg00240312	0.0167384427025069	NA	NA	0
cg00240432	0.0215885430200978	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0185386913716187	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.0202605624112394	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.01167968350089	CR2	1	207628182
cg00250430	0.665412621275257	DMRT2	9	1051579
cg00253200	0.0155151620105033	C3orf59	3	192636074
cg00256074	0.899227752439986	MYLPF	16	30386150
cg00256166	0.0325416674883615	KLHL25	15	86338428
cg00256281	0.0143166731985825	PMM1	22	41985642
cg00259755	0.0275904449920533	PWWP2B	10	134209763
cg00260778	0.230041688720622	NA	NA	0
cg00261552	0.0294245581499547	CREBL2	12	12764894
cg00261781	0.0101033420320422	MATN3	2	20212517
cg00262415	0.0128795052881521	PUSL1;ACAP3	1	1242732
cg00263723	0.0231095394634312	NA	NA	0
cg00263760	0.522969749089266	VAX1	10	118897366
cg00265415	0.0072322679641386	B3GALNT2	1	235667507
cg00265490	0.0248087197833293	MTDH	8	98655845
cg00268009	0.0101965521414942	ADH5	4	100010211
cg00268338	0.0140686553800246	HECTD2;LOC100188947	10	93169495
cg00269115	0.012820185016937	C1orf213;ZNF436	1	23695530
cg00269932	0.41591176537838	NA	NA	0
cg00273068	0.370487243941214	EMILIN3	20	39995747
cg00273124	0.874208831150995	NHP2	5	177581512
cg00274399	0.0253314913207345	FGF9	13	22245420
cg00275232	0.0133461091407472	ZNF296	19	45579541
cg00276797	0.0281754708252523	SLK	10	105726614
cg00278366	0.500838001546306	RAD9B;VPS29	12	110940287
cg00279797	0.0376559818980911	AMMECR1	X	109561918
cg00280814	0.873394382486684	ZDHHC8P	22	23745389
cg00280894	0.363524240674979	NA	NA	0
cg00282347	0.0258810631013742	CHD5	1	6241040
cg00282683	0.0130866259576663	UBE3C	7	156931995
cg00283535	0.897605180650292	ANXA13	8	124749564
cg00288562	0.0563242422877657	TRA2A	7	23571645
cg00290028	0.0141896286475041	RFXAP	13	37393125
cg00290506	0.0127572600504659	CNIH3	1	224804226
cg00291877	0.0418049655638643	SNRPA1	15	101835933
cg00292662	0.010804945737787	LGALS1	22	38071168
cg00292971	0.898483292064082	FAM131B	7	143060536
cg00293409	0.0299673296824108	LRRC33	3	196366669
cg00294382	0.514537289508864	IL23A	12	56732721
cg00295206	0.0132377739994991	RAB7A	3	128444813
cg00295325	0.664861996986224	ABCB11	2	169887932
cg00296685	0.272739743861773	NA	NA	0
cg00297584	0.0327098018695132	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.856863436914606	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0372828364057868	PPP3CA	4	102268125
cg00303548	0.00902555046629388	HS6ST3	13	96742413
cg00304278	0.0267674162473582	NA	NA	0
cg00307685	0.859597965975175	BRDT	1	92415524
cg00308133	0.00686569463485268	GAMT	19	1401118
cg00308665	0.141461084258798	HTR2A	13	47469654
cg00309056	0.017335686466148	STARD3NL	7	38218112
cg00309204	0.0226811251059334	C17orf61	17	7307432
cg00311768	0.185488372031509	TSTA3	8	144698857
cg00312919	0.126952514287234	STARD3NL	7	38217710
cg00314943	0.855442550780702	ALPPL2	2	233270750
cg00315936	0.0458317482218851	SND1	7	127292739
cg00317680	0.126801600962622	MTERFD1;PTDSS1	8	97274070
cg00318573	0.478295356442307	CHRNA4	20	61993118
cg00318865	0.00915759222572668	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.00710154552749262	PKMYT1	16	3030447
cg00320243	0.0135459920807089	RAB3A	19	18314691
cg00321065	0.0135706393302062	RLF	1	40627063
cg00321478	0.371835080990377	CRB1	1	197238398
cg00323915	0.382474378051901	GIMAP4	7	150264987
cg00324733	0.0182213206731224	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.0697165320120469	DLAT	11	111896498
cg00327483	0.979104829221027	CASQ1	1	160160587
cg00328227	0.0973361134886872	C1orf59	1	109204325
cg00331237	0.0271948667827734	CSRP2	12	77273319
cg00331433	0.015106198371053	SYAP1	X	16737800
cg00332153	0.747950477358413	BANK1	4	102712010
cg00332745	0.0194493447520175	NOL3	16	67208247
cg00333226	0.525980969914124	VWC2	7	49813763
cg00333528	0.1528343084228	GABRR1	6	89927485
cg00334507	0.569509932957069	PRRT2	16	29824599
cg00335286	0.381644212856338	MC2R	18	13916355
cg00336605	0.0956970139274907	NR1H2	19	50879437
cg00338702	0.0187537745347898	CHFR	12	133463694
cg00338893	0.0226321082236049	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.158965768115597	GARNL3	9	130027020
cg00343092	0.0110695770332264	TSPO	22	43547974
cg00344358	0.915990171424195	GDF11	12	56135693
cg00344372	0.875124614898828	HGFAC	4	3443625
cg00344709	0.781335940405455	POTED	21	14982225
cg00346145	0.0358084742836549	RPL34;LOC285456	4	109541559
cg00347729	0.295761252961257	MMP10	11	102651753
cg00347904	0.318753761127573	SCUBE3	6	35182508
cg00350296	0.371967614321798	CD248	11	66084841
cg00350478	0.496813562180975	FRMD1	6	168480013
cg00350702	0.0179046755426746	ERGIC3	20	34129927
cg00351011	0.0181223587231184	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.644556723802566	ZIM2	19	57306738
cg00354572	0.0789938244295963	ACSS3	12	81471419
cg00355802	0.0339403185357377	DUSP4	8	29208983
cg00359325	0.029825023132571	USP4	3	49377419
cg00359973	0.0300508357176235	RIBC1;SMC1A	X	53449900
cg00363813	0.609933472535108	IFFO1	12	6664872
cg00364344	0.0138175559276779	NA	NA	0
cg00364814	0.862068728616255	R3HDM2	12	57691455
cg00365193	0.055240401902667	NA	NA	0
cg00367281	0.466913480239693	CHRNB3	8	42552470
cg00367438	0.0300707733067067	TMUB1	7	150780797
cg00368022	0.0287128058940187	C5orf22;RNASEN	5	31532653
cg00368415	0.00970851686852988	SNX27	1	151584398
cg00371195	0.966226173025484	F2	11	46740481
cg00374717	0.905360420855307	ARSG	17	66303145
cg00375964	0.178589178903223	ABCE1;ANAPC10	4	146019130
cg00376639	0.0552779169641632	ZNF581	19	56155151
cg00380464	0.0194510041699007	LTV1	6	144164650
cg00381076	0.0153500213491757	C18orf54	18	51884797
cg00382515	0.0120086882490199	MRPL44	2	224822229
cg00382991	0.0305478588691462	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.347039730990796	TGFBI	5	135364970
cg00387170	0.0155441008185928	FOXP4	6	41514002
cg00392257	0.18927329630283	ISG20L2	1	156696747
cg00393585	0.079891988783231	C4orf39;TRIM61	4	165878091
cg00394658	0.107940593797004	PTPRJ	11	48001669
cg00396163	0.018800583594949	DNAH6	2	84743584
cg00396894	0.728966819976404	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0169384108759496	PPOX	1	161136321
cg00398048	0.119295941167152	AGA	4	178364342
cg00399483	0.128819842403986	DCC	18	49868378
cg00400028	0.371294423695723	NA	NA	0
cg00400263	0.983008758628491	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0347479798569911	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.091622170036919	TSC22D3	X	107018431
cg00405070	0.0212337424910371	ERP29;TMEM116	12	112450647
cg00405568	0.0545205850090472	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.598922861418507	RFPL3	22	32753939
cg00407150	0.679359843358761	HHATL	3	42743794
cg00410419	0.0371564796060789	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.112850464208284	STC1	8	23712355
cg00410921	0.215101015679942	NA	NA	0
cg00411097	0.24158653691399	TMEM184A	7	1596050
cg00412772	0.640687402298206	YIF1B;C19orf33	19	38794845
cg00412805	0.943693468302029	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.1844729184767	NA	NA	0
cg00415494	0.868212510806628	NA	NA	0
cg00415978	0.0403247472083591	SYNPO2	4	119809925
cg00415993	0.198377948455426	F2RL2;IQGAP2	5	75919188
cg00417297	0.0169366313374014	ZNF619	3	40518742
cg00418150	0.61003153292407	ALX4	11	44327869
cg00419564	0.0158529602646039	S100A6	1	153508860
cg00420568	0.0727106530105588	SHC3	9	91794904
cg00420715	0.0465960081441252	VPS13B	8	100025364
cg00420929	0.349049902599518	PGPEP1	19	18451112
cg00422913	0.0182767266205612	C17orf91;WDR81	17	1619022
cg00424946	0.0156926190348535	SNTB2	16	69221172
cg00425710	0.384949607070055	MT1A	16	56672671
cg00425792	0.0241883325964284	PEX12	17	33905503
cg00426056	0.0255201057628265	CUTA	6	33385896
cg00426498	0.186534217122443	MYO18A	17	27507667
cg00426963	0.0253727426382265	KIF27	9	86535755
cg00427635	0.0562553765416212	TBC1D21	15	74166372
cg00429618	0.0573927788296029	ZNF322B	9	99962350
cg00430287	0.314815969673033	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.162162853544678	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.0790747394549122	MGP	12	15039025
cg00432979	0.017824219215374	MRP63;SKA3	13	21750473
cg00433406	0.849731346654008	VWA5B1	1	20616975
cg00434413	0.820695754179604	RENBP;NAA10	X	153201653
cg00435408	0.0392813983366436	FAM192A;RSPRY1	16	57220662
cg00436282	0.858638641062762	STATH	4	70861449
cg00436301	0.0116468477068394	NT5DC1	6	116421736
cg00436603	0.289360812100036	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.0141844559796165	STOML1	15	74284481
cg00443307	0.28720115022734	KLRG1	12	9141740
cg00445824	0.101430170540466	ISYNA1	19	18548929
cg00446235	0.119790593223065	TSTD1	1	161008644
cg00447208	0.704502200244256	TMC8;TMC6	17	76126301
cg00448720	0.627192261913776	C1QTNF9	13	24883014
cg00449941	0.0154087833747438	SPAG5	17	26926011
cg00451635	0.0700783258157878	EMP2	16	10675030
cg00453193	0.0213902754944738	TES	7	115851050
cg00453258	0.813337534750267	CALHM1	10	105219172
cg00459975	0.0164976242071547	INTS9;HMBOX1	8	28749099
cg00461841	0.390458264194865	ATF7IP2	16	10523485
cg00462311	0.0489963985602357	NFATC4	14	24837184
cg00462994	0.591562279391817	NAGS;PYY	17	42081955
cg00463202	0.865420130515663	ADPRHL1	13	114107710
cg00463577	0.0299204464924477	C6orf150	6	74161911
cg00463848	0.919544279787686	KRT2	12	53046105
cg00464269	0.0106010064831754	TNFAIP1;IFT20	17	26662842
cg00465284	0.0152521122534579	CTNNA2;LRRTM1	2	80531898
cg00465846	0.00910933598655825	NA	NA	0
cg00466249	0.096333538686155	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0150419103651026	C14orf101	14	57046243
cg00468146	0.0407234840549584	ID4	6	19838211
cg00469635	0.00832070663837602	PPME1;C2CD3	11	73882471
cg00471562	0.0139816302991496	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0117202341973247	ADAMTS1	21	28217676
cg00474004	0.749383697409259	IFNA14	9	21239944
cg00474209	0.0290478235622696	DLL1	6	170600060
cg00475955	0.0135553444594164	C9orf114	9	131592049
cg00476577	0.0396258206128401	NA	NA	0
cg00476580	0.0114390936957628	ANP32E	1	150207583
cg00479269	0.0250999946626774	C2orf29	2	101869975
cg00480115	0.181457601288934	FXYD3	19	35606877
cg00480209	0.0133965414343127	SCO1;C17orf48	17	10600689
cg00480356	0.119607891492344	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0172453602084177	DDX41	5	176943504
cg00485296	0.00757654950810068	NME3	16	1821559
cg00485380	0.0150168470043182	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0203557711874642	SOCS1	16	11349568
cg00488300	0.950680047240338	NA	NA	0
cg00488364	0.488784076755226	IL13RA2	X	114253315
cg00488718	0.0192721148220457	MFSD8;C4orf29	4	128887044
cg00489401	0.78381921655576	FLT4	5	180075875
cg00491404	0.870030844298977	EPS8L3	1	110306591
cg00491839	0.219670008405652	PPP1R15A	19	49375640
cg00493400	0.0181694021731112	STAT1	2	191879127
cg00495415	0.018308876114662	SP1	12	53773795
cg00495442	0.0366524870246007	RALGAPB	20	37101172
cg00495491	0.628025941381111	NA	NA	0
cg00496170	0.0126766962977352	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.743440166037473	PPEF1	X	18709116
cg00497251	0.0502771261453383	RNPEPL1	2	241508725
cg00498305	0.303282218895047	SLC18A2	10	119000236
cg00498604	0.0493860432014786	TLL1	4	166793789
cg00499599	0.0138993950689601	C21orf57;MCM3AP	21	47706392
cg00499822	0.854641315653091	CXCL12	10	44881551
cg00500400	0.0242998256583932	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0102165890366588	ZDHHC14	6	157801893
