Hybridization REF	TCGA-AR-A0U1-01A-11D-A112-05	TCGA-AR-A0U1-01A-11D-A112-05	TCGA-AR-A0U1-01A-11D-A112-05	TCGA-AR-A0U1-01A-11D-A112-05
cg00061059	0.06150593147095	TECR	19	14640983
cg00061629	0.830609220356612	ALX4	11	44325258
cg00062776	0.990575726995883	TULP2	19	49402424
cg00063144	0.912916173569755	KRT31	17	39554055
cg00065385	0.942678089700883	ACTL7A	9	111623395
cg00065408	0.0263001057081876	CACNB3	12	49212475
cg00066153	0.931999082974962	ACRV1	11	125550744
cg00066816	0.18125170251911	IL12B	5	158758353
cg00067471	0.0683464441027797	ATP5D	19	1241377
cg00069261	0.0353371021442866	CDR2	16	22386531
cg00071250	0.635044969861428	FASLG	1	172628263
cg00071998	0.0265276423617247	MSH5	6	31708121
cg00072216	0.0109441898570672	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.3886780223581	STRA6	15	74495354
cg00076645	0.0191135327587049	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.767867855054201	ASAP1	8	131414474
cg00078194	0.0187751301237993	MDK	11	46402949
cg00078867	0.492364107430457	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0130069172172155	ARFGAP3	22	43253521
cg00080012	0.0135023055791534	EED	11	85955689
cg00081935	0.0328184064393947	TSPAN9	12	3186906
cg00081975	0.0537193153306604	ABCC3	17	48712370
cg00083720	0.0140782032582572	NA	NA	0
cg00083937	0.531823284858327	MAPK8IP2	22	51039805
cg00084687	0.0137829380682209	GATAD1	7	92076896
cg00089071	0.0123373503973802	PCGF2	17	36905809
cg00090147	0.0908966300569361	GATA4	8	11562367
cg00091693	0.674462731681371	KRT20	17	39041602
cg00093177	0.926225472523691		17	37185495
cg00094319	0.690350556800903	PABPC3	13	25670530
cg00094851	0.0525916407008287	KIF3C	2	26205706
cg00095526	0.777998605449608	CACNA1S	1	201081686
cg00095674	0.0593767684815335	PLEKHO1	1	150122654
cg00096922	0.0255049548131245	DLX5	7	96654185
cg00097536	0.0106093629254445	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0171344347616704	PNPLA6	19	7599173
cg00099550	0.0202707924653268	NA	NA	0
cg00101227	0.832310993401662	MPZ	1	161280266
cg00103783	0.0155867856282547	MPDU1	17	7487249
cg00105253	0.0326689752076219	NUDT14	14	105647194
cg00105470	0.0156361640603868	C1orf35	1	228290868
cg00107187	0.197070306117394	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0242685598859367	PGM2	4	37828500
cg00108454	0.464860866394445	C1QA	1	22963614
cg00109274	0.0553226794005357	DGKH	13	42623032
cg00112517	0.135814208885751	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.176581650794941	CABP1	12	121078090
cg00115714	0.238696928196968	AMD1	6	111196112
cg00116234	0.0560125318968015	ADAMTSL1	9	18474243
cg00116838	0.0411327089605102	RTN2;FLJ40125	19	46001746
cg00117172	0.331113363109377	RUNX3	1	25255838
cg00119079	0.0297114703923036	LAMP3	3	182880278
cg00121158	0.0191761865898268	KDM4C	9	6757826
cg00121640	0.0398975510950054	ASTN2	9	120176515
cg00121904	0.0939654771449193	MAOB	X	43741826
cg00123035	0.0292567608848429	RFX5	1	151319538
cg00126034	0.0500776757563662	WNT3	17	44896162
cg00126657	0.420545385287465	SSX6	X	47967250
cg00126698	0.514987715404923	BTK	X	100640503
cg00128197	0.272597561966051	HSD17B10	X	53461455
cg00128560	0.952111357703086	TIGD7	16	3352013
cg00128654	0.0214044740913562	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0603620825072598	MKNK1	1	47070178
cg00129774	0.021655227171023	CDK2;SILV	12	56360414
cg00131121	0.0327474021596819	POLR2J	7	102119710
cg00131557	0.920131862571422	DNAJC15	13	43596656
cg00132141	0.724961020237665	CTNNA3	10	69456307
cg00133909	0.0465005316879103	CD276	15	73977201
cg00134539	0.75340259598603	UBASH3A	21	43824071
cg00134787	0.476717249024718	MYH1	17	10419499
cg00135056	0.152085850397262	C3orf37	3	128997295
cg00135393	0.565897343114164	NA	NA	0
cg00136105	0.0225726707653672	GNPTAB	12	102224911
cg00136405	0.539852174300862	IL21	4	123542198
cg00136477	0.706647519559364	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.495199352341045	PMEPA1	20	56286697
cg00141162	0.0524023598790481	HCLS1	3	121379777
cg00141550	0.573702622043348	NA	NA	0
cg00141845	0.305934980917389	UPRT	X	74493352
cg00143376	0.448668991465161	NMUR1	2	232394702
cg00143998	0.0342052687929384	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.215936650605332	GNPDA1	5	141393931
cg00145348	0.494403589651958	APEX2	X	55026862
cg00146096	0.00955227625366804	FANCF	11	22647309
cg00149659	0.017746247443726	C3orf10	3	10157352
cg00149976	0.0231105237528446	MGLL	3	127541529
cg00151234	0.322473620736934	PGK1	X	77359363
cg00151607	0.0106501511326664	TRAPPC2L;GALNS	16	88923507
cg00152644	0.67311074068899	SPRR2E	1	153068236
cg00155167	0.0272312335812485	VPS13B	8	100025831
cg00155485	0.0218301958469946	MED13L	12	116714600
cg00155609	0.0441423630928607	PRDX2	19	12912527
cg00156216	0.0283931137053653	APLP2	11	129939849
cg00156744	0.0788838279067149	STK10	5	171615663
cg00158308	0.0355304507834196	OXGR1	13	97646341
cg00160914	0.0920682916510001	DDX20;C1orf183	1	112299263
cg00162401	0.0191842997983217	GSTA4	6	52859823
cg00162643	0.0555778766108013	DDX58	9	32526492
cg00164041	0.124835528004298	NA	NA	0
cg00164898	0.0143105767557909	MAPK11	22	50709127
cg00165981	0.0430280951785973	COL4A3BP;POLK	5	74808039
cg00167504	0.0142638822029463	BLVRA	7	43798622
cg00168082	0.0423411982149252	ABL1	9	133589177
cg00168785	0.0673055327827225	WDSUB1	2	160142643
cg00168942	0.669805102698715	GJD4	10	35894430
cg00169548	0.246187018168545	NA	NA	0
cg00171126	0.0272458765119313	WRB	21	40752522
cg00171161	0.0373706570822913	NUDT9	4	88343636
cg00174500	0.65381181875	CMTM5	14	23846479
cg00174901	0.424097763266584	PALM	19	709889
cg00176210	0.702446520644943	ANK1	8	41654967
cg00176879	0.991068996742863	VPS16;PTPRA	20	2843525
cg00177013	0.0263194466537728	ARFRP1;ZGPAT	20	62339100
cg00177698	0.030753892344616	PNPO	17	46018875
cg00177923	0.0152566956096482	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.110746788290198	UPF3B	X	118986947
cg00180012	0.0175529970942232	LACE1	6	108615929
cg00180631	0.35860299713056	MTM1	X	149736640
cg00182461	0.0373357652481118	NA	NA	0
cg00183782	0.82949722690763	NA	NA	0
cg00183916	0.0206221405416215	HS3ST3B1	17	14204936
cg00184884	0.00964942742365386	SFI1	22	31892343
cg00184893	0.0129697881841299	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0120270466425622	LRDD	11	804954
cg00186141	0.0127997954465144	PODXL	7	131241768
cg00186701	0.0636699867253747	TSPYL5	8	98290510
cg00186954	0.756029772769022	ST5;C11orf17	11	8933980
cg00187380	0.0283223411091974	HOXC4;HOXC5	12	54427384
cg00187686	0.46432086203077	TCN1	11	59634218
cg00188348	0.58237403787434	NA	NA	0
cg00191052	0.357279078076708	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0531503324005504	FAM53C	5	137673669
cg00197641	0.0292188166573315	MRPL52	14	23299461
cg00199549	0.78901370389863	MCM5	22	35795374
cg00200063	0.0212371281641838	USP32	17	58469941
cg00201234	0.235528739306226	FBLN2	3	13590968
cg00202702	0.0130507230062977	C11orf70	11	101918157
cg00202711	0.106824637476827	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0429359796362427	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0191311191518093	KIAA0174	16	71929512
cg00208830	0.542670974319787	LAMC2	1	183154778
cg00208967	0.0395769118803401	OLFM2	19	10047924
cg00209066	0.947735124310798	BRD1	22	50218923
cg00209951	0.039689746555723	DENND2C	1	115212834
cg00210842	0.0358771967071448	APAF1;IKBIP	12	99039578
cg00211661	0.0169904956680537	ARAP1	11	72433619
cg00212549	0.064119236945848	NA	NA	0
cg00213044	0.737729019968743	KRT6A	12	52886438
cg00213331	0.920297112930828	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0148072110064372	NA	NA	0
cg00214794	0.531056178297575	NA	NA	0
cg00214855	0.19303704879737	CCDC90A	6	13813947
cg00215066	0.983237697756226	MYO9B	19	17212316
cg00216361	0.0230568432468794	GAP43	3	115342527
cg00216758	0.0218949639187299	RASSF7;C11orf35	11	560589
cg00217795	0.378625695112699	DIO2	14	80677688
cg00221494	0.116239314158689	FARP1	13	98794593
cg00223186	0.0217339214972341	ACBD6	1	180472200
cg00223950	0.0194607744182886	UBR4	1	19536222
cg00224234	0.0116738247066156	GLOD4;RNMTL1	17	685693
cg00224508	0.0203578137972433	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.803560223116109	FGD2	6	36972027
cg00228799	0.0222510491192062	ENDOG	9	131580591
cg00229387	0.138000712026111	TJAP1	6	43445942
cg00230271	0.0556840732629205	TBCK;AIMP1	4	107237183
cg00230368	0.0261273546176034	IGF2R	6	160389833
cg00230502	0.0794393280388621	CCDC60	12	119772381
cg00230685	0.652790347628885	SCML1	X	17755839
cg00231140	0.0541084279706206	ACAA2;SCARNA17	18	47339702
cg00231644	0.284652930727813	TUBB2A	6	3158512
cg00231920	0.0159517782594062	VPS16;FAM113A	20	2821308
cg00233307	0.0323462739323048	MAP4K1;EIF3K	19	39109076
cg00234616	0.23951418524487	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0558959305317135	RARA	17	38465489
cg00237010	0.608711476078187	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.929156775527299	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.07491759358546	TTC21A;GORASP1	3	39148342
cg00240312	0.0803392115356881	NA	NA	0
cg00240432	0.014232610551084	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0424821831276045	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.0299592383731539	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0137588510473581	CR2	1	207628182
cg00250430	0.158596659706791	DMRT2	9	1051579
cg00253200	0.0237623734171858	C3orf59	3	192636074
cg00256074	0.922141362440717	MYLPF	16	30386150
cg00256166	0.0241437935233162	KLHL25	15	86338428
cg00256281	0.0088903858449907	PMM1	22	41985642
cg00259755	0.0666203591227628	PWWP2B	10	134209763
cg00260778	0.299171416826387	NA	NA	0
cg00261552	0.030725271048635	CREBL2	12	12764894
cg00261781	0.0163302315364632	MATN3	2	20212517
cg00262415	0.0180543303650164	PUSL1;ACAP3	1	1242732
cg00263723	0.0406752549579405	NA	NA	0
cg00263760	0.0962752338525611	VAX1	10	118897366
cg00265415	0.0096053458149947	B3GALNT2	1	235667507
cg00265490	0.0436430252492468	MTDH	8	98655845
cg00268009	0.0155849489216599	ADH5	4	100010211
cg00268338	0.0153084354035269	HECTD2;LOC100188947	10	93169495
cg00269115	0.0194175421267976	C1orf213;ZNF436	1	23695530
cg00269932	0.960153466966499	NA	NA	0
cg00273068	0.241176499171279	EMILIN3	20	39995747
cg00273124	0.878395409699957	NHP2	5	177581512
cg00274399	0.0462500725233294	FGF9	13	22245420
cg00275232	0.0147258474405834	ZNF296	19	45579541
cg00276797	0.0182822164009314	SLK	10	105726614
cg00278366	0.330774892500923	RAD9B;VPS29	12	110940287
cg00279797	0.169845220244391	AMMECR1	X	109561918
cg00280814	0.833594626998922	ZDHHC8P	22	23745389
cg00280894	0.170628079424547	NA	NA	0
cg00282347	0.0254696282825432	CHD5	1	6241040
cg00282683	0.0107004866680073	UBE3C	7	156931995
cg00283535	0.78080406912732	ANXA13	8	124749564
cg00288562	0.0448383630700772	TRA2A	7	23571645
cg00290028	0.0164752723408896	RFXAP	13	37393125
cg00290506	0.0156586188361086	CNIH3	1	224804226
cg00291877	0.0439568143345214	SNRPA1	15	101835933
cg00292662	0.0106272031460936	LGALS1	22	38071168
cg00292971	0.876309834258292	FAM131B	7	143060536
cg00293409	0.031251255708165	LRRC33	3	196366669
cg00294382	0.0647671315008597	IL23A	12	56732721
cg00295206	0.014463980638589	RAB7A	3	128444813
cg00295325	0.779968970347326	ABCB11	2	169887932
cg00296685	0.224800204222626	NA	NA	0
cg00297584	0.072909664737174	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.886217426426464	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0156448876108738	PPP3CA	4	102268125
cg00303548	0.0106973894882621	HS6ST3	13	96742413
cg00304278	0.0439140392991148	NA	NA	0
cg00307685	0.914793813909701	BRDT	1	92415524
cg00308133	0.00945040547039017	GAMT	19	1401118
cg00308665	0.337369732688311	HTR2A	13	47469654
cg00309056	0.0187031533277917	STARD3NL	7	38218112
cg00309204	0.0251136998325359	C17orf61	17	7307432
cg00311768	0.414047675119854	TSTA3	8	144698857
cg00312919	0.0517562028619662	STARD3NL	7	38217710
cg00314943	0.84848299695157	ALPPL2	2	233270750
cg00315936	0.0406875382488219	SND1	7	127292739
cg00317680	0.142116116229874	MTERFD1;PTDSS1	8	97274070
cg00318573	0.156075582226692	CHRNA4	20	61993118
cg00318865	0.0136660730497089	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.00754515545395091	PKMYT1	16	3030447
cg00320243	0.0193077816585627	RAB3A	19	18314691
cg00321065	0.0183372488043772	RLF	1	40627063
cg00321478	0.902177957409817	CRB1	1	197238398
cg00323915	0.475227710491177	GIMAP4	7	150264987
cg00324733	0.02022905255816	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.0716869624625357	DLAT	11	111896498
cg00327483	0.956367375281386	CASQ1	1	160160587
cg00328227	0.0881508835466789	C1orf59	1	109204325
cg00331237	0.0292159591965966	CSRP2	12	77273319
cg00331433	0.0129431721658199	SYAP1	X	16737800
cg00332153	0.550540994512646	BANK1	4	102712010
cg00332745	0.0221464392703853	NOL3	16	67208247
cg00333226	0.131237960936903	VWC2	7	49813763
cg00333528	0.607467886702773	GABRR1	6	89927485
cg00334507	0.754088028042476	PRRT2	16	29824599
cg00335286	0.348976317916154	MC2R	18	13916355
cg00336605	0.061890034805739	NR1H2	19	50879437
cg00338702	0.0466805218774746	CHFR	12	133463694
cg00338893	0.02597411068909	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.328238268159763	GARNL3	9	130027020
cg00343092	0.0199264994892065	TSPO	22	43547974
cg00344358	0.927670108134896	GDF11	12	56135693
cg00344372	0.762938749716114	HGFAC	4	3443625
cg00344709	0.580841297031954	POTED	21	14982225
cg00346145	0.0301581953471994	RPL34;LOC285456	4	109541559
cg00347729	0.655907549326373	MMP10	11	102651753
cg00347904	0.19855896299095	SCUBE3	6	35182508
cg00350296	0.254047134984394	CD248	11	66084841
cg00350478	0.675616481448978	FRMD1	6	168480013
cg00350702	0.0278583454392828	ERGIC3	20	34129927
cg00351011	0.0126351275815397	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.796635888792013	ZIM2	19	57306738
cg00354572	0.0782823559437588	ACSS3	12	81471419
cg00355802	0.0245337799335256	DUSP4	8	29208983
cg00359325	0.031762788361256	USP4	3	49377419
cg00359973	0.0832400791586531	RIBC1;SMC1A	X	53449900
cg00363813	0.562915942662216	IFFO1	12	6664872
cg00364344	0.0179124613106975	NA	NA	0
cg00364814	0.828567764282297	R3HDM2	12	57691455
cg00365193	0.087046972664584	NA	NA	0
cg00367281	0.819051027897523	CHRNB3	8	42552470
cg00367438	0.0364491267608894	TMUB1	7	150780797
cg00368022	0.0332647496092186	C5orf22;RNASEN	5	31532653
cg00368415	0.00867978250509652	SNX27	1	151584398
cg00371195	0.964133214854792	F2	11	46740481
cg00374717	0.925462631927897	ARSG	17	66303145
cg00375964	0.168394077407628	ABCE1;ANAPC10	4	146019130
cg00376639	0.0657091226731625	ZNF581	19	56155151
cg00380464	0.0436285098694923	LTV1	6	144164650
cg00381076	0.0656419338184216	C18orf54	18	51884797
cg00382515	0.0155979737663781	MRPL44	2	224822229
cg00382991	0.0287026250956487	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.159295973553331	TGFBI	5	135364970
cg00387170	0.0232460662371352	FOXP4	6	41514002
cg00392257	0.196221654682899	ISG20L2	1	156696747
cg00393585	0.123326904635334	C4orf39;TRIM61	4	165878091
cg00394658	0.603207467144841	PTPRJ	11	48001669
cg00396163	0.0258531193922735	DNAH6	2	84743584
cg00396894	0.769559126744766	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0209663608639399	PPOX	1	161136321
cg00398048	0.189969739586008	AGA	4	178364342
cg00399483	0.363727108407915	DCC	18	49868378
cg00400028	0.375510202670294	NA	NA	0
cg00400263	0.455060520314339	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0560198779077887	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.251503969940008	TSC22D3	X	107018431
cg00405070	0.0241556441467803	ERP29;TMEM116	12	112450647
cg00405568	0.043405300775956	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.76929292898445	RFPL3	22	32753939
cg00407150	0.651523450200347	HHATL	3	42743794
cg00410419	0.0236810147329564	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.135103850886279	STC1	8	23712355
cg00410921	0.259567697376812	NA	NA	0
cg00411097	0.355037044743192	TMEM184A	7	1596050
cg00412772	0.727253095299421	YIF1B;C19orf33	19	38794845
cg00412805	0.924461530545694	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.0366028870652384	NA	NA	0
cg00415494	0.666185548210952	NA	NA	0
cg00415978	0.136572073745087	SYNPO2	4	119809925
cg00415993	0.493307410007569	F2RL2;IQGAP2	5	75919188
cg00417297	0.0199107821620322	ZNF619	3	40518742
cg00418150	0.323523113762845	ALX4	11	44327869
cg00419564	0.0143846955763983	S100A6	1	153508860
cg00420568	0.124193499728792	SHC3	9	91794904
cg00420715	0.0127316138616286	VPS13B	8	100025364
cg00420929	0.235791021636788	PGPEP1	19	18451112
cg00422913	0.0276295745966341	C17orf91;WDR81	17	1619022
cg00424946	0.0193750781223311	SNTB2	16	69221172
cg00425710	0.831048193511951	MT1A	16	56672671
cg00425792	0.0351305403298933	PEX12	17	33905503
cg00426056	0.018500252669553	CUTA	6	33385896
cg00426498	0.164679938582785	MYO18A	17	27507667
cg00426963	0.0247319783895869	KIF27	9	86535755
cg00427635	0.111922196645413	TBC1D21	15	74166372
cg00429618	0.0757690677806628	ZNF322B	9	99962350
cg00430287	0.753823704243727	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.685065511775067	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.110946604988087	MGP	12	15039025
cg00432979	0.0208831586117317	MRP63;SKA3	13	21750473
cg00433406	0.927540018866842	VWA5B1	1	20616975
cg00434413	0.982893745668755	RENBP;NAA10	X	153201653
cg00435408	0.0503914301602312	FAM192A;RSPRY1	16	57220662
cg00436282	0.887369363419245	STATH	4	70861449
cg00436301	0.0146545185119151	NT5DC1	6	116421736
cg00436603	0.404295774493288	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.015095050746922	STOML1	15	74284481
cg00443307	0.693891673429763	KLRG1	12	9141740
cg00445824	0.0533647246740727	ISYNA1	19	18548929
cg00446235	0.14332024160321	TSTD1	1	161008644
cg00447208	0.378000257295522	TMC8;TMC6	17	76126301
cg00448720	0.767143486286402	C1QTNF9	13	24883014
cg00449941	0.0230689126709365	SPAG5	17	26926011
cg00451635	0.192389747618951	EMP2	16	10675030
cg00453193	0.0233202572995235	TES	7	115851050
cg00453258	0.777023710498342	CALHM1	10	105219172
cg00459975	0.0201606944176438	INTS9;HMBOX1	8	28749099
cg00461841	0.792198249012257	ATF7IP2	16	10523485
cg00462311	0.0837020660838929	NFATC4	14	24837184
cg00462994	0.0598259752198273	NAGS;PYY	17	42081955
cg00463202	0.891915526442907	ADPRHL1	13	114107710
cg00463577	0.0170367413517219	C6orf150	6	74161911
cg00463848	0.824836902265437	KRT2	12	53046105
cg00464269	0.0124632709671622	TNFAIP1;IFT20	17	26662842
cg00465284	0.0543452165977112	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0194623681244303	NA	NA	0
cg00466249	0.275922116531229	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0123508346311932	C14orf101	14	57046243
cg00468146	0.202556182309658	ID4	6	19838211
cg00469635	0.0152631665365452	PPME1;C2CD3	11	73882471
cg00471562	0.0167514209418951	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0221340979407827	ADAMTS1	21	28217676
cg00474004	0.674507017764675	IFNA14	9	21239944
cg00474209	0.0501283550843452	DLL1	6	170600060
cg00475955	0.0147375107078628	C9orf114	9	131592049
cg00476577	0.0353953104672614	NA	NA	0
cg00476580	0.0131001276230916	ANP32E	1	150207583
cg00479269	0.0356204150922825	C2orf29	2	101869975
cg00480115	0.447158920994984	FXYD3	19	35606877
cg00480209	0.0138445285265844	SCO1;C17orf48	17	10600689
cg00480356	0.0852491804844096	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0135788846656103	DDX41	5	176943504
cg00485296	0.0083833156471149	NME3	16	1821559
cg00485380	0.0272959919564703	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0164193747743161	SOCS1	16	11349568
cg00488300	0.739714758611883	NA	NA	0
cg00488364	0.529705514294684	IL13RA2	X	114253315
cg00488718	0.0188708474941485	MFSD8;C4orf29	4	128887044
cg00489401	0.503770807979346	FLT4	5	180075875
cg00491404	0.801013451480337	EPS8L3	1	110306591
cg00491839	0.126556208059642	PPP1R15A	19	49375640
cg00493400	0.0212687187007243	STAT1	2	191879127
cg00495415	0.0208557165824995	SP1	12	53773795
cg00495442	0.0306100681177052	RALGAPB	20	37101172
cg00495491	0.668385565974502	NA	NA	0
cg00496170	0.0188418635000726	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.728746473688729	PPEF1	X	18709116
cg00497251	0.0186791177403547	RNPEPL1	2	241508725
cg00498305	0.476519283703709	SLC18A2	10	119000236
cg00498604	0.0771086171227684	TLL1	4	166793789
cg00499599	0.0166586521394202	C21orf57;MCM3AP	21	47706392
cg00499822	0.509303766486082	CXCL12	10	44881551
cg00500400	0.016840950974244	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0125224987873392	ZDHHC14	6	157801893
