Hybridization REF	TCGA-A2-A0EV-01A-11D-A032-05	TCGA-A2-A0EV-01A-11D-A032-05	TCGA-A2-A0EV-01A-11D-A032-05	TCGA-A2-A0EV-01A-11D-A032-05
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.377495375043014	GLRA1	5	151304357
cg00059424	0.0240524786503321	PES1	22	30988148
cg00059740	0.0121729370637507	C7orf49	7	134855689
cg00059930	0.8611410086253	RB1	13	48894382
cg00060762	0.0179875811364265	LEO1	15	52264133
cg00060882	0.117519228845408	EIF2S3	X	24072811
cg00061059	0.0411492081339257	TECR	19	14640983
cg00061629	0.403713149976818	ALX4	11	44325258
cg00062776	0.990811092533452	TULP2	19	49402424
cg00063144	0.894477833866391	KRT31	17	39554055
cg00065385	0.94515976703984	ACTL7A	9	111623395
cg00065408	0.0227396836291615	CACNB3	12	49212475
cg00066153	0.691944267080989	ACRV1	11	125550744
cg00066816	0.101149842520093	IL12B	5	158758353
cg00067471	0.0664897201480262	ATP5D	19	1241377
cg00069261	0.020010192480472	CDR2	16	22386531
cg00071250	0.683312165867445	FASLG	1	172628263
cg00071998	0.0394993085591077	MSH5	6	31708121
cg00072216	0.0204754703748088	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.504805521881941	STRA6	15	74495354
cg00076645	0.0179411356737663	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.723869436757387	ASAP1	8	131414474
cg00078194	0.0184737939730237	MDK	11	46402949
cg00078867	0.422562842011636	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0141826774395793	ARFGAP3	22	43253521
cg00080012	0.0117445823191837	EED	11	85955689
cg00081935	0.0360806521687417	TSPAN9	12	3186906
cg00081975	0.0274338539271491	ABCC3	17	48712370
cg00083720	0.014810578343953	NA	NA	0
cg00083937	0.479026688423901	MAPK8IP2	22	51039805
cg00084687	0.0127560881440786	GATAD1	7	92076896
cg00089071	0.0109163598045233	PCGF2	17	36905809
cg00090147	0.182099441402701	GATA4	8	11562367
cg00091693	0.299992368737879	KRT20	17	39041602
cg00093177	0.778212445874139		17	37185495
cg00094319	0.617303108338893	PABPC3	13	25670530
cg00094851	0.0951175324208973	KIF3C	2	26205706
cg00095526	0.516375828681362	CACNA1S	1	201081686
cg00095674	0.130126220563213	PLEKHO1	1	150122654
cg00096922	0.0337207330140569	DLX5	7	96654185
cg00097536	0.014687404181519	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0122671571923238	PNPLA6	19	7599173
cg00099550	0.0293454388483373	NA	NA	0
cg00101227	0.573951165391914	MPZ	1	161280266
cg00103783	0.0127451890075194	MPDU1	17	7487249
cg00105253	0.0356344966376876	NUDT14	14	105647194
cg00105470	0.0195752040869524	C1orf35	1	228290868
cg00107187	0.378538146637802	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0111132384363902	PGM2	4	37828500
cg00108454	0.331874989242329	C1QA	1	22963614
cg00109274	0.0404472131108719	DGKH	13	42623032
cg00112517	0.555515102186259	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.194014074882612	CABP1	12	121078090
cg00115714	0.0313598168356293	AMD1	6	111196112
cg00116234	0.110110711731373	ADAMTSL1	9	18474243
cg00116838	0.450727630360193	RTN2;FLJ40125	19	46001746
cg00117172	0.614200528321432	RUNX3	1	25255838
cg00119079	0.0503110615091674	LAMP3	3	182880278
cg00121158	0.0140666633038017	KDM4C	9	6757826
cg00121640	0.130923724543588	ASTN2	9	120176515
cg00121904	0.113813501384323	MAOB	X	43741826
cg00123035	0.0220525184321034	RFX5	1	151319538
cg00126034	0.0436681639954271	WNT3	17	44896162
cg00126657	0.204485496036336	SSX6	X	47967250
cg00126698	0.557939802803658	BTK	X	100640503
cg00128197	0.190847516667578	HSD17B10	X	53461455
cg00128560	0.967108525307941	TIGD7	16	3352013
cg00128654	0.0163724203715541	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0840976684884552	MKNK1	1	47070178
cg00129774	0.0198784751265524	CDK2;SILV	12	56360414
cg00131121	0.059265467264612	POLR2J	7	102119710
cg00131557	0.94400673031616	DNAJC15	13	43596656
cg00132141	0.488508426005502	CTNNA3	10	69456307
cg00133909	0.0558609004052261	CD276	15	73977201
cg00134539	0.818279662589171	UBASH3A	21	43824071
cg00134787	0.439709762724654	MYH1	17	10419499
cg00135056	0.100017157381698	C3orf37	3	128997295
cg00135393	0.140649217202851	NA	NA	0
cg00136105	0.0162365473401432	GNPTAB	12	102224911
cg00136405	0.119654995469954	IL21	4	123542198
cg00136477	0.551878231985847	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.783966761622586	PMEPA1	20	56286697
cg00141162	0.628810368054034	HCLS1	3	121379777
cg00141550	0.650717449462669	NA	NA	0
cg00141845	0.12872202653794	UPRT	X	74493352
cg00143376	0.623260184848079	NMUR1	2	232394702
cg00143998	0.0217907072271369	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.365577899570363	GNPDA1	5	141393931
cg00145348	0.392751776818818	APEX2	X	55026862
cg00146096	0.0164782666751627	FANCF	11	22647309
cg00149659	0.0294104888512038	C3orf10	3	10157352
cg00149976	0.0221662231809108	MGLL	3	127541529
cg00151234	0.342695470742781	PGK1	X	77359363
cg00151607	0.0146129692821794	TRAPPC2L;GALNS	16	88923507
cg00152644	0.326635574203668	SPRR2E	1	153068236
cg00155167	0.0185336369284281	VPS13B	8	100025831
cg00155485	0.0223603293093263	MED13L	12	116714600
cg00155609	0.0150616908772408	PRDX2	19	12912527
cg00156216	0.0170595316539485	APLP2	11	129939849
cg00156744	0.015949342105898	STK10	5	171615663
cg00158308	0.0837880593759844	OXGR1	13	97646341
cg00160914	0.214968135901667	DDX20;C1orf183	1	112299263
cg00162401	0.0185957850476762	GSTA4	6	52859823
cg00162643	0.0177261903533956	DDX58	9	32526492
cg00164041	0.0213528671936995	NA	NA	0
cg00164898	0.0270418732021203	MAPK11	22	50709127
cg00165981	0.029913559826451	COL4A3BP;POLK	5	74808039
cg00167504	0.0204111940256093	BLVRA	7	43798622
cg00168082	0.0310146904999049	ABL1	9	133589177
cg00168785	0.105145917471447	WDSUB1	2	160142643
cg00168942	0.269723907512812	GJD4	10	35894430
cg00169548	0.149798120539767	NA	NA	0
cg00171126	0.0312018571251501	WRB	21	40752522
cg00171161	0.0503874363148573	NUDT9	4	88343636
cg00174500	0.355763807551394	CMTM5	14	23846479
cg00174901	0.640284214215863	PALM	19	709889
cg00176210	0.472486703689931	ANK1	8	41654967
cg00176879	0.993267295745903	VPS16;PTPRA	20	2843525
cg00177013	0.102441406753062	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0318040706513672	PNPO	17	46018875
cg00177923	0.0158465012931349	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.185845981303445	UPF3B	X	118986947
cg00180012	0.0151742873109834	LACE1	6	108615929
cg00180631	0.657112658362542	MTM1	X	149736640
cg00182461	0.0579731475117041	NA	NA	0
cg00183782	0.82910192348148	NA	NA	0
cg00183916	0.0414690663714145	HS3ST3B1	17	14204936
cg00184884	0.0145773543889442	SFI1	22	31892343
cg00184893	0.0128533382791492	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0226556853981395	LRDD	11	804954
cg00186141	0.0155635349493985	PODXL	7	131241768
cg00186701	0.0964400297518636	TSPYL5	8	98290510
cg00186954	0.756214875096827	ST5;C11orf17	11	8933980
cg00187380	0.0576901651292105	HOXC4;HOXC5	12	54427384
cg00187686	0.243125767651096	TCN1	11	59634218
cg00188348	0.589797543097049	NA	NA	0
cg00191052	0.625117163020685	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0226448192243715	FAM53C	5	137673669
cg00197641	0.0254911989739503	MRPL52	14	23299461
cg00199549	0.977354673251182	MCM5	22	35795374
cg00200063	0.0185584787554077	USP32	17	58469941
cg00201234	0.502482376398722	FBLN2	3	13590968
cg00202702	0.0137145399294586	C11orf70	11	101918157
cg00202711	0.123730547270975	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0230020603801392	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0217948066446932	KIAA0174	16	71929512
cg00208830	0.276862229302503	LAMC2	1	183154778
cg00208967	0.386983001652296	OLFM2	19	10047924
cg00209066	0.917703502510388	BRD1	22	50218923
cg00209951	0.0624897515242162	DENND2C	1	115212834
cg00210842	0.0587533560100568	APAF1;IKBIP	12	99039578
cg00211661	0.0167393910194335	ARAP1	11	72433619
cg00212549	0.0572902518395858	NA	NA	0
cg00213044	0.485716479242687	KRT6A	12	52886438
cg00213331	0.925576210513741	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0115013228173293	NA	NA	0
cg00214794	0.692809886308041	NA	NA	0
cg00214855	0.173459137555715	CCDC90A	6	13813947
cg00215066	0.96510782376257	MYO9B	19	17212316
cg00216361	0.0338284169386054	GAP43	3	115342527
cg00216758	0.0275566636794248	RASSF7;C11orf35	11	560589
cg00217795	0.272186375654315	DIO2	14	80677688
cg00221494	0.199127338611529	FARP1	13	98794593
cg00223186	0.0198593065431196	ACBD6	1	180472200
cg00223950	0.0243985988823101	UBR4	1	19536222
cg00224234	0.0101193195527617	GLOD4;RNMTL1	17	685693
cg00224508	0.0208537441770819	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.802431583059259	FGD2	6	36972027
cg00228799	0.0178807130003525	ENDOG	9	131580591
cg00229387	0.0844228896598325	TJAP1	6	43445942
cg00230271	0.0390210848713668	TBCK;AIMP1	4	107237183
cg00230368	0.0267276113657949	IGF2R	6	160389833
cg00230502	0.0399573569727717	CCDC60	12	119772381
cg00230685	0.434729667867897	SCML1	X	17755839
cg00231140	0.109145574025252	ACAA2;SCARNA17	18	47339702
cg00231644	0.274520041546259	TUBB2A	6	3158512
cg00231920	0.0244095270450307	VPS16;FAM113A	20	2821308
cg00233307	0.617082591532188	MAP4K1;EIF3K	19	39109076
cg00234616	0.225556145281418	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0618707086672129	RARA	17	38465489
cg00237010	0.335584036377971	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.921602654399089	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0630687587508205	TTC21A;GORASP1	3	39148342
cg00240312	0.0793988352975687	NA	NA	0
cg00240432	0.0225808337267751	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0132214653081679	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.0427563247069841	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.161193903980088	CR2	1	207628182
cg00250430	0.430707207481723	DMRT2	9	1051579
cg00253200	0.0222958982946209	C3orf59	3	192636074
cg00256074	0.674540993552753	MYLPF	16	30386150
cg00256166	0.0272159577690254	KLHL25	15	86338428
cg00256281	0.0148289499511217	PMM1	22	41985642
cg00259755	0.0706204887864663	PWWP2B	10	134209763
cg00260778	0.501963945043064	NA	NA	0
cg00261552	0.0280693442558155	CREBL2	12	12764894
cg00261781	0.0278845792296973	MATN3	2	20212517
cg00262415	0.0144284736595576	PUSL1;ACAP3	1	1242732
cg00263723	0.0162430064302743	NA	NA	0
cg00263760	0.125689334788165	VAX1	10	118897366
cg00265415	0.0103996604447426	B3GALNT2	1	235667507
cg00265490	0.0479425127567018	MTDH	8	98655845
cg00268009	0.0129574756640082	ADH5	4	100010211
cg00268338	0.0112557674848983	HECTD2;LOC100188947	10	93169495
cg00269115	0.0164738077994469	C1orf213;ZNF436	1	23695530
cg00269932	0.683389782236642	NA	NA	0
cg00273068	0.174481971351804	EMILIN3	20	39995747
cg00273124	0.490510102709996	NHP2	5	177581512
cg00274399	0.0372552329893753	FGF9	13	22245420
cg00275232	0.0159716518271047	ZNF296	19	45579541
cg00276797	0.0192504177046586	SLK	10	105726614
cg00278366	0.216582928403462	RAD9B;VPS29	12	110940287
cg00279797	0.114867791096025	AMMECR1	X	109561918
cg00280814	0.869912408213594	ZDHHC8P	22	23745389
cg00280894	0.27312109780759	NA	NA	0
cg00282347	0.466641420026875	CHD5	1	6241040
cg00282683	0.0176632690884047	UBE3C	7	156931995
cg00283535	0.719874910375106	ANXA13	8	124749564
cg00288562	0.0221823570043263	TRA2A	7	23571645
cg00290028	0.0168722085040978	RFXAP	13	37393125
cg00290506	0.0561542098214169	CNIH3	1	224804226
cg00291877	0.0424023486154162	SNRPA1	15	101835933
cg00292662	0.0170521102702815	LGALS1	22	38071168
cg00292971	0.930899799764737	FAM131B	7	143060536
cg00293409	0.03053913712187	LRRC33	3	196366669
cg00294382	0.51618818887695	IL23A	12	56732721
cg00295206	0.0221302616856701	RAB7A	3	128444813
cg00295325	0.608436186733813	ABCB11	2	169887932
cg00296685	0.0358615424807124	NA	NA	0
cg00297584	0.0620729555188867	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.813757247945476	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0185756095097126	PPP3CA	4	102268125
cg00303548	0.0205438882269871	HS6ST3	13	96742413
cg00304278	0.0532702761373674	NA	NA	0
cg00307685	0.712374324681127	BRDT	1	92415524
cg00308133	0.0113356167207543	GAMT	19	1401118
cg00308665	0.207265376771523	HTR2A	13	47469654
cg00309056	0.0222574320647874	STARD3NL	7	38218112
cg00309204	0.0212226085303051	C17orf61	17	7307432
cg00311768	0.42643325262658	TSTA3	8	144698857
cg00312919	0.0135988227912286	STARD3NL	7	38217710
cg00314943	0.701391706531308	ALPPL2	2	233270750
cg00315936	0.0512902408251656	SND1	7	127292739
cg00317680	0.076785767181617	MTERFD1;PTDSS1	8	97274070
cg00318573	0.390314517072414	CHRNA4	20	61993118
cg00318865	0.0129768761154057	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.0455695429919775	PKMYT1	16	3030447
cg00320243	0.0146255541280448	RAB3A	19	18314691
cg00321065	0.016735918401856	RLF	1	40627063
cg00321478	0.47325057308218	CRB1	1	197238398
cg00323915	0.202481186674889	GIMAP4	7	150264987
cg00324733	0.0187642447433504	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.0857809902805785	DLAT	11	111896498
cg00327483	0.798122997083389	CASQ1	1	160160587
cg00328227	0.487231753598357	C1orf59	1	109204325
cg00331237	0.0588447921624875	CSRP2	12	77273319
cg00331433	0.015178750671474	SYAP1	X	16737800
cg00332153	0.65617549977769	BANK1	4	102712010
cg00332745	0.0198025503505759	NOL3	16	67208247
cg00333226	0.490514153553103	VWC2	7	49813763
cg00333528	0.206138775696315	GABRR1	6	89927485
cg00334507	0.651435048632058	PRRT2	16	29824599
cg00335286	0.193546742079326	MC2R	18	13916355
cg00336605	0.0280422597207501	NR1H2	19	50879437
cg00338702	0.103958613379124	CHFR	12	133463694
cg00338893	0.0226687568258526	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.2669190879672	GARNL3	9	130027020
cg00343092	0.0135027524424189	TSPO	22	43547974
cg00344358	0.931038726576874	GDF11	12	56135693
cg00344372	0.851560994192971	HGFAC	4	3443625
cg00344709	0.588952283136757	POTED	21	14982225
cg00346145	0.0379405374248092	RPL34;LOC285456	4	109541559
cg00347729	0.293271291168307	MMP10	11	102651753
cg00347904	0.634934986304845	SCUBE3	6	35182508
cg00350296	0.435579986240807	CD248	11	66084841
cg00350478	0.529189552175566	FRMD1	6	168480013
cg00350702	0.0188686817276272	ERGIC3	20	34129927
cg00351011	0.0134530844898916	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.649731080170772	ZIM2	19	57306738
cg00354572	0.0327380236135213	ACSS3	12	81471419
cg00355802	0.0305182037817925	DUSP4	8	29208983
cg00359325	0.041043959925698	USP4	3	49377419
cg00359973	0.108426717823119	RIBC1;SMC1A	X	53449900
cg00363813	0.677850930287237	IFFO1	12	6664872
cg00364344	0.0163086633684429	NA	NA	0
cg00364814	0.837442633509298	R3HDM2	12	57691455
cg00365193	0.365189825190509	NA	NA	0
cg00367281	0.396533924611537	CHRNB3	8	42552470
cg00367438	0.0350840823801633	TMUB1	7	150780797
cg00368022	0.0163080949834494	C5orf22;RNASEN	5	31532653
cg00368415	0.011458219517204	SNX27	1	151584398
cg00371195	0.962984529680291	F2	11	46740481
cg00374717	0.963081729088754	ARSG	17	66303145
cg00375964	0.0195562417630933	ABCE1;ANAPC10	4	146019130
cg00376639	0.0814682940150114	ZNF581	19	56155151
cg00380464	0.127961826796112	LTV1	6	144164650
cg00381076	0.0294528586278581	C18orf54	18	51884797
cg00382515	0.0121094786738855	MRPL44	2	224822229
cg00382991	0.0265397859747653	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.289128750316484	TGFBI	5	135364970
cg00387170	0.0261979582768887	FOXP4	6	41514002
cg00392257	0.347269509513967	ISG20L2	1	156696747
cg00393585	0.0786872859705913	C4orf39;TRIM61	4	165878091
cg00394658	0.533461269014153	PTPRJ	11	48001669
cg00396163	0.0178129643754577	DNAH6	2	84743584
cg00396894	0.324435893757405	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0236335896274007	PPOX	1	161136321
cg00398048	0.0736557603517246	AGA	4	178364342
cg00399483	0.179838152495136	DCC	18	49868378
cg00400028	0.157201471646294	NA	NA	0
cg00400263	0.539753942892026	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0144477195186792	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.313838364344314	TSC22D3	X	107018431
cg00405070	0.0189598240005491	ERP29;TMEM116	12	112450647
cg00405568	0.0209762530840959	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.439178239205733	RFPL3	22	32753939
cg00407150	0.524664775191779	HHATL	3	42743794
cg00410419	0.0210983902781293	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.0874063763380975	STC1	8	23712355
cg00410921	0.283459685580149	NA	NA	0
cg00411097	0.368040772143175	TMEM184A	7	1596050
cg00412772	0.50595594467981	YIF1B;C19orf33	19	38794845
cg00412805	0.854502520942223	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.0381354436399466	NA	NA	0
cg00415494	0.661632072034803	NA	NA	0
cg00415978	0.0955301976267938	SYNPO2	4	119809925
cg00415993	0.447974982483468	F2RL2;IQGAP2	5	75919188
cg00417297	0.0179969090263373	ZNF619	3	40518742
cg00418150	0.458499784279765	ALX4	11	44327869
cg00419564	0.0184460309212016	S100A6	1	153508860
cg00420568	0.201113830739911	SHC3	9	91794904
cg00420715	0.012452469911484	VPS13B	8	100025364
cg00420929	0.531852323538302	PGPEP1	19	18451112
cg00422913	0.0365825931997619	C17orf91;WDR81	17	1619022
cg00424946	0.0178171712674434	SNTB2	16	69221172
cg00425710	0.888794364978418	MT1A	16	56672671
cg00425792	0.0380738616876229	PEX12	17	33905503
cg00426056	0.0124618554493579	CUTA	6	33385896
cg00426498	0.313886898182731	MYO18A	17	27507667
cg00426963	0.0220391469851869	KIF27	9	86535755
cg00427635	0.0942562913689751	TBC1D21	15	74166372
cg00429618	0.0834552184399546	ZNF322B	9	99962350
cg00430287	0.406985268904005	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.41242326242448	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.167623134250218	MGP	12	15039025
cg00432979	0.0199491871984217	MRP63;SKA3	13	21750473
cg00433406	0.546719338170946	VWA5B1	1	20616975
cg00434413	0.985475424878147	RENBP;NAA10	X	153201653
cg00435408	0.0261657711656742	FAM192A;RSPRY1	16	57220662
cg00436282	0.636606435086645	STATH	4	70861449
cg00436301	0.0182700256419418	NT5DC1	6	116421736
cg00436603	0.392761539949878	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.0119731322095118	STOML1	15	74284481
cg00443307	0.370783279806788	KLRG1	12	9141740
cg00445824	0.124293501351821	ISYNA1	19	18548929
cg00446235	0.0897184690641294	TSTD1	1	161008644
cg00447208	0.702073563893529	TMC8;TMC6	17	76126301
cg00448720	0.490499816811093	C1QTNF9	13	24883014
cg00449941	0.0194519309377988	SPAG5	17	26926011
cg00451635	0.27018245185889	EMP2	16	10675030
cg00453193	0.33505224096962	TES	7	115851050
cg00453258	0.723687701980843	CALHM1	10	105219172
cg00459975	0.0390043786277881	INTS9;HMBOX1	8	28749099
cg00461841	0.593810376046332	ATF7IP2	16	10523485
cg00462311	0.0428003156750384	NFATC4	14	24837184
cg00462994	0.299344600765322	NAGS;PYY	17	42081955
cg00463202	0.768873795990452	ADPRHL1	13	114107710
cg00463577	0.0141011133453332	C6orf150	6	74161911
cg00463848	0.333739515006883	KRT2	12	53046105
cg00464269	0.0128690576334822	TNFAIP1;IFT20	17	26662842
cg00465284	0.0319905186483681	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0159795598808194	NA	NA	0
cg00466249	0.248632901509677	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0132421158359227	C14orf101	14	57046243
cg00468146	0.481758244515361	ID4	6	19838211
cg00469635	0.0151361942509116	PPME1;C2CD3	11	73882471
cg00471562	0.0171348904885402	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0490135130579486	ADAMTS1	21	28217676
cg00474004	0.324269592610497	IFNA14	9	21239944
cg00474209	0.0352100737756585	DLL1	6	170600060
cg00475955	0.0119740885466502	C9orf114	9	131592049
cg00476577	0.0306723169556934	NA	NA	0
cg00476580	0.0108216514011366	ANP32E	1	150207583
cg00479269	0.0339733908930665	C2orf29	2	101869975
cg00480115	0.422313296121657	FXYD3	19	35606877
cg00480209	0.0134594368790331	SCO1;C17orf48	17	10600689
cg00480356	0.0731328400351248	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0154939568176203	DDX41	5	176943504
cg00485296	0.0110938128718239	NME3	16	1821559
cg00485380	0.0143813343899684	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.03280465579965	SOCS1	16	11349568
cg00488300	0.921851530426577	NA	NA	0
cg00488364	0.270309391827922	IL13RA2	X	114253315
cg00488718	0.0169386601956165	MFSD8;C4orf29	4	128887044
cg00489401	0.362236477560111	FLT4	5	180075875
cg00491404	0.837094864574602	EPS8L3	1	110306591
cg00491839	0.0660465959006881	PPP1R15A	19	49375640
cg00493400	0.0123081271315585	STAT1	2	191879127
cg00495415	0.0148959539998167	SP1	12	53773795
cg00495442	0.0225029068977749	RALGAPB	20	37101172
cg00495491	0.70291358821111	NA	NA	0
cg00496170	0.0145163754239318	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.609733068589603	PPEF1	X	18709116
cg00497251	0.0271451242975144	RNPEPL1	2	241508725
cg00498305	0.252957027839058	SLC18A2	10	119000236
cg00498604	0.648669951962321	TLL1	4	166793789
cg00499599	0.0153085837144152	C21orf57;MCM3AP	21	47706392
cg00499822	0.7352737173691	CXCL12	10	44881551
cg00500400	0.0270758621122585	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.016046559610424	ZDHHC14	6	157801893
