Hybridization REF	TCGA-AO-A12H-01A-11D-A112-05	TCGA-AO-A12H-01A-11D-A112-05	TCGA-AO-A12H-01A-11D-A112-05	TCGA-AO-A12H-01A-11D-A112-05
cg00030047	0.206618640946288	RNF207	1	6268790
cg00031162	0.559765603397294	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.00960255300862736	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0169657240891058	FLJ13197;KLF3	4	38666773
cg00033773	0.593583100519672	MORG1;C19orf56	19	12779366
cg00034039	0.164068412848555	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0225723716893219	UBE2S	19	55919836
cg00037763	0.945714079906571	SETBP1	18	42281763
cg00037940	0.891431283375342	PIK3CB	3	138479285
cg00040861	0.0132928631936052	LSM7;SPPL2B	19	2328391
cg00040873	0.0636577315563664	NDUFB10	16	2009157
cg00041575	0.347837775065016	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.159477973701182	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0179608134921645	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.028381164831584	CUL5	11	107879431
cg00047469	0.0433708827878035	POLE3;C9orf43	9	116172568
cg00049986	0.182210891894856	NA	NA	0
cg00050312	0.0218573984913651	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.038175555936294	C10orf4	10	95462161
cg00053292	0.0157663711243817	TACO1	17	61678300
cg00053647	0.0528730239040694	C7orf28B	7	6866072
cg00054706	0.0190940272410887	C1D	2	68289972
cg00055233	0.188376794455402	RLN1	9	5339677
cg00056767	0.0209338776329583	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.285941337063995	GLRA1	5	151304357
cg00059424	0.0271750420606319	PES1	22	30988148
cg00059740	0.00985565777792959	C7orf49	7	134855689
cg00059930	0.894484238223679	RB1	13	48894382
cg00060762	0.021728065851077	LEO1	15	52264133
cg00060882	0.479712416783003	EIF2S3	X	24072811
cg00061059	0.0532636262260052	TECR	19	14640983
cg00061629	0.877282052892985	ALX4	11	44325258
cg00062776	0.985586439398056	TULP2	19	49402424
cg00063144	0.926503729325071	KRT31	17	39554055
cg00065385	0.957914363701149	ACTL7A	9	111623395
cg00065408	0.0433870822601361	CACNB3	12	49212475
cg00066153	0.963480625187611	ACRV1	11	125550744
cg00066816	0.131520315238235	IL12B	5	158758353
cg00067471	0.0366503476138443	ATP5D	19	1241377
cg00069261	0.0255558770303821	CDR2	16	22386531
cg00071250	0.859832170013967	FASLG	1	172628263
cg00071998	0.0279918629660971	MSH5	6	31708121
cg00072216	0.011519525584842	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.812698568374824	STRA6	15	74495354
cg00076645	0.0305060743941178	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.721691429369388	ASAP1	8	131414474
cg00078194	0.0117728100794166	MDK	11	46402949
cg00078867	0.523426524539781	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0138071805748682	ARFGAP3	22	43253521
cg00080012	0.0105220641837843	EED	11	85955689
cg00081935	0.0448792537638903	TSPAN9	12	3186906
cg00081975	0.0113421973134793	ABCC3	17	48712370
cg00083720	0.0101500230296112	NA	NA	0
cg00083937	0.210390365924738	MAPK8IP2	22	51039805
cg00084687	0.00875847367655975	GATAD1	7	92076896
cg00089071	0.0489072668374863	PCGF2	17	36905809
cg00090147	0.0404071800463975	GATA4	8	11562367
cg00091693	0.32804034394802	KRT20	17	39041602
cg00093177	0.925282418627205		17	37185495
cg00094319	0.737262462104493	PABPC3	13	25670530
cg00094851	0.0463784727868522	KIF3C	2	26205706
cg00095526	0.861786653258736	CACNA1S	1	201081686
cg00095674	0.0592011852214838	PLEKHO1	1	150122654
cg00096922	0.0238277561624412	DLX5	7	96654185
cg00097536	0.00970881026989969	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.011508452919429	PNPLA6	19	7599173
cg00099550	0.0189198127173631	NA	NA	0
cg00101227	0.711660567735255	MPZ	1	161280266
cg00103783	0.00973208693617695	MPDU1	17	7487249
cg00105253	0.0164703164086823	NUDT14	14	105647194
cg00105470	0.0210291505806369	C1orf35	1	228290868
cg00107187	0.0704868858223505	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0116790289117733	PGM2	4	37828500
cg00108454	0.118720171216531	C1QA	1	22963614
cg00109274	0.0537159173028001	DGKH	13	42623032
cg00112517	0.0539852669312766	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.423737658466354	CABP1	12	121078090
cg00115714	0.282919987477759	AMD1	6	111196112
cg00116234	0.0459844344441324	ADAMTSL1	9	18474243
cg00116838	0.0635108052074764	RTN2;FLJ40125	19	46001746
cg00117172	0.636411908854871	RUNX3	1	25255838
cg00119079	0.0415457679624625	LAMP3	3	182880278
cg00121158	0.00886110131874363	KDM4C	9	6757826
cg00121640	0.0425191689565777	ASTN2	9	120176515
cg00121904	0.0628832605965876	MAOB	X	43741826
cg00123035	0.0208886707068918	RFX5	1	151319538
cg00126034	0.0402393095883439	WNT3	17	44896162
cg00126657	0.360548970769174	SSX6	X	47967250
cg00126698	0.791376455674862	BTK	X	100640503
cg00128197	0.424276251310566	HSD17B10	X	53461455
cg00128560	0.97088592106974	TIGD7	16	3352013
cg00128654	0.0171552324301835	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0428317971031352	MKNK1	1	47070178
cg00129774	0.0182514893494774	CDK2;SILV	12	56360414
cg00131121	0.021610978233177	POLR2J	7	102119710
cg00131557	0.939947763515368	DNAJC15	13	43596656
cg00132141	0.715148598233844	CTNNA3	10	69456307
cg00133909	0.0243135725330439	CD276	15	73977201
cg00134539	0.937389524861723	UBASH3A	21	43824071
cg00134787	0.155863652057	MYH1	17	10419499
cg00135056	0.141321763259531	C3orf37	3	128997295
cg00135393	0.129928223890364	NA	NA	0
cg00136105	0.0187808605873446	GNPTAB	12	102224911
cg00136405	0.156430279566467	IL21	4	123542198
cg00136477	0.818381599224725	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.81066445738631	PMEPA1	20	56286697
cg00141162	0.641598342642535	HCLS1	3	121379777
cg00141550	0.728823488291026	NA	NA	0
cg00141845	0.0985270372931989	UPRT	X	74493352
cg00143376	0.670423834077611	NMUR1	2	232394702
cg00143998	0.024763967065513	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.252503237920361	GNPDA1	5	141393931
cg00145348	0.457483804827157	APEX2	X	55026862
cg00146096	0.01176967328544	FANCF	11	22647309
cg00149659	0.0123846914341018	C3orf10	3	10157352
cg00149976	0.010136063298064	MGLL	3	127541529
cg00151234	0.090450894852698	PGK1	X	77359363
cg00151607	0.0101348947352184	TRAPPC2L;GALNS	16	88923507
cg00152644	0.193440380589886	SPRR2E	1	153068236
cg00155167	0.0228034886888934	VPS13B	8	100025831
cg00155485	0.0356249602670154	MED13L	12	116714600
cg00155609	0.0430415252425165	PRDX2	19	12912527
cg00156216	0.0189384757858879	APLP2	11	129939849
cg00156744	0.0547352415182427	STK10	5	171615663
cg00158308	0.0417417966137615	OXGR1	13	97646341
cg00160914	0.0487173452526337	DDX20;C1orf183	1	112299263
cg00162401	0.150660728642778	GSTA4	6	52859823
cg00162643	0.030341796049237	DDX58	9	32526492
cg00164041	0.135226778661937	NA	NA	0
cg00164898	0.0305269221087613	MAPK11	22	50709127
cg00165981	0.0390876752715791	COL4A3BP;POLK	5	74808039
cg00167504	0.0164725894828567	BLVRA	7	43798622
cg00168082	0.0262048950437478	ABL1	9	133589177
cg00168785	0.0213673479141869	WDSUB1	2	160142643
cg00168942	0.771243499919138	GJD4	10	35894430
cg00169548	0.150234440157044	NA	NA	0
cg00171126	0.0210116344597527	WRB	21	40752522
cg00171161	0.0950249799719489	NUDT9	4	88343636
cg00174500	0.866566047007943	CMTM5	14	23846479
cg00174901	0.0890931610457523	PALM	19	709889
cg00176210	0.852521272111868	ANK1	8	41654967
cg00176879	0.991514881139124	VPS16;PTPRA	20	2843525
cg00177013	0.0351493970103072	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0172889199033346	PNPO	17	46018875
cg00177923	0.0127268206852258	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.0219572006809512	UPF3B	X	118986947
cg00180012	0.0218114330609312	LACE1	6	108615929
cg00180631	0.467571534652061	MTM1	X	149736640
cg00182461	0.0519475589532873	NA	NA	0
cg00183782	0.775539032291857	NA	NA	0
cg00183916	0.0203939398933639	HS3ST3B1	17	14204936
cg00184884	0.0085413512427604	SFI1	22	31892343
cg00184893	0.0102247892513732	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0103325450697123	LRDD	11	804954
cg00186141	0.0111050130907314	PODXL	7	131241768
cg00186701	0.0473043208568621	TSPYL5	8	98290510
cg00186954	0.702152547084534	ST5;C11orf17	11	8933980
cg00187380	0.0234766436347437	HOXC4;HOXC5	12	54427384
cg00187686	0.103538639595135	TCN1	11	59634218
cg00188348	0.638005606384557	NA	NA	0
cg00191052	0.796952378631266	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0689495364052751	FAM53C	5	137673669
cg00197641	0.0994190031192171	MRPL52	14	23299461
cg00199549	0.977696945404583	MCM5	22	35795374
cg00200063	0.0151691671360841	USP32	17	58469941
cg00201234	0.497051626888711	FBLN2	3	13590968
cg00202702	0.0109390410852363	C11orf70	11	101918157
cg00202711	0.0906393212564633	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0457811248358255	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0186792652013376	KIAA0174	16	71929512
cg00208830	0.898680471830703	LAMC2	1	183154778
cg00208967	0.399413369463485	OLFM2	19	10047924
cg00209066	0.829680572693924	BRD1	22	50218923
cg00209951	0.0265923783672929	DENND2C	1	115212834
cg00210842	0.0211660448893659	APAF1;IKBIP	12	99039578
cg00211661	0.0147125028805187	ARAP1	11	72433619
cg00212549	0.100953044474881	NA	NA	0
cg00213044	0.828640768585071	KRT6A	12	52886438
cg00213331	0.943338789397305	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0139370830850165	NA	NA	0
cg00214794	0.685911440960313	NA	NA	0
cg00214855	0.202706080072414	CCDC90A	6	13813947
cg00215066	0.982656091895386	MYO9B	19	17212316
cg00216361	0.0204710379049033	GAP43	3	115342527
cg00216758	0.0293801788589081	RASSF7;C11orf35	11	560589
cg00217795	0.0863818917028026	DIO2	14	80677688
cg00221494	0.763854385518771	FARP1	13	98794593
cg00223186	0.021915494780919	ACBD6	1	180472200
cg00223950	0.0284127608659613	UBR4	1	19536222
cg00224234	0.0510028883784369	GLOD4;RNMTL1	17	685693
cg00224508	0.0117684048742168	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.951099456692089	FGD2	6	36972027
cg00228799	0.0149054345892537	ENDOG	9	131580591
cg00229387	0.0875603724822536	TJAP1	6	43445942
cg00230271	0.0395791487485681	TBCK;AIMP1	4	107237183
cg00230368	0.0235444648670983	IGF2R	6	160389833
cg00230502	0.0486582353200508	CCDC60	12	119772381
cg00230685	0.555619844637691	SCML1	X	17755839
cg00231140	0.0655335559393879	ACAA2;SCARNA17	18	47339702
cg00231644	0.263363096945124	TUBB2A	6	3158512
cg00231920	0.0257566246191249	VPS16;FAM113A	20	2821308
cg00233307	0.0916693136079295	MAP4K1;EIF3K	19	39109076
cg00234616	0.266836330145604	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.03300644090674	RARA	17	38465489
cg00237010	0.0904544510468577	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.961647658681664	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0312157515974974	TTC21A;GORASP1	3	39148342
cg00240312	0.0154033038571597	NA	NA	0
cg00240432	0.109426181290972	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0540600998810589	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.0430018662071417	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0148739272968221	CR2	1	207628182
cg00250430	0.568883610901034	DMRT2	9	1051579
cg00253200	0.024431086795629	C3orf59	3	192636074
cg00256074	0.941044729907419	MYLPF	16	30386150
cg00256166	0.0469235415137483	KLHL25	15	86338428
cg00256281	0.0141716480301352	PMM1	22	41985642
cg00259755	0.015914900255156	PWWP2B	10	134209763
cg00260778	0.193050318231449	NA	NA	0
cg00261552	0.0423015216621327	CREBL2	12	12764894
cg00261781	0.0077969943997005	MATN3	2	20212517
cg00262415	0.0164975914627176	PUSL1;ACAP3	1	1242732
cg00263723	0.0432256698949095	NA	NA	0
cg00263760	0.390650890695611	VAX1	10	118897366
cg00265415	0.00866796625816608	B3GALNT2	1	235667507
cg00265490	0.0337642857175108	MTDH	8	98655845
cg00268009	0.0159687564032394	ADH5	4	100010211
cg00268338	0.0108505918309724	HECTD2;LOC100188947	10	93169495
cg00269115	0.0123937930370597	C1orf213;ZNF436	1	23695530
cg00269932	0.628304488673427	NA	NA	0
cg00273068	0.417116029626267	EMILIN3	20	39995747
cg00273124	0.911119341347787	NHP2	5	177581512
cg00274399	0.0258537054551174	FGF9	13	22245420
cg00275232	0.0152369763697289	ZNF296	19	45579541
cg00276797	0.0161417737612314	SLK	10	105726614
cg00278366	0.705167407965568	RAD9B;VPS29	12	110940287
cg00279797	0.0860717540061079	AMMECR1	X	109561918
cg00280814	0.913051738057989	ZDHHC8P	22	23745389
cg00280894	0.136533341098576	NA	NA	0
cg00282347	0.481067301265305	CHD5	1	6241040
cg00282683	0.0119557201078217	UBE3C	7	156931995
cg00283535	0.883115570955141	ANXA13	8	124749564
cg00288562	0.0560368859188942	TRA2A	7	23571645
cg00290028	0.0128344311154972	RFXAP	13	37393125
cg00290506	0.00909945628935009	CNIH3	1	224804226
cg00291877	0.0406984233654532	SNRPA1	15	101835933
cg00292662	0.0171872463853919	LGALS1	22	38071168
cg00292971	0.938405763904665	FAM131B	7	143060536
cg00293409	0.0534137390681384	LRRC33	3	196366669
cg00294382	0.59682326587837	IL23A	12	56732721
cg00295206	0.013368241005933	RAB7A	3	128444813
cg00295325	0.907500943371031	ABCB11	2	169887932
cg00296685	0.3249924972083	NA	NA	0
cg00297584	0.0204879380769525	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.912112308580999	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0198484798828493	PPP3CA	4	102268125
cg00303548	0.0092085465460609	HS6ST3	13	96742413
cg00304278	0.0605240630262861	NA	NA	0
cg00307685	0.951770054952067	BRDT	1	92415524
cg00308133	0.00704784241310432	GAMT	19	1401118
cg00308665	0.389109644440663	HTR2A	13	47469654
cg00309056	0.0178825344534874	STARD3NL	7	38218112
cg00309204	0.0190044353416961	C17orf61	17	7307432
cg00311768	0.220351760986045	TSTA3	8	144698857
cg00312919	0.0942805317764674	STARD3NL	7	38217710
cg00314943	0.88256059329008	ALPPL2	2	233270750
cg00315936	0.0547346510251286	SND1	7	127292739
cg00317680	0.0740757729271247	MTERFD1;PTDSS1	8	97274070
cg00318573	0.0692443402304667	CHRNA4	20	61993118
cg00318865	0.0081443120080913	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.0069864384768873	PKMYT1	16	3030447
cg00320243	0.0112150055308762	RAB3A	19	18314691
cg00321065	0.0160945744356121	RLF	1	40627063
cg00321478	0.782574684306507	CRB1	1	197238398
cg00323915	0.668724361039928	GIMAP4	7	150264987
cg00324733	0.0169108291160908	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.0478771485981026	DLAT	11	111896498
cg00327483	0.979897729113319	CASQ1	1	160160587
cg00328227	0.61310032935942	C1orf59	1	109204325
cg00331237	0.0344987039217306	CSRP2	12	77273319
cg00331433	0.0137471312608488	SYAP1	X	16737800
cg00332153	0.826553867083152	BANK1	4	102712010
cg00332745	0.0216044707068943	NOL3	16	67208247
cg00333226	0.0773872551239372	VWC2	7	49813763
cg00333528	0.726692922757399	GABRR1	6	89927485
cg00334507	0.0959470511857091	PRRT2	16	29824599
cg00335286	0.708288148698175	MC2R	18	13916355
cg00336605	0.0333701304420432	NR1H2	19	50879437
cg00338702	0.0217041047146348	CHFR	12	133463694
cg00338893	0.0306306593044974	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.561347038664485	GARNL3	9	130027020
cg00343092	0.0161075074257673	TSPO	22	43547974
cg00344358	0.947205717117633	GDF11	12	56135693
cg00344372	0.918275865637208	HGFAC	4	3443625
cg00344709	0.548174483307889	POTED	21	14982225
cg00346145	0.0352949040655428	RPL34;LOC285456	4	109541559
cg00347729	0.282213909853576	MMP10	11	102651753
cg00347904	0.0935606754828842	SCUBE3	6	35182508
cg00350296	0.637677905222775	CD248	11	66084841
cg00350478	0.806367781263945	FRMD1	6	168480013
cg00350702	0.0167073096694583	ERGIC3	20	34129927
cg00351011	0.00986633958392279	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.838144070481091	ZIM2	19	57306738
cg00354572	0.102692125456275	ACSS3	12	81471419
cg00355802	0.0373280388721019	DUSP4	8	29208983
cg00359325	0.0419546866050499	USP4	3	49377419
cg00359973	0.473954835798539	RIBC1;SMC1A	X	53449900
cg00363813	0.732388439563426	IFFO1	12	6664872
cg00364344	0.0166288823295069	NA	NA	0
cg00364814	0.901241598812145	R3HDM2	12	57691455
cg00365193	0.175325746025592	NA	NA	0
cg00367281	0.859005667036956	CHRNB3	8	42552470
cg00367438	0.0274106840584796	TMUB1	7	150780797
cg00368022	0.0159594412531271	C5orf22;RNASEN	5	31532653
cg00368415	0.00549905651134376	SNX27	1	151584398
cg00371195	0.967482587545969	F2	11	46740481
cg00374717	0.940147164510273	ARSG	17	66303145
cg00375964	0.0715002576955462	ABCE1;ANAPC10	4	146019130
cg00376639	0.043036044991563	ZNF581	19	56155151
cg00380464	0.0248130515953089	LTV1	6	144164650
cg00381076	0.0420912282257341	C18orf54	18	51884797
cg00382515	0.0118064168444782	MRPL44	2	224822229
cg00382991	0.0179704624191545	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.0716784740801448	TGFBI	5	135364970
cg00387170	0.0251754960701782	FOXP4	6	41514002
cg00392257	0.0949416555688299	ISG20L2	1	156696747
cg00393585	0.0302572814763649	C4orf39;TRIM61	4	165878091
cg00394658	0.201776204710531	PTPRJ	11	48001669
cg00396163	0.0193815657703766	DNAH6	2	84743584
cg00396894	0.855790476716785	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0255844173838561	PPOX	1	161136321
cg00398048	0.0483230593128825	AGA	4	178364342
cg00399483	0.128760105277571	DCC	18	49868378
cg00400028	0.461501941250409	NA	NA	0
cg00400263	0.989570447772488	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0316499136841851	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.262286262843319	TSC22D3	X	107018431
cg00405070	0.0212417830467293	ERP29;TMEM116	12	112450647
cg00405568	0.0685087245826759	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.897427078538973	RFPL3	22	32753939
cg00407150	0.835252150152784	HHATL	3	42743794
cg00410419	0.0197390001223153	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.10595726492282	STC1	8	23712355
cg00410921	0.307736287913593	NA	NA	0
cg00411097	0.161695872500111	TMEM184A	7	1596050
cg00412772	0.693807585605972	YIF1B;C19orf33	19	38794845
cg00412805	0.968139923465889	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.182987747613416	NA	NA	0
cg00415494	0.708146787252566	NA	NA	0
cg00415978	0.0444008161517486	SYNPO2	4	119809925
cg00415993	0.875431325240035	F2RL2;IQGAP2	5	75919188
cg00417297	0.0196216143567253	ZNF619	3	40518742
cg00418150	0.757991476472334	ALX4	11	44327869
cg00419564	0.0158227726875758	S100A6	1	153508860
cg00420568	0.0466465491252356	SHC3	9	91794904
cg00420715	0.0227457368346519	VPS13B	8	100025364
cg00420929	0.108985868139951	PGPEP1	19	18451112
cg00422913	0.0145196127746945	C17orf91;WDR81	17	1619022
cg00424946	0.0162929030133492	SNTB2	16	69221172
cg00425710	0.911442337802274	MT1A	16	56672671
cg00425792	0.0330702611453955	PEX12	17	33905503
cg00426056	0.0135140419184046	CUTA	6	33385896
cg00426498	0.0919604185267792	MYO18A	17	27507667
cg00426963	0.0235103653672883	KIF27	9	86535755
cg00427635	0.190860151697545	TBC1D21	15	74166372
cg00429618	0.0749282963658598	ZNF322B	9	99962350
cg00430287	0.297865319170675	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.647689512699549	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.274362409258544	MGP	12	15039025
cg00432979	0.0149595913533738	MRP63;SKA3	13	21750473
cg00433406	0.938563832323509	VWA5B1	1	20616975
cg00434413	0.801162722982549	RENBP;NAA10	X	153201653
cg00435408	0.0301442427410748	FAM192A;RSPRY1	16	57220662
cg00436282	0.916168821676158	STATH	4	70861449
cg00436301	0.0144712390769126	NT5DC1	6	116421736
cg00436603	0.416467022447709	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.00952204604365139	STOML1	15	74284481
cg00443307	0.800326112884234	KLRG1	12	9141740
cg00445824	0.0646800039533852	ISYNA1	19	18548929
cg00446235	0.106270649906086	TSTD1	1	161008644
cg00447208	0.737691178788345	TMC8;TMC6	17	76126301
cg00448720	0.926573267184854	C1QTNF9	13	24883014
cg00449941	0.0190368936235878	SPAG5	17	26926011
cg00451635	0.104727924427269	EMP2	16	10675030
cg00453193	0.0801578211210448	TES	7	115851050
cg00453258	0.768901121345697	CALHM1	10	105219172
cg00459975	0.0132689534360465	INTS9;HMBOX1	8	28749099
cg00461841	0.65692749574043	ATF7IP2	16	10523485
cg00462311	0.0765940899199409	NFATC4	14	24837184
cg00462994	0.432009227718258	NAGS;PYY	17	42081955
cg00463202	0.860698568293796	ADPRHL1	13	114107710
cg00463577	0.0175431636262217	C6orf150	6	74161911
cg00463848	0.858192215744794	KRT2	12	53046105
cg00464269	0.0131137975369692	TNFAIP1;IFT20	17	26662842
cg00465284	0.0335434950625336	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0135981729112993	NA	NA	0
cg00466249	0.122376810676434	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0264040580956334	C14orf101	14	57046243
cg00468146	0.0730713124229296	ID4	6	19838211
cg00469635	0.00723182108457383	PPME1;C2CD3	11	73882471
cg00471562	0.0102079894215516	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0174070868482129	ADAMTS1	21	28217676
cg00474004	0.651415344542849	IFNA14	9	21239944
cg00474209	0.0368665483928609	DLL1	6	170600060
cg00475955	0.0104849204276723	C9orf114	9	131592049
cg00476577	0.0248221451909608	NA	NA	0
cg00476580	0.0101419447988464	ANP32E	1	150207583
cg00479269	0.0374556258538716	C2orf29	2	101869975
cg00480115	0.107778082040735	FXYD3	19	35606877
cg00480209	0.00767422919332988	SCO1;C17orf48	17	10600689
cg00480356	0.0500173835842503	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0157001585137731	DDX41	5	176943504
cg00485296	0.00537271019424427	NME3	16	1821559
cg00485380	0.0307873174636736	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0107304738006129	SOCS1	16	11349568
cg00488300	0.965663236287908	NA	NA	0
cg00488364	0.867474080610486	IL13RA2	X	114253315
cg00488718	0.0177727462183266	MFSD8;C4orf29	4	128887044
cg00489401	0.825958928222774	FLT4	5	180075875
cg00491404	0.934297172162302	EPS8L3	1	110306591
cg00491839	0.0602266593077764	PPP1R15A	19	49375640
cg00493400	0.0144714108702779	STAT1	2	191879127
cg00495415	0.0170035268820727	SP1	12	53773795
cg00495442	0.0506433884699909	RALGAPB	20	37101172
cg00495491	0.649838526541842	NA	NA	0
cg00496170	0.0152719147359664	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.661170866397702	PPEF1	X	18709116
cg00497251	0.0388092260227716	RNPEPL1	2	241508725
cg00498305	0.0955360252421466	SLC18A2	10	119000236
cg00498604	0.0563077223846685	TLL1	4	166793789
cg00499599	0.0134967915169149	C21orf57;MCM3AP	21	47706392
cg00499822	0.512259325690153	CXCL12	10	44881551
cg00500400	0.01501858681215	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0109653576569486	ZDHHC14	6	157801893
