Hybridization REF	TCGA-BH-A0DO-01B-11D-A12E-05	TCGA-BH-A0DO-01B-11D-A12E-05	TCGA-BH-A0DO-01B-11D-A12E-05	TCGA-BH-A0DO-01B-11D-A12E-05
cg00071250	0.795963282974597	FASLG	1	172628263
cg00071998	0.0199267887826043	MSH5	6	31708121
cg00072216	0.0190784925227278	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.130843672607378	STRA6	15	74495354
cg00076645	0.0261316165549019	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.893029202594944	ASAP1	8	131414474
cg00078194	0.0140226904442279	MDK	11	46402949
cg00078867	0.562786748359209	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0343066241475428	ARFGAP3	22	43253521
cg00080012	0.0103207696056025	EED	11	85955689
cg00081935	0.0254110008681031	TSPAN9	12	3186906
cg00081975	0.0274204332330149	ABCC3	17	48712370
cg00083720	0.0146245088840875	NA	NA	0
cg00083937	0.51829022810054	MAPK8IP2	22	51039805
cg00084687	0.0135201537529298	GATAD1	7	92076896
cg00089071	0.0147182206425188	PCGF2	17	36905809
cg00090147	0.148008606371156	GATA4	8	11562367
cg00091693	0.387814254327604	KRT20	17	39041602
cg00093177	0.859055348549818		17	37185495
cg00094319	0.65536258923162	PABPC3	13	25670530
cg00094851	0.0589965645618474	KIF3C	2	26205706
cg00095526	0.803476645277724	CACNA1S	1	201081686
cg00095674	0.0371621087447778	PLEKHO1	1	150122654
cg00096922	0.102158973201101	DLX5	7	96654185
cg00097536	0.0129046971329869	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.00975741702516669	PNPLA6	19	7599173
cg00099550	0.0243993223794528	NA	NA	0
cg00101227	0.708331656791938	MPZ	1	161280266
cg00103783	0.0142056760775103	MPDU1	17	7487249
cg00105253	0.0216411493196707	NUDT14	14	105647194
cg00105470	0.0143231336937038	C1orf35	1	228290868
cg00107187	0.438779084979051	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0239627280292932	PGM2	4	37828500
cg00108454	0.290293839426388	C1QA	1	22963614
cg00109274	0.0829538969977404	DGKH	13	42623032
cg00112517	0.0462039178081792	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.086038590516872	CABP1	12	121078090
cg00115714	0.271797680420982	AMD1	6	111196112
cg00116234	0.0310353486373338	ADAMTSL1	9	18474243
cg00116838	0.311596985974475	RTN2;FLJ40125	19	46001746
cg00117172	0.285114026368154	RUNX3	1	25255838
cg00119079	0.0523683246108065	LAMP3	3	182880278
cg00121158	0.016610187404012	KDM4C	9	6757826
cg00121640	0.0447620856493572	ASTN2	9	120176515
cg00121904	0.0645775344185764	MAOB	X	43741826
cg00123035	0.0182303289429867	RFX5	1	151319538
cg00126034	0.0366614945784201	WNT3	17	44896162
cg00126657	0.316724234463407	SSX6	X	47967250
cg00126698	0.477266536393493	BTK	X	100640503
cg00128197	0.347121363495346	HSD17B10	X	53461455
cg00128560	0.968461826956489	TIGD7	16	3352013
cg00128654	0.022746353499341	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0589467291727547	MKNK1	1	47070178
cg00129774	0.0142519476217316	CDK2;SILV	12	56360414
cg00131121	0.0233927360610921	POLR2J	7	102119710
cg00131557	0.939591570086677	DNAJC15	13	43596656
cg00132141	0.640314772330688	CTNNA3	10	69456307
cg00133909	0.0427461490653667	CD276	15	73977201
cg00134539	0.90356614033112	UBASH3A	21	43824071
cg00134787	0.448397633120939	MYH1	17	10419499
cg00135056	0.111344731094815	C3orf37	3	128997295
cg00135393	0.48542683453588	NA	NA	0
cg00136105	0.022746646017045	GNPTAB	12	102224911
cg00136405	0.603047041284713	IL21	4	123542198
cg00136477	0.683794167115793	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.760707081634418	PMEPA1	20	56286697
cg00141162	0.607193467153919	HCLS1	3	121379777
cg00141550	0.659100853489671	NA	NA	0
cg00141845	0.106930262513977	UPRT	X	74493352
cg00143376	0.67063141962852	NMUR1	2	232394702
cg00143998	0.258423706565604	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.167144601580486	GNPDA1	5	141393931
cg00145348	0.402847702651628	APEX2	X	55026862
cg00146096	0.0386613020736029	FANCF	11	22647309
cg00149659	0.0211453384526924	C3orf10	3	10157352
cg00149976	0.0267921869372893	MGLL	3	127541529
cg00151234	0.337307913456803	PGK1	X	77359363
cg00151607	0.0152954609101593	TRAPPC2L;GALNS	16	88923507
cg00152644	0.472265652332232	SPRR2E	1	153068236
cg00155167	0.0328220528453399	VPS13B	8	100025831
cg00155485	0.036979791782912	MED13L	12	116714600
cg00155609	0.0724718817438153	PRDX2	19	12912527
cg00156216	0.021861864142167	APLP2	11	129939849
cg00156744	0.0814468031211543	STK10	5	171615663
cg00158308	0.0492457384004647	OXGR1	13	97646341
cg00160914	0.277505043286103	DDX20;C1orf183	1	112299263
cg00162401	0.0238311537014106	GSTA4	6	52859823
cg00162643	0.0333695181195768	DDX58	9	32526492
cg00164041	0.12756800672959	NA	NA	0
cg00164898	0.0479205694954143	MAPK11	22	50709127
cg00165981	0.0398465137585264	COL4A3BP;POLK	5	74808039
cg00167504	0.0123012385952507	BLVRA	7	43798622
cg00168082	0.0286262982441212	ABL1	9	133589177
cg00168785	0.047321528245365	WDSUB1	2	160142643
cg00168942	0.527856858124858	GJD4	10	35894430
cg00169548	0.168573682460251	NA	NA	0
cg00171126	0.0290835327033412	WRB	21	40752522
cg00171161	0.0533120730951504	NUDT9	4	88343636
cg00174500	0.486429674440526	CMTM5	14	23846479
cg00174901	0.23443729575077	PALM	19	709889
cg00176210	0.523620815873708	ANK1	8	41654967
cg00176879	0.989850377163885	VPS16;PTPRA	20	2843525
cg00177013	0.040866753387842	ARFRP1;ZGPAT	20	62339100
cg00177698	0.01578632528035	PNPO	17	46018875
cg00177923	0.0149990397533183	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.0998942852898264	UPF3B	X	118986947
cg00180012	0.0822931039925859	LACE1	6	108615929
cg00180631	0.510966916082666	MTM1	X	149736640
cg00182461	0.0437847822418511	NA	NA	0
cg00183782	0.80597683575225	NA	NA	0
cg00183916	0.0218603362482358	HS3ST3B1	17	14204936
cg00184884	0.0109254607017672	SFI1	22	31892343
cg00184893	0.0142063157139888	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0184665607013069	LRDD	11	804954
cg00186141	0.0214231743152509	PODXL	7	131241768
cg00186701	0.200689142150381	TSPYL5	8	98290510
cg00186954	0.837235635346006	ST5;C11orf17	11	8933980
cg00187380	0.028206954898058	HOXC4;HOXC5	12	54427384
cg00187686	0.221910877875674	TCN1	11	59634218
cg00188348	0.578363707457272	NA	NA	0
cg00191052	0.403586763043067	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0558934490603467	FAM53C	5	137673669
cg00197641	0.0431267760326522	MRPL52	14	23299461
cg00199549	0.963393595535685	MCM5	22	35795374
cg00200063	0.0167917373297545	USP32	17	58469941
cg00201234	0.408411700404544	FBLN2	3	13590968
cg00202702	0.0126689423018188	C11orf70	11	101918157
cg00202711	0.30295653221775	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0289897348623367	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0222879287501835	KIAA0174	16	71929512
cg00208830	0.877423802119799	LAMC2	1	183154778
cg00208967	0.215093848205059	OLFM2	19	10047924
cg00209066	0.932997700585758	BRD1	22	50218923
cg00209951	0.062887996289116	DENND2C	1	115212834
cg00210842	0.029734764019039	APAF1;IKBIP	12	99039578
cg00211661	0.0154240704016408	ARAP1	11	72433619
cg00212549	0.0613921303849152	NA	NA	0
cg00213044	0.695734108817387	KRT6A	12	52886438
cg00213331	0.945764503851424	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0161055912314527	NA	NA	0
cg00214794	0.493204148281203	NA	NA	0
cg00214855	0.183595498474959	CCDC90A	6	13813947
cg00215066	0.973157839238065	MYO9B	19	17212316
cg00216361	0.0316374610182735	GAP43	3	115342527
cg00216758	0.0280400244653792	RASSF7;C11orf35	11	560589
cg00217795	0.252718116408121	DIO2	14	80677688
cg00221494	0.306776013811115	FARP1	13	98794593
cg00223186	0.0220658021249405	ACBD6	1	180472200
cg00223950	0.0238139056871781	UBR4	1	19536222
cg00224234	0.0324695711569344	GLOD4;RNMTL1	17	685693
cg00224508	0.01493979638328	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.896777641670839	FGD2	6	36972027
cg00228799	0.0162521737227746	ENDOG	9	131580591
cg00229387	0.048338896175097	TJAP1	6	43445942
cg00230271	0.0281570816168468	TBCK;AIMP1	4	107237183
cg00230368	0.0268390544417401	IGF2R	6	160389833
cg00230502	0.0672364301119737	CCDC60	12	119772381
cg00230685	0.510054060379855	SCML1	X	17755839
cg00231140	0.0595971494776237	ACAA2;SCARNA17	18	47339702
cg00231644	0.357341532486214	TUBB2A	6	3158512
cg00231920	0.028450250462863	VPS16;FAM113A	20	2821308
cg00233307	0.0217479200517367	MAP4K1;EIF3K	19	39109076
cg00234616	0.473486378210101	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.033110464093543	RARA	17	38465489
cg00237010	0.239413440785138	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.95775602201068	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0444147416825789	TTC21A;GORASP1	3	39148342
cg00240312	0.0426838986026518	NA	NA	0
cg00240432	0.145570292437149	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0364384669746424	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.0756650979641354	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0474217653446742	CR2	1	207628182
cg00250430	0.40951824918497	DMRT2	9	1051579
cg00253200	0.0358259715963265	C3orf59	3	192636074
cg00256074	0.926474051482306	MYLPF	16	30386150
cg00256166	0.0308744467545614	KLHL25	15	86338428
cg00256281	0.00859747210003879	PMM1	22	41985642
cg00259755	0.0968379344046165	PWWP2B	10	134209763
cg00260778	0.174449045851548	NA	NA	0
cg00261552	0.0436789412791075	CREBL2	12	12764894
cg00261781	0.0115312213654166	MATN3	2	20212517
cg00262415	0.0200616876081097	PUSL1;ACAP3	1	1242732
cg00263723	0.0215929798207949	NA	NA	0
cg00263760	0.392061300959598	VAX1	10	118897366
cg00265415	0.0113427832606009	B3GALNT2	1	235667507
cg00265490	0.0388998211377799	MTDH	8	98655845
cg00268009	0.0224943028500353	ADH5	4	100010211
cg00268338	0.0192144067998202	HECTD2;LOC100188947	10	93169495
cg00269115	0.0164995443989962	C1orf213;ZNF436	1	23695530
cg00269932	0.761685518446144	NA	NA	0
cg00273068	0.621282715348623	EMILIN3	20	39995747
cg00273124	0.719795042276296	NHP2	5	177581512
cg00274399	0.0264820135285636	FGF9	13	22245420
cg00275232	0.0121085970990773	ZNF296	19	45579541
cg00276797	0.0235730531871066	SLK	10	105726614
cg00278366	0.585192995533143	RAD9B;VPS29	12	110940287
cg00279797	0.139110200108868	AMMECR1	X	109561918
cg00280814	0.797778685177382	ZDHHC8P	22	23745389
cg00280894	0.275074809604395	NA	NA	0
cg00282347	0.137920116368483	CHD5	1	6241040
cg00282683	0.0172801185969404	UBE3C	7	156931995
cg00283535	0.762170919596524	ANXA13	8	124749564
cg00288562	0.15315596904422	TRA2A	7	23571645
cg00290028	0.016155850771233	RFXAP	13	37393125
cg00290506	0.297911015394203	CNIH3	1	224804226
cg00291877	0.0686190105361313	SNRPA1	15	101835933
cg00292662	0.0155792521785474	LGALS1	22	38071168
cg00292971	0.888068787748159	FAM131B	7	143060536
cg00293409	0.0536857431438731	LRRC33	3	196366669
cg00294382	0.320208171865105	IL23A	12	56732721
cg00295206	0.0193921873810989	RAB7A	3	128444813
cg00295325	0.767698664234106	ABCB11	2	169887932
cg00296685	0.361246791523334	NA	NA	0
cg00297584	0.0916959516305638	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.781241992452688	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0807207874768054	PPP3CA	4	102268125
cg00303548	0.00970081848154586	HS6ST3	13	96742413
cg00304278	0.0364681194085554	NA	NA	0
cg00307685	0.929671966861885	BRDT	1	92415524
cg00308133	0.00645635519287365	GAMT	19	1401118
cg00308665	0.0692932082755707	HTR2A	13	47469654
cg00309056	0.0256512030194786	STARD3NL	7	38218112
cg00309204	0.0163702510668943	C17orf61	17	7307432
cg00311768	0.225049906276127	TSTA3	8	144698857
cg00312919	0.0666418834814424	STARD3NL	7	38217710
cg00314943	0.837651602524821	ALPPL2	2	233270750
cg00315936	0.0502580288286861	SND1	7	127292739
cg00317680	0.200624149412785	MTERFD1;PTDSS1	8	97274070
cg00318573	0.0809802593691259	CHRNA4	20	61993118
cg00318865	0.0150561003272281	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.0109457212677138	PKMYT1	16	3030447
cg00320243	0.0190046477803899	RAB3A	19	18314691
cg00321065	0.0132941176515321	RLF	1	40627063
cg00321478	0.643199498427336	CRB1	1	197238398
cg00323915	0.738923362910861	GIMAP4	7	150264987
cg00324733	0.0214650608039901	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.0696313766592533	DLAT	11	111896498
cg00327483	0.975196371301531	CASQ1	1	160160587
cg00328227	0.39437129898666	C1orf59	1	109204325
cg00331237	0.0273685397930898	CSRP2	12	77273319
cg00331433	0.0228730560668156	SYAP1	X	16737800
cg00332153	0.388206382273751	BANK1	4	102712010
cg00332745	0.0164093191438364	NOL3	16	67208247
cg00333226	0.40978594540955	VWC2	7	49813763
cg00333528	0.194606122624308	GABRR1	6	89927485
cg00334507	0.76824132134439	PRRT2	16	29824599
cg00335286	0.213242584966954	MC2R	18	13916355
cg00336605	0.0384652777584197	NR1H2	19	50879437
cg00338702	0.0214511154748826	CHFR	12	133463694
cg00338893	0.0249780777022533	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.131932352370387	GARNL3	9	130027020
cg00343092	0.0182100412545481	TSPO	22	43547974
cg00344358	0.935628254270229	GDF11	12	56135693
cg00344372	0.856327335909715	HGFAC	4	3443625
cg00344709	0.772731938088461	POTED	21	14982225
cg00346145	0.0423094739920756	RPL34;LOC285456	4	109541559
cg00347729	0.22034352057236	MMP10	11	102651753
cg00347904	0.0488449800859716	SCUBE3	6	35182508
cg00350296	0.0687395326347442	CD248	11	66084841
cg00350478	0.613027368442803	FRMD1	6	168480013
cg00350702	0.0338255223697377	ERGIC3	20	34129927
cg00351011	0.0160546388846218	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.634876161609294	ZIM2	19	57306738
cg00354572	0.124155261681863	ACSS3	12	81471419
cg00355802	0.0297116033183436	DUSP4	8	29208983
cg00359325	0.0403348499996725	USP4	3	49377419
cg00359973	0.0419150120174679	RIBC1;SMC1A	X	53449900
cg00363813	0.624926743243629	IFFO1	12	6664872
cg00364344	0.016099485428396	NA	NA	0
cg00364814	0.92691474925737	R3HDM2	12	57691455
cg00365193	0.258865974927082	NA	NA	0
cg00367281	0.67597600745299	CHRNB3	8	42552470
cg00367438	0.0312607700651981	TMUB1	7	150780797
cg00368022	0.0456198167974354	C5orf22;RNASEN	5	31532653
cg00368415	0.0121974086803404	SNX27	1	151584398
cg00371195	0.972411474020945	F2	11	46740481
cg00374717	0.929236009706222	ARSG	17	66303145
cg00375964	0.206149704329215	ABCE1;ANAPC10	4	146019130
cg00376639	0.0975129408514586	ZNF581	19	56155151
cg00380464	0.0318869578728422	LTV1	6	144164650
cg00381076	0.0515120414247428	C18orf54	18	51884797
cg00382515	0.0143838233267757	MRPL44	2	224822229
cg00382991	0.0482407983822962	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.0350005173524601	TGFBI	5	135364970
cg00387170	0.0302971027801742	FOXP4	6	41514002
cg00392257	0.155578765499237	ISG20L2	1	156696747
cg00393585	0.202586272793305	C4orf39;TRIM61	4	165878091
cg00394658	0.399515248389619	PTPRJ	11	48001669
cg00396163	0.0178541092102781	DNAH6	2	84743584
cg00396894	0.794248798326617	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0202033606527595	PPOX	1	161136321
cg00398048	0.0985944881772332	AGA	4	178364342
cg00399483	0.278496536061585	DCC	18	49868378
cg00400028	0.301372699990006	NA	NA	0
cg00400263	0.989520495312371	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0708519046197865	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.388584013384136	TSC22D3	X	107018431
cg00405070	0.0261726835080061	ERP29;TMEM116	12	112450647
cg00405568	0.107649072888698	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.680486120641828	RFPL3	22	32753939
cg00407150	0.698604613159093	HHATL	3	42743794
cg00410419	0.0323689727802011	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.0714455664754263	STC1	8	23712355
cg00410921	0.202379325858287	NA	NA	0
cg00411097	0.236000482093026	TMEM184A	7	1596050
cg00412772	0.623203122009586	YIF1B;C19orf33	19	38794845
cg00412805	0.974937014582917	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.0404216082706387	NA	NA	0
cg00415494	0.736569375017868	NA	NA	0
cg00415978	0.0606501439145125	SYNPO2	4	119809925
cg00415993	0.798854101201498	F2RL2;IQGAP2	5	75919188
cg00417297	0.0178971584589694	ZNF619	3	40518742
cg00418150	0.430211046136258	ALX4	11	44327869
cg00419564	0.022720288795905	S100A6	1	153508860
cg00420568	0.0641933676631463	SHC3	9	91794904
cg00420715	0.0597345189159377	VPS13B	8	100025364
cg00420929	0.310279695178975	PGPEP1	19	18451112
cg00422913	0.0208707029114435	C17orf91;WDR81	17	1619022
cg00424946	0.0343909247910155	SNTB2	16	69221172
cg00425710	0.882732750369902	MT1A	16	56672671
cg00425792	0.0471502072476354	PEX12	17	33905503
cg00426056	0.0255935527064188	CUTA	6	33385896
cg00426498	0.120266753128941	MYO18A	17	27507667
cg00426963	0.0265111769618832	KIF27	9	86535755
cg00427635	0.155550868581969	TBC1D21	15	74166372
cg00429618	0.095669876256239	ZNF322B	9	99962350
cg00430287	0.807329688836528	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.431689453602299	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.0787672049245595	MGP	12	15039025
cg00432979	0.0247776028720564	MRP63;SKA3	13	21750473
cg00433406	0.961018745918137	VWA5B1	1	20616975
cg00434413	0.979012063937553	RENBP;NAA10	X	153201653
cg00435408	0.0506699717049499	FAM192A;RSPRY1	16	57220662
cg00436282	0.912262563172517	STATH	4	70861449
cg00436301	0.0101873693955232	NT5DC1	6	116421736
cg00436603	0.507922843395873	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.0156445193617228	STOML1	15	74284481
cg00443307	0.774183905218715	KLRG1	12	9141740
cg00445824	0.100117541045164	ISYNA1	19	18548929
cg00446235	0.128162750502916	TSTD1	1	161008644
cg00447208	0.712646960136288	TMC8;TMC6	17	76126301
cg00448720	0.875419326651523	C1QTNF9	13	24883014
cg00449941	0.0146701942099536	SPAG5	17	26926011
cg00451635	0.0662378848066786	EMP2	16	10675030
cg00453193	0.103066998758322	TES	7	115851050
cg00453258	0.825865421987581	CALHM1	10	105219172
cg00459975	0.0140869475307868	INTS9;HMBOX1	8	28749099
cg00461841	0.588139936396298	ATF7IP2	16	10523485
cg00462311	0.0823536701404426	NFATC4	14	24837184
cg00462994	0.200866579825072	NAGS;PYY	17	42081955
cg00463202	0.854355765555185	ADPRHL1	13	114107710
cg00463577	0.0313469070659482	C6orf150	6	74161911
cg00463848	0.810485867374186	KRT2	12	53046105
cg00464269	0.0126005531328015	TNFAIP1;IFT20	17	26662842
cg00465284	0.0546038598117906	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0159772469318062	NA	NA	0
cg00466249	0.12848649853918	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0197327371000791	C14orf101	14	57046243
cg00468146	0.10555021858625	ID4	6	19838211
cg00469635	0.0132990235726399	PPME1;C2CD3	11	73882471
cg00471562	0.0292787156859019	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0755884840436082	ADAMTS1	21	28217676
cg00474004	0.43322703737283	IFNA14	9	21239944
cg00474209	0.0226529868744265	DLL1	6	170600060
cg00475955	0.0111067780630093	C9orf114	9	131592049
cg00476577	0.0591893530892596	NA	NA	0
cg00476580	0.0165958238191969	ANP32E	1	150207583
cg00479269	0.0381824092811833	C2orf29	2	101869975
cg00480115	0.12738373167739	FXYD3	19	35606877
cg00480209	0.0237616277369335	SCO1;C17orf48	17	10600689
cg00480356	0.0560235842892648	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0172678216050564	DDX41	5	176943504
cg00485296	0.00923385766103783	NME3	16	1821559
cg00485380	0.0213022597326811	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0127780741230499	SOCS1	16	11349568
cg00488300	0.947563875753659	NA	NA	0
cg00488364	0.70612847112307	IL13RA2	X	114253315
cg00488718	0.027849223231352	MFSD8;C4orf29	4	128887044
cg00489401	0.562822985808716	FLT4	5	180075875
cg00491404	0.868217254022288	EPS8L3	1	110306591
cg00491839	0.149886468523559	PPP1R15A	19	49375640
cg00493400	0.0218665718934799	STAT1	2	191879127
cg00495415	0.017077488607898	SP1	12	53773795
cg00495442	0.0442765423782595	RALGAPB	20	37101172
cg00495491	0.715803688111369	NA	NA	0
cg00496170	0.0139088215083443	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.695879834142467	PPEF1	X	18709116
cg00497251	0.0460817597670384	RNPEPL1	2	241508725
cg00498305	0.235914721977783	SLC18A2	10	119000236
cg00498604	0.0711885990219725	TLL1	4	166793789
cg00499599	0.0306921681158598	C21orf57;MCM3AP	21	47706392
cg00499822	0.276551944449377	CXCL12	10	44881551
cg00500400	0.0299791255745539	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0124021364411273	ZDHHC14	6	157801893
