Hybridization REF	TCGA-A8-A0A7-01A-11D-A00Y-05	TCGA-A8-A0A7-01A-11D-A00Y-05	TCGA-A8-A0A7-01A-11D-A00Y-05	TCGA-A8-A0A7-01A-11D-A00Y-05
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.673014333222416	STRA6	15	74495354
cg00076645	0.0173658283670007	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.439078909906801	ASAP1	8	131414474
cg00078194	0.0192100589271816	MDK	11	46402949
cg00078867	0.541657198381924	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0218992372089724	ARFGAP3	22	43253521
cg00080012	0.0117644288396843	EED	11	85955689
cg00081935	0.0399712885784099	TSPAN9	12	3186906
cg00081975	0.0415527060277733	ABCC3	17	48712370
cg00083720	0.0173672422333771	NA	NA	0
cg00083937	0.529573820148916	MAPK8IP2	22	51039805
cg00084687	0.0141234672702016	GATAD1	7	92076896
cg00089071	0.0111294680706063	PCGF2	17	36905809
cg00090147	0.35369922753764	GATA4	8	11562367
cg00091693	0.527872096722396	KRT20	17	39041602
cg00093177	0.891119838224283		17	37185495
cg00094319	0.772910956065635	PABPC3	13	25670530
cg00094851	0.076138948411419	KIF3C	2	26205706
cg00095526	0.692204333670824	CACNA1S	1	201081686
cg00095674	0.0464727427627874	PLEKHO1	1	150122654
cg00096922	0.0374880382748082	DLX5	7	96654185
cg00097536	0.0115734784313556	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0158169865832403	PNPLA6	19	7599173
cg00099550	0.0212267069998043	NA	NA	0
cg00101227	0.80622521998286	MPZ	1	161280266
cg00103783	0.0107422401377597	MPDU1	17	7487249
cg00105253	0.0456926875211496	NUDT14	14	105647194
cg00105470	0.0192222716882516	C1orf35	1	228290868
cg00107187	0.363167782691033	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.00963961361292441	PGM2	4	37828500
cg00108454	0.396183431610071	C1QA	1	22963614
cg00109274	0.00753283831858317	DGKH	13	42623032
cg00112517	0.200614869108989	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.107699368538265	CABP1	12	121078090
cg00115714	0.030655519355297	AMD1	6	111196112
cg00116234	0.041362989835513	ADAMTSL1	9	18474243
cg00116838	0.0996539539560098	RTN2;FLJ40125	19	46001746
cg00117172	0.541730724993624	RUNX3	1	25255838
cg00119079	0.294050270006705	LAMP3	3	182880278
cg00121158	0.0147402897205779	KDM4C	9	6757826
cg00121640	0.103958243682344	ASTN2	9	120176515
cg00121904	0.298682683693931	MAOB	X	43741826
cg00123035	0.0310455268053189	RFX5	1	151319538
cg00126034	0.0398661970289473	WNT3	17	44896162
cg00126657	0.330279253679279	SSX6	X	47967250
cg00126698	0.635261532364279	BTK	X	100640503
cg00128197	0.274657381706803	HSD17B10	X	53461455
cg00128560	0.943423183690692	TIGD7	16	3352013
cg00128654	0.014767425165367	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0830933512581891	MKNK1	1	47070178
cg00129774	0.0166671952615835	CDK2;SILV	12	56360414
cg00131121	0.0209441684446391	POLR2J	7	102119710
cg00131557	0.935732325786155	DNAJC15	13	43596656
cg00132141	0.497657221376226	CTNNA3	10	69456307
cg00133909	0.051774046181984	CD276	15	73977201
cg00134539	0.581522951332961	UBASH3A	21	43824071
cg00134787	0.646897564353009	MYH1	17	10419499
cg00135056	0.199873017106157	C3orf37	3	128997295
cg00135393	0.159695759456241	NA	NA	0
cg00136105	0.0156035826175693	GNPTAB	12	102224911
cg00136405	0.203637408328052	IL21	4	123542198
cg00136477	0.615260514122544	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.690072530523964	PMEPA1	20	56286697
cg00141162	0.216802942414526	HCLS1	3	121379777
cg00141550	0.671350255739938	NA	NA	0
cg00141845	0.245607099649546	UPRT	X	74493352
cg00143376	0.564303737726568	NMUR1	2	232394702
cg00143998	0.0324292251290671	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.50203927114832	GNPDA1	5	141393931
cg00145348	0.513237786712936	APEX2	X	55026862
cg00146096	0.0139169628822258	FANCF	11	22647309
cg00149659	0.0214373270487698	C3orf10	3	10157352
cg00149976	0.0107864117115545	MGLL	3	127541529
cg00151234	0.356905076794554	PGK1	X	77359363
cg00151607	0.0130664121544951	TRAPPC2L;GALNS	16	88923507
cg00152644	0.892852491960404	SPRR2E	1	153068236
cg00155167	0.016922569424952	VPS13B	8	100025831
cg00155485	0.023080307030964	MED13L	12	116714600
cg00155609	0.0144377341355373	PRDX2	19	12912527
cg00156216	0.0218942771604849	APLP2	11	129939849
cg00156744	0.0133806379760545	STK10	5	171615663
cg00158308	0.140903250001034	OXGR1	13	97646341
cg00160914	0.141686701222775	DDX20;C1orf183	1	112299263
cg00162401	0.0163466626236487	GSTA4	6	52859823
cg00162643	0.0265962459988703	DDX58	9	32526492
cg00164041	0.0243516480017485	NA	NA	0
cg00164898	0.0228226443142504	MAPK11	22	50709127
cg00165981	0.0302040173046135	COL4A3BP;POLK	5	74808039
cg00167504	0.0191273821060454	BLVRA	7	43798622
cg00168082	0.0306645940624211	ABL1	9	133589177
cg00168785	0.278942909420879	WDSUB1	2	160142643
cg00168942	0.460345120731505	GJD4	10	35894430
cg00169548	0.23834869912825	NA	NA	0
cg00171126	0.0238586516638271	WRB	21	40752522
cg00171161	0.0435178590365487	NUDT9	4	88343636
cg00174500	0.605984307590918	CMTM5	14	23846479
cg00174901	0.445514303936679	PALM	19	709889
cg00176210	0.641492775789497	ANK1	8	41654967
cg00176879	0.991267943559604	VPS16;PTPRA	20	2843525
cg00177013	0.0480304599504132	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0240596514408004	PNPO	17	46018875
cg00177923	0.0123633192884029	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.222327475261138	UPF3B	X	118986947
cg00180012	0.0191235051284434	LACE1	6	108615929
cg00180631	0.421247428933488	MTM1	X	149736640
cg00182461	0.0317735933573745	NA	NA	0
cg00183782	0.827246720748348	NA	NA	0
cg00183916	0.0122357129335704	HS3ST3B1	17	14204936
cg00184884	0.0129974267550184	SFI1	22	31892343
cg00184893	0.0149474757831869	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0199522997269032	LRDD	11	804954
cg00186141	0.017633626680262	PODXL	7	131241768
cg00186701	0.103118443686416	TSPYL5	8	98290510
cg00186954	0.794472417931643	ST5;C11orf17	11	8933980
cg00187380	0.0859115472545847	HOXC4;HOXC5	12	54427384
cg00187686	0.355234564205176	TCN1	11	59634218
cg00188348	0.635860812187356	NA	NA	0
cg00191052	0.358493373978256	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0141210478782477	FAM53C	5	137673669
cg00197641	0.0183048038256201	MRPL52	14	23299461
cg00199549	0.753521436361116	MCM5	22	35795374
cg00200063	0.0155978351498889	USP32	17	58469941
cg00201234	0.329110739367742	FBLN2	3	13590968
cg00202702	0.0153528595463699	C11orf70	11	101918157
cg00202711	0.411436645735337	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0203003636702011	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0186245947261283	KIAA0174	16	71929512
cg00208830	0.609371897142982	LAMC2	1	183154778
cg00208967	0.115631086996564	OLFM2	19	10047924
cg00209066	0.855464658295889	BRD1	22	50218923
cg00209951	0.0426313299417045	DENND2C	1	115212834
cg00210842	0.0274665430056016	APAF1;IKBIP	12	99039578
cg00211661	0.0175154752148163	ARAP1	11	72433619
cg00212549	0.0457819348682621	NA	NA	0
cg00213044	0.626295560257511	KRT6A	12	52886438
cg00213331	0.915659999063491	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0174958830711382	NA	NA	0
cg00214794	0.641597594609974	NA	NA	0
cg00214855	0.127841922057576	CCDC90A	6	13813947
cg00215066	0.955221406707625	MYO9B	19	17212316
cg00216361	0.044495004586869	GAP43	3	115342527
cg00216758	0.0244983201809744	RASSF7;C11orf35	11	560589
cg00217795	0.517941427367367	DIO2	14	80677688
cg00221494	0.153226714279763	FARP1	13	98794593
cg00223186	0.0171354855236928	ACBD6	1	180472200
cg00223950	0.0284274273541865	UBR4	1	19536222
cg00224234	0.00704681636519254	GLOD4;RNMTL1	17	685693
cg00224508	0.0117082571854728	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.70816977315338	FGD2	6	36972027
cg00228799	0.0189062208143836	ENDOG	9	131580591
cg00229387	0.171840851430434	TJAP1	6	43445942
cg00230271	0.0383697439879314	TBCK;AIMP1	4	107237183
cg00230368	0.0146865126514021	IGF2R	6	160389833
cg00230502	0.0619148709435881	CCDC60	12	119772381
cg00230685	0.502680283787092	SCML1	X	17755839
cg00231140	0.0142148058897169	ACAA2;SCARNA17	18	47339702
cg00231644	0.190546655373772	TUBB2A	6	3158512
cg00231920	0.0209790269974147	VPS16;FAM113A	20	2821308
cg00233307	0.0234354774320856	MAP4K1;EIF3K	19	39109076
cg00234616	0.452010653865582	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.461821662230428	RARA	17	38465489
cg00237010	0.454118084221749	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.934103372655035	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0824919399908618	TTC21A;GORASP1	3	39148342
cg00240312	0.115812976212228	NA	NA	0
cg00240432	0.0179819146098652	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.015413351603721	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.0316919461718939	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0183050427152059	CR2	1	207628182
cg00250430	0.340084565543935	DMRT2	9	1051579
cg00253200	0.0182437594880669	C3orf59	3	192636074
cg00256074	0.915917761002355	MYLPF	16	30386150
cg00256166	0.0189239672902055	KLHL25	15	86338428
cg00256281	0.0127546880426888	PMM1	22	41985642
cg00259755	0.0919131950141348	PWWP2B	10	134209763
cg00260778	0.564467199462823	NA	NA	0
cg00261552	0.0375958655784461	CREBL2	12	12764894
cg00261781	0.0374571413258905	MATN3	2	20212517
cg00262415	0.019650197826848	PUSL1;ACAP3	1	1242732
cg00263723	0.0141297992057665	NA	NA	0
cg00263760	0.349601593870891	VAX1	10	118897366
cg00265415	0.0113289485430953	B3GALNT2	1	235667507
cg00265490	0.0214317423446068	MTDH	8	98655845
cg00268009	0.011625022651369	ADH5	4	100010211
cg00268338	0.0115101328861608	HECTD2;LOC100188947	10	93169495
cg00269115	0.0156532223945157	C1orf213;ZNF436	1	23695530
cg00269932	0.897022426298248	NA	NA	0
cg00273068	0.200719686839521	EMILIN3	20	39995747
cg00273124	0.702227235490681	NHP2	5	177581512
cg00274399	0.0260384793668313	FGF9	13	22245420
cg00275232	0.0181872758194494	ZNF296	19	45579541
cg00276797	0.0175289449734906	SLK	10	105726614
cg00278366	0.339775948807098	RAD9B;VPS29	12	110940287
cg00279797	0.179284966358268	AMMECR1	X	109561918
cg00280814	0.732024329343487	ZDHHC8P	22	23745389
cg00280894	0.336683940822215	NA	NA	0
cg00282347	0.044273912655523	CHD5	1	6241040
cg00282683	0.0111095763219654	UBE3C	7	156931995
cg00283535	0.751803861218467	ANXA13	8	124749564
cg00288562	0.0157286541966835	TRA2A	7	23571645
cg00290028	0.0124959789201779	RFXAP	13	37393125
cg00290506	0.0263972502948224	CNIH3	1	224804226
cg00291877	0.0345623845223985	SNRPA1	15	101835933
cg00292662	0.0166031300702726	LGALS1	22	38071168
cg00292971	0.898810674081595	FAM131B	7	143060536
cg00293409	0.181637166629012	LRRC33	3	196366669
cg00294382	0.162513278681057	IL23A	12	56732721
cg00295206	0.0139335649556724	RAB7A	3	128444813
cg00295325	0.657083567209132	ABCB11	2	169887932
cg00296685	0.0230878750785056	NA	NA	0
cg00297584	0.075749742170354	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.868704948101215	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0123952141983429	PPP3CA	4	102268125
cg00303548	0.0394626852491128	HS6ST3	13	96742413
cg00304278	0.0380667530990324	NA	NA	0
cg00307685	0.907292140969101	BRDT	1	92415524
cg00308133	0.00927880180858864	GAMT	19	1401118
cg00308665	0.440746241504539	HTR2A	13	47469654
cg00309056	0.0173363374576812	STARD3NL	7	38218112
cg00309204	0.0214120361091096	C17orf61	17	7307432
cg00311768	0.505291488132516	TSTA3	8	144698857
cg00312919	0.0117802325504569	STARD3NL	7	38217710
cg00314943	0.869136870325657	ALPPL2	2	233270750
cg00315936	0.0505176416373314	SND1	7	127292739
cg00317680	0.075422319367304	MTERFD1;PTDSS1	8	97274070
cg00318573	0.399396750284073	CHRNA4	20	61993118
cg00318865	0.0136356710154753	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.011430743309939	PKMYT1	16	3030447
cg00320243	0.0137798155265171	RAB3A	19	18314691
cg00321065	0.0223570855018774	RLF	1	40627063
cg00321478	0.740376529458921	CRB1	1	197238398
cg00323915	0.216956840708159	GIMAP4	7	150264987
cg00324733	0.0169380507670198	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.0486101474469712	DLAT	11	111896498
cg00327483	0.94841716011333	CASQ1	1	160160587
cg00328227	0.0834076933077759	C1orf59	1	109204325
cg00331237	0.319337963370683	CSRP2	12	77273319
cg00331433	0.0154104920884841	SYAP1	X	16737800
cg00332153	0.541288845272269	BANK1	4	102712010
cg00332745	0.0217850555333545	NOL3	16	67208247
cg00333226	0.360950814737144	VWC2	7	49813763
cg00333528	0.508091147388461	GABRR1	6	89927485
cg00334507	0.702887193038532	PRRT2	16	29824599
cg00335286	0.622758192394612	MC2R	18	13916355
cg00336605	0.019561623336917	NR1H2	19	50879437
cg00338702	0.0803430221598889	CHFR	12	133463694
cg00338893	0.0218337630715415	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.446580053002496	GARNL3	9	130027020
cg00343092	0.0297615446649225	TSPO	22	43547974
cg00344358	0.937218767280118	GDF11	12	56135693
cg00344372	0.717399218413199	HGFAC	4	3443625
cg00344709	0.835399505198908	POTED	21	14982225
cg00346145	0.0338098455006285	RPL34;LOC285456	4	109541559
cg00347729	0.51732952150509	MMP10	11	102651753
cg00347904	0.281445112753823	SCUBE3	6	35182508
cg00350296	0.469958596160742	CD248	11	66084841
cg00350478	0.539980354703933	FRMD1	6	168480013
cg00350702	0.0211348533543392	ERGIC3	20	34129927
cg00351011	0.01853792319675	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.767604552207876	ZIM2	19	57306738
cg00354572	0.0505372160834467	ACSS3	12	81471419
cg00355802	0.0295935854796145	DUSP4	8	29208983
cg00359325	0.0236223015665149	USP4	3	49377419
cg00359973	0.0530991743593704	RIBC1;SMC1A	X	53449900
cg00363813	0.493907037821405	IFFO1	12	6664872
cg00364344	0.0157153185322834	NA	NA	0
cg00364814	0.891376163040588	R3HDM2	12	57691455
cg00365193	0.202153266678669	NA	NA	0
cg00367281	0.72963591603401	CHRNB3	8	42552470
cg00367438	0.0383651902473708	TMUB1	7	150780797
cg00368022	0.0228670457222317	C5orf22;RNASEN	5	31532653
cg00368415	0.0155643277645141	SNX27	1	151584398
cg00371195	0.955195406297809	F2	11	46740481
cg00374717	0.943254396102276	ARSG	17	66303145
cg00375964	0.0199353590275765	ABCE1;ANAPC10	4	146019130
cg00376639	0.0593630505219636	ZNF581	19	56155151
cg00380464	0.0175417079037557	LTV1	6	144164650
cg00381076	0.0198662424481307	C18orf54	18	51884797
cg00382515	0.0118217589434765	MRPL44	2	224822229
cg00382991	0.0297554800926729	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.419476449767697	TGFBI	5	135364970
cg00387170	0.0279849306527416	FOXP4	6	41514002
cg00392257	0.273999029858732	ISG20L2	1	156696747
cg00393585	0.0370998746790035	C4orf39;TRIM61	4	165878091
cg00394658	0.514459186888424	PTPRJ	11	48001669
cg00396163	0.0217602891228199	DNAH6	2	84743584
cg00396894	0.671873126436035	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0490516901838595	PPOX	1	161136321
cg00398048	0.161980506061741	AGA	4	178364342
cg00399483	0.289121050015569	DCC	18	49868378
cg00400028	0.0358351983502698	NA	NA	0
cg00400263	0.588281942500286	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0159664068186544	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.367531806060048	TSC22D3	X	107018431
cg00405070	0.0207706181726097	ERP29;TMEM116	12	112450647
cg00405568	0.0244263576663901	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.590161205155946	RFPL3	22	32753939
cg00407150	0.605372946744511	HHATL	3	42743794
cg00410419	0.0188093008259726	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.103931131736477	STC1	8	23712355
cg00410921	0.368445956140922	NA	NA	0
cg00411097	0.263290857615833	TMEM184A	7	1596050
cg00412772	0.656392760967159	YIF1B;C19orf33	19	38794845
cg00412805	0.967919565969796	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.119309686263662	NA	NA	0
cg00415494	0.813767786377474	NA	NA	0
cg00415978	0.117402003644965	SYNPO2	4	119809925
cg00415993	0.737540008646199	F2RL2;IQGAP2	5	75919188
cg00417297	0.0230881366575603	ZNF619	3	40518742
cg00418150	0.501899909636585	ALX4	11	44327869
cg00419564	0.0190521634594805	S100A6	1	153508860
cg00420568	0.0674711815176037	SHC3	9	91794904
cg00420715	0.0110024045713987	VPS13B	8	100025364
cg00420929	0.256712174599135	PGPEP1	19	18451112
cg00422913	0.0547493353908062	C17orf91;WDR81	17	1619022
cg00424946	0.0154457416869118	SNTB2	16	69221172
cg00425710	0.843560097661372	MT1A	16	56672671
cg00425792	0.0400449427579842	PEX12	17	33905503
cg00426056	0.0129623773146422	CUTA	6	33385896
cg00426498	0.258883782274668	MYO18A	17	27507667
cg00426963	0.0236861320106169	KIF27	9	86535755
cg00427635	0.120449310552896	TBC1D21	15	74166372
cg00429618	0.111829310421174	ZNF322B	9	99962350
cg00430287	0.879601662217602	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.668153086650985	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.308958846311039	MGP	12	15039025
cg00432979	0.0215592532980703	MRP63;SKA3	13	21750473
cg00433406	0.865464290089402	VWA5B1	1	20616975
cg00434413	0.975427104565136	RENBP;NAA10	X	153201653
cg00435408	0.0292887780620836	FAM192A;RSPRY1	16	57220662
cg00436282	0.86009390569141	STATH	4	70861449
cg00436301	0.0202251397439164	NT5DC1	6	116421736
cg00436603	0.568796435093433	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.0098466746135928	STOML1	15	74284481
cg00443307	0.570394803671459	KLRG1	12	9141740
cg00445824	0.0825344261981123	ISYNA1	19	18548929
cg00446235	0.0421719295876418	TSTD1	1	161008644
cg00447208	0.255435860921121	TMC8;TMC6	17	76126301
cg00448720	0.649718113498599	C1QTNF9	13	24883014
cg00449941	0.0218676354873543	SPAG5	17	26926011
cg00451635	0.461345559873165	EMP2	16	10675030
cg00453193	0.0176261831944795	TES	7	115851050
cg00453258	0.733639643174516	CALHM1	10	105219172
cg00459975	0.0534734735242878	INTS9;HMBOX1	8	28749099
cg00461841	0.755067227355919	ATF7IP2	16	10523485
cg00462311	0.0526656474883194	NFATC4	14	24837184
cg00462994	0.171467693490676	NAGS;PYY	17	42081955
cg00463202	0.849315629414177	ADPRHL1	13	114107710
cg00463577	0.0115842532785806	C6orf150	6	74161911
cg00463848	0.835330133971421	KRT2	12	53046105
cg00464269	0.0141735241642282	TNFAIP1;IFT20	17	26662842
cg00465284	0.106767954279595	CTNNA2;LRRTM1	2	80531898
cg00465846	0.014160141742924	NA	NA	0
cg00466249	0.446589201299882	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0116338721256496	C14orf101	14	57046243
cg00468146	0.332534040250219	ID4	6	19838211
cg00469635	0.00787520611198394	PPME1;C2CD3	11	73882471
cg00471562	0.0197463021445	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0420279225280486	ADAMTS1	21	28217676
cg00474004	0.756622400722904	IFNA14	9	21239944
cg00474209	0.0259943697640616	DLL1	6	170600060
cg00475955	0.0116583528311627	C9orf114	9	131592049
cg00476577	0.0353234949120342	NA	NA	0
cg00476580	0.0109232637598951	ANP32E	1	150207583
cg00479269	0.0312381780688107	C2orf29	2	101869975
cg00480115	0.655014715587659	FXYD3	19	35606877
cg00480209	0.0132104130086153	SCO1;C17orf48	17	10600689
cg00480356	0.0683175526995997	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0148008835761382	DDX41	5	176943504
cg00485296	0.0113101304413588	NME3	16	1821559
cg00485380	0.0198069746054587	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0137143542755705	SOCS1	16	11349568
cg00488300	0.86716438600806	NA	NA	0
cg00488364	0.515890642406349	IL13RA2	X	114253315
cg00488718	0.014709187974879	MFSD8;C4orf29	4	128887044
cg00489401	0.58304736095443	FLT4	5	180075875
cg00491404	0.689872550433914	EPS8L3	1	110306591
cg00491839	0.0496895887692193	PPP1R15A	19	49375640
cg00493400	0.0154938584422473	STAT1	2	191879127
cg00495415	0.0189304964951354	SP1	12	53773795
cg00495442	0.0278303353506669	RALGAPB	20	37101172
cg00495491	0.725237700976708	NA	NA	0
cg00496170	0.0108631048711107	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.789113017157479	PPEF1	X	18709116
cg00497251	0.0430465580580268	RNPEPL1	2	241508725
cg00498305	0.55378678068365	SLC18A2	10	119000236
cg00498604	0.179957615020055	TLL1	4	166793789
cg00499599	0.0148068931358309	C21orf57;MCM3AP	21	47706392
cg00499822	0.310897601122749	CXCL12	10	44881551
cg00500400	0.0168492880651048	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0155972062458725	ZDHHC14	6	157801893
