Hybridization REF	TCGA-A8-A08I-01A-11D-A00Y-05	TCGA-A8-A08I-01A-11D-A00Y-05	TCGA-A8-A08I-01A-11D-A00Y-05	TCGA-A8-A08I-01A-11D-A00Y-05
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0618993056819321	FLJ13197;KLF3	4	38666773
cg00033773	0.913832836059226	MORG1;C19orf56	19	12779366
cg00034039	0.0532195620170627	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0665729385756568	UBE2S	19	55919836
cg00037763	0.953733935949907	SETBP1	18	42281763
cg00037940	0.91714921235486	PIK3CB	3	138479285
cg00040861	0.0196397887854906	LSM7;SPPL2B	19	2328391
cg00040873	0.064402573883187	NDUFB10	16	2009157
cg00041575	0.502331138011573	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.0376256041682422	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0374992028251478	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0344676719792516	CUL5	11	107879431
cg00047469	0.017236267388034	POLE3;C9orf43	9	116172568
cg00049986	0.138044700977753	NA	NA	0
cg00050312	0.0130500653744673	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0273076313373245	C10orf4	10	95462161
cg00053292	0.0224757339331583	TACO1	17	61678300
cg00053647	0.0744766933212551	C7orf28B	7	6866072
cg00054706	0.0138328379881022	C1D	2	68289972
cg00055233	0.503753176865166	RLN1	9	5339677
cg00056767	0.0204883093177136	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.299600996049752	GLRA1	5	151304357
cg00059424	0.0284657696370993	PES1	22	30988148
cg00059740	0.011590717528908	C7orf49	7	134855689
cg00059930	0.472597794061079	RB1	13	48894382
cg00060762	0.0184267256029144	LEO1	15	52264133
cg00060882	0.0736005429398736	EIF2S3	X	24072811
cg00061059	0.048147429776627	TECR	19	14640983
cg00061629	0.941096972644452	ALX4	11	44325258
cg00062776	0.990964326915061	TULP2	19	49402424
cg00063144	0.912101720751757	KRT31	17	39554055
cg00065385	0.963710874011869	ACTL7A	9	111623395
cg00065408	0.0289900058650265	CACNB3	12	49212475
cg00066153	0.776288016900501	ACRV1	11	125550744
cg00066816	0.0944423149153777	IL12B	5	158758353
cg00067471	0.0929883773983469	ATP5D	19	1241377
cg00069261	0.0173863325060839	CDR2	16	22386531
cg00071250	0.601740497950184	FASLG	1	172628263
cg00071998	0.0316109427613265	MSH5	6	31708121
cg00072216	0.014336188869548	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.253372346817781	STRA6	15	74495354
cg00076645	0.0188008005877995	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.872653332958381	ASAP1	8	131414474
cg00078194	0.0194041120211178	MDK	11	46402949
cg00078867	0.65170047784627	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0141001150022255	ARFGAP3	22	43253521
cg00080012	0.00919037991573243	EED	11	85955689
cg00081935	0.0234242176831324	TSPAN9	12	3186906
cg00081975	0.0608677429590434	ABCC3	17	48712370
cg00083720	0.0142001224397965	NA	NA	0
cg00083937	0.508012618233267	MAPK8IP2	22	51039805
cg00084687	0.0132010477705801	GATAD1	7	92076896
cg00089071	0.0113980187476833	PCGF2	17	36905809
cg00090147	0.0835930869745144	GATA4	8	11562367
cg00091693	0.437792924856518	KRT20	17	39041602
cg00093177	0.911830951600564		17	37185495
cg00094319	0.796577991424366	PABPC3	13	25670530
cg00094851	0.0906910379149568	KIF3C	2	26205706
cg00095526	0.818845037776882	CACNA1S	1	201081686
cg00095674	0.0620993428096065	PLEKHO1	1	150122654
cg00096922	0.0350409225827244	DLX5	7	96654185
cg00097536	0.012541480099168	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.012097637727395	PNPLA6	19	7599173
cg00099550	0.0327158716806038	NA	NA	0
cg00101227	0.889008187517986	MPZ	1	161280266
cg00103783	0.0123115402276133	MPDU1	17	7487249
cg00105253	0.0767369124501608	NUDT14	14	105647194
cg00105470	0.0159430187463502	C1orf35	1	228290868
cg00107187	0.183165466202889	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0115653083612456	PGM2	4	37828500
cg00108454	0.18418005021225	C1QA	1	22963614
cg00109274	0.0137454262225897	DGKH	13	42623032
cg00112517	0.16732184262926	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.100532790032471	CABP1	12	121078090
cg00115714	0.0422215095680742	AMD1	6	111196112
cg00116234	0.0419819958974	ADAMTSL1	9	18474243
cg00116838	0.0290895743754951	RTN2;FLJ40125	19	46001746
cg00117172	0.7683800300217	RUNX3	1	25255838
cg00119079	0.298211855899457	LAMP3	3	182880278
cg00121158	0.0146755272213791	KDM4C	9	6757826
cg00121640	0.104753330392019	ASTN2	9	120176515
cg00121904	0.540639991623314	MAOB	X	43741826
cg00123035	0.026924061417281	RFX5	1	151319538
cg00126034	0.0386280796414132	WNT3	17	44896162
cg00126657	0.245190779869503	SSX6	X	47967250
cg00126698	0.801068373329035	BTK	X	100640503
cg00128197	0.525374924891566	HSD17B10	X	53461455
cg00128560	0.947787304134425	TIGD7	16	3352013
cg00128654	0.0160360130505609	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0924960540798374	MKNK1	1	47070178
cg00129774	0.0214160817576765	CDK2;SILV	12	56360414
cg00131121	0.027808335990996	POLR2J	7	102119710
cg00131557	0.926042309641911	DNAJC15	13	43596656
cg00132141	0.727930137107548	CTNNA3	10	69456307
cg00133909	0.0550034878591373	CD276	15	73977201
cg00134539	0.760567276444489	UBASH3A	21	43824071
cg00134787	0.175005470497735	MYH1	17	10419499
cg00135056	0.120786792321094	C3orf37	3	128997295
cg00135393	0.232290075265617	NA	NA	0
cg00136105	0.0181292213267381	GNPTAB	12	102224911
cg00136405	0.175468587107409	IL21	4	123542198
cg00136477	0.739981945851378	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.698993957229397	PMEPA1	20	56286697
cg00141162	0.700177833893614	HCLS1	3	121379777
cg00141550	0.556228330903514	NA	NA	0
cg00141845	0.099153897892	UPRT	X	74493352
cg00143376	0.424478845813307	NMUR1	2	232394702
cg00143998	0.0219462702412709	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.197067549070653	GNPDA1	5	141393931
cg00145348	0.580135387758117	APEX2	X	55026862
cg00146096	0.0120409433026438	FANCF	11	22647309
cg00149659	0.0152228097423258	C3orf10	3	10157352
cg00149976	0.0136049347761875	MGLL	3	127541529
cg00151234	0.295423888940011	PGK1	X	77359363
cg00151607	0.0106486755392284	TRAPPC2L;GALNS	16	88923507
cg00152644	0.530187792420963	SPRR2E	1	153068236
cg00155167	0.0252066054748681	VPS13B	8	100025831
cg00155485	0.0226564260989245	MED13L	12	116714600
cg00155609	0.013797164921749	PRDX2	19	12912527
cg00156216	0.0256058874358505	APLP2	11	129939849
cg00156744	0.0233876870990594	STK10	5	171615663
cg00158308	0.0319733284232935	OXGR1	13	97646341
cg00160914	0.0898033439886253	DDX20;C1orf183	1	112299263
cg00162401	0.0196733650366169	GSTA4	6	52859823
cg00162643	0.0267713813617155	DDX58	9	32526492
cg00164041	0.0191937060568541	NA	NA	0
cg00164898	0.0195747609707866	MAPK11	22	50709127
cg00165981	0.0432012985579029	COL4A3BP;POLK	5	74808039
cg00167504	0.0180803886276996	BLVRA	7	43798622
cg00168082	0.0317624203409985	ABL1	9	133589177
cg00168785	0.150972526264298	WDSUB1	2	160142643
cg00168942	0.388920775423283	GJD4	10	35894430
cg00169548	0.119317328083641	NA	NA	0
cg00171126	0.0306465360749573	WRB	21	40752522
cg00171161	0.0477846087705923	NUDT9	4	88343636
cg00174500	0.91745087670137	CMTM5	14	23846479
cg00174901	0.260739894845433	PALM	19	709889
cg00176210	0.724791045200613	ANK1	8	41654967
cg00176879	0.992940119949191	VPS16;PTPRA	20	2843525
cg00177013	0.105599041303279	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0286715418944706	PNPO	17	46018875
cg00177923	0.0136256722757739	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.137548578581277	UPF3B	X	118986947
cg00180012	0.0215290223430799	LACE1	6	108615929
cg00180631	0.655754007923227	MTM1	X	149736640
cg00182461	0.0670606804597415	NA	NA	0
cg00183782	0.791326738854079	NA	NA	0
cg00183916	0.0119604322916357	HS3ST3B1	17	14204936
cg00184884	0.0124306534662633	SFI1	22	31892343
cg00184893	0.0127151553108358	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0279756668786131	LRDD	11	804954
cg00186141	0.0149435284451165	PODXL	7	131241768
cg00186701	0.0335336176379207	TSPYL5	8	98290510
cg00186954	0.86394202255887	ST5;C11orf17	11	8933980
cg00187380	0.0303939385360812	HOXC4;HOXC5	12	54427384
cg00187686	0.352299237645181	TCN1	11	59634218
cg00188348	0.61297313437893	NA	NA	0
cg00191052	0.630465669313709	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0197199038336976	FAM53C	5	137673669
cg00197641	0.0226373987471894	MRPL52	14	23299461
cg00199549	0.397998021953202	MCM5	22	35795374
cg00200063	0.0171087891378884	USP32	17	58469941
cg00201234	0.420868614787146	FBLN2	3	13590968
cg00202702	0.0155074527366504	C11orf70	11	101918157
cg00202711	0.813178089268838	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0219496035745779	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0188477352882588	KIAA0174	16	71929512
cg00208830	0.725329149221463	LAMC2	1	183154778
cg00208967	0.417238321855552	OLFM2	19	10047924
cg00209066	0.904514516284003	BRD1	22	50218923
cg00209951	0.0588226025835337	DENND2C	1	115212834
cg00210842	0.0536953757612668	APAF1;IKBIP	12	99039578
cg00211661	0.0177934380762661	ARAP1	11	72433619
cg00212549	0.042769975074326	NA	NA	0
cg00213044	0.744487578392211	KRT6A	12	52886438
cg00213331	0.941684105372301	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0167839039073484	NA	NA	0
cg00214794	0.674178727612805	NA	NA	0
cg00214855	0.241305411887895	CCDC90A	6	13813947
cg00215066	0.936306891051513	MYO9B	19	17212316
cg00216361	0.0300089267521194	GAP43	3	115342527
cg00216758	0.0221574486038378	RASSF7;C11orf35	11	560589
cg00217795	0.172536295413034	DIO2	14	80677688
cg00221494	0.192800768067338	FARP1	13	98794593
cg00223186	0.0195510410967899	ACBD6	1	180472200
cg00223950	0.0208581023064339	UBR4	1	19536222
cg00224234	0.00763308770830856	GLOD4;RNMTL1	17	685693
cg00224508	0.017184927759533	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.911642024859962	FGD2	6	36972027
cg00228799	0.020621893401259	ENDOG	9	131580591
cg00229387	0.0753450831100391	TJAP1	6	43445942
cg00230271	0.0459090718506548	TBCK;AIMP1	4	107237183
cg00230368	0.022463539488296	IGF2R	6	160389833
cg00230502	0.0689928109789359	CCDC60	12	119772381
cg00230685	0.540638222319535	SCML1	X	17755839
cg00231140	0.0570093022439596	ACAA2;SCARNA17	18	47339702
cg00231644	0.307920717371233	TUBB2A	6	3158512
cg00231920	0.0245035897860509	VPS16;FAM113A	20	2821308
cg00233307	0.299552199621166	MAP4K1;EIF3K	19	39109076
cg00234616	0.28809074631632	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0487826111697039	RARA	17	38465489
cg00237010	0.119247924527922	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.943731278489252	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0571712804659442	TTC21A;GORASP1	3	39148342
cg00240312	0.0542492773348408	NA	NA	0
cg00240432	0.0225670741588478	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0132608113465611	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.0166279634551975	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0185303916426939	CR2	1	207628182
cg00250430	0.174517872747355	DMRT2	9	1051579
cg00253200	0.0156216516242164	C3orf59	3	192636074
cg00256074	0.958304704065923	MYLPF	16	30386150
cg00256166	0.0222708807499942	KLHL25	15	86338428
cg00256281	0.01222786762532	PMM1	22	41985642
cg00259755	0.0455439004492363	PWWP2B	10	134209763
cg00260778	0.272428288832548	NA	NA	0
cg00261552	0.0276303364647138	CREBL2	12	12764894
cg00261781	0.0178578149787171	MATN3	2	20212517
cg00262415	0.0256878513797652	PUSL1;ACAP3	1	1242732
cg00263723	0.0161514392694581	NA	NA	0
cg00263760	0.26377822975856	VAX1	10	118897366
cg00265415	0.00848734886116333	B3GALNT2	1	235667507
cg00265490	0.0375100755917279	MTDH	8	98655845
cg00268009	0.0125518138238552	ADH5	4	100010211
cg00268338	0.0109685663170246	HECTD2;LOC100188947	10	93169495
cg00269115	0.0124298949074322	C1orf213;ZNF436	1	23695530
cg00269932	0.848182132384663	NA	NA	0
cg00273068	0.0746896991191763	EMILIN3	20	39995747
cg00273124	0.486471337610649	NHP2	5	177581512
cg00274399	0.0477878770342409	FGF9	13	22245420
cg00275232	0.0159268090233702	ZNF296	19	45579541
cg00276797	0.0187770506791799	SLK	10	105726614
cg00278366	0.353617000922021	RAD9B;VPS29	12	110940287
cg00279797	0.0782736076968494	AMMECR1	X	109561918
cg00280814	0.840786490167267	ZDHHC8P	22	23745389
cg00280894	0.36484553003407	NA	NA	0
cg00282347	0.0284869649406132	CHD5	1	6241040
cg00282683	0.0110681097777196	UBE3C	7	156931995
cg00283535	0.898110458921771	ANXA13	8	124749564
cg00288562	0.016338231125	TRA2A	7	23571645
cg00290028	0.0125959207222815	RFXAP	13	37393125
cg00290506	0.0184393603530318	CNIH3	1	224804226
cg00291877	0.0485175344312023	SNRPA1	15	101835933
cg00292662	0.01370173243223	LGALS1	22	38071168
cg00292971	0.938568141627513	FAM131B	7	143060536
cg00293409	0.0244807746887062	LRRC33	3	196366669
cg00294382	0.545492656732449	IL23A	12	56732721
cg00295206	0.0143706048657539	RAB7A	3	128444813
cg00295325	0.814671149471009	ABCB11	2	169887932
cg00296685	0.037657061099193	NA	NA	0
cg00297584	0.0529998170031446	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.866541583737015	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0118850140269244	PPP3CA	4	102268125
cg00303548	0.00873516746025739	HS6ST3	13	96742413
cg00304278	0.0369139362203458	NA	NA	0
cg00307685	0.930303469396083	BRDT	1	92415524
cg00308133	0.0112202619431018	GAMT	19	1401118
cg00308665	0.318186918369282	HTR2A	13	47469654
cg00309056	0.0190107394383959	STARD3NL	7	38218112
cg00309204	0.0174170730168864	C17orf61	17	7307432
cg00311768	0.297529207349858	TSTA3	8	144698857
cg00312919	0.0117053640946902	STARD3NL	7	38217710
cg00314943	0.892108255820428	ALPPL2	2	233270750
cg00315936	0.0559395663976653	SND1	7	127292739
cg00317680	0.0701437267994207	MTERFD1;PTDSS1	8	97274070
cg00318573	0.384156642423344	CHRNA4	20	61993118
cg00318865	0.0125595913199138	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.00890587295906474	PKMYT1	16	3030447
cg00320243	0.0141578238359597	RAB3A	19	18314691
cg00321065	0.0177156416210327	RLF	1	40627063
cg00321478	0.6605691574602	CRB1	1	197238398
cg00323915	0.356744543922521	GIMAP4	7	150264987
cg00324733	0.0136255846527721	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.107542688092384	DLAT	11	111896498
cg00327483	0.966864965587479	CASQ1	1	160160587
cg00328227	0.0443205965233301	C1orf59	1	109204325
cg00331237	0.0261641080754884	CSRP2	12	77273319
cg00331433	0.0130631240103473	SYAP1	X	16737800
cg00332153	0.757165594707483	BANK1	4	102712010
cg00332745	0.0163280406011126	NOL3	16	67208247
cg00333226	0.417322551944721	VWC2	7	49813763
cg00333528	0.766201922449514	GABRR1	6	89927485
cg00334507	0.261787824034541	PRRT2	16	29824599
cg00335286	0.313449636113014	MC2R	18	13916355
cg00336605	0.0252434262429463	NR1H2	19	50879437
cg00338702	0.0248067292305384	CHFR	12	133463694
cg00338893	0.0223162427222237	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.269343800883168	GARNL3	9	130027020
cg00343092	0.0142252882807359	TSPO	22	43547974
cg00344358	0.903880517617204	GDF11	12	56135693
cg00344372	0.81943772003925	HGFAC	4	3443625
cg00344709	0.855122280754416	POTED	21	14982225
cg00346145	0.0420569403973322	RPL34;LOC285456	4	109541559
cg00347729	0.319181586914829	MMP10	11	102651753
cg00347904	0.160886499666326	SCUBE3	6	35182508
cg00350296	0.572478889063309	CD248	11	66084841
cg00350478	0.650729977251459	FRMD1	6	168480013
cg00350702	0.016423925224985	ERGIC3	20	34129927
cg00351011	0.0173540552284122	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.905821744916496	ZIM2	19	57306738
cg00354572	0.0240938628431104	ACSS3	12	81471419
cg00355802	0.0217637694241204	DUSP4	8	29208983
cg00359325	0.0376913427728224	USP4	3	49377419
cg00359973	0.0715815187165919	RIBC1;SMC1A	X	53449900
cg00363813	0.695624948566481	IFFO1	12	6664872
cg00364344	0.0149836766669062	NA	NA	0
cg00364814	0.911216486006477	R3HDM2	12	57691455
cg00365193	0.0792189680710578	NA	NA	0
cg00367281	0.73312313320464	CHRNB3	8	42552470
cg00367438	0.0318917119760789	TMUB1	7	150780797
cg00368022	0.0158964586624428	C5orf22;RNASEN	5	31532653
cg00368415	0.0122036516641289	SNX27	1	151584398
cg00371195	0.963368855694644	F2	11	46740481
cg00374717	0.946783582229659	ARSG	17	66303145
cg00375964	0.0332888820179211	ABCE1;ANAPC10	4	146019130
cg00376639	0.0691570717104875	ZNF581	19	56155151
cg00380464	0.0131435443599716	LTV1	6	144164650
cg00381076	0.0300083709052628	C18orf54	18	51884797
cg00382515	0.0124124432517132	MRPL44	2	224822229
cg00382991	0.0237709292646744	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.424988600468393	TGFBI	5	135364970
cg00387170	0.0279679732462195	FOXP4	6	41514002
cg00392257	0.203365359979872	ISG20L2	1	156696747
cg00393585	0.0374211045605156	C4orf39;TRIM61	4	165878091
cg00394658	0.283978500512988	PTPRJ	11	48001669
cg00396163	0.0236910150313113	DNAH6	2	84743584
cg00396894	0.811527964652886	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0220004611871601	PPOX	1	161136321
cg00398048	0.0591408481731278	AGA	4	178364342
cg00399483	0.377331606662955	DCC	18	49868378
cg00400028	0.0567976027525665	NA	NA	0
cg00400263	0.503436701644538	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.022877270635196	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.256119452711997	TSC22D3	X	107018431
cg00405070	0.0180101023339163	ERP29;TMEM116	12	112450647
cg00405568	0.022011573307792	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.753245511590992	RFPL3	22	32753939
cg00407150	0.759644162741087	HHATL	3	42743794
cg00410419	0.0250669872562423	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.0755110786620794	STC1	8	23712355
cg00410921	0.217772503723972	NA	NA	0
cg00411097	0.137549339748307	TMEM184A	7	1596050
cg00412772	0.408626152587888	YIF1B;C19orf33	19	38794845
cg00412805	0.979580027444952	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.590788720586106	NA	NA	0
cg00415494	0.888182105872017	NA	NA	0
cg00415978	0.0906259783657007	SYNPO2	4	119809925
cg00415993	0.926231827905069	F2RL2;IQGAP2	5	75919188
cg00417297	0.0159730020565559	ZNF619	3	40518742
cg00418150	0.574897190772546	ALX4	11	44327869
cg00419564	0.0195049910224776	S100A6	1	153508860
cg00420568	0.0508531740135466	SHC3	9	91794904
cg00420715	0.0102229435695316	VPS13B	8	100025364
cg00420929	0.386730517255971	PGPEP1	19	18451112
cg00422913	0.0244187245772969	C17orf91;WDR81	17	1619022
cg00424946	0.0140282151253221	SNTB2	16	69221172
cg00425710	0.83013428766071	MT1A	16	56672671
cg00425792	0.0314947195962544	PEX12	17	33905503
cg00426056	0.0154177468634639	CUTA	6	33385896
cg00426498	0.226396533681589	MYO18A	17	27507667
cg00426963	0.0215568539053989	KIF27	9	86535755
cg00427635	0.287424974678945	TBC1D21	15	74166372
cg00429618	0.13328576052475	ZNF322B	9	99962350
cg00430287	0.751982893868065	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.325254246820034	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.136301962125785	MGP	12	15039025
cg00432979	0.0197281328764889	MRP63;SKA3	13	21750473
cg00433406	0.890574204084619	VWA5B1	1	20616975
cg00434413	0.938932419366092	RENBP;NAA10	X	153201653
cg00435408	0.0294121257301175	FAM192A;RSPRY1	16	57220662
cg00436282	0.890979499528695	STATH	4	70861449
cg00436301	0.0172373402022677	NT5DC1	6	116421736
cg00436603	0.697739116070678	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.0114942930203719	STOML1	15	74284481
cg00443307	0.651150363786136	KLRG1	12	9141740
cg00445824	0.083006771027332	ISYNA1	19	18548929
cg00446235	0.0213135024167443	TSTD1	1	161008644
cg00447208	0.572772209174731	TMC8;TMC6	17	76126301
cg00448720	0.780638685124933	C1QTNF9	13	24883014
cg00449941	0.0217986651435203	SPAG5	17	26926011
cg00451635	0.211947762229476	EMP2	16	10675030
cg00453193	0.165964181898171	TES	7	115851050
cg00453258	0.770067544671743	CALHM1	10	105219172
cg00459975	0.0126937099108259	INTS9;HMBOX1	8	28749099
cg00461841	0.721903688938022	ATF7IP2	16	10523485
cg00462311	0.0359182922593455	NFATC4	14	24837184
cg00462994	0.665923758197318	NAGS;PYY	17	42081955
cg00463202	0.896146920083903	ADPRHL1	13	114107710
cg00463577	0.0171292321226977	C6orf150	6	74161911
cg00463848	0.925760497691558	KRT2	12	53046105
cg00464269	0.0129612215013275	TNFAIP1;IFT20	17	26662842
cg00465284	0.562191710779876	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0132069548496303	NA	NA	0
cg00466249	0.182284512913218	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0140280071038315	C14orf101	14	57046243
cg00468146	0.263028074677016	ID4	6	19838211
cg00469635	0.00845061636521999	PPME1;C2CD3	11	73882471
cg00471562	0.0144244972095018	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0309984838158003	ADAMTS1	21	28217676
cg00474004	0.914183221453466	IFNA14	9	21239944
cg00474209	0.0452604790528963	DLL1	6	170600060
cg00475955	0.0143483038693505	C9orf114	9	131592049
cg00476577	0.0243702281978775	NA	NA	0
cg00476580	0.0116549269271929	ANP32E	1	150207583
cg00479269	0.040041921675495	C2orf29	2	101869975
cg00480115	0.17877200128872	FXYD3	19	35606877
cg00480209	0.0139604000961674	SCO1;C17orf48	17	10600689
cg00480356	0.0848643882075829	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0154075531968035	DDX41	5	176943504
cg00485296	0.00865555355567289	NME3	16	1821559
cg00485380	0.019001929460714	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0138449799200289	SOCS1	16	11349568
cg00488300	0.951469003295221	NA	NA	0
cg00488364	0.410032123494733	IL13RA2	X	114253315
cg00488718	0.0180440805449235	MFSD8;C4orf29	4	128887044
cg00489401	0.795784398945009	FLT4	5	180075875
cg00491404	0.822199847759729	EPS8L3	1	110306591
cg00491839	0.0558774933149942	PPP1R15A	19	49375640
cg00493400	0.0193773813906439	STAT1	2	191879127
cg00495415	0.0183071484380834	SP1	12	53773795
cg00495442	0.0234137743265644	RALGAPB	20	37101172
cg00495491	0.767856746747048	NA	NA	0
cg00496170	0.0142176080699359	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.734541443002455	PPEF1	X	18709116
cg00497251	0.0350759033736024	RNPEPL1	2	241508725
cg00498305	0.549679061997493	SLC18A2	10	119000236
cg00498604	0.0885476691666977	TLL1	4	166793789
cg00499599	0.0190899124998883	C21orf57;MCM3AP	21	47706392
cg00499822	0.647166079326726	CXCL12	10	44881551
cg00500400	0.0261300973315183	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0146129339257045	ZDHHC14	6	157801893
