Hybridization REF	TCGA-B6-A0IN-01A-11D-A032-05	TCGA-B6-A0IN-01A-11D-A032-05	TCGA-B6-A0IN-01A-11D-A032-05	TCGA-B6-A0IN-01A-11D-A032-05
cg00078194	0.0194931023898632	MDK	11	46402949
cg00078867	0.708771737373509	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.0153956788640933	ARFGAP3	22	43253521
cg00080012	0.011940287615656	EED	11	85955689
cg00081935	0.0330777895070583	TSPAN9	12	3186906
cg00081975	0.0502543651118752	ABCC3	17	48712370
cg00083720	0.0146652667194704	NA	NA	0
cg00083937	0.146314454285319	MAPK8IP2	22	51039805
cg00084687	0.014722876465826	GATAD1	7	92076896
cg00089071	0.0128003656074444	PCGF2	17	36905809
cg00090147	0.608266354444887	GATA4	8	11562367
cg00091693	0.300859283711198	KRT20	17	39041602
cg00093177	0.910671017475349		17	37185495
cg00094319	0.874035168851516	PABPC3	13	25670530
cg00094851	0.0991953968751806	KIF3C	2	26205706
cg00095526	0.707827215898338	CACNA1S	1	201081686
cg00095674	0.0711678312992923	PLEKHO1	1	150122654
cg00096922	0.040238955475604	DLX5	7	96654185
cg00097536	0.0169436407275559	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.011948723708395	PNPLA6	19	7599173
cg00099550	0.0274412258518093	NA	NA	0
cg00101227	0.802908466106358	MPZ	1	161280266
cg00103783	0.0113246596827444	MPDU1	17	7487249
cg00105253	0.05531844160929	NUDT14	14	105647194
cg00105470	0.0186805847602763	C1orf35	1	228290868
cg00107187	0.208769418452236	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.0165601719636601	PGM2	4	37828500
cg00108454	0.267479712138673	C1QA	1	22963614
cg00109274	0.0228155949251066	DGKH	13	42623032
cg00112517	0.636156106087979	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.132085463264476	CABP1	12	121078090
cg00115714	0.0268889863512903	AMD1	6	111196112
cg00116234	0.646440399579853	ADAMTSL1	9	18474243
cg00116838	0.574746534780687	RTN2;FLJ40125	19	46001746
cg00117172	0.745991936622894	RUNX3	1	25255838
cg00119079	0.0261389088865019	LAMP3	3	182880278
cg00121158	0.0157728498842242	KDM4C	9	6757826
cg00121640	0.101245257791866	ASTN2	9	120176515
cg00121904	0.0741776235980205	MAOB	X	43741826
cg00123035	0.0292690211716364	RFX5	1	151319538
cg00126034	0.10971807695198	WNT3	17	44896162
cg00126657	0.419640458332561	SSX6	X	47967250
cg00126698	0.714099933213867	BTK	X	100640503
cg00128197	0.186808713365636	HSD17B10	X	53461455
cg00128560	0.937419885992787	TIGD7	16	3352013
cg00128654	0.0153916736025137	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0726116132060241	MKNK1	1	47070178
cg00129774	0.0200888436604387	CDK2;SILV	12	56360414
cg00131121	0.0212359160685903	POLR2J	7	102119710
cg00131557	0.949798310304011	DNAJC15	13	43596656
cg00132141	0.648610288858158	CTNNA3	10	69456307
cg00133909	0.0300774314578246	CD276	15	73977201
cg00134539	0.94016618064573	UBASH3A	21	43824071
cg00134787	0.594200312227528	MYH1	17	10419499
cg00135056	0.0703782134498396	C3orf37	3	128997295
cg00135393	0.28746340552655	NA	NA	0
cg00136105	0.0150031188964482	GNPTAB	12	102224911
cg00136405	0.42533407582629	IL21	4	123542198
cg00136477	0.689873879672723	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.641514209712207	PMEPA1	20	56286697
cg00141162	0.632064413563213	HCLS1	3	121379777
cg00141550	0.870223052490228	NA	NA	0
cg00141845	0.145283282137429	UPRT	X	74493352
cg00143376	0.674771990083375	NMUR1	2	232394702
cg00143998	0.0290363651160763	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.238268487984844	GNPDA1	5	141393931
cg00145348	0.342399863620767	APEX2	X	55026862
cg00146096	0.0155337618968278	FANCF	11	22647309
cg00149659	0.019118482508541	C3orf10	3	10157352
cg00149976	0.0127882864423495	MGLL	3	127541529
cg00151234	0.294656977977764	PGK1	X	77359363
cg00151607	0.0137879986481218	TRAPPC2L;GALNS	16	88923507
cg00152644	0.939228831131685	SPRR2E	1	153068236
cg00155167	0.0208064144236574	VPS13B	8	100025831
cg00155485	0.0318565577138059	MED13L	12	116714600
cg00155609	0.0264924715408877	PRDX2	19	12912527
cg00156216	0.0172772724520127	APLP2	11	129939849
cg00156744	0.0195796514120731	STK10	5	171615663
cg00158308	0.103176318424941	OXGR1	13	97646341
cg00160914	0.0844573109151005	DDX20;C1orf183	1	112299263
cg00162401	0.0169039889321758	GSTA4	6	52859823
cg00162643	0.0217058308663465	DDX58	9	32526492
cg00164041	0.0229753497592176	NA	NA	0
cg00164898	0.0151294079984947	MAPK11	22	50709127
cg00165981	0.0397017358813307	COL4A3BP;POLK	5	74808039
cg00167504	0.0172954400421728	BLVRA	7	43798622
cg00168082	0.0318458018423834	ABL1	9	133589177
cg00168785	0.0778287932419219	WDSUB1	2	160142643
cg00168942	0.664789436436299	GJD4	10	35894430
cg00169548	0.199991928102941	NA	NA	0
cg00171126	0.032206698870629	WRB	21	40752522
cg00171161	0.05392331142397	NUDT9	4	88343636
cg00174500	0.680835771844409	CMTM5	14	23846479
cg00174901	0.185249284700966	PALM	19	709889
cg00176210	0.794773024037427	ANK1	8	41654967
cg00176879	0.98992293744334	VPS16;PTPRA	20	2843525
cg00177013	0.094322998447545	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0405463563419627	PNPO	17	46018875
cg00177923	0.0147673921999459	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.236457156786967	UPF3B	X	118986947
cg00180012	0.0228725479358017	LACE1	6	108615929
cg00180631	0.478872116151295	MTM1	X	149736640
cg00182461	0.0544898866722053	NA	NA	0
cg00183782	0.829817163922613	NA	NA	0
cg00183916	0.0120388501322314	HS3ST3B1	17	14204936
cg00184884	0.0117734518147624	SFI1	22	31892343
cg00184893	0.0163165487722055	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0328293238540153	LRDD	11	804954
cg00186141	0.0138127638550575	PODXL	7	131241768
cg00186701	0.423026647892098	TSPYL5	8	98290510
cg00186954	0.60636161055145	ST5;C11orf17	11	8933980
cg00187380	0.0448690573778602	HOXC4;HOXC5	12	54427384
cg00187686	0.206197660814246	TCN1	11	59634218
cg00188348	0.692771761086339	NA	NA	0
cg00191052	0.709492360462232	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0195461689807584	FAM53C	5	137673669
cg00197641	0.0309126673816371	MRPL52	14	23299461
cg00199549	0.899938300056948	MCM5	22	35795374
cg00200063	0.0178625690064336	USP32	17	58469941
cg00201234	0.530469741243877	FBLN2	3	13590968
cg00202702	0.0135596942020039	C11orf70	11	101918157
cg00202711	0.681830579230673	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0253243125394474	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0248682954895746	KIAA0174	16	71929512
cg00208830	0.497004562038514	LAMC2	1	183154778
cg00208967	0.510388273227617	OLFM2	19	10047924
cg00209066	0.620761973434037	BRD1	22	50218923
cg00209951	0.0669957527169107	DENND2C	1	115212834
cg00210842	0.0376003457677306	APAF1;IKBIP	12	99039578
cg00211661	0.0244179258077481	ARAP1	11	72433619
cg00212549	0.0600956018465149	NA	NA	0
cg00213044	0.676405852268949	KRT6A	12	52886438
cg00213331	0.952201066240131	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.01318666999553	NA	NA	0
cg00214794	0.723165386638995	NA	NA	0
cg00214855	0.131803564099006	CCDC90A	6	13813947
cg00215066	0.956488929067132	MYO9B	19	17212316
cg00216361	0.581053501457484	GAP43	3	115342527
cg00216758	0.0317256797141168	RASSF7;C11orf35	11	560589
cg00217795	0.658193026977857	DIO2	14	80677688
cg00221494	0.165267838520916	FARP1	13	98794593
cg00223186	0.0168779990675097	ACBD6	1	180472200
cg00223950	0.0241401355758637	UBR4	1	19536222
cg00224234	0.0101521652639758	GLOD4;RNMTL1	17	685693
cg00224508	0.0173672163101885	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.867264331042943	FGD2	6	36972027
cg00228799	0.0183609433472714	ENDOG	9	131580591
cg00229387	0.0816212184808681	TJAP1	6	43445942
cg00230271	0.0319488198788073	TBCK;AIMP1	4	107237183
cg00230368	0.0160134856933182	IGF2R	6	160389833
cg00230502	0.42712039079898	CCDC60	12	119772381
cg00230685	0.347636301805134	SCML1	X	17755839
cg00231140	0.0205701510461522	ACAA2;SCARNA17	18	47339702
cg00231644	0.0933974536225216	TUBB2A	6	3158512
cg00231920	0.0253669392353694	VPS16;FAM113A	20	2821308
cg00233307	0.482507469711644	MAP4K1;EIF3K	19	39109076
cg00234616	0.358544223648118	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0438884432729205	RARA	17	38465489
cg00237010	0.157796782278808	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.952943939290697	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0619508668463421	TTC21A;GORASP1	3	39148342
cg00240312	0.0594101637498938	NA	NA	0
cg00240432	0.638796725895682	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0169829403333131	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.0147682868410328	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.317483274684667	CR2	1	207628182
cg00250430	0.756274419540419	DMRT2	9	1051579
cg00253200	0.0165919731099363	C3orf59	3	192636074
cg00256074	0.932761873470777	MYLPF	16	30386150
cg00256166	0.0238095151933475	KLHL25	15	86338428
cg00256281	0.0170101962946197	PMM1	22	41985642
cg00259755	0.050891887973393	PWWP2B	10	134209763
cg00260778	0.203471762477165	NA	NA	0
cg00261552	0.0264228288289702	CREBL2	12	12764894
cg00261781	0.0174937189804025	MATN3	2	20212517
cg00262415	0.0173194831822174	PUSL1;ACAP3	1	1242732
cg00263723	0.0205957397839519	NA	NA	0
cg00263760	0.513224727717358	VAX1	10	118897366
cg00265415	0.0103964279042592	B3GALNT2	1	235667507
cg00265490	0.0418986141583192	MTDH	8	98655845
cg00268009	0.0140557835760041	ADH5	4	100010211
cg00268338	0.0107029935995577	HECTD2;LOC100188947	10	93169495
cg00269115	0.0166880642985798	C1orf213;ZNF436	1	23695530
cg00269932	0.94229980711776	NA	NA	0
cg00273068	0.568508997286257	EMILIN3	20	39995747
cg00273124	0.550978004655079	NHP2	5	177581512
cg00274399	0.0279270056729103	FGF9	13	22245420
cg00275232	0.0195552510635723	ZNF296	19	45579541
cg00276797	0.0207183246872262	SLK	10	105726614
cg00278366	0.169204831104468	RAD9B;VPS29	12	110940287
cg00279797	0.110970490720659	AMMECR1	X	109561918
cg00280814	0.866702739342838	ZDHHC8P	22	23745389
cg00280894	0.583708635986363	NA	NA	0
cg00282347	0.0250479414636392	CHD5	1	6241040
cg00282683	0.0146259698910247	UBE3C	7	156931995
cg00283535	0.88148514587716	ANXA13	8	124749564
cg00288562	0.0231929155000537	TRA2A	7	23571645
cg00290028	0.0133974407265328	RFXAP	13	37393125
cg00290506	0.594157006149892	CNIH3	1	224804226
cg00291877	0.0403861072115983	SNRPA1	15	101835933
cg00292662	0.0210524138415356	LGALS1	22	38071168
cg00292971	0.919285510546323	FAM131B	7	143060536
cg00293409	0.17513111332033	LRRC33	3	196366669
cg00294382	0.426615201107645	IL23A	12	56732721
cg00295206	0.017317693071074	RAB7A	3	128444813
cg00295325	0.623874022117979	ABCB11	2	169887932
cg00296685	0.03251406947017	NA	NA	0
cg00297584	0.0525298280114712	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.886151744849182	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0308268160690199	PPP3CA	4	102268125
cg00303548	0.0140015216330702	HS6ST3	13	96742413
cg00304278	0.0367231660405866	NA	NA	0
cg00307685	0.898694203209394	BRDT	1	92415524
cg00308133	0.0126661582657986	GAMT	19	1401118
cg00308665	0.431208526115258	HTR2A	13	47469654
cg00309056	0.0191014430015386	STARD3NL	7	38218112
cg00309204	0.0212824432250999	C17orf61	17	7307432
cg00311768	0.257452791622409	TSTA3	8	144698857
cg00312919	0.0126367390103904	STARD3NL	7	38217710
cg00314943	0.90378139155622	ALPPL2	2	233270750
cg00315936	0.0712177018331713	SND1	7	127292739
cg00317680	0.0860568168171059	MTERFD1;PTDSS1	8	97274070
cg00318573	0.355442335273145	CHRNA4	20	61993118
cg00318865	0.0168423469326547	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.0099792426151331	PKMYT1	16	3030447
cg00320243	0.0123224686808351	RAB3A	19	18314691
cg00321065	0.0276296493998787	RLF	1	40627063
cg00321478	0.481574163016663	CRB1	1	197238398
cg00323915	0.660751793169996	GIMAP4	7	150264987
cg00324733	0.0194830210398136	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.159780552246889	DLAT	11	111896498
cg00327483	0.954076738345382	CASQ1	1	160160587
cg00328227	0.339673672568636	C1orf59	1	109204325
cg00331237	0.0536802664014478	CSRP2	12	77273319
cg00331433	0.016682467498569	SYAP1	X	16737800
cg00332153	0.734773290055953	BANK1	4	102712010
cg00332745	0.0170095710209699	NOL3	16	67208247
cg00333226	0.639975346265093	VWC2	7	49813763
cg00333528	0.609691754506093	GABRR1	6	89927485
cg00334507	0.412262088535217	PRRT2	16	29824599
cg00335286	0.740876815539952	MC2R	18	13916355
cg00336605	0.0164637464803378	NR1H2	19	50879437
cg00338702	0.0315148034913976	CHFR	12	133463694
cg00338893	0.0176437953252569	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.331773119807581	GARNL3	9	130027020
cg00343092	0.012316983101363	TSPO	22	43547974
cg00344358	0.935467753220834	GDF11	12	56135693
cg00344372	0.841044155091524	HGFAC	4	3443625
cg00344709	0.905819238995096	POTED	21	14982225
cg00346145	0.0467064145273929	RPL34;LOC285456	4	109541559
cg00347729	0.288049957461796	MMP10	11	102651753
cg00347904	0.867231344105597	SCUBE3	6	35182508
cg00350296	0.527023182138864	CD248	11	66084841
cg00350478	0.603315095409382	FRMD1	6	168480013
cg00350702	0.0206209725490039	ERGIC3	20	34129927
cg00351011	0.0163642215337682	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.909519220701728	ZIM2	19	57306738
cg00354572	0.0303077843929665	ACSS3	12	81471419
cg00355802	0.0392663114431069	DUSP4	8	29208983
cg00359325	0.0374218087312099	USP4	3	49377419
cg00359973	0.131942133327525	RIBC1;SMC1A	X	53449900
cg00363813	0.65527775845444	IFFO1	12	6664872
cg00364344	0.0178113517226197	NA	NA	0
cg00364814	0.904843476030317	R3HDM2	12	57691455
cg00365193	0.301591554671047	NA	NA	0
cg00367281	0.73318341074825	CHRNB3	8	42552470
cg00367438	0.0302894497789192	TMUB1	7	150780797
cg00368022	0.0203483096024791	C5orf22;RNASEN	5	31532653
cg00368415	0.012691010245058	SNX27	1	151584398
cg00371195	0.953343214364416	F2	11	46740481
cg00374717	0.945908848039312	ARSG	17	66303145
cg00375964	0.0255508484396593	ABCE1;ANAPC10	4	146019130
cg00376639	0.0743284220690864	ZNF581	19	56155151
cg00380464	0.0217610704761594	LTV1	6	144164650
cg00381076	0.0265351745412824	C18orf54	18	51884797
cg00382515	0.0119705802537356	MRPL44	2	224822229
cg00382991	0.0410394282441458	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.626784802377949	TGFBI	5	135364970
cg00387170	0.0271525973597799	FOXP4	6	41514002
cg00392257	0.200066043799239	ISG20L2	1	156696747
cg00393585	0.772252562987341	C4orf39;TRIM61	4	165878091
cg00394658	0.25800196189744	PTPRJ	11	48001669
cg00396163	0.0215670710584283	DNAH6	2	84743584
cg00396894	0.76604602972946	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0357849467904995	PPOX	1	161136321
cg00398048	0.136518112896124	AGA	4	178364342
cg00399483	0.0937601069203275	DCC	18	49868378
cg00400028	0.0521690576950815	NA	NA	0
cg00400263	0.438362055848784	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.023378735676199	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.330991190603256	TSC22D3	X	107018431
cg00405070	0.0207635353440728	ERP29;TMEM116	12	112450647
cg00405568	0.0280721120275948	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.768066897952147	RFPL3	22	32753939
cg00407150	0.7060356900486	HHATL	3	42743794
cg00410419	0.0197355809049448	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.131348932800011	STC1	8	23712355
cg00410921	0.534111011557006	NA	NA	0
cg00411097	0.343515889334924	TMEM184A	7	1596050
cg00412772	0.699310705278331	YIF1B;C19orf33	19	38794845
cg00412805	0.971801427689808	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.584061102347195	NA	NA	0
cg00415494	0.869296714610793	NA	NA	0
cg00415978	0.0961163504107458	SYNPO2	4	119809925
cg00415993	0.518660957564955	F2RL2;IQGAP2	5	75919188
cg00417297	0.0174033941782281	ZNF619	3	40518742
cg00418150	0.692215509525488	ALX4	11	44327869
cg00419564	0.0182748489723811	S100A6	1	153508860
cg00420568	0.0690839382249622	SHC3	9	91794904
cg00420715	0.0119482498718609	VPS13B	8	100025364
cg00420929	0.137333918553901	PGPEP1	19	18451112
cg00422913	0.0326589125284716	C17orf91;WDR81	17	1619022
cg00424946	0.0151907483563106	SNTB2	16	69221172
cg00425710	0.668104407469708	MT1A	16	56672671
cg00425792	0.0399029854828124	PEX12	17	33905503
cg00426056	0.0178225125272222	CUTA	6	33385896
cg00426498	0.186054491766786	MYO18A	17	27507667
cg00426963	0.0221935135091114	KIF27	9	86535755
cg00427635	0.110816649537207	TBC1D21	15	74166372
cg00429618	0.125515833609632	ZNF322B	9	99962350
cg00430287	0.800692985851926	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.498332561019604	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.593925667916036	MGP	12	15039025
cg00432979	0.0208093992300285	MRP63;SKA3	13	21750473
cg00433406	0.931007956074193	VWA5B1	1	20616975
cg00434413	0.962068087294939	RENBP;NAA10	X	153201653
cg00435408	0.0285162289985267	FAM192A;RSPRY1	16	57220662
cg00436282	0.894167886502605	STATH	4	70861449
cg00436301	0.0256877881243624	NT5DC1	6	116421736
cg00436603	0.672133755305199	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.0121423211583611	STOML1	15	74284481
cg00443307	0.772723603750681	KLRG1	12	9141740
cg00445824	0.083275841756849	ISYNA1	19	18548929
cg00446235	0.107032926920969	TSTD1	1	161008644
cg00447208	0.71864019367261	TMC8;TMC6	17	76126301
cg00448720	0.649387883764256	C1QTNF9	13	24883014
cg00449941	0.0206058376591993	SPAG5	17	26926011
cg00451635	0.263810371689293	EMP2	16	10675030
cg00453193	0.0225822530566699	TES	7	115851050
cg00453258	0.798217929952603	CALHM1	10	105219172
cg00459975	0.0231509363933063	INTS9;HMBOX1	8	28749099
cg00461841	0.723355490653513	ATF7IP2	16	10523485
cg00462311	0.0470273932015147	NFATC4	14	24837184
cg00462994	0.470895913902726	NAGS;PYY	17	42081955
cg00463202	0.857373751434915	ADPRHL1	13	114107710
cg00463577	0.0262361658179678	C6orf150	6	74161911
cg00463848	0.90342818009581	KRT2	12	53046105
cg00464269	0.0176953460342254	TNFAIP1;IFT20	17	26662842
cg00465284	0.686098961625653	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0132572744845747	NA	NA	0
cg00466249	0.167210506550661	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0172799686305494	C14orf101	14	57046243
cg00468146	0.159116780639154	ID4	6	19838211
cg00469635	0.014186364609258	PPME1;C2CD3	11	73882471
cg00471562	0.0242241621271111	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.0199998329874664	ADAMTS1	21	28217676
cg00474004	0.887547686144978	IFNA14	9	21239944
cg00474209	0.0376860890860903	DLL1	6	170600060
cg00475955	0.0142611572181825	C9orf114	9	131592049
cg00476577	0.0275768062178738	NA	NA	0
cg00476580	0.0133546243620957	ANP32E	1	150207583
cg00479269	0.0374732999909871	C2orf29	2	101869975
cg00480115	0.458080568028571	FXYD3	19	35606877
cg00480209	0.0131379669183786	SCO1;C17orf48	17	10600689
cg00480356	0.199533846159895	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0178743461099898	DDX41	5	176943504
cg00485296	0.00840229365728629	NME3	16	1821559
cg00485380	0.0163205174190461	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0229076998580534	SOCS1	16	11349568
cg00488300	0.751939458820665	NA	NA	0
cg00488364	0.799734055909167	IL13RA2	X	114253315
cg00488718	0.0193290207231888	MFSD8;C4orf29	4	128887044
cg00489401	0.72920843250632	FLT4	5	180075875
cg00491404	0.834893140700585	EPS8L3	1	110306591
cg00491839	0.0571788163360005	PPP1R15A	19	49375640
cg00493400	0.0167606294812074	STAT1	2	191879127
cg00495415	0.0236560123140171	SP1	12	53773795
cg00495442	0.0259178333223012	RALGAPB	20	37101172
cg00495491	0.817547549637239	NA	NA	0
cg00496170	0.0179209210540322	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.625364977160335	PPEF1	X	18709116
cg00497251	0.0303203661095159	RNPEPL1	2	241508725
cg00498305	0.76793608496811	SLC18A2	10	119000236
cg00498604	0.393042883724277	TLL1	4	166793789
cg00499599	0.0138937655629731	C21orf57;MCM3AP	21	47706392
cg00499822	0.716161451872979	CXCL12	10	44881551
cg00500400	0.0322957857254955	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0152680897172034	ZDHHC14	6	157801893
