Hybridization REF	TCGA-A2-A0T3-01A-21D-A112-05	TCGA-A2-A0T3-01A-21D-A112-05	TCGA-A2-A0T3-01A-21D-A112-05	TCGA-A2-A0T3-01A-21D-A112-05
cg00065385	0.981055903180705	ACTL7A	9	111623395
cg00065408	0.0191933671844649	CACNB3	12	49212475
cg00066153	0.813764722623936	ACRV1	11	125550744
cg00066816	0.708555326808333	IL12B	5	158758353
cg00067471	0.0513901860121999	ATP5D	19	1241377
cg00069261	0.0573789142885752	CDR2	16	22386531
cg00071250	0.867474015618677	FASLG	1	172628263
cg00071998	0.0725111900628948	MSH5	6	31708121
cg00072216	0.0139202203238532	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.785855867703986	STRA6	15	74495354
cg00076645	0.014151660812978	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.489411027968627	ASAP1	8	131414474
cg00078194	0.0122519392271471	MDK	11	46402949
cg00078867	0.720094566951655	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.207556976743549	ARFGAP3	22	43253521
cg00080012	0.015935174684668	EED	11	85955689
cg00081935	0.0331129124729146	TSPAN9	12	3186906
cg00081975	0.462394124205002	ABCC3	17	48712370
cg00083720	0.0128235822850374	NA	NA	0
cg00083937	0.702790120602251	MAPK8IP2	22	51039805
cg00084687	0.00870705750791466	GATAD1	7	92076896
cg00089071	0.0112749576891972	PCGF2	17	36905809
cg00090147	0.703343740747498	GATA4	8	11562367
cg00091693	0.552101442187713	KRT20	17	39041602
cg00093177	0.926233266611989		17	37185495
cg00094319	0.892371304789303	PABPC3	13	25670530
cg00094851	0.0448396121918456	KIF3C	2	26205706
cg00095526	0.910237556417598	CACNA1S	1	201081686
cg00095674	0.0764332605676181	PLEKHO1	1	150122654
cg00096922	0.469991291822543	DLX5	7	96654185
cg00097536	0.0113904748882133	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.0126553865397	PNPLA6	19	7599173
cg00099550	0.0208178079375215	NA	NA	0
cg00101227	0.880802740604017	MPZ	1	161280266
cg00103783	0.013040294760862	MPDU1	17	7487249
cg00105253	0.0120209607038021	NUDT14	14	105647194
cg00105470	0.0174226997186509	C1orf35	1	228290868
cg00107187	0.648580820154767	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.00885947735618387	PGM2	4	37828500
cg00108454	0.344476339754664	C1QA	1	22963614
cg00109274	0.0526596909325392	DGKH	13	42623032
cg00112517	0.690461302319827	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.554402800894225	CABP1	12	121078090
cg00115714	0.163139642713805	AMD1	6	111196112
cg00116234	0.719245831022342	ADAMTSL1	9	18474243
cg00116838	0.677562461449596	RTN2;FLJ40125	19	46001746
cg00117172	0.743865077479311	RUNX3	1	25255838
cg00119079	0.549043775129495	LAMP3	3	182880278
cg00121158	0.00986774067078237	KDM4C	9	6757826
cg00121640	0.0350693175784446	ASTN2	9	120176515
cg00121904	0.637950552756119	MAOB	X	43741826
cg00123035	0.0170527430096419	RFX5	1	151319538
cg00126034	0.599163343279558	WNT3	17	44896162
cg00126657	0.532551454671439	SSX6	X	47967250
cg00126698	0.636413902913088	BTK	X	100640503
cg00128197	0.330093443545419	HSD17B10	X	53461455
cg00128560	0.974821897566837	TIGD7	16	3352013
cg00128654	0.0146357901167251	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0417693569021524	MKNK1	1	47070178
cg00129774	0.02059177713566	CDK2;SILV	12	56360414
cg00131121	0.0326525223842316	POLR2J	7	102119710
cg00131557	0.927619406986781	DNAJC15	13	43596656
cg00132141	0.602525892878167	CTNNA3	10	69456307
cg00133909	0.0241079303124361	CD276	15	73977201
cg00134539	0.830964022589889	UBASH3A	21	43824071
cg00134787	0.558364405058631	MYH1	17	10419499
cg00135056	0.130761543570161	C3orf37	3	128997295
cg00135393	0.412790004618342	NA	NA	0
cg00136105	0.0173239260705612	GNPTAB	12	102224911
cg00136405	0.205732205313235	IL21	4	123542198
cg00136477	0.885334102907215	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.894459975532663	PMEPA1	20	56286697
cg00141162	0.795089382855555	HCLS1	3	121379777
cg00141550	0.845531283487199	NA	NA	0
cg00141845	0.269679641511655	UPRT	X	74493352
cg00143376	0.782323132095094	NMUR1	2	232394702
cg00143998	0.042505885124086	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.129306542486196	GNPDA1	5	141393931
cg00145348	0.40475397176642	APEX2	X	55026862
cg00146096	0.0157143329831687	FANCF	11	22647309
cg00149659	0.0160242008149342	C3orf10	3	10157352
cg00149976	0.0172191521961567	MGLL	3	127541529
cg00151234	0.324337694857126	PGK1	X	77359363
cg00151607	0.0111980175743584	TRAPPC2L;GALNS	16	88923507
cg00152644	0.960954803972516	SPRR2E	1	153068236
cg00155167	0.0192751596949978	VPS13B	8	100025831
cg00155485	0.0338205757429751	MED13L	12	116714600
cg00155609	0.0178177449674019	PRDX2	19	12912527
cg00156216	0.0227832371622044	APLP2	11	129939849
cg00156744	0.0481210247835765	STK10	5	171615663
cg00158308	0.372937816021679	OXGR1	13	97646341
cg00160914	0.0608996806910722	DDX20;C1orf183	1	112299263
cg00162401	0.554510489363084	GSTA4	6	52859823
cg00162643	0.032133739277274	DDX58	9	32526492
cg00164041	0.11282983880875	NA	NA	0
cg00164898	0.0277279687195606	MAPK11	22	50709127
cg00165981	0.0486368803939967	COL4A3BP;POLK	5	74808039
cg00167504	0.0172250238727654	BLVRA	7	43798622
cg00168082	0.0322033645928334	ABL1	9	133589177
cg00168785	0.0422221672713774	WDSUB1	2	160142643
cg00168942	0.627618357666699	GJD4	10	35894430
cg00169548	0.0748047386786087	NA	NA	0
cg00171126	0.0194481249883398	WRB	21	40752522
cg00171161	0.0517678010887391	NUDT9	4	88343636
cg00174500	0.834514153763136	CMTM5	14	23846479
cg00174901	0.589506275112499	PALM	19	709889
cg00176210	0.838629428866832	ANK1	8	41654967
cg00176879	0.992870668495898	VPS16;PTPRA	20	2843525
cg00177013	0.0450002664698685	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0138105428401353	PNPO	17	46018875
cg00177923	0.0164572204843815	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.102127255710828	UPF3B	X	118986947
cg00180012	0.0343604854024315	LACE1	6	108615929
cg00180631	0.643407833182389	MTM1	X	149736640
cg00182461	0.0419754891994049	NA	NA	0
cg00183782	0.744979307034128	NA	NA	0
cg00183916	0.0178632358495073	HS3ST3B1	17	14204936
cg00184884	0.0097707689537508	SFI1	22	31892343
cg00184893	0.0145612824632843	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0132334381002084	LRDD	11	804954
cg00186141	0.0194332749396678	PODXL	7	131241768
cg00186701	0.872804010276938	TSPYL5	8	98290510
cg00186954	0.894586602236001	ST5;C11orf17	11	8933980
cg00187380	0.0194289293483392	HOXC4;HOXC5	12	54427384
cg00187686	0.690187873987954	TCN1	11	59634218
cg00188348	0.672541189388751	NA	NA	0
cg00191052	0.825053387754471	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0409502595199677	FAM53C	5	137673669
cg00197641	0.0670915446121996	MRPL52	14	23299461
cg00199549	0.97526470010824	MCM5	22	35795374
cg00200063	0.010981974979632	USP32	17	58469941
cg00201234	0.427801533433318	FBLN2	3	13590968
cg00202702	0.0661328687782127	C11orf70	11	101918157
cg00202711	0.787361158645579	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0406645026033118	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0211336553960514	KIAA0174	16	71929512
cg00208830	0.796778186810744	LAMC2	1	183154778
cg00208967	0.782263337708673	OLFM2	19	10047924
cg00209066	0.94649045816341	BRD1	22	50218923
cg00209951	0.0379379392078573	DENND2C	1	115212834
cg00210842	0.024517314734268	APAF1;IKBIP	12	99039578
cg00211661	0.032954459508664	ARAP1	11	72433619
cg00212549	0.0580819509740063	NA	NA	0
cg00213044	0.835650305037388	KRT6A	12	52886438
cg00213331	0.942610358201085	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0107716681066711	NA	NA	0
cg00214794	0.617052196459605	NA	NA	0
cg00214855	0.120899145362627	CCDC90A	6	13813947
cg00215066	0.986873510510996	MYO9B	19	17212316
cg00216361	0.587418393036634	GAP43	3	115342527
cg00216758	0.033633819381218	RASSF7;C11orf35	11	560589
cg00217795	0.87718504819293	DIO2	14	80677688
cg00221494	0.291798132389112	FARP1	13	98794593
cg00223186	0.150504001792394	ACBD6	1	180472200
cg00223950	0.0216209105187484	UBR4	1	19536222
cg00224234	0.00768464086722837	GLOD4;RNMTL1	17	685693
cg00224508	0.0167870293236774	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.942849836658312	FGD2	6	36972027
cg00228799	0.0167551795843964	ENDOG	9	131580591
cg00229387	0.0400646535749028	TJAP1	6	43445942
cg00230271	0.0193009101148835	TBCK;AIMP1	4	107237183
cg00230368	0.0208105803863667	IGF2R	6	160389833
cg00230502	0.583400446514633	CCDC60	12	119772381
cg00230685	NA	SCML1	X	17755839
cg00231140	0.0293771594863775	ACAA2;SCARNA17	18	47339702
cg00231644	0.202738473471811	TUBB2A	6	3158512
cg00231920	0.0309304566845266	VPS16;FAM113A	20	2821308
cg00233307	0.773569036550302	MAP4K1;EIF3K	19	39109076
cg00234616	0.763918007030389	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0450662782581738	RARA	17	38465489
cg00237010	0.197958206604921	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.964290282986477	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.283841617343698	TTC21A;GORASP1	3	39148342
cg00240312	0.0172511249858211	NA	NA	0
cg00240432	0.514049454929675	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0403317968028064	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.0198953518101108	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0168143119366861	CR2	1	207628182
cg00250430	0.827432568405854	DMRT2	9	1051579
cg00253200	0.0159822027692141	C3orf59	3	192636074
cg00256074	0.9441847410605	MYLPF	16	30386150
cg00256166	0.0302889113088418	KLHL25	15	86338428
cg00256281	0.0101737643967938	PMM1	22	41985642
cg00259755	0.143658897501498	PWWP2B	10	134209763
cg00260778	0.515482564741941	NA	NA	0
cg00261552	0.0328719474995854	CREBL2	12	12764894
cg00261781	0.0106763830359016	MATN3	2	20212517
cg00262415	0.040580716843951	PUSL1;ACAP3	1	1242732
cg00263723	0.025503779656125	NA	NA	0
cg00263760	0.576626444334274	VAX1	10	118897366
cg00265415	0.00790441924157598	B3GALNT2	1	235667507
cg00265490	0.029300814689029	MTDH	8	98655845
cg00268009	0.0141267554928435	ADH5	4	100010211
cg00268338	0.0136854369297222	HECTD2;LOC100188947	10	93169495
cg00269115	0.0154903446640517	C1orf213;ZNF436	1	23695530
cg00269932	0.986585245623957	NA	NA	0
cg00273068	0.822783075093866	EMILIN3	20	39995747
cg00273124	0.915705545913255	NHP2	5	177581512
cg00274399	0.0262613150948493	FGF9	13	22245420
cg00275232	0.0132783753971719	ZNF296	19	45579541
cg00276797	0.0163508112974764	SLK	10	105726614
cg00278366	0.656718005268144	RAD9B;VPS29	12	110940287
cg00279797	0.234416437719378	AMMECR1	X	109561918
cg00280814	0.949083987773215	ZDHHC8P	22	23745389
cg00280894	0.61859447972605	NA	NA	0
cg00282347	0.726185979923235	CHD5	1	6241040
cg00282683	0.012366534005084	UBE3C	7	156931995
cg00283535	0.891247078144387	ANXA13	8	124749564
cg00288562	0.131933435920371	TRA2A	7	23571645
cg00290028	0.0252534312190255	RFXAP	13	37393125
cg00290506	0.589243447682564	CNIH3	1	224804226
cg00291877	0.0642989555999661	SNRPA1	15	101835933
cg00292662	0.0930329658000748	LGALS1	22	38071168
cg00292971	0.911110643378079	FAM131B	7	143060536
cg00293409	0.69183215118599	LRRC33	3	196366669
cg00294382	0.648467721602909	IL23A	12	56732721
cg00295206	0.0121278995441858	RAB7A	3	128444813
cg00295325	0.878961085306412	ABCB11	2	169887932
cg00296685	0.263138346971854	NA	NA	0
cg00297584	0.651753794350529	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.906254510485563	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0180429956291473	PPP3CA	4	102268125
cg00303548	0.0131100214364686	HS6ST3	13	96742413
cg00304278	0.0370459947462924	NA	NA	0
cg00307685	0.944656083800682	BRDT	1	92415524
cg00308133	0.337221898476899	GAMT	19	1401118
cg00308665	0.73949285938308	HTR2A	13	47469654
cg00309056	0.0248993511575884	STARD3NL	7	38218112
cg00309204	0.0239008625414051	C17orf61	17	7307432
cg00311768	0.10399843020957	TSTA3	8	144698857
cg00312919	0.119718085567625	STARD3NL	7	38217710
cg00314943	0.890166247554245	ALPPL2	2	233270750
cg00315936	0.0517229807507699	SND1	7	127292739
cg00317680	0.156886856682271	MTERFD1;PTDSS1	8	97274070
cg00318573	0.745322940181019	CHRNA4	20	61993118
cg00318865	0.0101831514661263	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.00794132219907858	PKMYT1	16	3030447
cg00320243	0.0102629543767411	RAB3A	19	18314691
cg00321065	0.0198646707767915	RLF	1	40627063
cg00321478	0.838889857795396	CRB1	1	197238398
cg00323915	0.861403054419612	GIMAP4	7	150264987
cg00324733	0.0170701650462758	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.0859335500292326	DLAT	11	111896498
cg00327483	0.980227545480244	CASQ1	1	160160587
cg00328227	0.0773836446611288	C1orf59	1	109204325
cg00331237	0.0251231579927283	CSRP2	12	77273319
cg00331433	0.0183521021458673	SYAP1	X	16737800
cg00332153	0.837534262600508	BANK1	4	102712010
cg00332745	0.0130284201302476	NOL3	16	67208247
cg00333226	0.536916238621345	VWC2	7	49813763
cg00333528	0.432071064106697	GABRR1	6	89927485
cg00334507	0.892294942894625	PRRT2	16	29824599
cg00335286	0.410031925634844	MC2R	18	13916355
cg00336605	0.0603860566866283	NR1H2	19	50879437
cg00338702	0.0236360299510435	CHFR	12	133463694
cg00338893	0.0179458954519135	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.102558434256716	GARNL3	9	130027020
cg00343092	0.0106758859810976	TSPO	22	43547974
cg00344358	0.947144731456361	GDF11	12	56135693
cg00344372	0.905766511531852	HGFAC	4	3443625
cg00344709	0.847796765856647	POTED	21	14982225
cg00346145	0.0242968224751868	RPL34;LOC285456	4	109541559
cg00347729	0.319757147897885	MMP10	11	102651753
cg00347904	0.814266056131845	SCUBE3	6	35182508
cg00350296	0.574063524828073	CD248	11	66084841
cg00350478	0.80170963596696	FRMD1	6	168480013
cg00350702	0.0159550774052441	ERGIC3	20	34129927
cg00351011	0.00867449248930203	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.946686499638676	ZIM2	19	57306738
cg00354572	0.0669856851518907	ACSS3	12	81471419
cg00355802	0.0271511951737364	DUSP4	8	29208983
cg00359325	0.033546925778799	USP4	3	49377419
cg00359973	0.523974207139866	RIBC1;SMC1A	X	53449900
cg00363813	0.693438027913817	IFFO1	12	6664872
cg00364344	0.0144103475259881	NA	NA	0
cg00364814	0.889411928072416	R3HDM2	12	57691455
cg00365193	0.276461341857416	NA	NA	0
cg00367281	0.731969290250769	CHRNB3	8	42552470
cg00367438	0.0277357318449726	TMUB1	7	150780797
cg00368022	0.0342180296245718	C5orf22;RNASEN	5	31532653
cg00368415	0.00662754855540007	SNX27	1	151584398
cg00371195	0.969364274834165	F2	11	46740481
cg00374717	0.959077895227309	ARSG	17	66303145
cg00375964	0.128241447112812	ABCE1;ANAPC10	4	146019130
cg00376639	0.0379167548041753	ZNF581	19	56155151
cg00380464	0.0151742039169532	LTV1	6	144164650
cg00381076	0.0423623191685809	C18orf54	18	51884797
cg00382515	0.0119259860032355	MRPL44	2	224822229
cg00382991	0.0200091931286039	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.641894202444155	TGFBI	5	135364970
cg00387170	0.02911576644691	FOXP4	6	41514002
cg00392257	0.0644102719422604	ISG20L2	1	156696747
cg00393585	0.213424619523787	C4orf39;TRIM61	4	165878091
cg00394658	0.323889319476113	PTPRJ	11	48001669
cg00396163	0.0278226521546789	DNAH6	2	84743584
cg00396894	0.864449270411627	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0248613969974163	PPOX	1	161136321
cg00398048	0.119832473356344	AGA	4	178364342
cg00399483	0.689175626941118	DCC	18	49868378
cg00400028	0.491174251442888	NA	NA	0
cg00400263	0.985818833075071	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0196152968015266	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.354027112127282	TSC22D3	X	107018431
cg00405070	0.0203788773514014	ERP29;TMEM116	12	112450647
cg00405568	0.108003284044796	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.849717888544266	RFPL3	22	32753939
cg00407150	0.788665566329908	HHATL	3	42743794
cg00410419	0.020989610721438	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.189010364965741	STC1	8	23712355
cg00410921	0.67767441501924	NA	NA	0
cg00411097	0.222299941051214	TMEM184A	7	1596050
cg00412772	0.943712689126556	YIF1B;C19orf33	19	38794845
cg00412805	0.974637470889179	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.669225485437148	NA	NA	0
cg00415494	0.929513267936307	NA	NA	0
cg00415978	0.0435977645056351	SYNPO2	4	119809925
cg00415993	0.807524696752306	F2RL2;IQGAP2	5	75919188
cg00417297	0.0181842453857763	ZNF619	3	40518742
cg00418150	0.777933795418901	ALX4	11	44327869
cg00419564	0.0173101850191977	S100A6	1	153508860
cg00420568	0.234311952237254	SHC3	9	91794904
cg00420715	0.0260638206174207	VPS13B	8	100025364
cg00420929	0.593705696511156	PGPEP1	19	18451112
cg00422913	0.0164094231180077	C17orf91;WDR81	17	1619022
cg00424946	0.0149711821478637	SNTB2	16	69221172
cg00425710	0.941614909673863	MT1A	16	56672671
cg00425792	0.0377719261619067	PEX12	17	33905503
cg00426056	0.0157310891472563	CUTA	6	33385896
cg00426498	0.122720271713156	MYO18A	17	27507667
cg00426963	0.0146093367176999	KIF27	9	86535755
cg00427635	0.744947043060171	TBC1D21	15	74166372
cg00429618	0.133704300471191	ZNF322B	9	99962350
cg00430287	0.232929691158464	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.671473544650965	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.139201277515683	MGP	12	15039025
cg00432979	0.024742931353806	MRP63;SKA3	13	21750473
cg00433406	0.976803972891817	VWA5B1	1	20616975
cg00434413	0.980593941129246	RENBP;NAA10	X	153201653
cg00435408	0.24988185104369	FAM192A;RSPRY1	16	57220662
cg00436282	0.942665628778781	STATH	4	70861449
cg00436301	0.0240228001438469	NT5DC1	6	116421736
cg00436603	0.792598094773739	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.00746997602349835	STOML1	15	74284481
cg00443307	0.795878049041604	KLRG1	12	9141740
cg00445824	0.0570310339481738	ISYNA1	19	18548929
cg00446235	0.158129025615034	TSTD1	1	161008644
cg00447208	0.899787509290315	TMC8;TMC6	17	76126301
cg00448720	0.885768586195142	C1QTNF9	13	24883014
cg00449941	0.0209580983102522	SPAG5	17	26926011
cg00451635	0.0587291307188991	EMP2	16	10675030
cg00453193	0.0338331473475412	TES	7	115851050
cg00453258	0.845813993929014	CALHM1	10	105219172
cg00459975	0.0270100752419519	INTS9;HMBOX1	8	28749099
cg00461841	0.793968044115691	ATF7IP2	16	10523485
cg00462311	0.0544178090492972	NFATC4	14	24837184
cg00462994	0.72663643295023	NAGS;PYY	17	42081955
cg00463202	0.886985897136811	ADPRHL1	13	114107710
cg00463577	0.0173489794563334	C6orf150	6	74161911
cg00463848	0.909674330245811	KRT2	12	53046105
cg00464269	0.0128583452426381	TNFAIP1;IFT20	17	26662842
cg00465284	0.575204700903936	CTNNA2;LRRTM1	2	80531898
cg00465846	0.016100062858904	NA	NA	0
cg00466249	0.0889808439007084	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0207331397935491	C14orf101	14	57046243
cg00468146	0.401674790388711	ID4	6	19838211
cg00469635	0.00736586693067301	PPME1;C2CD3	11	73882471
cg00471562	0.0112908319585877	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.322478933098709	ADAMTS1	21	28217676
cg00474004	0.892866424759086	IFNA14	9	21239944
cg00474209	0.0238832894421343	DLL1	6	170600060
cg00475955	0.0100209490724692	C9orf114	9	131592049
cg00476577	0.0488117249463824	NA	NA	0
cg00476580	0.00750139637651923	ANP32E	1	150207583
cg00479269	0.0328717269534141	C2orf29	2	101869975
cg00480115	0.0658963153465552	FXYD3	19	35606877
cg00480209	0.00932735020370571	SCO1;C17orf48	17	10600689
cg00480356	0.174349465871925	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0208604110717304	DDX41	5	176943504
cg00485296	0.00508212962531976	NME3	16	1821559
cg00485380	0.0158988623731763	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0522364481323702	SOCS1	16	11349568
cg00488300	0.962860233596372	NA	NA	0
cg00488364	0.775755261801272	IL13RA2	X	114253315
cg00488718	0.0150090124823145	MFSD8;C4orf29	4	128887044
cg00489401	0.840130113195196	FLT4	5	180075875
cg00491404	0.888963361982688	EPS8L3	1	110306591
cg00491839	0.169663512386991	PPP1R15A	19	49375640
cg00493400	0.0190258193528211	STAT1	2	191879127
cg00495415	0.0138525236945274	SP1	12	53773795
cg00495442	0.0853473355115687	RALGAPB	20	37101172
cg00495491	0.819541070272523	NA	NA	0
cg00496170	0.0157537094210155	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.481763507800495	PPEF1	X	18709116
cg00497251	0.0225965292823439	RNPEPL1	2	241508725
cg00498305	0.747097505648636	SLC18A2	10	119000236
cg00498604	0.306737981817914	TLL1	4	166793789
cg00499599	0.0135647364242208	C21orf57;MCM3AP	21	47706392
cg00499822	0.627152259330505	CXCL12	10	44881551
cg00500400	0.0327680845410832	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0145720756342639	ZDHHC14	6	157801893
cg00503458	0.047607715326753	KIAA0907	1	155904439
