Hybridization REF	TCGA-B6-A0IG-01A-11D-A032-05	TCGA-B6-A0IG-01A-11D-A032-05	TCGA-B6-A0IG-01A-11D-A032-05	TCGA-B6-A0IG-01A-11D-A032-05
cg00141550	0.411666873950172	NA	NA	0
cg00141845	0.253002681131724	UPRT	X	74493352
cg00143376	0.772153331617496	NMUR1	2	232394702
cg00143998	0.0260057966545446	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.269855549002984	GNPDA1	5	141393931
cg00145348	0.583699706811244	APEX2	X	55026862
cg00146096	0.0163092659108249	FANCF	11	22647309
cg00149659	0.0198803370197909	C3orf10	3	10157352
cg00149976	0.015772282385204	MGLL	3	127541529
cg00151234	0.574793005117451	PGK1	X	77359363
cg00151607	0.01539155564971	TRAPPC2L;GALNS	16	88923507
cg00152644	0.964978149217699	SPRR2E	1	153068236
cg00155167	0.0160527744246208	VPS13B	8	100025831
cg00155485	0.0228058715261812	MED13L	12	116714600
cg00155609	0.0151014082422465	PRDX2	19	12912527
cg00156216	0.0163972640780572	APLP2	11	129939849
cg00156744	0.0203413391526431	STK10	5	171615663
cg00158308	0.0229572738565864	OXGR1	13	97646341
cg00160914	0.0503010454681278	DDX20;C1orf183	1	112299263
cg00162401	0.0181932907247585	GSTA4	6	52859823
cg00162643	0.0188162079019602	DDX58	9	32526492
cg00164041	0.0244452044022447	NA	NA	0
cg00164898	0.0170143805799843	MAPK11	22	50709127
cg00165981	0.0481605515472681	COL4A3BP;POLK	5	74808039
cg00167504	0.0182197998087325	BLVRA	7	43798622
cg00168082	0.0231194559740692	ABL1	9	133589177
cg00168785	0.0334865812806705	WDSUB1	2	160142643
cg00168942	0.611089602067041	GJD4	10	35894430
cg00169548	0.129687561959989	NA	NA	0
cg00171126	0.0285557014900403	WRB	21	40752522
cg00171161	0.0637546744712567	NUDT9	4	88343636
cg00174500	0.779102725401924	CMTM5	14	23846479
cg00174901	0.62785785733785	PALM	19	709889
cg00176210	0.867324054932098	ANK1	8	41654967
cg00176879	0.991510969780938	VPS16;PTPRA	20	2843525
cg00177013	0.0899007552792386	ARFRP1;ZGPAT	20	62339100
cg00177698	0.028208506471815	PNPO	17	46018875
cg00177923	0.0133799451307346	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.290284941890444	UPF3B	X	118986947
cg00180012	0.0167441924081894	LACE1	6	108615929
cg00180631	0.560421616611207	MTM1	X	149736640
cg00182461	0.0310244879770429	NA	NA	0
cg00183782	0.878714928170047	NA	NA	0
cg00183916	0.0171906283478749	HS3ST3B1	17	14204936
cg00184884	0.0106685804762204	SFI1	22	31892343
cg00184893	0.0149576579521136	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0280542469351715	LRDD	11	804954
cg00186141	0.0143833133018401	PODXL	7	131241768
cg00186701	0.0426751697031342	TSPYL5	8	98290510
cg00186954	0.833239282102238	ST5;C11orf17	11	8933980
cg00187380	0.74414625123944	HOXC4;HOXC5	12	54427384
cg00187686	0.394118770489633	TCN1	11	59634218
cg00188348	0.61232963896556	NA	NA	0
cg00191052	0.879356230721697	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.0170862867554461	FAM53C	5	137673669
cg00197641	0.022984476741786	MRPL52	14	23299461
cg00199549	0.965591424792737	MCM5	22	35795374
cg00200063	0.013674109406272	USP32	17	58469941
cg00201234	0.538384603289897	FBLN2	3	13590968
cg00202702	0.0167839348350472	C11orf70	11	101918157
cg00202711	0.506158655623491	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.019489275793266	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0158370027579008	KIAA0174	16	71929512
cg00208830	0.758115091959045	LAMC2	1	183154778
cg00208967	0.638421265761501	OLFM2	19	10047924
cg00209066	0.902024371220831	BRD1	22	50218923
cg00209951	0.0809126375520409	DENND2C	1	115212834
cg00210842	0.0365984481655348	APAF1;IKBIP	12	99039578
cg00211661	0.0255609769981863	ARAP1	11	72433619
cg00212549	0.0564577691741809	NA	NA	0
cg00213044	0.81774756319728	KRT6A	12	52886438
cg00213331	0.954316447091213	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0191729341407316	NA	NA	0
cg00214794	0.771259482953899	NA	NA	0
cg00214855	0.205691762277179	CCDC90A	6	13813947
cg00215066	0.97200945172339	MYO9B	19	17212316
cg00216361	0.0331846011379704	GAP43	3	115342527
cg00216758	0.0324876641114383	RASSF7;C11orf35	11	560589
cg00217795	0.274988233417884	DIO2	14	80677688
cg00221494	0.529427827520976	FARP1	13	98794593
cg00223186	0.0155606132474971	ACBD6	1	180472200
cg00223950	0.0351832048366804	UBR4	1	19536222
cg00224234	0.0106372878638277	GLOD4;RNMTL1	17	685693
cg00224508	0.0201825175536162	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.887221454762022	FGD2	6	36972027
cg00228799	0.0158696670888967	ENDOG	9	131580591
cg00229387	0.0473336074676667	TJAP1	6	43445942
cg00230271	0.0232578936407231	TBCK;AIMP1	4	107237183
cg00230368	0.0175914668774996	IGF2R	6	160389833
cg00230502	0.0319083931043035	CCDC60	12	119772381
cg00230685	0.682178391764719	SCML1	X	17755839
cg00231140	0.0231654616275849	ACAA2;SCARNA17	18	47339702
cg00231644	0.116206627081293	TUBB2A	6	3158512
cg00231920	0.0232112613193232	VPS16;FAM113A	20	2821308
cg00233307	0.47508200156642	MAP4K1;EIF3K	19	39109076
cg00234616	0.398091319716389	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0479449744492756	RARA	17	38465489
cg00237010	0.154799725742739	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.953329634429736	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0412893056870907	TTC21A;GORASP1	3	39148342
cg00240312	0.067991975452927	NA	NA	0
cg00240432	0.0174610242023498	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.014122151027826	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.017496294802565	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0178511565346165	CR2	1	207628182
cg00250430	0.820544499122121	DMRT2	9	1051579
cg00253200	0.0174836079899454	C3orf59	3	192636074
cg00256074	0.937816528463124	MYLPF	16	30386150
cg00256166	0.0237617682509418	KLHL25	15	86338428
cg00256281	0.0212064258002411	PMM1	22	41985642
cg00259755	0.0866154891415715	PWWP2B	10	134209763
cg00260778	0.196893692387945	NA	NA	0
cg00261552	0.0285365668427109	CREBL2	12	12764894
cg00261781	0.0120250945276647	MATN3	2	20212517
cg00262415	0.0203693805504398	PUSL1;ACAP3	1	1242732
cg00263723	0.0193735506391812	NA	NA	0
cg00263760	0.750336903908964	VAX1	10	118897366
cg00265415	0.00924575849398647	B3GALNT2	1	235667507
cg00265490	0.0284626126442871	MTDH	8	98655845
cg00268009	0.0122561507189582	ADH5	4	100010211
cg00268338	0.015506085720334	HECTD2;LOC100188947	10	93169495
cg00269115	0.0133733363240521	C1orf213;ZNF436	1	23695530
cg00269932	0.98582463321285	NA	NA	0
cg00273068	0.719030962257017	EMILIN3	20	39995747
cg00273124	0.868503482026534	NHP2	5	177581512
cg00274399	0.0285372327319108	FGF9	13	22245420
cg00275232	0.0189550100377936	ZNF296	19	45579541
cg00276797	0.0187237055988497	SLK	10	105726614
cg00278366	0.678082630147068	RAD9B;VPS29	12	110940287
cg00279797	0.349209962221512	AMMECR1	X	109561918
cg00280814	0.868610256523935	ZDHHC8P	22	23745389
cg00280894	0.327206783883318	NA	NA	0
cg00282347	0.0741723155056377	CHD5	1	6241040
cg00282683	0.0134265283130901	UBE3C	7	156931995
cg00283535	0.91142260193256	ANXA13	8	124749564
cg00288562	0.0165306043052314	TRA2A	7	23571645
cg00290028	0.00873173401497458	RFXAP	13	37393125
cg00290506	0.139682686939981	CNIH3	1	224804226
cg00291877	0.0359231058111011	SNRPA1	15	101835933
cg00292662	0.0169679763042878	LGALS1	22	38071168
cg00292971	0.93576336938375	FAM131B	7	143060536
cg00293409	0.0292510376095664	LRRC33	3	196366669
cg00294382	0.581377266227721	IL23A	12	56732721
cg00295206	0.0249958384606292	RAB7A	3	128444813
cg00295325	0.702541524760873	ABCB11	2	169887932
cg00296685	0.0290481842331362	NA	NA	0
cg00297584	0.49415703830507	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.850997428966329	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0246368502050049	PPP3CA	4	102268125
cg00303548	0.0123954696571961	HS6ST3	13	96742413
cg00304278	0.033371059517771	NA	NA	0
cg00307685	0.928584726902676	BRDT	1	92415524
cg00308133	0.0158683255690084	GAMT	19	1401118
cg00308665	0.068818354908688	HTR2A	13	47469654
cg00309056	0.0210938655845917	STARD3NL	7	38218112
cg00309204	0.0258069628230988	C17orf61	17	7307432
cg00311768	0.24147364837096	TSTA3	8	144698857
cg00312919	0.0124940115431906	STARD3NL	7	38217710
cg00314943	0.892606679361754	ALPPL2	2	233270750
cg00315936	0.0569557332675675	SND1	7	127292739
cg00317680	0.110332675767519	MTERFD1;PTDSS1	8	97274070
cg00318573	0.126462317064295	CHRNA4	20	61993118
cg00318865	0.0155819923502815	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.0101878530998919	PKMYT1	16	3030447
cg00320243	0.0123347625250111	RAB3A	19	18314691
cg00321065	0.0249407982053945	RLF	1	40627063
cg00321478	0.422295855225405	CRB1	1	197238398
cg00323915	0.55717645091871	GIMAP4	7	150264987
cg00324733	0.0241535671703214	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.123222448498492	DLAT	11	111896498
cg00327483	0.971261626969009	CASQ1	1	160160587
cg00328227	0.136863142985771	C1orf59	1	109204325
cg00331237	0.341144282620068	CSRP2	12	77273319
cg00331433	0.0169321225320765	SYAP1	X	16737800
cg00332153	0.841191533523765	BANK1	4	102712010
cg00332745	0.0198003444075663	NOL3	16	67208247
cg00333226	0.668149888893314	VWC2	7	49813763
cg00333528	0.709371662792297	GABRR1	6	89927485
cg00334507	0.781785414239372	PRRT2	16	29824599
cg00335286	0.785272100419252	MC2R	18	13916355
cg00336605	0.0246093644948636	NR1H2	19	50879437
cg00338702	0.0293206136965678	CHFR	12	133463694
cg00338893	0.0173927286500436	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.0873134237628334	GARNL3	9	130027020
cg00343092	0.0161951740542282	TSPO	22	43547974
cg00344358	0.946887768699661	GDF11	12	56135693
cg00344372	0.862393647335764	HGFAC	4	3443625
cg00344709	0.976427033696492	POTED	21	14982225
cg00346145	0.0301771156866493	RPL34;LOC285456	4	109541559
cg00347729	0.273032638906333	MMP10	11	102651753
cg00347904	0.17719096835337	SCUBE3	6	35182508
cg00350296	0.742060837022206	CD248	11	66084841
cg00350478	0.672540966134523	FRMD1	6	168480013
cg00350702	0.0150083221553471	ERGIC3	20	34129927
cg00351011	0.0127151152709235	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.952987028681613	ZIM2	19	57306738
cg00354572	0.0341195702895559	ACSS3	12	81471419
cg00355802	0.0365651367864239	DUSP4	8	29208983
cg00359325	0.0307455545677631	USP4	3	49377419
cg00359973	0.0425556807067296	RIBC1;SMC1A	X	53449900
cg00363813	0.694093157810595	IFFO1	12	6664872
cg00364344	0.0194169780623832	NA	NA	0
cg00364814	0.874158836557749	R3HDM2	12	57691455
cg00365193	0.313157747092529	NA	NA	0
cg00367281	0.468101548112389	CHRNB3	8	42552470
cg00367438	0.0365612226650495	TMUB1	7	150780797
cg00368022	0.0188646302106141	C5orf22;RNASEN	5	31532653
cg00368415	0.00950901143477872	SNX27	1	151584398
cg00371195	0.964066959118325	F2	11	46740481
cg00374717	0.934946800396755	ARSG	17	66303145
cg00375964	0.0195925083963642	ABCE1;ANAPC10	4	146019130
cg00376639	0.084355068694963	ZNF581	19	56155151
cg00380464	0.0310123310456195	LTV1	6	144164650
cg00381076	0.0328813365008051	C18orf54	18	51884797
cg00382515	0.0124041833928381	MRPL44	2	224822229
cg00382991	0.0300001382428875	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.177856102005865	TGFBI	5	135364970
cg00387170	0.0289298022505632	FOXP4	6	41514002
cg00392257	0.167047564643874	ISG20L2	1	156696747
cg00393585	0.0410802946197535	C4orf39;TRIM61	4	165878091
cg00394658	0.227239913163877	PTPRJ	11	48001669
cg00396163	0.0136495594866059	DNAH6	2	84743584
cg00396894	0.699948564096027	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0182269965447237	PPOX	1	161136321
cg00398048	0.0372770560460131	AGA	4	178364342
cg00399483	0.593108873736697	DCC	18	49868378
cg00400028	0.0808554934458473	NA	NA	0
cg00400263	0.989910846351962	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0229113460396385	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.550826288692851	TSC22D3	X	107018431
cg00405070	0.0211868951920704	ERP29;TMEM116	12	112450647
cg00405568	0.0217790695742675	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.79416126970919	RFPL3	22	32753939
cg00407150	0.741669984038962	HHATL	3	42743794
cg00410419	0.0151582075327349	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.0864917051587013	STC1	8	23712355
cg00410921	0.146984135925369	NA	NA	0
cg00411097	0.261592833811235	TMEM184A	7	1596050
cg00412772	0.438294582394808	YIF1B;C19orf33	19	38794845
cg00412805	0.977188861129396	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.696250124968575	NA	NA	0
cg00415494	0.839825718810335	NA	NA	0
cg00415978	0.123412325908595	SYNPO2	4	119809925
cg00415993	0.505665238345754	F2RL2;IQGAP2	5	75919188
cg00417297	0.019084246356446	ZNF619	3	40518742
cg00418150	0.73322404752513	ALX4	11	44327869
cg00419564	0.0269958889455561	S100A6	1	153508860
cg00420568	0.0493256836176925	SHC3	9	91794904
cg00420715	0.0109390712711223	VPS13B	8	100025364
cg00420929	0.154650343528034	PGPEP1	19	18451112
cg00422913	0.0241444853333286	C17orf91;WDR81	17	1619022
cg00424946	0.0124815601330467	SNTB2	16	69221172
cg00425710	0.92918702114518	MT1A	16	56672671
cg00425792	0.0331129393591139	PEX12	17	33905503
cg00426056	0.0197105290779627	CUTA	6	33385896
cg00426498	0.205119812676379	MYO18A	17	27507667
cg00426963	0.016711791650361	KIF27	9	86535755
cg00427635	0.425297484904825	TBC1D21	15	74166372
cg00429618	0.179156217052682	ZNF322B	9	99962350
cg00430287	0.282455191738254	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.548808467337469	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.171656389433977	MGP	12	15039025
cg00432979	0.0193383839440313	MRP63;SKA3	13	21750473
cg00433406	0.948407652925998	VWA5B1	1	20616975
cg00434413	0.986733893939316	RENBP;NAA10	X	153201653
cg00435408	0.0193178409453671	FAM192A;RSPRY1	16	57220662
cg00436282	0.690697010504588	STATH	4	70861449
cg00436301	0.0158947111517467	NT5DC1	6	116421736
cg00436603	0.611353582830506	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.0109863867279034	STOML1	15	74284481
cg00443307	0.85610929172724	KLRG1	12	9141740
cg00445824	0.0791643014794612	ISYNA1	19	18548929
cg00446235	0.0988158823866265	TSTD1	1	161008644
cg00447208	0.748156040912408	TMC8;TMC6	17	76126301
cg00448720	0.605704232595887	C1QTNF9	13	24883014
cg00449941	0.0245727767057633	SPAG5	17	26926011
cg00451635	0.14324234764442	EMP2	16	10675030
cg00453193	0.0177531257273743	TES	7	115851050
cg00453258	0.814512270309716	CALHM1	10	105219172
cg00459975	0.0130437571839276	INTS9;HMBOX1	8	28749099
cg00461841	0.831111810828487	ATF7IP2	16	10523485
cg00462311	0.0487728615233219	NFATC4	14	24837184
cg00462994	0.715756984704131	NAGS;PYY	17	42081955
cg00463202	0.856102756901551	ADPRHL1	13	114107710
cg00463577	0.0156985250336753	C6orf150	6	74161911
cg00463848	0.905839085403096	KRT2	12	53046105
cg00464269	0.0149887898081353	TNFAIP1;IFT20	17	26662842
cg00465284	0.684883942616054	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0148134174032266	NA	NA	0
cg00466249	0.190977130005435	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0155917774889459	C14orf101	14	57046243
cg00468146	0.48104347666204	ID4	6	19838211
cg00469635	0.0100472251148016	PPME1;C2CD3	11	73882471
cg00471562	0.0152525310157208	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.415830312833812	ADAMTS1	21	28217676
cg00474004	0.908638420912246	IFNA14	9	21239944
cg00474209	0.0417702309874577	DLL1	6	170600060
cg00475955	0.0120699393852662	C9orf114	9	131592049
cg00476577	0.068355428605171	NA	NA	0
cg00476580	0.011882864185329	ANP32E	1	150207583
cg00479269	0.0301127858427814	C2orf29	2	101869975
cg00480115	0.192657843403229	FXYD3	19	35606877
cg00480209	0.0138241225788517	SCO1;C17orf48	17	10600689
cg00480356	0.0605018424105802	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0178127698642655	DDX41	5	176943504
cg00485296	0.0115880504555304	NME3	16	1821559
cg00485380	0.0197069219486157	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0160796478416658	SOCS1	16	11349568
cg00488300	0.917447874700066	NA	NA	0
cg00488364	0.92120132269106	IL13RA2	X	114253315
cg00488718	0.0165040302078307	MFSD8;C4orf29	4	128887044
cg00489401	0.841292443993338	FLT4	5	180075875
cg00491404	0.891800653090578	EPS8L3	1	110306591
cg00491839	0.0621918070226476	PPP1R15A	19	49375640
cg00493400	0.0118144959827287	STAT1	2	191879127
cg00495415	0.0222146891490101	SP1	12	53773795
cg00495442	0.0197993653626417	RALGAPB	20	37101172
cg00495491	0.846169473930311	NA	NA	0
cg00496170	0.0135687976362091	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.360149960532463	PPEF1	X	18709116
cg00497251	0.0393370908369504	RNPEPL1	2	241508725
cg00498305	0.534164971403691	SLC18A2	10	119000236
cg00498604	0.0469511893354538	TLL1	4	166793789
cg00499599	0.0167941944887148	C21orf57;MCM3AP	21	47706392
cg00499822	0.785072016886799	CXCL12	10	44881551
cg00500400	0.0222120355488604	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0152524253465908	ZDHHC14	6	157801893
