Hybridization REF	TCGA-AO-A12D-01A-11D-A112-05	TCGA-AO-A12D-01A-11D-A112-05	TCGA-AO-A12D-01A-11D-A112-05	TCGA-AO-A12D-01A-11D-A112-05
cg00037940	0.885756689920632	PIK3CB	3	138479285
cg00040861	0.0161497823940648	LSM7;SPPL2B	19	2328391
cg00040873	0.0871619903742603	NDUFB10	16	2009157
cg00041575	0.573462337338046	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.0338461486997861	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
cg00044245	0.0235917553728251	EPHA7	6	94128889
cg00044729	NA	ENTHD1	22	40290976
cg00047050	0.0525834473134079	CUL5	11	107879431
cg00047469	0.0368142629462688	POLE3;C9orf43	9	116172568
cg00049986	0.200451043022997	NA	NA	0
cg00050312	0.041805031467824	PRKCA	17	64299065
cg00051623	NA	CASP1	11	104907029
cg00051979	0.0376112574726995	C10orf4	10	95462161
cg00053292	0.0195556661067297	TACO1	17	61678300
cg00053647	0.0582241650698581	C7orf28B	7	6866072
cg00054706	0.0194849813458304	C1D	2	68289972
cg00055233	0.260535563032745	RLN1	9	5339677
cg00056767	0.0193515013063209	CCDC122;C13orf31	13	44453183
cg00057593	NA	GML	8	143916959
cg00058938	NA	TTC9B	19	40724733
cg00059225	0.321153809929939	GLRA1	5	151304357
cg00059424	0.0323875805766706	PES1	22	30988148
cg00059740	0.0108217606320371	C7orf49	7	134855689
cg00059930	0.610579797827145	RB1	13	48894382
cg00060762	0.020738225941103	LEO1	15	52264133
cg00060882	0.102112827856793	EIF2S3	X	24072811
cg00061059	0.0523889571033737	TECR	19	14640983
cg00061629	0.708444357654476	ALX4	11	44325258
cg00062776	0.989081280622928	TULP2	19	49402424
cg00063144	0.897798651166463	KRT31	17	39554055
cg00065385	0.974697567188694	ACTL7A	9	111623395
cg00065408	0.0198642717255577	CACNB3	12	49212475
cg00066153	0.953634059716939	ACRV1	11	125550744
cg00066816	0.15918087948073	IL12B	5	158758353
cg00067471	0.0798913318189936	ATP5D	19	1241377
cg00069261	0.0516054739095161	CDR2	16	22386531
cg00071250	0.662229198316489	FASLG	1	172628263
cg00071998	0.0163565281775347	MSH5	6	31708121
cg00072216	0.00967522209055761	MXD4	4	2263638
cg00073650	NA	GALNS;TRAPPC2L	16	88922166
cg00075967	0.702509157700647	STRA6	15	74495354
cg00076645	0.0217879799593262	UBTD2	5	171711562
cg00077457	NA	ZNF326;LOC492303	1	90460000
cg00077877	0.742053559655295	ASAP1	8	131414474
cg00078194	0.0146299398417224	MDK	11	46402949
cg00078867	0.676828878265734	WAS	X	48542398
cg00079056	NA	SUGT1P1;SPINK4	9	33239641
cg00079563	0.00782919998166762	ARFGAP3	22	43253521
cg00080012	0.011210976058751	EED	11	85955689
cg00081935	0.0313937217941612	TSPAN9	12	3186906
cg00081975	0.0336785541786969	ABCC3	17	48712370
cg00083720	0.0111673127692413	NA	NA	0
cg00083937	0.448123444575187	MAPK8IP2	22	51039805
cg00084687	0.0183188968870054	GATAD1	7	92076896
cg00089071	0.0171688376160255	PCGF2	17	36905809
cg00090147	0.0878759291148083	GATA4	8	11562367
cg00091693	0.699821196890087	KRT20	17	39041602
cg00093177	0.939336147224188		17	37185495
cg00094319	0.840139067431191	PABPC3	13	25670530
cg00094851	0.0496168318488702	KIF3C	2	26205706
cg00095526	0.85870371971867	CACNA1S	1	201081686
cg00095674	0.0737472936271659	PLEKHO1	1	150122654
cg00096922	0.0252663359848279	DLX5	7	96654185
cg00097536	0.00924315562028595	ZFP36L2;LOC100129726	2	43454476
cg00098162	NA		10	90619573
cg00098239	0.00924232996207712	PNPLA6	19	7599173
cg00099550	0.030674219388653	NA	NA	0
cg00101227	0.813768048351812	MPZ	1	161280266
cg00103783	0.0165388802771569	MPDU1	17	7487249
cg00105253	0.0374537420840946	NUDT14	14	105647194
cg00105470	0.00999527763191314	C1orf35	1	228290868
cg00107187	0.206746117755603	TMEM179	14	105070998
cg00107488	NA	COMT;TXNRD2	22	19930437
cg00107632	0.00974189143525316	PGM2	4	37828500
cg00108454	0.419817570465663	C1QA	1	22963614
cg00109274	0.104015223302241	DGKH	13	42623032
cg00112517	0.184969727895441	PPP1R1B	17	37783011
cg00113020	NA	LILRB4	19	55173482
cg00113951	0.296439665779119	CABP1	12	121078090
cg00115714	0.344881727570673	AMD1	6	111196112
cg00116234	0.0279735070196644	ADAMTSL1	9	18474243
cg00116838	0.0850287823154468	RTN2;FLJ40125	19	46001746
cg00117172	0.390612157531835	RUNX3	1	25255838
cg00119079	0.0570080673643807	LAMP3	3	182880278
cg00121158	0.0134085615187627	KDM4C	9	6757826
cg00121640	0.0580661070449296	ASTN2	9	120176515
cg00121904	0.075613495607784	MAOB	X	43741826
cg00123035	0.0151764151079345	RFX5	1	151319538
cg00126034	0.0372033187497588	WNT3	17	44896162
cg00126657	0.31954377122733	SSX6	X	47967250
cg00126698	0.704191243503711	BTK	X	100640503
cg00128197	0.148211077525281	HSD17B10	X	53461455
cg00128560	0.967254505898765	TIGD7	16	3352013
cg00128654	0.0194019664452588	C14orf102	14	90798063
cg00128766	NA	KIAA0494	1	47185216
cg00128877	0.0577884378975523	MKNK1	1	47070178
cg00129774	0.0202746555522934	CDK2;SILV	12	56360414
cg00131121	0.017962542977661	POLR2J	7	102119710
cg00131557	0.932560702090573	DNAJC15	13	43596656
cg00132141	0.465154754097701	CTNNA3	10	69456307
cg00133909	0.0713634725269497	CD276	15	73977201
cg00134539	0.71344630143567	UBASH3A	21	43824071
cg00134787	0.57239795321572	MYH1	17	10419499
cg00135056	0.182911005701291	C3orf37	3	128997295
cg00135393	0.377459099058433	NA	NA	0
cg00136105	0.0197394601809879	GNPTAB	12	102224911
cg00136405	0.259138369537207	IL21	4	123542198
cg00136477	0.74239854773252	C1QC	1	22970339
cg00136736	NA	THOC5	22	29949905
cg00138126	0.482152108003156	PMEPA1	20	56286697
cg00141162	0.434002496344227	HCLS1	3	121379777
cg00141550	0.810594943682247	NA	NA	0
cg00141845	0.339149027152466	UPRT	X	74493352
cg00143376	0.554323533836685	NMUR1	2	232394702
cg00143998	0.0749234792603845	HIST3H2A;HIST3H2BB	1	228645859
cg00145118	0.243470249937381	GNPDA1	5	141393931
cg00145348	0.481843505354698	APEX2	X	55026862
cg00146096	0.0209458888513114	FANCF	11	22647309
cg00149659	0.0165970018469143	C3orf10	3	10157352
cg00149976	0.0733132727773671	MGLL	3	127541529
cg00151234	0.418913182154288	PGK1	X	77359363
cg00151607	0.00698413120181715	TRAPPC2L;GALNS	16	88923507
cg00152644	0.951415154894965	SPRR2E	1	153068236
cg00155167	0.0189392400237347	VPS13B	8	100025831
cg00155485	0.039567287178311	MED13L	12	116714600
cg00155609	0.0569903813263479	PRDX2	19	12912527
cg00156216	0.0435438951075225	APLP2	11	129939849
cg00156744	0.0533706392010497	STK10	5	171615663
cg00158308	0.245561214313837	OXGR1	13	97646341
cg00160914	0.0958208980960946	DDX20;C1orf183	1	112299263
cg00162401	0.0327804217284652	GSTA4	6	52859823
cg00162643	0.0293387663232562	DDX58	9	32526492
cg00164041	0.176777757769899	NA	NA	0
cg00164898	0.0278560021820063	MAPK11	22	50709127
cg00165981	0.0430249304525449	COL4A3BP;POLK	5	74808039
cg00167504	0.0141932976951831	BLVRA	7	43798622
cg00168082	0.0302390244285345	ABL1	9	133589177
cg00168785	0.118097244833354	WDSUB1	2	160142643
cg00168942	0.644406301271633	GJD4	10	35894430
cg00169548	0.38599218544173	NA	NA	0
cg00171126	0.0370233456261644	WRB	21	40752522
cg00171161	0.0438659557825317	NUDT9	4	88343636
cg00174500	0.707806237796316	CMTM5	14	23846479
cg00174901	0.389300871938084	PALM	19	709889
cg00176210	0.70690838014601	ANK1	8	41654967
cg00176879	0.992525167483477	VPS16;PTPRA	20	2843525
cg00177013	0.0443818311921394	ARFRP1;ZGPAT	20	62339100
cg00177698	0.0196307258584386	PNPO	17	46018875
cg00177923	0.0145100509635709	LEPROTL1	8	29952655
cg00178790	NA	C18orf19;RNMT	18	13726864
cg00179446	0.0838439921751138	UPF3B	X	118986947
cg00180012	0.0382413844290033	LACE1	6	108615929
cg00180631	0.43286018485917	MTM1	X	149736640
cg00182461	0.111596128215683	NA	NA	0
cg00183782	0.88031835433306	NA	NA	0
cg00183916	0.0176327520096016	HS3ST3B1	17	14204936
cg00184884	0.00806539498035237	SFI1	22	31892343
cg00184893	0.0128919949234918	ALOXE3	17	8021705
cg00185103	NA	ZNF45	19	44430886
cg00185839	0.0108853406381849	LRDD	11	804954
cg00186141	0.0122988245738525	PODXL	7	131241768
cg00186701	0.0632143106746325	TSPYL5	8	98290510
cg00186954	0.843436572607479	ST5;C11orf17	11	8933980
cg00187380	0.380739373753989	HOXC4;HOXC5	12	54427384
cg00187686	0.231323127084878	TCN1	11	59634218
cg00188348	0.644316259381847	NA	NA	0
cg00191052	0.652225051637468	CHST7	X	46432770
cg00194146	NA	GFOD1	6	13488404
cg00195561	NA	CHRM4	11	46408584
cg00197381	0.071360289713202	FAM53C	5	137673669
cg00197641	0.0872562049014671	MRPL52	14	23299461
cg00199549	0.873355669170701	MCM5	22	35795374
cg00200063	0.0224133652055735	USP32	17	58469941
cg00201234	0.0710735954083097	FBLN2	3	13590968
cg00202702	0.0116017800184277	C11orf70	11	101918157
cg00202711	0.356762236296045	HTR2C	X	113818410
cg00204262	NA	ECH1	19	39323158
cg00206052	0.0329906477656325	RP11-529I10.4;POLL	10	103348143
cg00207534	0.0226677163800587	KIAA0174	16	71929512
cg00208830	0.860786814021122	LAMC2	1	183154778
cg00208967	0.163689804376474	OLFM2	19	10047924
cg00209066	0.922772120828588	BRD1	22	50218923
cg00209951	0.0329015040529216	DENND2C	1	115212834
cg00210842	0.029742419126185	APAF1;IKBIP	12	99039578
cg00211661	0.017003782968105	ARAP1	11	72433619
cg00212549	0.126424410403274	NA	NA	0
cg00213044	0.796917041975755	KRT6A	12	52886438
cg00213331	0.936364514140505	SIL1	5	138463463
cg00213714	NA	ASTN2;TRIM32	9	119449370
cg00214346	0.0150768771126805	NA	NA	0
cg00214794	0.541431354714446	NA	NA	0
cg00214855	0.235702211084545	CCDC90A	6	13813947
cg00215066	0.982992519526269	MYO9B	19	17212316
cg00216361	0.0559452092269002	GAP43	3	115342527
cg00216758	0.0411089978521286	RASSF7;C11orf35	11	560589
cg00217795	0.650850932752482	DIO2	14	80677688
cg00221494	0.258340389218704	FARP1	13	98794593
cg00223186	0.0182646481047334	ACBD6	1	180472200
cg00223950	0.0332838418641685	UBR4	1	19536222
cg00224234	0.0118180297645505	GLOD4;RNMTL1	17	685693
cg00224508	0.0130174036658128	CDC42SE1;MLLT11	1	151031323
cg00226904	NA	SERPINB5	18	61157065
cg00226923	0.849506047516478	FGD2	6	36972027
cg00228799	0.017531906416338	ENDOG	9	131580591
cg00229387	0.117003581319048	TJAP1	6	43445942
cg00230271	0.0770894302615192	TBCK;AIMP1	4	107237183
cg00230368	0.0184234816374292	IGF2R	6	160389833
cg00230502	0.241441272026538	CCDC60	12	119772381
cg00230685	NA	SCML1	X	17755839
cg00231140	0.280055776297674	ACAA2;SCARNA17	18	47339702
cg00231644	0.501731463793889	TUBB2A	6	3158512
cg00231920	0.017720555887774	VPS16;FAM113A	20	2821308
cg00233307	0.0288774439473342	MAP4K1;EIF3K	19	39109076
cg00234616	0.316829087355343	TLX2	2	74740572
cg00234961	NA	ZBED4	22	50246573
cg00236832	0.0856859072539395	RARA	17	38465489
cg00237010	0.477138604293709	NINJ2	12	772861
cg00238052	NA	TCEAL2	X	101380291
cg00239071	0.942977949457647	C14orf68	14	100789737
cg00239419	NA	TUBD1;RPS6KB1	17	57969186
cg00239685	0.0539764735568827	TTC21A;GORASP1	3	39148342
cg00240312	0.0391677571515808	NA	NA	0
cg00240432	0.019574417433726	TWIST1	7	19157296
cg00240880	NA	WISP2	20	43343233
cg00241355	0.0200774530933153	GAPDH	12	6643629
cg00242839	NA	RBM17	10	6130578
cg00243313	0.0588343343749635	IRX4	5	1883413
cg00245878	NA	ZNF117	7	64450875
cg00247489	0.0125925327743162	CR2	1	207628182
cg00250430	0.376080953334298	DMRT2	9	1051579
cg00253200	0.0167118104580567	C3orf59	3	192636074
cg00256074	0.92224212534679	MYLPF	16	30386150
cg00256166	0.0237260774520866	KLHL25	15	86338428
cg00256281	0.00958724861385398	PMM1	22	41985642
cg00259755	0.0262830094001024	PWWP2B	10	134209763
cg00260778	0.524293823171879	NA	NA	0
cg00261552	0.0302877667561917	CREBL2	12	12764894
cg00261781	0.00799811248897792	MATN3	2	20212517
cg00262415	0.0196073437671667	PUSL1;ACAP3	1	1242732
cg00263723	0.0220676635522784	NA	NA	0
cg00263760	0.032884304864388	VAX1	10	118897366
cg00265415	0.00867289621094856	B3GALNT2	1	235667507
cg00265490	0.0325380235179396	MTDH	8	98655845
cg00268009	0.0152795290277908	ADH5	4	100010211
cg00268338	0.0139130524259412	HECTD2;LOC100188947	10	93169495
cg00269115	0.0111318438633867	C1orf213;ZNF436	1	23695530
cg00269932	0.927245000732224	NA	NA	0
cg00273068	0.26393021419888	EMILIN3	20	39995747
cg00273124	0.887747827886137	NHP2	5	177581512
cg00274399	0.0272474472202544	FGF9	13	22245420
cg00275232	0.0169570983459881	ZNF296	19	45579541
cg00276797	0.0192621294171141	SLK	10	105726614
cg00278366	0.360004146156906	RAD9B;VPS29	12	110940287
cg00279797	0.13622855480297	AMMECR1	X	109561918
cg00280814	0.864961785461876	ZDHHC8P	22	23745389
cg00280894	0.575242731256529	NA	NA	0
cg00282347	0.0632128759410656	CHD5	1	6241040
cg00282683	0.0131047680111606	UBE3C	7	156931995
cg00283535	0.863048072308884	ANXA13	8	124749564
cg00288562	0.0988798267437993	TRA2A	7	23571645
cg00290028	0.0265656740958559	RFXAP	13	37393125
cg00290506	0.010898743682618	CNIH3	1	224804226
cg00291877	0.071546833207927	SNRPA1	15	101835933
cg00292662	0.0111729071565216	LGALS1	22	38071168
cg00292971	0.859847265032543	FAM131B	7	143060536
cg00293409	0.0584486387602739	LRRC33	3	196366669
cg00294382	0.275191978943578	IL23A	12	56732721
cg00295206	0.0148289551317634	RAB7A	3	128444813
cg00295325	0.684455662452393	ABCB11	2	169887932
cg00296685	0.334276347464411	NA	NA	0
cg00297584	0.156687485914848	NCRNA00173	12	116971031
cg00297600	NA	UNC5D	8	35401670
cg00298357	0.90609782237283	IL17B	5	148758791
cg00298951	NA	CMKLR1	12	108733791
cg00301864	NA	RAB35	12	120554472
cg00302793	0.0467901886891217	PPP3CA	4	102268125
cg00303548	0.0111168103798565	HS6ST3	13	96742413
cg00304278	0.0570941865581167	NA	NA	0
cg00307685	0.915560741577129	BRDT	1	92415524
cg00308133	0.0172008844683763	GAMT	19	1401118
cg00308665	0.225732325939822	HTR2A	13	47469654
cg00309056	0.0247402828573661	STARD3NL	7	38218112
cg00309204	0.0182931083624212	C17orf61	17	7307432
cg00311768	0.309663076399986	TSTA3	8	144698857
cg00312919	0.0928974417904682	STARD3NL	7	38217710
cg00314943	0.882422811075829	ALPPL2	2	233270750
cg00315936	0.06048287490389	SND1	7	127292739
cg00317680	0.124461066404538	MTERFD1;PTDSS1	8	97274070
cg00318573	0.188609488802539	CHRNA4	20	61993118
cg00318865	0.0130646421861123	ACVR1B	12	52345896
cg00319692	NA	ATP6V0D2	8	87111119
cg00319761	0.00654231346705528	PKMYT1	16	3030447
cg00320243	0.0102960415903125	RAB3A	19	18314691
cg00321065	0.0179266257762213	RLF	1	40627063
cg00321478	0.472721453708867	CRB1	1	197238398
cg00323915	0.436082561107167	GIMAP4	7	150264987
cg00324733	0.0124524547842106	NUCB2	11	17298347
cg00325491	NA		11	93286170
cg00327185	0.0701591069462762	DLAT	11	111896498
cg00327483	0.97285770845555	CASQ1	1	160160587
cg00328227	0.0846597375253791	C1orf59	1	109204325
cg00331237	0.146060202864305	CSRP2	12	77273319
cg00331433	0.0187410671264775	SYAP1	X	16737800
cg00332153	0.618751560420484	BANK1	4	102712010
cg00332745	0.0152128891483214	NOL3	16	67208247
cg00333226	0.0616284497724451	VWC2	7	49813763
cg00333528	0.175991826889436	GABRR1	6	89927485
cg00334507	0.738780203487381	PRRT2	16	29824599
cg00335286	0.583841097935424	MC2R	18	13916355
cg00336605	0.0309650361382168	NR1H2	19	50879437
cg00338702	0.027193690125652	CHFR	12	133463694
cg00338893	0.0265653888204759	MRPS33	7	140714614
cg00340102	NA	ERGIC3	20	34129456
cg00342530	0.292945439841453	GARNL3	9	130027020
cg00343092	0.0110999184922337	TSPO	22	43547974
cg00344358	0.952521340078776	GDF11	12	56135693
cg00344372	0.763589709446033	HGFAC	4	3443625
cg00344709	0.859072970105647	POTED	21	14982225
cg00346145	0.041528235821783	RPL34;LOC285456	4	109541559
cg00347729	0.34111663745932	MMP10	11	102651753
cg00347904	0.319463688461661	SCUBE3	6	35182508
cg00350296	0.22081045572369	CD248	11	66084841
cg00350478	0.697389992143071	FRMD1	6	168480013
cg00350702	0.0185437552828169	ERGIC3	20	34129927
cg00351011	0.0101243607386204	LASS4	19	8274460
cg00353953	NA	ZNF384	12	6799541
cg00354258	0.898760613126965	ZIM2	19	57306738
cg00354572	0.106527425603078	ACSS3	12	81471419
cg00355802	0.0358299204078804	DUSP4	8	29208983
cg00359325	0.048145731780982	USP4	3	49377419
cg00359973	0.0580367163621007	RIBC1;SMC1A	X	53449900
cg00363813	0.537874355430337	IFFO1	12	6664872
cg00364344	0.0160839641539572	NA	NA	0
cg00364814	0.868473810022213	R3HDM2	12	57691455
cg00365193	0.135376771844972	NA	NA	0
cg00367281	0.825587752093863	CHRNB3	8	42552470
cg00367438	0.0267984727757471	TMUB1	7	150780797
cg00368022	0.0352518972531036	C5orf22;RNASEN	5	31532653
cg00368415	0.00551384430176166	SNX27	1	151584398
cg00371195	0.965682599602038	F2	11	46740481
cg00374717	0.942199698383604	ARSG	17	66303145
cg00375964	0.199875958648328	ABCE1;ANAPC10	4	146019130
cg00376639	0.0498756368896673	ZNF581	19	56155151
cg00380464	0.0392210672460046	LTV1	6	144164650
cg00381076	0.0571916792748604	C18orf54	18	51884797
cg00382515	0.0152350201521366	MRPL44	2	224822229
cg00382991	0.0201279559574433	NA	NA	0
cg00384537	NA	KRT35	17	39637963
cg00386408	0.173479709711867	TGFBI	5	135364970
cg00387170	0.0211907574384057	FOXP4	6	41514002
cg00392257	0.261869821991297	ISG20L2	1	156696747
cg00393585	0.0480870384240828	C4orf39;TRIM61	4	165878091
cg00394658	0.64867680780302	PTPRJ	11	48001669
cg00396163	0.0213847282452983	DNAH6	2	84743584
cg00396894	0.738927810659623	C2orf53	2	27362420
cg00397545	NA	APOC1	19	45417526
cg00397740	0.0235097302936631	PPOX	1	161136321
cg00398048	0.228835817602567	AGA	4	178364342
cg00399483	0.119571656926947	DCC	18	49868378
cg00400028	0.486596878608753	NA	NA	0
cg00400263	0.591591043647927	C20orf177;PPP1R3D	20	58514201
cg00401678	NA	EMR3	19	14787227
cg00402366	0.0815067926268762	LRRIQ3;TNNI3K;FPGT	1	74663750
cg00403724	NA	TNMD	X	99839289
cg00404599	0.227220437167206	TSC22D3	X	107018431
cg00405070	0.016760373799694	ERP29;TMEM116	12	112450647
cg00405568	0.0928318137049152	NMT1;DCAKD	17	43138965
cg00405677	NA	HAND1	5	153858102
cg00406188	NA	LCE2C	1	152647216
cg00406844	0.79750507590045	RFPL3	22	32753939
cg00407150	0.696206909782859	HHATL	3	42743794
cg00410419	0.0163132663554788	COMMD6	13	76111785
cg00410576	NA	MAPK6	15	52311136
cg00410831	NA	ZNF45	19	44429318
cg00410895	NA	CCDC23;ERMAP	1	43283884
cg00410898	0.0708962150473508	STC1	8	23712355
cg00410921	0.219144643917704	NA	NA	0
cg00411097	0.266162645709066	TMEM184A	7	1596050
cg00412772	0.871103735116284	YIF1B;C19orf33	19	38794845
cg00412805	0.970824804531198	KBTBD5	3	42726970
cg00413066	NA	BCL2L10	15	52405464
cg00415164	0.0206468195198671	NA	NA	0
cg00415494	0.849388842368552	NA	NA	0
cg00415978	0.166876447129468	SYNPO2	4	119809925
cg00415993	0.715828030676002	F2RL2;IQGAP2	5	75919188
cg00417297	0.0192390342463826	ZNF619	3	40518742
cg00418150	0.404243856717547	ALX4	11	44327869
cg00419564	0.0151406572364123	S100A6	1	153508860
cg00420568	0.0834449022542787	SHC3	9	91794904
cg00420715	0.0421043823037635	VPS13B	8	100025364
cg00420929	0.253487758066831	PGPEP1	19	18451112
cg00422913	0.0175371665320553	C17orf91;WDR81	17	1619022
cg00424946	0.0148485892175056	SNTB2	16	69221172
cg00425710	0.87268878840909	MT1A	16	56672671
cg00425792	0.0415079031954787	PEX12	17	33905503
cg00426056	0.053067714242415	CUTA	6	33385896
cg00426498	0.155304752831013	MYO18A	17	27507667
cg00426963	0.0174968774549102	KIF27	9	86535755
cg00427635	0.131946973978516	TBC1D21	15	74166372
cg00429618	0.087107866591593	ZNF322B	9	99962350
cg00430287	0.830374620993587	FRK	6	116382876
cg00430945	NA	LIN7B	19	49617309
cg00431050	0.56129595586832	ELOVL3	10	103985730
cg00431114	NA	TTPAL	20	43104027
cg00431549	0.2129046678377	MGP	12	15039025
cg00432979	0.0184253716249525	MRP63;SKA3	13	21750473
cg00433406	0.927300351284017	VWA5B1	1	20616975
cg00434413	0.983518790218591	RENBP;NAA10	X	153201653
cg00435408	0.0294065767605889	FAM192A;RSPRY1	16	57220662
cg00436282	0.915593080387782	STATH	4	70861449
cg00436301	0.0181938523605639	NT5DC1	6	116421736
cg00436603	0.460650050821626	CYP2E1	10	135340740
cg00441136	NA	KIF3B	20	30864848
cg00441382	0.00873493459749084	STOML1	15	74284481
cg00443307	0.721637086035586	KLRG1	12	9141740
cg00445824	0.0412200074835979	ISYNA1	19	18548929
cg00446235	0.0658441887139718	TSTD1	1	161008644
cg00447208	0.493174159858245	TMC8;TMC6	17	76126301
cg00448720	0.767599186264525	C1QTNF9	13	24883014
cg00449941	0.0122013015968254	SPAG5	17	26926011
cg00451635	0.325288862495221	EMP2	16	10675030
cg00453193	0.0231043110731801	TES	7	115851050
cg00453258	0.797413726369202	CALHM1	10	105219172
cg00459975	0.0140351778732759	INTS9;HMBOX1	8	28749099
cg00461841	0.768003993762174	ATF7IP2	16	10523485
cg00462311	0.066489072872821	NFATC4	14	24837184
cg00462994	0.0624898052527713	NAGS;PYY	17	42081955
cg00463202	0.801053449824256	ADPRHL1	13	114107710
cg00463577	0.0256947246657174	C6orf150	6	74161911
cg00463848	0.877868367417947	KRT2	12	53046105
cg00464269	0.00893492562780166	TNFAIP1;IFT20	17	26662842
cg00465284	0.0240694377042	CTNNA2;LRRTM1	2	80531898
cg00465846	0.0118874906770248	NA	NA	0
cg00466249	0.274434440660694	SLC38A10	17	79269884
cg00466436	NA	DEFB126	20	123163
cg00466492	NA	TIMM44;CTXN1	19	7991731
cg00466544	0.0197559744485578	C14orf101	14	57046243
cg00468146	0.139374113946421	ID4	6	19838211
cg00469635	0.00476364092485446	PPME1;C2CD3	11	73882471
cg00471562	0.0128699208723976	WDR37	10	1102373
cg00472136	NA	TAC3	12	57410604
cg00472814	0.018470432484486	ADAMTS1	21	28217676
cg00474004	0.785169064216512	IFNA14	9	21239944
cg00474209	0.0206157683438116	DLL1	6	170600060
cg00475955	0.011247227579133	C9orf114	9	131592049
cg00476577	0.0876381781856862	NA	NA	0
cg00476580	0.00750538521566482	ANP32E	1	150207583
cg00479269	0.0327420146505274	C2orf29	2	101869975
cg00480115	0.480410670435168	FXYD3	19	35606877
cg00480209	0.0116865552403083	SCO1;C17orf48	17	10600689
cg00480356	0.0534786872826437	SERINC4;C15orf63	15	44092806
cg00481227	NA	CTNNBL1	20	36322069
cg00483154	0.0123695411318624	DDX41	5	176943504
cg00485296	0.00513228429837356	NME3	16	1821559
cg00485380	0.0222700540466664	CBX3;HNRNPA2B1	7	26240560
cg00487159	0.0294521625490404	SOCS1	16	11349568
cg00488300	0.871274989535865	NA	NA	0
cg00488364	0.771765840411522	IL13RA2	X	114253315
cg00488718	0.0160364754990216	MFSD8;C4orf29	4	128887044
cg00489401	0.520085566755106	FLT4	5	180075875
cg00491404	0.807515118630237	EPS8L3	1	110306591
cg00491839	0.110870599415836	PPP1R15A	19	49375640
cg00493400	0.0266940984647934	STAT1	2	191879127
cg00495415	0.0150274492553548	SP1	12	53773795
cg00495442	0.0478643063865276	RALGAPB	20	37101172
cg00495491	0.746613079761722	NA	NA	0
cg00496170	0.0160514600338488	EIF2S1;ATP6V1D	14	67826880
cg00497084	0.827956768249474	PPEF1	X	18709116
cg00497251	0.024516347167723	RNPEPL1	2	241508725
cg00498305	0.570161456227894	SLC18A2	10	119000236
cg00498604	0.31561305147207	TLL1	4	166793789
cg00499599	0.0217299279327335	C21orf57;MCM3AP	21	47706392
cg00499822	0.321649163150639	CXCL12	10	44881551
cg00500400	0.0225634750083612	EP300;MIR1281	22	41487283
cg00501366	NA	ALOX12B	17	7992476
cg00502442	0.0129898178283558	ZDHHC14	6	157801893
cg00503458	0.0606738396415753	KIAA0907	1	155904439
